"Data Import Template"
"Table:","Tree Species"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Tree Species","","","","","","","","","","","","","","","","","","","","~","Tree Species Local Name","local_names"
"Column Labels:","ID","Tree Family","Wikipedia Link","Occurance","Leaf Image","Tree Image","Leaf Shape","Leaf Attachment","Leaf Type","Leaf Veination","Leaf Margin","Canopy Shape","Bark","Flow Size (cm)","Flower","Fruit","Fruit Size (cm)","Fruiting Months","Publish","Page Name","","ID","Local Name"
"","""Acacia Ferruginea (Mistake In Top)""","Mimosaceae","","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","","0","Yellow","Brown","0","March",1,"acacia-ferruginea-(mistake-in-top)","","""000000144""","Pandhra Khair"
"","""Acacia Leucophloea""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_leucophloea","Common","","","Oblong","Opposite","Multi-pinnata","","","Spreading","brown cracked.","0","Greenish white","pods flat brown","0","Sep,Octo",1,"acacia-leucophloea","","""000000145""","Hivar"
"","""Acacia Mangium""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_mangium","Common","","","Lanceolate","Opposite","Simple","","","Irregular","","0","Fragrant, yellow","Coiled,Twisted","0","June,July",1,"acacia-mangium","","""000000146""","Austalian Babhul"
"","""Acacia Nilotica""","Mimosaceae","http://en.wikipedia.org/wiki/Acacia_nilotica","Common","","","Oblong","Opposite","Multi-pinnata","","","Spreading","","0","Yellow","Pods tomantose","0","july,Aug",1,"acacia-nilotica","","""000000147""","Babhul"
"","""Acacia Nilotica Var. Cupressiformis""","Mimosaceae","","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Spreading","","0","Yellow","Pods tomantose","0","july,Aug",1,"acacia-nilotica-var.-cupressiformis","","""000000148""","Babhul"
"","""Acacia Planifrons""","Mimosaceae","http://en.wikipedia.org/wiki/Vallanadu_Wildlife_Sanctuary","Rare","","","Oblong","Opposite","Multi-pinnata","","","Spreading","","0","White","Pods Cylindric","0","Jun,July",1,"acacia-planifrons","","""000000149""","Chhatri Babhul"
"","""Acoelorrhaphe Wrightii""","","http://en.wikipedia.org/wiki/Acoelorrhaphe","Rare","","","","","","","","","clustered,45-60cm dia,covered with persistant petioles,netted","0","No","Globose orange","0","No",1,"acoelorrhaphe-wrightii","","""000000150""","Everglades Palm"
"","""Acrocarpus Fraxinifolius""","Caesalpiniceae","http://en.wikipedia.org/wiki/Acrocarpus_fraxinifolius","Occasional","","","Elliptic","Opposite","Multi-pinnata","","","Irregular","","0","Red","Pods","0","March",1,"acrocarpus-fraxinifolius","","""000000151""","Tokphal"
"","""Adansonia Digitata""","Bombacaceae","http://en.wikipedia.org/wiki/Adansonia_digitata","Occasional","","","Elliptic","","Digitate","","","Spreading","","0","White","Cylindric","0","Jun,July",1,"adansonia-digitata","","""000000152""","Gorakh Chinch"
"","""Adenanthera Pavonina""","Fabaceae","http://en.wikipedia.org/wiki/Adenanthera_pavonina","Occasional","","","Ovate","Opposite","Multi-pinnata","","","Irregular","rough,light grey.","0","Fragfant white","Pods red","0","April",1,"adenanthera-pavonina","","""000000153""","Palas"
"","""Adonidia Merrillii""","","http://en.wikipedia.org/wiki/Adonidia","Rare","","","","","","","","","single 10-20cm dia smooth with shallow rings of leaf bases grey.","0","Greenish white","Red","0","No",1,"adonidia-merrillii","","""000000154""","Manila Palm"
"","""Aegle Marmelos""","Rutaceae","http://en.wikipedia.org/wiki/Bael","Occasional","","","Lanceolate","Opposite","Uni-pinnate","","","Irregular","","0","Greenish red","Yellowish Orange","0","April",1,"aegle-marmelos","","""000000155""","Bel"
"","""Afrocarpus Gracilior""","Podocarpaceae","http://en.wikipedia.org/wiki/Afrocarpus_gracilior","Common","","","","","","","","","brown,flacky.branches slender,drooping.","0","No","No","0","No",1,"afrocarpus-gracilior","","""000000156""","Fern Pine"
"","""Agathis Robusta""","Araucariaceae","http://en.wikipedia.org/wiki/Agathis_robusta","Rare","","","","","","","","","brown,furrowed.branches in whorls,horizontal;branches drooping.","0","No","No","0","No",1,"agathis-robusta","","""000000157""","Kauri Pine"
"","""Ailanthus Excelsa""","Simaroubaceae","http://en.wikipedia.org/wiki/Ailanthus","Occasional","","","Lanceolate","Alternate","Uni-pinnate","","","Conical","","0","Green","Redish","0","Feb",1,"ailanthus-excelsa","","""000000158""","Maharukh"
"","""Aiphanes Erosa""","","http://en.wikipedia.org/wiki/Aiphanes_erosa","Rare","","","","","","","","","Singal,50-60 cm dia, smooth with rights  of leaf bases","0","No","No","0","No",1,"aiphanes-erosa","","""000000159""","Bitten Palm"
"","""Alangium Salvifolium""","Alangiaceae","http://en.wikipedia.org/wiki/Alangium","Rare","","","Oblong","Alternate","Simple","Reticulate","Acuminate","Irregular","light coloured.","0","White Fragrant","Purplish red","0","March,April",1,"alangium-salvifolium","","""000000160""","Ankol"
"","""Albizia Amara""","Mimosaceae","http://en.wikipedia.org/wiki/Albizia","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Spreading","branches prickly.","0","Fragrant yellow","pods flat pointed","0","May",1,"albizia-amara","","""000000161""","Kala Shirish"
"","""Albizia Lebbeck""","Mimosaceae","","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","greenish yellow.","0","Greenish white","Orange yellow","0","March",1,"albizia-lebbeck","","""000000162""","Shirish"
"","""Albizia Lucidor (Mistake In Top)""","Mimosaceae","","Rare","","","Elliptic","Opposite","Multi-pinnata","","","Irregular","brown.","0","Fragrant white","Golden brown","0","May,Jun",1,"albizia-lucidor-(mistake-in-top)","","""000000163""","Potka Shirish"
"","""Albizia Odoratissima""","Mimosaceae","http://en.wikipedia.org/wiki/Albizia_odoratissima","Rare","","","Oblong","Opposite","Multi-pinnata","","","Irregular","","0","Fragrant","Brown","0","May",1,"albizia-odoratissima","","""000000164""","Chinchva"
"","""Albizia Procera""","Mimosaceae","","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","many smooth,yellowish,fusing together.","0","Flowered head","Orenge brown","0","March",1,"albizia-procera","","""000000165""","Kinhai"
"","""Albizia Saman""","Fabaceae","https://en.wikipedia.org/wiki/Rain_tree","Common","files/tree_species/rain-tree-leaf-1.jpg","files/tree_species/rain-tree-2.jpg","","","","","","","","","","","","",1,"albizia-saman","","""000000642""","Rain Tree"
"","","","","","","","","","","","","","","","","","","","","","","""000000643""","Sirish"
"","","","","","","","","","","","","","","","","","","","","","","""000000644""","Shirish"
"","","","","","","","","","","","","","","","","","","","","","","""000000645""","Siris"
"","""Alseodaphne Semecarpifolia""","Lauraceae","http://en.wikipedia.org/wiki/Alseodaphne","Rare","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","smooth,dark","0","Yellow","Globose,Black","0","Dec",1,"alseodaphne-semecarpifolia","","""000000166""","Phudgus"
"","""Alstonia Macrophylla""","Apocynaceae","http://en.wikipedia.org/wiki/Alstonia_macrophylla","Occasional","","","Lanceolate","Opposite","Simple","","","Spreading","","0","Fragrant,white","Twisted,seeds,flattened,hairy","0","Jan,Dec",1,"alstonia-macrophylla","","""000000167""","Motha Satween"
"","""Alstonia Scholaris""","Apocynaceae","http://en.wikipedia.org/wiki/Alstonia_scholaris","Occasional","","","Lanceolate","Opposite","Simple","","","Globular","","0","Fragrant, white","Cylindric","0","Jan",1,"alstonia-scholaris","","""000000168""","Satween"
"","""Amherstia Nobilis""","Caesalpiniceae","http://en.wikipedia.org/wiki/Amherstia","Rare","","","Lanceolate","Opposite","Uni-pinnate","","","Conical","grey scaly. Branches drooping.","0","Scarlate red","Brown","0","Feb,March",1,"amherstia-nobilis","","""000000169""","Urvashi"
"","""Amoora Rohituka""","Meliaceae","","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Irregular","","0","White","Yellow","0","Sep,Octo",1,"amoora-rohituka","","""000000170""","Raktarohida"
"","""Anacardium Occidentale""","Anacardiaceae","http://en.wikipedia.org/wiki/Cashew","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Spreading","short,crooked","0","Pink","Red,Edible","0","Jan,Feb",1,"anacardium-occidentale","","""000000171""","Kaju"
"","""Annona Muricata""","Annonaceae","http://en.wikipedia.org/wiki/Annona_muricata","Rare","","","Oblong","Alternate","Simple","Reticulate","Entire","Erect","","0","Greenish yellow","Ovoid green","0","Jan-April",1,"annona-muricata","","""000000172""","Hanuman Phal"
"","""Annona Reticulata""","Annonaceae","http://en.wikipedia.org/wiki/Annona_reticulata","Rare","","","Elliptic","Alternate","Simple","Reticulate","Entire","Oval","","0","Fragrant Green","Globose,Green","0","May",1,"annona-reticulata","","""000000173""","Sitaphal"
"","""Annona Squamosa""","Annonaceae","http://en.wikipedia.org/wiki/Sugar-apple","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Oval","","0","Fragrant Green","Globose,Green","0","May",1,"annona-squamosa","","""000000174""","Ramphal"
"","""Anogeissus Acuminata""","Combretaceae","http://en.wikipedia.org/wiki/Anogeissus","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","","0","Fragrant Yellow,in Globose","Round ,Beaked","0","Feb,March",1,"anogeissus-acuminata","","""000000175""","Maha Dhawda"
"","""Anogeissus Latifolia""","Combretaceae","http://en.wikipedia.org/wiki/Anogeissus_latifolia","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Wavy","Irregular","smooth,light coloured","0","Globose","Globose,Beaked","0","March,April",1,"anogeissus-latifolia","","""000000176""","Dhawda"
"","""Anogeissus Sericea""","Combretaceae","http://en.wikipedia.org/wiki/Anogeissus","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","","","0","Fragrant Yellow,in Globose","Round ,Beaked","0","Feb,March",1,"anogeissus-sericea","","",""
"","""Anthocephalus Cadamba""","Rubiaceae","http://en.wikipedia.org/wiki/Neolamarckia_cadamba","Common","","","Elliptic","Opposite","Simple","Reticulate","Entire","Spreading","bulged at the base.","0","Fragrant Creamish white","Round Orange","0","July,Aug",1,"anthocephalus-cadamba","","",""
"","""Aphanamixis Polystachya""","Meliaceae","http://en.wikipedia.org/wiki/Aphanamixis_polystachya","Occasional","","","Oblong","Opposite","Uni-pinnate","","","Irregular","ashy,flaky.","0","White","Yellow","0","Sep,Octo",1,"aphanamixis-polystachya","","""000000177""","Raktarohida"
"","""Araucaria Bidwillii""","Araucariaceae","http://en.wikipedia.org/wiki/Araucaria_bidwillii","Rare","","","","","","","","","light brown,flaky.branches in whorls,horizontal;branches lax,tips not in level.","0","No","No","0","No",1,"araucaria-bidwillii","","""000000178""","Bunya Pine"
"","""Araucaria Columnaris""","Araucariaceae","http://en.wikipedia.org/wiki/Araucaria_columnaris","Occasional","","","","","","","","","brown, furrowed.branches in whorls at long intervals,horizontal.branches divided into several lax branches at tip.","0","No","No","0","No",1,"araucaria-columnaris","","""000000179""","New Caledonian Pine"
"","""Araucaria Cunninghamii""","Araucariaceae","http://en.wikipedia.org/wiki/Araucaria_cunninghamii","Rare","","","","","","","","","brown,furrowed.branches in whorls,horizontal;branchlets dense, tips in level.","0","No","No","0","No",1,"araucaria-cunninghamii","","""000000180""","Hoop Pine"
"","""Araucaria Heterophylla""","Araucariaceae","http://en.wikipedia.org/wiki/Araucaria_heterophylla","Occasional","","","","","","","","","light brown,flaky. Branches whorled,horizontal.","0","No","No","0","No",1,"araucaria-heterophylla","","""000000181""","Christmas Tree"
"","""Araucaria Hunsteinii""","Araucariaceae","http://en.wikipedia.org/wiki/Araucaria_hunsteinii","Rare","","","","","","","","","brown,flaky.branches slender,drooping.","0","No","No","0","No",1,"araucaria-hunsteinii","","""000000182""","Klinki Pine"
"","""Areca Catechu""","","http://en.wikipedia.org/wiki/Areca_catechu","Occasional","","","","","","","","","single, slender,15-20cm dia smooth with shallow rings of leaf bases,grey.","0","No","orange","0","No",1,"areca-catechu","","""000000183""","Supari"
"","""Arecastrum Romanzoffianum""","","","Rare","","","","","","","","","single,45cm,covered with persistant persistant petioles,netted","0","Rough woody","Coconut like","0","No",1,"arecastrum-romanzoffianum","","""000000184""","Queen Palm"
"","""Arenga Engleri""","","","Rare","","","","","","","","","clustered,3-5cm dia,smooth,with shallow distant rings.","0","Orangish Yellow","Purple","0","No",1,"arenga-engleri","","""000000185""","Formosa Palm"
"","""Artocarpus Heterophyllus""","Moraceae","http://en.wikipedia.org/wiki/Jackfruit","Common","","","Elliptic","Alternate","Simple","Reticulate","Entire","Spreading","","0","Globose Stalked head","Greenish yellow","0","Feb,March",1,"artocarpus-heterophyllus","","""000000186""","Phanas"
"","""Artocarpus Hirsutus""","Moraceae","http://en.wikipedia.org/wiki/Artocarpus_hirsutus","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Spreading","","0","Globose Stalked head","Greenish yellow","0","Feb,March",1,"artocarpus-hirsutus","","",""
"","""Artocarpus Incisus""","Moraceae","","Rare","","","Lobed","Alternate","Simple","Reticulate","Entire","Oval","","0","Green","Oblong Green","0","May,Jun",1,"artocarpus-incisus","","""000000187""","Neer Phanas"
"","""Artocarpus Lacucha""","Moraceae","http://en.wikipedia.org/wiki/Artocarpus_lacucha","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Acuminate","Spreading","","0","Orangish yellow","Yellow","0","May,June",1,"artocarpus-lacucha","","""000000188""","Bread-fruit Tree"
"","""Attalea Cohune""","","http://en.wikipedia.org/wiki/Attalea_cohune","Rare","","","","","","","","","singal,stout,30-50 cm dia, light brown,covered with persistent pertioles","0","No","Orange","0","No",1,"attalea-cohune","","""000000189""","American Oil Palm"
"","""Averrhoa Bilimbi""","Averrhoaceae","http://en.wikipedia.org/wiki/Averrhoa_bilimbi","Rare","","","Oblong","Opposite","Uni-pinnate","","","Irregular","pale, corky.","0","Pink","Greenish Yellow","0","March,April",1,"averrhoa-bilimbi","","""000000190""","Bimbal"
"","""Averrhoa Carambola""","Averrhoaceae","http://en.wikipedia.org/wiki/Averrhoa_carambola","Occasional","","","Ovate","Opposite","Uni-pinnate","","","Irregular","grey,soft.branches slender.","0","Pink","Yellow","0","March",1,"averrhoa-carambola","","""000000191""","Kamrak"
"","""Azadirachta Indica""","Meliaceae","http://en.wikipedia.org/wiki/Azadirachta_indica","Common","","","Lanceolate","Opposite","Uni-pinnate","","","Irregular","light brown, smooth.","0","Fragrant white","Oblong yellow","0","April,May",1,"azadirachta-indica","","""000000192""","Kadulimb"
"","""Balanites Aegyptiaca""","Balanitaceae","http://en.wikipedia.org/wiki/Balanites_aegyptiaca","Rare","","","Ovate","Opposite","Uni-pinnate","","","Irregular","","0","Greenish white","Pulp","0","April",1,"balanites-aegyptiaca","","""000000193""","Hinganbet"
"","""Bambusa Arundinacea""","","http://en.wikipedia.org/wiki/Bambusa","Occasional","","","","","","","","","hollow, blackish green,bulging at nodes, dia10-15cm; internodes upto 25cm. Branches unarmed.","0","No","No","0","No",1,"bambusa-arundinacea","","""000000194""","Thorny Bamboo"
"","""Bambusa Ventricosa""","","http://en.wikipedia.org/wiki/Bambusa_ventricosa","Occasional","","","","","","","","","hollow, golden yellow with broad green strips, dia 5-10cm; internodes upto 30cm,covered with broad triangular sheaths. Branches horizontal,unarmed.","0","No","No","0","No",1,"bambusa-ventricosa","","""000000195""","Buddha's Belly Bamboo"
"","""Bambusa Vulgaris""","","http://en.wikipedia.org/wiki/Dendrocalamus","Common","","","","","","","","","hollow, green, dia 15-25cm; internodes upto 60cm. Branches horizontal ,unarmed,few at nodes.","0","No","No","0","No",1,"bambusa-vulgaris","","""000000196""","Golden Bamboo"
"","""Barringtonia Acutangula""","Barringtoniaceae","http://en.wikipedia.org/wiki/Barringtonia_acutangula","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Spreading","","0","Fragrant red","Green","0","may,June",1,"barringtonia-acutangula","","""000000197""","Newar"
"","""Barringtonia Asiatica""","Barringtoniaceae","http://en.wikipedia.org/wiki/Barringtonia_asiatica","Rare","","","Elliptic","Alternate","Simple","Reticulate","Entire","Oval","brown.","0","White","Green","0","March,April",1,"barringtonia-asiatica","","""000000198""","Samudraphal"
"","""Bauhinia Blakeana""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia_blakeana","Occasional","","","Lobed","Alternate","Simple","Reticulate","Entire","Spreading","","0","Purpplish Violet","Flat Pods","0","Feb,March.April,Octo,Nov",1,"bauhinia-blakeana","","""000000199""","Kanchan Raj"
"","""Bauhinia Hookeri""","Caesalpiniceae","","Rare","","","Lobed","Alternate","Simple","Reticulate","Entire","Irregular","","0","White","Flat Pods","0","Jan,Feb,March,Nov,Dec",1,"bauhinia-hookeri","","""000000200""","Mountain Ebony"
"","""Bauhinia Monandra""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia_monandra","Rare","","","Lobed","Alternate","Simple","Reticulate","Entire","Spreading","","0","White","Flat Pods","0","Feb,March,Octo,Nov",1,"bauhinia-monandra","","""000000201""","Orchid Tree"
"","""Bauhinia Purpurea""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia_purpurea","Occasional","","","Lobed","Alternate","Simple","Reticulate","Entire","Irregular","","0","Purple","Flat Pods","0","Sep,Oct,Nov",1,"bauhinia-purpurea","","""000000202""","Gulabi Kanchan"
"","""Bauhinia Racemosa""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia_racemosa","Occasional","","","Lobed","Alternate","Simple","Reticulate","Entire","Irregular","short,crooked,withdarkbark","0","Fragrant white","Flat Pods","0","May",1,"bauhinia-racemosa","","""000000203""","Apta"
"","""Bauhinia Roxburghii (Difference In Name)""","Caesalpiniceae","","Rare","","","Lobed","Alternate","Simple","Reticulate","Entire","Oval","","0","Fragrant yellow","Flat brown pods","0","March,April,May",1,"bauhinia-roxburghii-(difference-in-name)","","""000000204""","Roxburgh's Bauhinia"
"","""Bauhinia Tomentosa""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia","Occasional","","","Lobed","Alternate","Simple","Reticulate","Entire","Irregular","","0","Yellow","Flat Pods","0","Jan,Feb,March,Nov,Dec",1,"bauhinia-tomentosa","","""000000205""","Pivla Kanchan"
"","""Bauhinia Variegata""","Caesalpiniceae","http://en.wikipedia.org/wiki/Bauhinia_variegata","Occasional","","","Lobed","Alternate","Simple","Reticulate","Entire","Irregular","","0","White, purple","Flat Pods","0","Oct,Nov,Dec",1,"bauhinia-variegata","","""000000206""","Kanchan"
"","""Beaucarnea Recurvata""","Agavaceae","http://en.wikipedia.org/wiki/Beaucarnea_recurvata","Occasional","","","Linear","Alternate","Simple","Parallel","Entire","Erect","heavily bulging and hemispherical at base","0","No","No","0","No",1,"beaucarnea-recurvata","","""000000207""","Elephant's foot palm"
"","""Bischofia Javanica""","","http://en.wikipedia.org/wiki/Bischofia_javanica","","","","","","","","","","","0","No","No","0","No",1,"bischofia-javanica","","",""
"","""Bismarckia Nobilis""","","http://en.wikipedia.org/wiki/Bismarckia","Occasional","","","","","","","","","single,60-75cm dia,rough,greyish black,covered with persistant split petioles.","0","No","Blackish Brown","0","No",1,"bismarckia-nobilis","","""000000208""","Silver Palm"
"","""Bixa Orellana""","Bixaceae","http://en.wikipedia.org/wiki/Bixa_orellana","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Oval","","0","Pink","Ovoid red","0","Aug,Sep",1,"bixa-orellana","","""000000209""","Shedri"
"","""Bombax Ceiba""","Bombacaceae","http://en.wikipedia.org/wiki/Bombax_ceiba","Common","","","Elliptic","","Digitate","","","Globular","grey rough branches whorled.","0","Pink","Silky Cotton","0","March.April",1,"bombax-ceiba","","""000000210""","Sawar"
"","""Borassus Flabellifer""","","http://en.wikipedia.org/wiki/Borassus_flabellifer","Occasional","","","","","","","","","single, often branched,60-80cm, dia, covered with persistant petioles when young and with black scars.","0","No","Ovoid black","0","No",1,"borassus-flabellifer","","""000000211""","Tad"
"","""Boswellia Serrata""","Burseraceae","http://en.wikipedia.org/wiki/Boswellia_serrata","Occasional","","","Ovate","Opposite","Uni-pinnate","","","Spreading","","0","Creamish,pink","Yellow","0","Jan,Feb",1,"boswellia-serrata","","""000000212""","Salai"
"","""Bougainvillea""","Nyctaginaceae","https://en.wikipedia.org/wiki/Bougainvillea","Common","files/tree_species/Bougainvillea-leaf-1.jpg","files/tree_species/bougainvillea-tree.JPG","","","","","","","","","","","","",1,"bougainvillea","","""000000641""","Bougainvillea"
"","""Brahea Armata""","","http://en.wikipedia.org/wiki/Brahea_armata","Rare","","","","","","","","","single,slender,15-20cm dia covered with persistant petioles,netted.","0","Creamish","Brown","0","No",1,"brahea-armata","","""000000213""","Mexican Blue Palm"
"","""Brassaia Actinophylla""","Araliaceae","http://en.wikipedia.org/wiki/Schefflera_actinophylla","Occasional","","","Elliptic","","Digitate","","","Oval","white","0","Red","Round black","0","March,April",1,"brassaia-actinophylla","","""000000214""","Umbrella Tree"
"","""Bridelia Retusa""","Euphorbiaceae","http://en.wikipedia.org/wiki/Bridelia_retusa","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","grey","0","Greenish red","Globose,Black","0","June",1,"bridelia-retusa","","""000000215""","Asana"
"","""Broussonetia Papyrifera""","Moraceae","http://en.wikipedia.org/wiki/Paper_Mulberry","Occasional","","","Lobed","Alternate","Simple","Reticulate","Serrate","Trailing","smooth,branches slender,drooping","0","White","Globose red","0","April",1,"broussonetia-papyrifera","","""000000216""","Paper Mulberry"
"","""Brownea Coccinea""","Caesalpiniceae","http://en.wikipedia.org/wiki/Brownea_coccinea","Occasional","","","Lanceolate","Opposite","Uni-pinnate","","","Spreading","","0","Red","Pods flat woody","0","Feb,March,April",1,"brownea-coccinea","","""000000217""","Flame Bean"
"","""Brugmansia Arborea""","Solanaceae","http://en.wikipedia.org/wiki/Theobroma_cacao","Occasional","","","Elliptic","Alternate","Simple","Reticulate","Entire","Irregular","","0","White/Pink","Oblong","0","April-July",1,"brugmansia-arborea","","""000000218""","Trumpet Tree"
"","""Bruguiera Gymnorrhiza""","","http://en.wikipedia.org/wiki/Bruguiera_gymnorrhiza","","","","","","","","","","rough, black","0","No","No","0","No",1,"bruguiera-gymnorrhiza","","",""
"","""Buchanania Cochinchinensis""","Anacardiaceae","","Occasional","","","Oblong","Alternate","Simple","Reticulate","Entire","Irregular","","0","Green","Black edible","0","Feb",1,"buchanania-cochinchinensis","","""000000219""","Charoli"
"","""Bursera Delpechiana""","Burseraceae","","Rare","","","Elliptic","Opposite","Uni-pinnate","","","Spreading","","0","Pinkish","Globose","0","Jun",1,"bursera-delpechiana","","""000000220""","Tree of Fragrance"
"","""Bursera Penicillata""","Burseraceae","http://en.wikipedia.org/wiki/Bursera","Rare","","","Elliptic","Opposite","Uni-pinnate","","","Spreading","","0","Pinkish","Globose","0","Jun",1,"bursera-penicillata","","""000000221""","Tree of Fragrance"
"","""Butea Monosperma""","Mimosaceae","http://en.wikipedia.org/wiki/Butea_monosperma","Occasional","","","Elliptic","Opposite","Uni-pinnate","","","Irregular","","0","Orange red","Pods flat","0","March,April",1,"butea-monosperma","","""000000222""","Ratangunj"
"","""Butia Capitata""","","http://en.wikipedia.org/wiki/Butia_capitata","Rare","","","","","","","","","Singal,30-40 cm dia,covred with rings","0","Orangish Yellow","Orange","0","No",1,"butia-capitata","","""000000223""","Jelly Palm"
"","""Caesalpinia Coriaria""","Caesalpiniceae","http://en.wikipedia.org/wiki/Caesalpinia_coriaria","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Irregular","rough, rusty.branches spinous.","0","Fragrant yellow","Pods twisted","0","Sep,Octo",1,"caesalpinia-coriaria","","""000000224""","Dividivi"
"","""Caesalpinia Ferrea""","Caesalpiniceae","http://en.wikipedia.org/wiki/Caesalpinia_ferrea","Occasional","","","Oblong","Opposite","Multi-pinnata","","","Spreading","corky.","0","Fragrant yellow","Beaked Woody","0","Sep",1,"caesalpinia-ferrea","","""000000225""","Brazillian Ironwood"
"","""Caesalpinia Pulcherrima""","Caesalpiniceae","http://en.wikipedia.org/wiki/Caesalpinia_pulcherrima","Common","","","Oblong","Opposite","Multi-pinnata","","","Irregular","raddish brown,flaky.branches with yellow juice.","0","Yellow orange","Woody","0","March,April,May ,Jun,July",1,"caesalpinia-pulcherrima","","""000000226""","Shankasur"
