-----
{
 "description": "The table refers to District wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.1.csv", 
 "title": "Download CSV for Districtwise Construction of Dugwells over the years", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"BIHAR","ROHTAS(SASARAM)",5361,283,276,175,225,153,134,32,6639
"BIHAR","SARAN",11246,218,114,328,14,28,32,1,11981
"BIHAR","SHEKHPURA",413,70,68,45,12,9,0,2,619
"BIHAR","SIWAN",13788,323,78,29,36,17,0,1,14272
"BIHAR","VAISHALI",865,80,42,19,10,3,4,0,1023
"CHHATTISGARH","BASTER",2029,461,281,249,229,129,37,548,3963
"CHHATTISGARH","BILASPUR",8808,240,229,262,209,217,141,172,10278
"CHHATTISGARH","DANTEWADA",440,47,10,11,6,15,11,133,673
"CHHATTISGARH","DHAMTARI",3914,308,344,246,260,231,96,420,5819
"CHHATTISGARH","DURG",6277,371,521,317,238,243,148,501,8616
"CHHATTISGARH","JANJGIR-CHAMPA",11591,265,378,308,272,180,175,79,13248
"CHHATTISGARH","JASHPUR",24842,448,286,227,174,218,109,70,26374
"CHHATTISGARH","KANKER",4118,440,355,214,203,147,99,1920,7496
"CHHATTISGARH","KORBA",5995,185,175,105,274,79,42,135,6990
"CHHATTISGARH","KORIA",17667,199,135,100,134,89,133,69,18526
"CHHATTISGARH","KVARDHA",488,166,159,113,70,42,27,610,1675
"CHHATTISGARH","MAHASAMUND",3735,215,237,233,194,110,74,442,5240
"CHHATTISGARH","RAIGARH",15372,366,407,295,251,151,91,36,16969
"CHHATTISGARH","RAIPUR",11341,838,768,525,633,471,313,963,15852
"CHHATTISGARH","RAJNANDGAON",5192,476,452,327,359,270,145,237,7458
"CHHATTISGARH","SURGUJA",48944,2961,1524,1030,789,299,186,73,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",435,23,32,34,16,10,17,5,572
"GOA","NORTH GOA",3163,56,106,65,92,67,35,164,3748
"GOA","SOUTH GOA",993,42,47,45,64,51,43,83,1368
"GUJARAT","AHMEDABAD",10741,1230,513,315,163,123,145,184,13414
"GUJARAT","AMRELI",79406,529,626,141,54,6,91,6,80859
"GUJARAT","ANAND",1494,83,67,46,60,49,44,158,2001
"GUJARAT","BANASKANTHA",34642,3541,2891,2102,2342,1214,2931,1278,50941
"GUJARAT","BHARUCH",3350,329,474,241,219,100,98,152,4963
"GUJARAT","BHAVNAGAR",112388,1938,2611,562,289,118,90,39,118035
"GUJARAT","DAHOD",15666,2904,4298,4673,2838,1585,1150,906,34020
"GUJARAT","DANG",861,128,30,16,253,136,65,46,1535
"GUJARAT","GANDHINAGAR",32,2,1,0,0,0,0,0,35
"GUJARAT","JAMNAGAR",82246,689,198,94,20,18,6,0,83271
"GUJARAT","JUNAGADH",131248,617,762,386,330,266,215,288,134112
"GUJARAT","KACHCHH",30448,3,17,6,10,11,14,17,30526
"GUJARAT","KHEDA",13695,677,345,242,177,158,235,273,15802
"GUJARAT","MEHSANA",7386,95,69,38,51,67,88,29,7823
"GUJARAT","NARMADA",629,171,141,146,567,471,421,226,2772
"GUJARAT","NAVSARI",6453,1616,2481,1575,439,146,44,51,12805
"GUJARAT","PANCHMAHAL",20777,3782,6052,4917,3280,1403,1740,2486,44437
"GUJARAT","PATAN",53,4,4,8,5,7,9,2,92
"GUJARAT","PORBANDAR",20504,198,1208,293,37,26,24,17,22307
"GUJARAT","RAJKOT",82378,9198,3909,3624,2091,896,796,792,103684
"GUJARAT","SABARKANTHA",61078,6321,7769,2838,1629,1633,1395,1824,84487
"GUJARAT","SURAT",12967,1525,1407,1149,1136,860,1391,715,21150
"GUJARAT","SURENDRANAGAR",26815,4105,3431,827,527,257,290,863,37115
"GUJARAT","VADODARA",12776,1659,1782,1471,1034,563,453,367,20105
"GUJARAT","VALSAD",4914,378,568,697,684,702,469,897,9309
"HARYANA","AMBALA",303,1,7,2,3,18,13,0,347
"HARYANA","BHIWANI",1606,320,246,255,213,193,115,107,3055
"HARYANA","FATEHABAD",13,11,4,7,9,8,10,5,67
"HARYANA","GURGAON",5002,47,80,24,17,14,6,596,5786
"HARYANA","HISSAR",7,4,2,9,20,29,15,21,107
"HARYANA","JHAJJAR",808,265,139,159,82,112,117,72,1754
"HARYANA","KAITHAL",294,117,143,81,68,36,14,8,761
"HARYANA","KARNAL",1271,138,85,29,28,13,10,15,1589
"HARYANA","MAHENDRAGARH",580,8,2,2,8,4,8,3,615
"HARYANA","PANCHKULA",29,9,7,5,4,4,4,30,92
"HARYANA","PANIPAT",521,92,29,14,10,3,2,48,719
"HARYANA","REWARI",596,14,21,1,3,1,3,28,667
"HARYANA","ROHTAK",123,42,22,11,7,5,0,2,212
"HARYANA","SIRSA",277,136,81,87,76,34,47,27,765
"HARYANA","SONEPAT",819,195,176,201,121,59,40,50,1661
"HARYANA","YAMUNANAGAR",232,118,121,71,51,17,7,5,622
"HIMACHAL PRADESH","Bilaspur",22,0,11,1,0,1,0,0,35
"HIMACHAL PRADESH","Hamirpur",170,15,5,7,7,8,5,7,224
"HIMACHAL PRADESH","Kangra",161,9,18,18,25,18,4,3,256
"HIMACHAL PRADESH","Kullu",0,0,0,1,0,1,0,0,2
"HIMACHAL PRADESH","Mandi",4,2,1,0,0,1,2,0,10
"HIMACHAL PRADESH","Sirmaur",297,7,22,11,10,30,9,14,400
"HIMACHAL PRADESH","Solan",587,39,23,21,17,22,20,13,742
"HIMACHAL PRADESH","Una",201,1,2,3,1,12,5,2,227
"JAMMU & KASHMIR","ANANTNAG",1,0,1,0,0,0,0,0,2
"JAMMU & KASHMIR","BADGAM",1,0,0,0,0,0,0,0,1
"JAMMU & KASHMIR","BARAMULLA",29,0,0,0,0,0,0,0,29
"JAMMU & KASHMIR","JAMMU",750,57,149,124,116,95,32,41,1364
"JAMMU & KASHMIR","KATHUA",728,81,52,53,68,74,17,14,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",20,0,0,0,0,0,1,0,21
"JAMMU & KASHMIR","UDHAMPUR",13,0,0,0,0,0,0,0,13
"JHARKHAND","BOKARO",8576,1638,1280,987,339,278,156,135,13389
"JHARKHAND","CHATRA",9237,2049,1490,1323,749,415,152,130,15545
"JHARKHAND","DEOGHAR",10416,672,646,385,173,475,132,172,13071
"JHARKHAND","DHANBAD",5243,382,559,316,163,86,101,102,6952
"JHARKHAND","DUMKA",23472,1380,846,276,556,217,128,136,27011
"JHARKHAND","EAST SINGHBHUM",1158,165,272,64,35,48,12,0,1754
"JHARKHAND","GARHWA",13769,1662,1356,1171,692,531,332,390,19903
"JHARKHAND","GIRIDIH",16786,2153,1763,1040,803,616,499,634,24294
"JHARKHAND","GODDA",11097,2095,1777,1180,668,360,266,225,17668
"JHARKHAND","GUMLA",14995,2648,1620,1582,1247,919,268,199,23478
"JHARKHAND","HAZARIBAGH",29295,3039,2818,1955,1019,728,591,300,39745
"JHARKHAND","JAMTARA",7033,780,324,133,79,38,29,22,8438
"JHARKHAND","KODERMA",2195,534,395,310,209,123,53,47,3866
"JHARKHAND","LATEHAR",8950,792,702,576,377,410,243,358,12408
"JHARKHAND","LOHARDAGA",10101,935,786,472,407,437,290,128,13556
"JHARKHAND","PAKUR",403,29,18,19,11,1,3,6,490
"JHARKHAND","PALAMU",13177,1738,1218,1032,708,667,860,389,19789
"JHARKHAND","RANCHI",22978,3860,4050,2903,1936,2799,476,391,39393
"JHARKHAND","SAHEBGANJ",1048,167,92,134,123,43,50,27,1684
"JHARKHAND","SARAIKELA",1867,306,188,134,56,55,35,7,2648
"JHARKHAND","SIMDEGA",13116,773,760,838,468,267,117,63,16402
"JHARKHAND","WEST SINGHBHUM",1669,175,113,36,43,12,20,3,2071
"KARNATAKA","Bagalkote",7319,1435,757,554,461,372,280,453,11631
"KARNATAKA","Bangalore",491,99,49,38,9,9,4,29,728
"KARNATAKA","Bangalore Rural",6465,918,417,457,477,350,51,182,9317
"KARNATAKA","Belgaum",45762,6422,3167,3065,2081,1545,1104,2663,65809
"KARNATAKA","Bellary",1823,405,278,127,104,62,35,26,2860
"KARNATAKA","Bidar",11255,1458,899,626,373,451,293,588,15943
"KARNATAKA","Bijapur",26476,5597,3351,2796,1692,1296,905,998,43111
"KARNATAKA","Chamaraja Nagara",5316,545,405,365,221,154,73,249,7328
"KARNATAKA","Chikmagalur",499,168,119,112,192,98,52,60,1300
"KARNATAKA","Chitradurga",1413,165,103,167,78,45,17,326,2314
"KARNATAKA","Dakshina Kannada",23620,3521,2928,2863,1710,826,335,1122,36925
"KARNATAKA","Davanagere",400,31,37,67,66,62,64,60,787
"KARNATAKA","Dharwar",312,35,30,27,22,5,16,16,463
"KARNATAKA","Gadag",1872,88,55,34,22,28,22,80,2201
"KARNATAKA","Gulbarga",13705,1232,793,804,658,571,316,989,19068
"KARNATAKA","Hassan",1101,106,115,133,102,76,56,70,1759
"KARNATAKA","Haveri",135,55,8,17,3,41,1,3,263
"KARNATAKA","Kodagu",106,3,6,2,4,1,0,0,122
"KARNATAKA","Kolar",8829,660,658,425,210,112,54,248,11196
"KARNATAKA","Koppal",784,369,228,277,226,202,15,27,2128
"KARNATAKA","Mandya",5159,717,656,650,443,359,243,274,8501
"KARNATAKA","Mysore",1837,445,818,742,258,242,88,158,4588
"KARNATAKA","Raichur",4775,1030,1335,1328,762,466,144,132,9972
"KARNATAKA","Shimoga",2955,774,649,782,668,756,448,475,7507
"KARNATAKA","Tumkur",12082,1064,486,401,234,210,49,238,14764
"KARNATAKA","Udupi",21649,2479,1519,1113,604,501,315,432,28612
"KARNATAKA","Uttara Kannada",11133,1880,1533,1060,1036,894,490,760,18786
"KERALA","ALAPPUZHA",1345,499,775,538,455,386,421,292,4711
"KERALA","ERANAKULAM",10200,2213,1659,1223,987,648,495,177,17602
"KERALA","IDDUKKI",3500,510,445,298,262,274,235,247,5771
"KERALA","KANNUR",6355,1856,1882,1480,976,1174,1145,350,15218
"KERALA","KASARAGODE",2631,1198,1181,607,357,410,318,109,6811
"KERALA","KOLLAM",1132,417,1020,1073,565,887,693,316,6103
"KERALA","KOTTAYAM",5760,1127,893,738,574,730,593,396,10811
"KERALA","KOZHIKODE",4187,1775,1730,1430,937,1014,1071,488,12632
"KERALA","MALAPPURAM",7670,1137,907,710,730,559,449,264,12426
"KERALA","PALAKKAD",4141,663,844,574,741,949,569,436,8917
"KERALA","PATHANAMTHITTA",3235,800,596,502,337,465,423,276,6634
"KERALA","THIRUVANANTHAPURAM",4555,770,1407,1302,1053,1726,1423,922,13158
"KERALA","THRISSUR",34806,2429,2370,1725,1316,820,616,393,44475
"KERALA","WAYANAD",332,71,51,71,58,28,39,37,687
"MADHYA PRADESH","BALAGHAT",7188,1319,1429,816,809,643,400,177,12781
"MADHYA PRADESH","BARWANI",13497,1628,1217,880,635,250,164,184,18455
"MADHYA PRADESH","BETUL",40630,4469,3698,2210,1249,817,550,383,54006
"MADHYA PRADESH","BHIND",12257,894,656,317,332,174,209,343,15182
"MADHYA PRADESH","BHOPAL",5681,1363,801,1033,642,307,195,189,10211
"MADHYA PRADESH","CHHATARPUR",43669,2774,2036,1320,1077,975,1310,559,53720
"MADHYA PRADESH","CHHINDWARA",58992,5536,4259,3006,2192,1325,1048,1618,77976
"MADHYA PRADESH","DAMOH",8968,1160,1010,693,583,460,291,104,13269
"MADHYA PRADESH","DATIA",15252,1714,1308,673,420,270,183,172,19992
"MADHYA PRADESH","DEWAS",21462,3194,2655,1941,1958,1413,499,372,33494
"MADHYA PRADESH","DHAR",30692,2974,1508,831,684,341,183,191,37404
"MADHYA PRADESH","DINDORI",208,29,29,42,46,27,37,38,456
"MADHYA PRADESH","GUNA",17053,1860,2480,1829,1819,893,767,640,27341
"MADHYA PRADESH","GWALIOR",14151,897,784,591,501,452,229,306,17911
"MADHYA PRADESH","HARDA",9009,908,1010,691,813,319,168,149,13067
"MADHYA PRADESH","HOSHANGABAD",12365,2039,1749,1286,1011,876,817,1180,21323
"MADHYA PRADESH","INDORE",10077,655,452,290,359,291,300,283,12707
"MADHYA PRADESH","JABALPUR",5180,650,992,1013,1007,585,274,95,9796
"MADHYA PRADESH","JHABUA",16301,3273,2118,1291,780,588,401,279,25031
"MADHYA PRADESH","KATNI",6018,1029,1221,995,1007,769,467,488,11994
"MADHYA PRADESH","KHANDWA",41809,5894,5448,3095,2583,1549,735,1825,62938
"MADHYA PRADESH","KHARGONE",44838,4139,3484,2159,1225,733,490,362,57430
"MADHYA PRADESH","MANDLA",1639,277,284,132,171,112,16,57,2688
"MADHYA PRADESH","MANDSAUR",82296,6523,4193,1747,919,725,670,836,97909
"MADHYA PRADESH","MORENA",11941,955,733,364,282,203,178,152,14808
"MADHYA PRADESH","NARSINGHPUR",5859,2699,1668,669,450,280,200,76,11901
"MADHYA PRADESH","NEEMUCH",42810,1478,1042,685,502,359,404,256,47536
"MADHYA PRADESH","PANNA",4078,636,489,380,459,328,181,221,6772
"MADHYA PRADESH","RAISEN",5016,1160,1436,1112,1126,604,233,297,10984
"MADHYA PRADESH","RAJGARH",52580,4749,5133,3184,2013,1301,691,630,70281
"MADHYA PRADESH","RATLAM",37157,2986,1827,935,704,525,334,255,44723
"MADHYA PRADESH","REWA",6279,1427,1285,892,890,645,215,134,11767
"MADHYA PRADESH","SAGAR",29377,2966,2977,2606,2223,1724,1345,1445,44663
"MADHYA PRADESH","SATNA",10413,2220,2019,1521,1386,809,457,309,19134
"MADHYA PRADESH","SEHORE",15815,2327,2242,1618,4451,1013,618,221,28305
"MADHYA PRADESH","SEONI",15072,1624,1455,1236,1039,550,393,988,22357
"MADHYA PRADESH","SHAHDOL",2477,262,253,208,256,211,77,435,4179
"MADHYA PRADESH","SHAJAPUR",35488,2853,3341,3584,3443,1351,560,3291,53911
"MADHYA PRADESH","SHEOPUR",3616,143,191,80,60,43,36,7,4176
"MADHYA PRADESH","SHIVPURI",34804,2913,1923,1161,1578,545,307,178,43409
"MADHYA PRADESH","SIDHI",6004,1360,1413,1196,861,754,490,194,12272
"MADHYA PRADESH","TIKAMGARH",48855,3392,1966,1104,1011,1798,377,588,59091
"MADHYA PRADESH","UJJAIN",30800,3032,2768,1775,1081,542,507,366,40871
"MADHYA PRADESH","UMARIA",1272,228,217,233,190,132,73,37,2382
"MADHYA PRADESH","VIDISHA",7301,1418,1541,1290,1329,1359,894,971,16103
"MAHARASHTRA","AHMEDNAGAR",82254,17592,16838,13149,9875,6295,3599,2922,152524
"MAHARASHTRA","AKOLA",11079,2226,2081,1912,1178,882,634,374,20366
"MAHARASHTRA","AMRAVATI",55014,6811,3145,3504,1583,1248,927,929,73161
"MAHARASHTRA","AURANGABAD",48821,10374,7806,7310,5783,4388,2672,1137,88291
"MAHARASHTRA","BEED",17822,6441,2114,1641,1058,736,612,490,30914
"MAHARASHTRA","BHANDARA",9612,1648,1364,1078,784,664,549,278,15977
"MAHARASHTRA","BULDANA",48772,4493,3062,2112,1629,1298,1075,1956,64397
"MAHARASHTRA","CHANDRAPUR",6374,1285,1181,1047,1095,1011,917,505,13415
"MAHARASHTRA","DHULE",28274,4772,4730,3696,4588,2138,1337,1271,50806
"MAHARASHTRA","GADCHIROLI",4251,1026,1339,1176,1220,782,786,585,11165
"MAHARASHTRA","GONDIYA",3523,913,878,822,815,689,652,573,8865
"MAHARASHTRA","HINGOLI",12587,2534,1864,1614,963,550,346,197,20655
"MAHARASHTRA","JALGAON",64879,9226,8815,7421,6793,5198,3546,3590,109468
"MAHARASHTRA","JALNA",28821,5467,4238,3570,3338,2678,1616,633,50361
"MAHARASHTRA","KOLHAPUR",29847,3593,1970,2100,1631,723,789,526,41179
"MAHARASHTRA","LATUR",13392,4298,3608,2116,1638,1531,981,380,27944
"MAHARASHTRA","NAGPUR",39783,5382,3148,3250,2849,3266,1877,4023,63578
"MAHARASHTRA","NANDED",18753,2730,2109,1826,1210,691,545,379,28243
"MAHARASHTRA","NANDURBAR",8843,1175,1743,1223,1979,762,829,800,17354
"MAHARASHTRA","NASHIK",62265,18505,20272,17587,25925,10954,4383,8313,168204
"MAHARASHTRA","OSMANABAD",25990,5231,4036,2731,1985,1418,835,476,42702
"MAHARASHTRA","PARBHANI",15828,3401,2728,2111,1634,994,620,229,27545
"MAHARASHTRA","PUNE",88014,8421,7499,4320,2942,2387,1741,1346,116670
"MAHARASHTRA","RAIGHAR",3885,212,172,113,77,81,54,28,4622
"MAHARASHTRA","RATNAGIRI",1977,287,129,72,94,68,92,38,2757
"MAHARASHTRA","SANGLI",62377,6897,7024,3661,4290,1686,2007,1649,89591
"MAHARASHTRA","SATARA",60228,4024,3177,3053,2353,1415,899,334,75483
"MAHARASHTRA","SINDHUDURGA",2521,388,332,287,331,344,247,424,4874
"MAHARASHTRA","SOLAPUR",75723,11559,11685,10213,8710,5862,4138,3471,131361
"MAHARASHTRA","THANE",3025,588,471,427,457,552,371,257,6148
"MAHARASHTRA","WARDHA",28461,3420,2775,2094,2299,2171,1275,1483,43978
"MAHARASHTRA","WASHIM",11340,2375,1878,1019,870,751,697,513,19443
"MAHARASHTRA","YAVATMAL",25059,2911,2516,2024,1837,1187,619,364,36517
"MANIPUR","IMPHAL WEST",0,0,0,1,0,1,0,1,3
"MEGHALAYA","JAINTIA HILLS",0,2,0,2,0,2,4,1,11
"NAGALAND","DIMAPUR",249,1,1,9,11,2,0,0,273
"NAGALAND","MOKOKCHUNG",9,1,0,0,0,0,0,0,10
"ORISSA","ANGUL",18446,3014,1469,1206,869,759,337,205,26305
"ORISSA","BALASORE",2382,272,107,78,62,74,17,23,3015
"ORISSA","BARGARH",14860,1544,549,597,567,526,297,121,19061
"ORISSA","BHADRAK",255,27,23,18,10,3,3,1,340
"ORISSA","BOLANGIR",43054,4903,3382,2509,1635,1462,657,180,57782
"ORISSA","BOUDH",7308,844,986,693,355,204,92,58,10540
"ORISSA","CUTTACK",10530,1164,996,532,415,421,214,142,14414
"ORISSA","DEOGARH",6250,472,206,335,91,83,52,55,7544
"ORISSA","DHENKANAL",9356,669,353,286,251,218,114,46,11293
"ORISSA","GAJAPATI",4300,109,96,64,33,19,2,1,4624
"ORISSA","GANJAM",26380,1032,677,324,269,258,1967,1796,32703
"ORISSA","JAGATSINGHPUR",485,217,162,109,110,32,8,4,1127
"ORISSA","JAJAPUR",1520,355,223,177,223,215,68,94,2875
"ORISSA","JHARSUGUDA",6195,248,240,167,96,68,29,17,7060
"ORISSA","KALAHANDI",10793,2240,1529,1211,935,664,370,138,17880
"ORISSA","KANDHAMAL",6314,729,514,310,281,111,49,43,8351
"ORISSA","KENDRAPARA",240,24,25,16,10,6,1,5,327
"ORISSA","KEONJHAR",18000,787,622,490,350,310,196,146,20901
"ORISSA","KHURDA",13903,466,242,70,90,95,76,34,14976
"ORISSA","KORAPUT",4612,276,217,163,147,75,60,27,5577
"ORISSA","MALKANAGIRI",1474,186,168,98,113,35,8,7,2089
"ORISSA","MAYURBHANJA",10061,1709,937,406,211,183,83,51,13641
"ORISSA","NAWARANGAPUR",8255,1234,549,282,339,285,296,84,11324
"ORISSA","NAYAGARH",14018,482,271,315,196,95,78,62,15517
"ORISSA","NUAPADA",8800,1768,1023,760,578,463,174,61,13627
"ORISSA","PURI",932,57,61,13,8,14,2,5,1092
"ORISSA","RAYAGADA",1880,77,75,49,24,9,5,2,2121
"ORISSA","SAMBALPUR",13148,1793,525,480,225,271,87,43,16572
"ORISSA","SONEPUR",9126,558,532,479,525,451,268,153,12092
"ORISSA","SUNDARGARH",18553,1520,1091,1129,650,370,198,98,23609
"PONDICHERRY","KARAIKAL",1,0,0,0,0,0,0,0,1
"PONDICHERRY","PONDICHERRY",67,1,1,0,2,0,6,0,77
"PUNJAB","BATHINDA",27,4,9,5,14,14,10,13,96
"PUNJAB","FATEHGARH SAHIB",64,4,0,1,0,0,0,0,69
"PUNJAB","GURDASPUR",109,0,0,1,2,1,0,2,115
"PUNJAB","HOSHIARPUR",404,33,17,13,18,13,7,17,522
"PUNJAB","LUDHIANA",92,0,0,0,0,0,0,0,92
"PUNJAB","MOGA",10,0,0,0,0,0,0,0,10
"PUNJAB","ROPAR",1492,59,64,41,28,29,27,9,1749
"PUNJAB","SANGRUR",222,16,7,10,3,1,4,15,278
"RAJASTHAN","AJMER",67209,1189,967,838,737,659,415,511,72525
"RAJASTHAN","ALWAR",56767,5320,4700,3075,1939,1394,690,749,74634
"RAJASTHAN","BANSWARA",6790,1261,740,439,375,431,325,286,10647
"RAJASTHAN","BARAN",16666,828,702,642,833,1039,771,560,22041
"RAJASTHAN","BARMER",9980,1711,1809,2434,1990,1591,941,690,21146
"RAJASTHAN","BHARATPUR",7127,278,238,196,100,114,107,47,8207
"RAJASTHAN","BHILWARA",103284,1903,1314,730,509,330,282,134,108486
"RAJASTHAN","BIKANER",358,241,326,310,455,308,192,163,2353
"RAJASTHAN","BUNDI",20040,901,792,512,413,325,308,165,23456
"RAJASTHAN","CHITTORGARH",75216,5425,4002,2964,1991,1223,693,381,91895
"RAJASTHAN","CHURU",1402,437,608,700,814,763,535,278,5537
"RAJASTHAN","DAUSA",34927,2334,1566,963,624,593,291,202,41500
"RAJASTHAN","DHOLPUR",3709,123,61,46,32,45,12,3,4031
"RAJASTHAN","DUNGARPUR",16181,713,352,284,209,117,144,44,18044
"RAJASTHAN","GANGANAGAR",73,16,12,11,26,8,4,15,165
"RAJASTHAN","HANUMANGARH",72,31,25,16,77,56,26,34,337
"RAJASTHAN","JAIPUR",104916,4449,3748,2758,1890,1598,1179,737,121275
"RAJASTHAN","JAISALMER",154,5,5,10,20,10,0,2,206
"RAJASTHAN","JALORE",39766,3302,3083,2636,1630,900,721,430,52468
"RAJASTHAN","JHALAWAR",44555,4257,4126,3285,3321,2064,1288,849,63745
"RAJASTHAN","JHUNJHUNU",23482,2887,2788,2264,2050,1624,1162,615,36872
"RAJASTHAN","JODHPUR",6613,172,229,124,155,37,33,30,7393
"RAJASTHAN","KAROLI",25432,1375,664,718,470,639,633,488,30419
"RAJASTHAN","KOTA",11504,1240,737,464,553,247,92,53,14890
"RAJASTHAN","NAGAUR",22745,2121,1744,1601,1288,994,611,582,31686
"RAJASTHAN","PALI",40992,1046,1023,813,626,381,265,85,45231
"RAJASTHAN","RAJSAMAND",46720,406,307,193,119,90,26,17,47878
"RAJASTHAN","SAWAI MADHOPUR",21965,3278,2390,1729,1294,929,582,396,32563
"RAJASTHAN","SIKAR",40754,3318,2857,2118,1433,880,755,737,52852
"RAJASTHAN","SIROHI",14725,996,728,556,480,357,254,66,18162
"RAJASTHAN","TONK",41511,2069,1349,1000,788,743,728,298,48486
