-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"BIHAR","LAKHISARAI",11,275,5,0,724,120,1135
"BIHAR","MADHEPURA",0,0,0,0,4,0,4
"BIHAR","MADHUBANI",0,62,5,0,34,20,121
"BIHAR","MUNGER",158,1927,10,2,1363,0,3460
"BIHAR","MUZAFFARPUR",0,64,4,0,40,0,108
"BIHAR","NALANDA",3039,17025,173,75,387,31,20730
"BIHAR","NAWADA",334,1173,1728,192,1902,134,5463
"BIHAR","PATNA",374,3553,106,7,665,266,4971
"BIHAR","ROHTAS(SASARAM)",2046,4231,20,0,306,36,6639
"BIHAR","SARAN",39,1702,151,5,10008,76,11981
"BIHAR","SHEKHPURA",12,465,5,0,127,10,619
"BIHAR","SIWAN",0,4,1,0,14267,0,14272
"BIHAR","VAISHALI",106,814,11,22,70,0,1023
"CHHATTISGARH","BASTER",234,766,91,0,2175,697,3963
"CHHATTISGARH","BILASPUR",9566,269,13,0,399,31,10278
"CHHATTISGARH","DANTEWADA",62,368,2,0,80,161,673
"CHHATTISGARH","DHAMTARI",2243,949,15,1,2157,454,5819
"CHHATTISGARH","DURG",2840,2204,19,3,2598,952,8616
"CHHATTISGARH","JANJGIR-CHAMPA",11914,356,128,1,752,97,13248
"CHHATTISGARH","JASHPUR",18320,910,46,8,6921,169,26374
"CHHATTISGARH","KANKER",1022,1004,10,1,3192,2267,7496
"CHHATTISGARH","KORBA",5189,355,7,0,1363,76,6990
"CHHATTISGARH","KORIA",13300,108,25,2,5051,40,18526
"CHHATTISGARH","KVARDHA",538,129,10,1,69,928,1675
"CHHATTISGARH","MAHASAMUND",824,1953,25,1,1509,928,5240
"CHHATTISGARH","RAIGARH",12449,596,38,8,2746,1132,16969
"CHHATTISGARH","RAIPUR",3072,2530,51,8,8335,1856,15852
"CHHATTISGARH","RAJNANDGAON",2003,1178,163,18,2466,1630,7458
"CHHATTISGARH","SURGUJA",32800,1771,253,56,20605,321,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",325,247,0,0,0,0,572
"GOA","NORTH GOA",1731,146,2,1,1162,706,3748
"GOA","SOUTH GOA",935,87,0,0,238,108,1368
"GUJARAT","AHMEDABAD",4977,6272,100,19,197,1849,13414
"GUJARAT","AMRELI",4988,75728,139,4,0,0,80859
"GUJARAT","ANAND",1317,248,0,0,1,435,2001
"GUJARAT","BANASKANTHA",29861,14047,180,10,3335,3508,50941
"GUJARAT","BHARUCH",2941,996,15,5,992,14,4963
"GUJARAT","BHAVNAGAR",53216,62848,1782,4,161,24,118035
"GUJARAT","DAHOD",75,31721,284,6,1183,751,34020
"GUJARAT","DANG",23,1322,1,0,166,23,1535
"GUJARAT","GANDHINAGAR",0,32,3,0,0,0,35
"GUJARAT","JAMNAGAR",67084,16187,0,0,0,0,83271
"GUJARAT","JUNAGADH",82120,51448,389,1,152,2,134112
"GUJARAT","KACHCHH",15462,8534,32,4,5964,530,30526
"GUJARAT","KHEDA",7204,8340,32,5,70,151,15802
"GUJARAT","MEHSANA",6684,1002,27,23,51,36,7823
"GUJARAT","NARMADA",820,1663,24,2,231,32,2772
"GUJARAT","NAVSARI",7450,4094,54,2,995,210,12805
"GUJARAT","PANCHMAHAL",3722,37967,167,12,344,2225,44437
"GUJARAT","PATAN",70,8,0,0,14,0,92
"GUJARAT","PORBANDAR",9770,12202,39,0,24,272,22307
"GUJARAT","RAJKOT",47328,54602,522,44,12,1176,103684
"GUJARAT","SABARKANTHA",53002,28549,716,12,1058,1150,84487
"GUJARAT","SURAT",11605,9394,106,2,41,2,21150
"GUJARAT","SURENDRANAGAR",9017,22906,375,28,2167,2622,37115
"GUJARAT","VADODARA",7048,12857,18,0,107,75,20105
"GUJARAT","VALSAD",4220,3792,20,9,169,1099,9309
"HARYANA","AMBALA",216,128,1,1,0,1,347
"HARYANA","BHIWANI",1806,1216,6,1,1,25,3055
"HARYANA","FATEHABAD",25,42,0,0,0,0,67
"HARYANA","GURGAON",1748,560,5,4,26,3443,5786
"HARYANA","HISSAR",2,104,0,1,0,0,107
"HARYANA","JHAJJAR",206,1282,7,0,62,197,1754
"HARYANA","KAITHAL",548,178,12,0,2,21,761
"HARYANA","KARNAL",1392,16,0,2,131,48,1589
"HARYANA","MAHENDRAGARH",597,7,0,0,0,11,615
"HARYANA","PANCHKULA",25,34,0,0,1,32,92
"HARYANA","PANIPAT",665,14,6,0,17,17,719
"HARYANA","REWARI",426,84,0,0,5,152,667
"HARYANA","ROHTAK",14,171,11,0,15,1,212
"HARYANA","SIRSA",240,521,1,0,0,3,765
"HARYANA","SONEPAT",549,1056,10,0,30,16,1661
"HARYANA","YAMUNANAGAR",421,197,0,0,1,3,622
"HIMACHAL PRADESH","Bilaspur",27,7,0,0,0,1,35
"HIMACHAL PRADESH","Hamirpur",113,20,0,0,80,11,224
"HIMACHAL PRADESH","Kangra",143,12,4,0,97,0,256
"HIMACHAL PRADESH","Kullu",2,0,0,0,0,0,2
"HIMACHAL PRADESH","Mandi",6,2,0,0,0,2,10
"HIMACHAL PRADESH","Sirmaur",368,29,1,0,0,2,400
"HIMACHAL PRADESH","Solan",522,219,1,0,0,0,742
"HIMACHAL PRADESH","Una",153,68,1,0,5,0,227
"JAMMU & KASHMIR","ANANTNAG",1,0,0,0,1,0,2
"JAMMU & KASHMIR","BADGAM",0,0,0,0,1,0,1
"JAMMU & KASHMIR","BARAMULLA",2,1,0,0,1,25,29
"JAMMU & KASHMIR","JAMMU",1251,106,0,1,4,2,1364
"JAMMU & KASHMIR","KATHUA",1027,58,1,0,1,0,1087
"JAMMU & KASHMIR","RAJOURI",0,1,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",1,0,0,0,19,1,21
"JAMMU & KASHMIR","UDHAMPUR",1,12,0,0,0,0,13
"JHARKHAND","BOKARO",185,2409,20,19,10755,1,13389
"JHARKHAND","CHATRA",179,8142,59,26,7132,7,15545
"JHARKHAND","DEOGHAR",22,10636,54,3,2356,0,13071
"JHARKHAND","DHANBAD",649,1675,28,0,4600,0,6952
"JHARKHAND","DUMKA",73,12353,66,4,14510,5,27011
"JHARKHAND","EAST SINGHBHUM",206,1015,0,0,533,0,1754
"JHARKHAND","GARHWA",742,11315,76,2,7763,5,19903
"JHARKHAND","GIRIDIH",86,8915,92,10,15183,8,24294
"JHARKHAND","GODDA",132,5754,50,8,11724,0,17668
"JHARKHAND","GUMLA",18,2629,11,16,20766,38,23478
"JHARKHAND","HAZARIBAGH",174,16878,86,28,20716,1863,39745
"JHARKHAND","JAMTARA",12,7139,37,0,1250,0,8438
"JHARKHAND","KODERMA",15,1903,8,17,1923,0,3866
"JHARKHAND","LATEHAR",85,6011,18,80,6214,0,12408
"JHARKHAND","LOHARDAGA",55,8085,71,11,5252,82,13556
"JHARKHAND","PAKUR",0,132,1,2,354,1,490
"JHARKHAND","PALAMU",918,10895,142,51,7729,54,19789
"JHARKHAND","RANCHI",126,26405,162,3,12547,150,39393
"JHARKHAND","SAHEBGANJ",2,733,11,1,937,0,1684
"JHARKHAND","SARAIKELA",5,495,10,7,2130,1,2648
"JHARKHAND","SIMDEGA",18,2972,59,5,13336,12,16402
"JHARKHAND","WEST SINGHBHUM",1,167,2,2,1897,2,2071
"KARNATAKA","Bagalkote",11196,19,258,21,14,123,11631
"KARNATAKA","Bangalore",526,35,8,2,1,156,728
"KARNATAKA","Bangalore Rural",8251,201,138,14,177,536,9317
"KARNATAKA","Belgaum",61344,2319,583,177,198,1188,65809
"KARNATAKA","Bellary",2569,84,163,1,7,36,2860
"KARNATAKA","Bidar",15604,67,106,23,32,111,15943
"KARNATAKA","Bijapur",41837,485,194,71,18,506,43111
"KARNATAKA","Chamaraja Nagara",7189,35,41,12,34,17,7328
"KARNATAKA","Chikmagalur",784,468,25,0,4,19,1300
"KARNATAKA","Chitradurga",2022,60,15,1,44,172,2314
"KARNATAKA","Dakshina Kannada",19605,14317,245,11,346,2401,36925
"KARNATAKA","Davanagere",621,138,11,2,5,10,787
"KARNATAKA","Dharwar",384,69,0,0,1,9,463
"KARNATAKA","Gadag",2070,14,38,3,6,70,2201
"KARNATAKA","Gulbarga",15644,2253,182,22,120,847,19068
"KARNATAKA","Hassan",1060,502,22,1,20,154,1759
"KARNATAKA","Haveri",134,24,3,0,5,97,263
"KARNATAKA","Kodagu",32,85,0,0,0,5,122
"KARNATAKA","Kolar",9868,236,183,10,257,642,11196
