-----
{
 "description": "The table refers to Block wise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.14.csv", 
 "title": "Download CSV for Blockwise Dugwells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Location of Tubewell (Nos) - Inside Command,Location of Tubewell (Nos) - Outside Command,Total,Supplementary Irrigation (Ha) - Kharif,Supplementary Irrigation (Ha) - Rabi,Supplementary Irrigation (Ha) - Perennial,Supplementary Irrigation (Ha) - Others,Total
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,0,1661,1661,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,0,793,793,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,21,700,721,4,7,7,0,18
ANDHRA PRADESH,ANANTHAPUR,GOOTY,0,486,486,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,0,1218,1218,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,0,644,644,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,5,707,712,3,3,0,0,6
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,0,534,534,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,0,945,945,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KADIRI,1,631,632,2,4,0,0,6
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,0,1054,1054,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,2,823,825,3,2,0,0,4
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,1,919,920,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,0,186,186,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,0,1440,1440,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,0,811,811,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,0,1012,1012,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,0,594,594,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,0,1496,1496,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,1270,1270,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,539,539,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,0,1028,1028,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,0,983,983,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,NARPALA,211,1628,1839,352,0,40,0,392
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,13,1131,1144,5,0,0,0,5
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,0,368,368,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PARIGI,0,730,730,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,0,377,377,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,0,29,29,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,0,1241,1241,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,149,1528,1677,51,59,18,0,128
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,827,827,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,0,534,534,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,0,624,624,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1,719,720,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,RODDAM,0,809,809,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,842,842,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SETTUR,0,712,712,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,115,1012,1127,119,35,83,0,237
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,0,733,733,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,1084,1084,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,0,796,796,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,0,1229,1229,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,0,1119,1119,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,0,573,573,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,312,312,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,50,147,197,113,3,0,0,116
ANDHRA PRADESH,ANANTHAPUR,YADIKI,0,527,527,0,0,0,0,0
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,1051,1051,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,0,584,584,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,0,3043,3043,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,3443,3443,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,0,592,592,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,2766,2766,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,1469,1469,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHITTOOR,0,2571,2571,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,0,1659,1659,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,4108,4108,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,0,2195,2195,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,916,916,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,2595,2595,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,1709,1709,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,0,2756,2756,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,K V P PURAM,0,1224,1224,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,1879,1879,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,1359,1359,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,2655,2655,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,2230,2230,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,2533,2533,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,983,983,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,1073,1073,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,872,872,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,965,965,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGARI,0,1638,1638,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,823,823,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,1019,1019,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NINDRA,0,1340,1340,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,2270,2270,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,2007,2007,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,1730,1730,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,0,1769,1769,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,1003,1003,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,1255,1255,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,2550,2550,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,1101,1101,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,0,1664,1664,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,1489,1489,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,1654,1654,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,2997,2997,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTTUR,0,1791,1791,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,0,1865,1865,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,0,2016,2016,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,1524,1524,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,1227,1227,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,945,945,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,1088,1088,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,0,1518,1518,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SODAM,0,2565,2565,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SOMALA,0,2085,2085,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,0,1612,1612,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,2041,2041,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,1059,1059,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,3146,3146,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,0,1420,1420,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,1935,1935,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,199,199,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,0,1873,1873,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,0,807,807,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,1283,1283,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,3192,3192,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,0,2665,2665,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,0,1564,1564,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,2446,2446,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,1570,1570,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,699,699,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,715,715,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,1137,1137,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,B KODUR,0,700,700,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,673,673,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,0,836,836,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,0,1169,1169,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHAPAD,119,172,291,188,0,0,0,188
ANDHRA PRADESH,CUDDAPAH,CHENNUR,49,78,127,99,1,0,0,100
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,0,1569,1569,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,0,1025,1025,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,561,561,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,25,186,211,46,39,0,0,85
ANDHRA PRADESH,CUDDAPAH,DUVVUR,0,926,926,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,2276,2276,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,0,530,530,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,7,297,304,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,616,616,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,0,512,512,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,12,575,587,15,0,0,0,15
ANDHRA PRADESH,CUDDAPAH,KODUR,0,1247,1247,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,65,65,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,1589,1589,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LINGALA,0,730,730,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,439,439,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,573,573,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,598,598,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,1312,1312,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,134,134,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,264,264,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,0,360,360,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,0,1708,1708,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,18,79,97,37,0,0,0,37
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,0,582,582,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,1283,1283,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,1404,1404,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,0,77,77,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,940,940,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,1894,1894,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,20,1261,1281,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,1794,1794,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,700,700,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,0,658,658,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,169,1348,1517,116,77,0,0,192
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,572,572,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,521,521,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,1086,1086,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,496,496,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,610,610,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEMULA,0,694,694,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,1573,1573,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,220,220,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,1,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,7,7,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,16,16,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,6,92,98,24,0,0,0,24
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,120,120,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KARAPA,2,0,2,6,6,0,0,12
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,131,131,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,127,55,182,279,0,0,0,279
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,40,40,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,2,2,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,15,11,26,15,1,0,1,17
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,106,106,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,169,169,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,11,11,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,16,16,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,92,141,233,466,418,6,0,890
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,338,338,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,12,7,19,14,14,0,0,28
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,15,60,75,28,4,0,0,32
ANDHRA PRADESH,EAST GODAVARI,TUNI,0,612,612,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,0,3,3,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,ACHAMPETA,474,74,548,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,AMARAVATHI,549,199,748,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,4,4,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BAPATLA,1,3105,3106,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,0,274,274,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,32,32,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,0,787,787,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,0,1114,1114,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,0,468,468,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,40,40,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,EDLAPADU,224,50,274,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,GUNTUR,1,41,42,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,GURAZALA,11,2,13,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,IPURU,73,77,150,4,0,0,0,4
ANDHRA PRADESH,GUNTUR,KAREMPUDI,7,19,26,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KARLAPALEM,3,1486,1489,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,KROSURU,316,13,329,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MACHAVARAM,30,28,58,10,0,0,0,10
ANDHRA PRADESH,GUNTUR,MACHERLA,13,146,159,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,249,249,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,4,49,53,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,MUPPALLA,165,31,196,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NADENDLA,1,133,134,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NAGARAM,0,308,308,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,24,36,60,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,314,2,316,449,111,0,0,560
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,1,132,133,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NUZENDLA,8,68,76,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,3,68,71,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,64,233,297,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,28,42,70,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,0,55,55,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,0,750,750,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,PRATHIPADU,0,14,14,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,170,6,176,0,0,0,0,0
