-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.4.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.4.csv"
}
-----
State,District,Scheduled caste,Scheduled tribe,Other social status of farmers,Total,Owned by other than individual farmers,Total
JAMMU & KASHMIR,Srinagar,0,0,1,1,5,6
KARNATAKA,BANGALORE RURAL,495,300,6747,7542,37,7579
KARNATAKA,BANGALORE URBAN,148,37,2153,2338,0,2338
KARNATAKA,BELGAUM,198,81,4810,5089,1,5090
KARNATAKA,BELLARY,161,193,1123,1477,28,1505
KARNATAKA,BIDAR,21,4,254,279,25,304
KARNATAKA,BIJAPUR,279,42,1932,2253,1,2254
KARNATAKA,CHIKKAMAGALORE,119,43,2775,2937,4,2941
KARNATAKA,CHITRADURGA,959,958,7683,9600,10,9610
KARNATAKA,DAKSHINA KANNADA,2,11,516,529,1,530
KARNATAKA,DHARWAR,531,309,6791,7631,2,7633
KARNATAKA,GULBARGA,118,28,549,695,12,707
KARNATAKA,HASSAN,423,242,9940,10605,18,10623
KARNATAKA,KODAGU,1,0,10,11,0,11
KARNATAKA,KOLAR,613,307,5961,6881,21,6902
KARNATAKA,MANDYA,144,10,953,1107,4,1111
KARNATAKA,MYSORE,237,28,2411,2676,29,2705
KARNATAKA,RAICHUR,277,307,3131,3715,1,3716
KARNATAKA,SHIMOGA,467,123,3181,3771,14,3785
KARNATAKA,TUMKUR,519,547,9045,10111,2,10113
KARNATAKA,UTTARA KANNADA,3,2,133,138,1,139
KERALA,ALAPUZHA,10,6,465,481,0,481
KERALA,ERANAKULAM,0,0,103,103,25,128
KERALA,IDUKKI,0,0,1,1,1,2
KERALA,KANNUR,0,0,2,2,1,3
KERALA,KASARAGODE,3,1,29,33,17,50
KERALA,KOLLAM,0,0,67,67,0,67
KERALA,KOTTAYAM,0,0,13,13,1,14
KERALA,KOZHIKODE,0,0,1,1,0,1
KERALA,MALAPPURAM,0,4,178,182,2,184
KERALA,PALAKKAD,4,1,183,188,1,189
KERALA,PATHANAMTHITTA,0,0,43,43,1,44
KERALA,THIRUVANANTHAPURAM,0,0,186,186,7,193
KERALA,THRISSUR,35,0,969,1004,4,1008
MADHYA PRADESH,BALAGHAT,2,0,66,68,9,77
MADHYA PRADESH,BASTAR,0,5,28,33,0,33
MADHYA PRADESH,BETUL,28,28,514,570,2,572
MADHYA PRADESH,BHIND,2,1,443,446,19,465
MADHYA PRADESH,BHOPAL,161,32,2753,2946,6,2952
MADHYA PRADESH,BILASPUR,105,229,1475,1809,31,1840
MADHYA PRADESH,CHHATARPUR,52,11,219,282,0,282
MADHYA PRADESH,CHHINDWARA,19,112,451,582,4,586
MADHYA PRADESH,DAMOH,184,20,2500,2704,6,2710
MADHYA PRADESH,DEWAS,348,69,6128,6545,17,6562
MADHYA PRADESH,DHAR,544,1187,13057,14788,8,14796
MADHYA PRADESH,DURG,358,190,4871,5419,110,5529
MADHYA PRADESH,GUNA,103,52,1733,1888,52,1940
MADHYA PRADESH,GWALIOR,48,6,585,639,23,662
MADHYA PRADESH,HOSHANGABAD,56,31,2430,2517,12,2529
MADHYA PRADESH,INDORE,878,283,16312,17473,93,17566
MADHYA PRADESH,JABALPUR,24,30,1191,1245,16,1261
MADHYA PRADESH,JHABUA,0,47,31,78,0,78
MADHYA PRADESH,KHANDWA,2,1,59,62,0,62
MADHYA PRADESH,KHARGONE,65,162,600,827,2,829
MADHYA PRADESH,MANDLA,1,16,34,51,0,51
MADHYA PRADESH,MANDSAUR,8,9,382,399,3,402
MADHYA PRADESH,MORENA,142,18,1701,1861,52,1913
MADHYA PRADESH,NARSIMHAPUR,229,106,5314,5649,29,5678
MADHYA PRADESH,PANNA,8,2,136,146,0,146
MADHYA PRADESH,RAIGARH,35,56,1417,1508,219,1727
MADHYA PRADESH,RAIPUR,173,147,3588,3908,12,3920
MADHYA PRADESH,RAISEN,146,142,5260,5548,17,5565
MADHYA PRADESH,RAJGARH,68,18,1059,1145,0,1145
MADHYA PRADESH,RAJNANDGAON,2,6,168,176,54,230
MADHYA PRADESH,RATLAM,309,289,3467,4065,2,4067
MADHYA PRADESH,REWA,42,1,1109,1152,18,1170
MADHYA PRADESH,SAGAR,64,23,1458,1545,9,1554
MADHYA PRADESH,SATNA,97,10,2477,2584,13,2597
MADHYA PRADESH,SEHORE,535,37,5060,5632,12,5644
MADHYA PRADESH,SEONI,6,9,25,40,0,40
MADHYA PRADESH,SHAHDOL,1,5,50,56,9,65
MADHYA PRADESH,SHAJAPUR,0,0,3098,3098,9,3107
MADHYA PRADESH,SHIVPURI,8,2,213,223,14,237
MADHYA PRADESH,SIDHI,0,3,217,220,114,334
MADHYA PRADESH,SURGUJA,0,0,18,18,0,18
MADHYA PRADESH,TIKAMGARH,71,15,801,887,10,897
MADHYA PRADESH,UJJAIN,0,0,16986,16986,106,17092
MADHYA PRADESH,VIDISHA,55,11,2502,2568,6,2574
MANIPUR,BISHNUPUR,0,0,0,0,3,3
MANIPUR,CHURACHANDPUR,0,0,0,0,2,2
MANIPUR,IMPHAL,0,0,0,0,9,9
MANIPUR,SENAPATI,0,0,0,0,3,3
MANIPUR,THOUBAL,0,0,0,0,19,19
MEGHALAYA,WEST GARO HILLS,0,108,1,109,0,109
MEGHALAYA,WEST KHASI HILLS,0,0,0,0,1,1
NAGALAND,KOHIMA,0,6,0,6,0,6
ORISSA,ANGUL,0,0,2,2,0,2
ORISSA,BALASORE,1226,172,5487,6885,4,6889
ORISSA,BARAGARH,6,8,173,187,3,190
ORISSA,BHADRAK,231,18,998,1247,9,1256
ORISSA,BOLANGIR,0,0,16,16,1,17
ORISSA,CUTTACK,392,2,1258,1652,61,1713
ORISSA,GAJAPATI,3,0,82,85,2,87
ORISSA,GANJAM,61,2,414,477,422,899
ORISSA,JAGATSINGHPUR,336,4,1017,1357,219,1576
ORISSA,JAJPUR,342,3,710,1055,270,1325
ORISSA,JHARSUGUDA,0,4,5,9,0,9
ORISSA,KALAHANDI,0,1,9,10,0,10
ORISSA,KENDRAPARA,120,7,371,498,87,585
ORISSA,KEONJHAR,10,4,14,28,94,122
ORISSA,KHURDA,61,8,271,340,15,355
ORISSA,KORAPUT,0,0,1,1,1,2
ORISSA,MAYURBHANJ,5,15,126,146,111,257
ORISSA,NAYAGARH,11,1,205,217,30,247
ORISSA,NUAPADA,0,0,3,3,1,4
ORISSA,PURI,332,32,1836,2200,24,2224
ORISSA,RAYAGADA,3,2,43,48,271,319
ORISSA,SAMBALPUR,0,0,2,2,0,2
ORISSA,SONEPUR,0,0,2,2,0,2
ORISSA,SUNDARGARH,0,0,3,3,0,3
PUNJAB,AMRITSAR,1546,714,93299,95559,70,95629
PUNJAB,BATHINDA,437,126,31645,32208,4,32212
PUNJAB,FARIDKOT,2406,1062,99839,103307,11,103318
PUNJAB,FATEHGARH SAHIB,1040,251,23443,24734,14,24748
PUNJAB,FEROZEPUR,2544,2435,92816,97795,10,97805
PUNJAB,GURDASPUR,1849,641,57506,59996,58,60054
PUNJAB,HOSHIARPUR,2506,973,47787,51266,44,51310
PUNJAB,JALANDHAR,5636,1200,82103,88939,82,89021
PUNJAB,KAPURTHALA,2667,566,36792,40025,45,40070
PUNJAB,LUDHIANA,3311,703,100819,104833,145,104978
PUNJAB,MANSA,779,408,32000,33187,224,33411
PUNJAB,PATIALA,2416,435,73330,76181,67,76248
PUNJAB,ROPAR,1128,256,22479,23863,31,23894
PUNJAB,SANGRUR,3795,1012,106488,111295,216,111511
RAJASTHAN,AJMER,0,0,0,0,1,1
RAJASTHAN,ALWAR,1555,2587,13615,17757,52,17809
RAJASTHAN,BANSWARA,0,1,11,12,1,13
RAJASTHAN,BARAN,159,316,1563,2038,31,2069
RAJASTHAN,BHARATPUR,1973,2454,25077,29504,85,29589
RAJASTHAN,BHILWARA,0,0,15,15,0,15
RAJASTHAN,BIKANER,0,0,20,20,0,20
RAJASTHAN,BUNDI,9,12,71,92,0,92
RAJASTHAN,CHITTORGARH,16,15,389,420,3,423
RAJASTHAN,CHURU,11,0,77,88,2,90
RAJASTHAN,DAUSA,415,1368,1583,3366,24,3390
RAJASTHAN,DHOLPUR,660,233,3193,4086,16,4102
RAJASTHAN,DUNGARPUR,0,2,16,18,3,21
RAJASTHAN,JAIPUR,1,0,22,23,0,23
RAJASTHAN,JAISALMER,0,0,18,18,0,18
RAJASTHAN,JALORE,1,16,48,65,9,74
RAJASTHAN,JHALAWAR,0,7,62,69,0,69
RAJASTHAN,JODHPUR,14,5,245,264,4,268
RAJASTHAN,KOTA,155,347,1409,1911,5,1916
RAJASTHAN,NAGAUR,62,43,416,521,3,524
RAJASTHAN,PALI,10,0,124,134,2,136
RAJASTHAN,RAJSAMAND,0,0,7,7,0,7
RAJASTHAN,SAWAI-MADHOPUR,305,559,1513,2377,21,2398
RAJASTHAN,SIROHI,0,0,1,1,0,1
RAJASTHAN,TONK,0,0,5,5,0,5
RAJASTHAN,UDAIPUR,2,0,24,26,0,26
TAMIL NADU,COIMBATORE,24,0,748,772,1,773
TAMIL NADU,CUDDALORE,1205,135,20254,21594,8,21602
TAMIL NADU,DHARMAPURI,4,0,73,77,0,77
TAMIL NADU,DINDIGUL,0,0,43,43,299,342
TAMIL NADU,ERODE,0,0,180,180,0,180
TAMIL NADU,KANCHIPURAM,481,9,3308,3798,40,3838
TAMIL NADU,KANNIYAKUMARI,14,0,41,55,0,55
TAMIL NADU,KARUR,20,23,258,301,0,301
TAMIL NADU,MADURAI,1,0,48,49,0,49
TAMIL NADU,NAGAPATTINAM,316,51,1877,2244,1,2245
TAMIL NADU,NAMAKKAL,21,0,15,36,0,36
TAMIL NADU,PERAMBALUR,99,13,3154,3266,43,3309
TAMIL NADU,PUDUKOTTAI,41,0,549,590,6,596
TAMIL NADU,RAMNATHAPURAM,27,0,252,279,12,291
TAMIL NADU,SALEM,15,18,114,147,0,147
TAMIL NADU,SIVAGANGA,1,0,37,38,0,38
TAMIL NADU,THANJAVUR,911,136,17444,18491,412,18903
TAMIL NADU,THENI,18,1,374,393,2,395
TAMIL NADU,TIRUNELVELI,2,0,30,32,6,38
TAMIL NADU,TIRUVALLUR,421,15,4733,5169,10,5179
TAMIL NADU,TIRUVARUR,693,96,10524,11313,0,11313
TAMIL NADU,TRICHIRAPPALLI,63,248,437,748,1,749
TAMIL NADU,VILLUPURAM,770,96,4998,5864,1,5865
TRIPURA,DHALAI,15,15,25,55,3,58
TRIPURA,NORTH,0,0,5,5,0,5
TRIPURA,SOUTH,4,3,29,36,23,59
TRIPURA,WEST,4,0,8,12,2,14
UTTAR PRADESH,AGRA,3024,197,32128,35349,0,35349
UTTAR PRADESH,ALIGARH,5196,758,43156,49110,15,49125
UTTAR PRADESH,ALLAHABAD,2605,399,24719,27723,2,27725
UTTAR PRADESH,AMBEDKAR NAGAR,3821,1975,29835,35631,0,35631
UTTAR PRADESH,AZAMGARH,4081,326,24131,28538,5,28543
UTTAR PRADESH,BADAUN,6433,422,47223,54078,48,54126
UTTAR PRADESH,BAHRAICH,7984,752,44246,52982,0,52982
UTTAR PRADESH,BALLIA,1552,172,21763,23487,14,23501
UTTAR PRADESH,BANDA,446,11,5702,6159,3,6162
UTTAR PRADESH,BARABANKI,9166,217,23858,33241,2,33243
UTTAR PRADESH,BAREILLY,6226,644,41738,48608,6,48614
UTTAR PRADESH,BASTI,5254,1036,39961,46251,0,46251
UTTAR PRADESH,BIJNOR,7330,994,52560,60884,27,60911
UTTAR PRADESH,BULANDSHAHR,4629,563,39843,45035,0,45035
UTTAR PRADESH,DEHRADUN,4,12,436,452,6,458
UTTAR PRADESH,DEORIA,2027,620,32462,35109,1,35110
UTTAR PRADESH,ETAH,3688,677,37613,41978,19,41997
UTTAR PRADESH,ETAWAH,4364,312,25012,29688,45,29733
UTTAR PRADESH,FAIZABAD,3444,192,27045,30681,0,30681
UTTAR PRADESH,FARUKHABAD,4425,424,45095,49944,15,49959
UTTAR PRADESH,FATEHPUR,956,85,11468,12509,5,12514
UTTAR PRADESH,FIROZABAD,2195,192,18002,20389,1,20390
UTTAR PRADESH,GHAZIABAD,2366,266,28551,31183,4,31187
UTTAR PRADESH,GHAZIPUR,2350,349,17358,20057,68,20125
UTTAR PRADESH,GONDA,6323,389,44778,51490,0,51490
UTTAR PRADESH,GORAKHPUR,4893,243,41148,46284,0,46284
UTTAR PRADESH,HAMIRPUR,705,102,6664,7471,1,7472
UTTAR PRADESH,HARDOI,12464,592,30402,43458,2,43460
UTTAR PRADESH,HARDWAR,3534,97,19697,23328,2,23330
UTTAR PRADESH,JALAUN,908,23,4351,5282,1,5283
UTTAR PRADESH,JAUNPUR,5973,494,49553,56020,5,56025
UTTAR PRADESH,JHANSI,243,8,841,1092,5,1097
UTTAR PRADESH,KANPUR DEHAT,1698,145,31343,33186,254,33440
UTTAR PRADESH,KANPUR NAGAR,6,0,7768,7774,0,7774
UTTAR PRADESH,KHIRI,15782,2107,40920,58809,2,58811
UTTAR PRADESH,KUSHI NAGAR,3447,92,24304,27843,6,27849
UTTAR PRADESH,LALITPUR,20,16,224,260,26,286
UTTAR PRADESH,LUCKNOW,7648,177,14603,22428,1,22429
UTTAR PRADESH,MAHOBA,26,1,145,172,1,173
UTTAR PRADESH,MAHRAJGANJ,3893,359,26168,30420,4,30424
UTTAR PRADESH,MAINPURI,2293,79,17639,20011,14,20025
UTTAR PRADESH,MATHURA,3890,791,33994,38675,0,38675
UTTAR PRADESH,MAU,1556,110,9033,10699,1,10700
UTTAR PRADESH,MEERUT,2959,518,49654,53131,15,53146
UTTAR PRADESH,MIRZAPUR,165,16,1965,2146,11,2157
UTTAR PRADESH,MORADABAD,10461,1420,56824,68705,24,68729
UTTAR PRADESH,MUZAFFER NAGAR,4762,357,57514,62633,22,62655
UTTAR PRADESH,NAINITAL,154,0,31,185,1,186
UTTAR PRADESH,PILIBHIT,4246,189,22329,26764,15,26779
UTTAR PRADESH,PRATAPGARH,1743,190,36267,38200,7,38207
UTTAR PRADESH,RAEBARELY,7151,457,32104,39712,0,39712
UTTAR PRADESH,RAMPUR,5270,98,40445,45813,0,45813
UTTAR PRADESH,SAHARANPUR,6854,1314,47242,55410,3,55413
UTTAR PRADESH,SANT RAVIDAS NAGAR,672,29,6561,7262,7,7269
UTTAR PRADESH,SHAHJAHANPUR,10269,1253,63217,74739,56,74795
UTTAR PRADESH,SIDDHARTH NAGAR,2810,373,19294,22477,212,22689
UTTAR PRADESH,SITAPUR,17383,837,39828,58048,6,58054
UTTAR PRADESH,SONBHADRA,81,9,1150,1240,0,1240
UTTAR PRADESH,SULTANPUR,3259,269,29048,32576,0,32576
UTTAR PRADESH,UDHAMSINGH NAGAR,1355,4143,16509,22007,433,22440
UTTAR PRADESH,UNNAO,11483,624,35653,47760,0,47760
UTTAR PRADESH,VARANASI,1566,324,16671,18561,6,18567
WEST BENGAL,BANKURA,3712,445,17412,21569,582,22151
WEST BENGAL,BIRBHUM,3027,461,15835,19323,166,19489
WEST BENGAL,BURDWAN,4952,938,37399,43289,2369,45658
WEST BENGAL,COOCHBEHAR,12003,194,8961,21158,1226,22384
WEST BENGAL,DAKSHIN DINAJPUR,3271,1189,7354,11814,906,12720
WEST BENGAL,DARJEELING,1318,266,681,2265,327,2592
WEST BENGAL,HOOGLY,2720,344,16872,19936,719,20655
WEST BENGAL,HOWRAH,110,3,925,1038,12,1050
WEST BENGAL,JALPAIGURI,2189,243,1501,3933,3091,7024
WEST BENGAL,MALDA,4241,824,24103,29168,623,29791
WEST BENGAL,MIDNAPORE,7045,2691,51767,61503,1230,62733
WEST BENGAL,MURSHIDABAD,3999,567,70004,74570,1065,75635
WEST BENGAL,NADIA,17558,1177,64676,83411,1747,85158
WEST BENGAL,NORTH 24 PARGANAS,13494,597,42652,56743,596,57339
WEST BENGAL,PURULIA,0,0,11,11,0,11
WEST BENGAL,SOUTH 24 PARGANAS,1740,32,4372,6144,70,6214
WEST BENGAL,UTTAR DINAJPUR,11317,1135,20130,32582,1452,34034
DELHI,EAST,16,0,330,346,0,346
DELHI,NORTH-EAST,128,1,342,471,0,471
DELHI,NORTH-WEST,11,19,3645,3675,0,3675
DELHI,SOUTH-WEST,130,10,4040,4180,0,4180
DELHI,WEST,2,1,345,348,0,348
PONDICHERRY,KARAIKAL,2,3,194,199,51,250
PONDICHERRY,PONDICHERRY,61,7,3563,3631,14,3645
