-----
{
 "description": "The table refers to Block wise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.1.csv", 
 "title": "Download CSV for Blockwise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
TAMIL NADU,ERODE,THUKKANAICKENPALAYAM,138,20,60,80,51,20,19,25,413
TAMIL NADU,ERODE,UTHUKULI,157,28,57,102,97,46,3,0,490
TAMIL NADU,KANCHEEPURAM,ACHIRAPPAKKAM,1,0,0,0,0,0,0,0,1
TAMIL NADU,KANCHEEPURAM,CHITHAMUR,131,0,0,0,0,0,0,0,131
TAMIL NADU,KANCHEEPURAM,KANCHEEPURAM,20,72,0,6,0,0,0,0,98
TAMIL NADU,KANCHEEPURAM,KUNDRATHUR,0,0,0,0,1,0,18,6,25
TAMIL NADU,KANCHEEPURAM,SRIPERUMBUDUR,102,0,0,4,0,1,2,6,115
TAMIL NADU,KANCHEEPURAM,THIRUKAZHUKUNDRAM,34,0,0,0,0,0,0,0,34
TAMIL NADU,KANCHEEPURAM,WALAJABAD,0,78,0,0,0,0,0,0,78
TAMIL NADU,KANYAKUMARI,AGASTEESWARAM,10,0,1,1,1,2,1,0,16
TAMIL NADU,KANYAKUMARI,KURUNTHENCODE,0,0,0,0,2,0,4,1,7
TAMIL NADU,KANYAKUMARI,MELPURAM,2,0,0,0,0,0,0,0,2
TAMIL NADU,KANYAKUMARI,RAJAKKAMANGALAM,217,14,25,9,1,0,0,0,266
TAMIL NADU,KANYAKUMARI,THOVALAI,20,0,0,0,0,0,0,0,20
TAMIL NADU,KANYAKUMARI,THUCKALAY,0,0,0,0,1,0,0,0,1
TAMIL NADU,KARUR,ARAVAKURICHI,269,0,0,3,27,15,9,1,324
TAMIL NADU,KARUR,K.PARAMATHI,41,4,0,2,1,0,2,0,50
TAMIL NADU,KARUR,KADAVUR,58,10,5,11,26,19,29,25,183
TAMIL NADU,KARUR,KARUR,19,0,0,5,1,1,2,3,31
TAMIL NADU,KARUR,KRISHNARAYAPURAM,7,0,0,0,2,0,0,0,9
TAMIL NADU,KARUR,KULITHALAI,0,0,1,0,0,0,2,0,3
TAMIL NADU,KARUR,THANTHONI,107,14,16,17,36,42,13,24,269
TAMIL NADU,KARUR,THOGAMALAI,7,4,5,2,5,0,37,2,62
TAMIL NADU,MADURAI,ALANGANALLUR,10,5,0,5,4,25,17,7,73
TAMIL NADU,MADURAI,CHELLAMPATTI,20,6,1,35,5,7,3,2,79
TAMIL NADU,MADURAI,KALLIKUDI,0,0,0,0,0,0,1,0,1
TAMIL NADU,MADURAI,KALLUPATTI(T),1,1,0,1,0,1,0,0,4
TAMIL NADU,MADURAI,KOTTAMPATTI,0,2,0,4,0,2,8,2,18
TAMIL NADU,MADURAI,MADURAI EAST,19,0,7,1,9,0,0,1,37
TAMIL NADU,MADURAI,MADURAI WEST,6,0,0,0,1,1,0,0,8
TAMIL NADU,MADURAI,MELUR,26,2,4,5,9,4,0,1,51
TAMIL NADU,MADURAI,SEDAPATTI,9,2,0,6,3,2,1,1,24
TAMIL NADU,MADURAI,THIRUPPARANKUNDRAM,64,0,0,0,0,0,0,0,64
TAMIL NADU,MADURAI,TIRUMANGALAM,2,0,0,8,4,0,1,1,16
TAMIL NADU,MADURAI,USILAMPATTI,25,0,0,0,0,0,0,0,25
TAMIL NADU,MADURAI,VADIPATTI,2,0,0,2,1,2,0,0,7
TAMIL NADU,NAMAKKAL,ELACHIPALAYAM,742,21,36,17,33,12,1,0,862
TAMIL NADU,NAMAKKAL,ERUMAIPATTY,10,0,9,6,19,13,19,13,89
TAMIL NADU,NAMAKKAL,KABILARMALAI,0,0,1,1,0,0,1,8,11
TAMIL NADU,NAMAKKAL,KOLLIHILLS,0,4,0,0,0,0,0,0,4
TAMIL NADU,NAMAKKAL,MALLASAMUDRAM,304,56,20,25,1,68,2,0,476
TAMIL NADU,NAMAKKAL,MOHANUR,118,0,8,5,10,4,0,0,145
TAMIL NADU,NAMAKKAL,NAMAGIRIPET,1,0,0,0,9,3,3,1,17
TAMIL NADU,NAMAKKAL,NAMAKKAL,142,0,28,4,1,1,26,0,202
TAMIL NADU,NAMAKKAL,PALLIPALAYAM,29,304,0,0,1,0,0,0,334
TAMIL NADU,NAMAKKAL,PARAMATHI,174,14,16,17,17,11,0,0,249
TAMIL NADU,NAMAKKAL,PUDUCHATTIRAM,92,0,0,0,0,0,0,0,92
TAMIL NADU,NAMAKKAL,RASIPURAM,20,58,17,2,0,0,0,0,97
TAMIL NADU,NAMAKKAL,SENDAMANGALAM,87,0,0,6,0,12,0,0,105
TAMIL NADU,NAMAKKAL,TIRUCHENGODE,843,41,62,14,10,5,4,0,979
TAMIL NADU,NAMAKKAL,VENNANDHUR,59,0,1,0,16,6,0,16,98
TAMIL NADU,NILGIRIS,KOTAGIRI,0,0,0,0,0,0,0,1,1
TAMIL NADU,PERAMBALUR,ANDIMADAM,218,21,32,32,35,35,13,10,396
TAMIL NADU,PERAMBALUR,ARIYALUR,24,0,4,12,8,1,1,0,50
TAMIL NADU,PERAMBALUR,JAYANKONDAM,155,43,39,44,55,16,45,17,414
