-----
{
 "description": "The table refers to District wise Distribution of Dugwells by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells by type", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.5.csv"
}
-----
"State","District","Pucca","Kuchcha","Dug-cum 
Borewell","Others","Total"
"KARNATAKA","Mandya",3664,4485,306,46,8501
"KARNATAKA","Mysore",2859,1294,402,33,4588
"KARNATAKA","Raichur",1106,8440,389,37,9972
"KARNATAKA","Shimoga",3757,3680,43,27,7507
"KARNATAKA","Tumkur",8450,5392,569,353,14764
"KARNATAKA","Udupi",22241,6254,88,29,28612
"KARNATAKA","Uttara Kannada",11969,6739,58,20,18786
"KERALA","ALAPPUZHA",4641,25,24,21,4711
"KERALA","ERANAKULAM",15530,1556,19,497,17602
"KERALA","IDDUKKI",4129,1635,1,6,5771
"KERALA","KANNUR",13793,1388,20,17,15218
"KERALA","KASARAGODE",6302,486,18,5,6811
"KERALA","KOLLAM",5645,291,54,113,6103
"KERALA","KOTTAYAM",8799,1718,291,3,10811
"KERALA","KOZHIKODE",11885,540,203,4,12632
"KERALA","MALAPPURAM",9479,2769,113,65,12426
"KERALA","PALAKKAD",5661,3217,25,14,8917
"KERALA","PATHANAMTHITTA",6570,51,9,4,6634
"KERALA","THIRUVANANTHAPURAM",9790,3225,106,37,13158
"KERALA","THRISSUR",39761,4404,45,265,44475
"KERALA","WAYANAD",665,20,2,0,687
"MADHYA PRADESH","BALAGHAT",11857,627,231,66,12781
"MADHYA PRADESH","BARWANI",4228,14162,40,25,18455
"MADHYA PRADESH","BETUL",31884,21949,111,62,54006
"MADHYA PRADESH","BHIND",12983,143,2009,47,15182
"MADHYA PRADESH","BHOPAL",8567,1611,27,6,10211
"MADHYA PRADESH","CHHATARPUR",51307,2259,74,80,53720
"MADHYA PRADESH","CHHINDWARA",51313,25733,674,256,77976
"MADHYA PRADESH","DAMOH",12913,237,100,19,13269
"MADHYA PRADESH","DATIA",15955,2016,1978,43,19992
"MADHYA PRADESH","DEWAS",15917,17198,344,35,33494
"MADHYA PRADESH","DHAR",8089,29028,172,115,37404
"MADHYA PRADESH","DINDORI",243,199,12,2,456
"MADHYA PRADESH","GUNA",24671,2375,43,252,27341
"MADHYA PRADESH","GWALIOR",16055,287,1327,242,17911
"MADHYA PRADESH","HARDA",12547,415,96,9,13067
"MADHYA PRADESH","HOSHANGABAD",20976,125,198,24,21323
"MADHYA PRADESH","INDORE",7654,3972,274,807,12707
"MADHYA PRADESH","JABALPUR",7771,357,1658,10,9796
"MADHYA PRADESH","JHABUA",8557,16206,87,181,25031
"MADHYA PRADESH","KATNI",11190,292,498,14,11994
"MADHYA PRADESH","KHANDWA",28444,34025,141,328,62938
"MADHYA PRADESH","KHARGONE",23350,33699,322,59,57430
"MADHYA PRADESH","MANDLA",2414,196,74,4,2688
"MADHYA PRADESH","MANDSAUR",25994,71568,211,136,97909
"MADHYA PRADESH","MORENA",10319,96,4336,57,14808
"MADHYA PRADESH","NARSINGHPUR",10313,629,940,19,11901
"MADHYA PRADESH","NEEMUCH",25031,21818,590,97,47536
"MADHYA PRADESH","PANNA",6426,185,155,6,6772
"MADHYA PRADESH","RAISEN",9620,971,357,36,10984
"MADHYA PRADESH","RAJGARH",39432,30255,124,470,70281
"MADHYA PRADESH","RATLAM",17818,26527,183,195,44723
"MADHYA PRADESH","REWA",10300,487,964,16,11767
"MADHYA PRADESH","SAGAR",41557,2521,415,170,44663
"MADHYA PRADESH","SATNA",17522,1434,168,10,19134
"MADHYA PRADESH","SEHORE",21069,7122,88,26,28305
"MADHYA PRADESH","SEONI",14974,7125,106,152,22357
"MADHYA PRADESH","SHAHDOL",3082,1074,21,2,4179
"MADHYA PRADESH","SHAJAPUR",35430,18107,87,287,53911
"MADHYA PRADESH","SHEOPUR",3942,99,129,6,4176
"MADHYA PRADESH","SHIVPURI",35363,7001,880,165,43409
"MADHYA PRADESH","SIDHI",11019,896,319,38,12272
"MADHYA PRADESH","TIKAMGARH",56810,2053,191,37,59091
"MADHYA PRADESH","UJJAIN",20717,19768,226,160,40871
"MADHYA PRADESH","UMARIA",2053,282,45,2,2382
"MADHYA PRADESH","VIDISHA",15169,853,51,30,16103
"MAHARASHTRA","AHMEDNAGAR",127677,23039,661,1147,152524
"MAHARASHTRA","AKOLA",18144,1998,180,44,20366
"MAHARASHTRA","AMRAVATI",69300,3511,206,144,73161
"MAHARASHTRA","AURANGABAD",64464,23197,228,402,88291
"MAHARASHTRA","BEED",12657,17927,232,98,30914
"MAHARASHTRA","BHANDARA",14345,1269,328,35,15977
"MAHARASHTRA","BULDANA",53520,10589,179,109,64397
"MAHARASHTRA","CHANDRAPUR",12690,613,73,39,13415
"MAHARASHTRA","DHULE",15676,33112,1810,208,50806
"MAHARASHTRA","GADCHIROLI",9148,1389,578,50,11165
"MAHARASHTRA","GONDIYA",7127,1422,283,33,8865
"MAHARASHTRA","HINGOLI",13238,7238,142,37,20655
"MAHARASHTRA","JALGAON",92619,15962,637,250,109468
"MAHARASHTRA","JALNA",36824,12722,172,643,50361
"MAHARASHTRA","KOLHAPUR",10895,29684,426,174,41179
"MAHARASHTRA","LATUR",7157,20649,90,48,27944
"MAHARASHTRA","NAGPUR",46039,17300,194,45,63578
"MAHARASHTRA","NANDED",11423,16521,274,25,28243
"MAHARASHTRA","NANDURBAR",9991,6363,736,264,17354
"MAHARASHTRA","NASHIK",98292,64685,4034,1193,168204
"MAHARASHTRA","OSMANABAD",9626,31140,582,1354,42702
"MAHARASHTRA","PARBHANI",17255,9972,182,136,27545
"MAHARASHTRA","PUNE",76579,39479,555,57,116670
"MAHARASHTRA","RAIGHAR",3659,959,4,0,4622
"MAHARASHTRA","RATNAGIRI",2118,630,7,2,2757
"MAHARASHTRA","SANGLI",23841,64829,472,449,89591
"MAHARASHTRA","SATARA",19643,55788,42,10,75483
"MAHARASHTRA","SINDHUDURGA",4678,192,3,1,4874
"MAHARASHTRA","SOLAPUR",32100,96709,899,1653,131361
"MAHARASHTRA","THANE",5407,590,149,2,6148
"MAHARASHTRA","WARDHA",36202,7429,64,283,43978
"MAHARASHTRA","WASHIM",16588,2595,90,170,19443
"MAHARASHTRA","YAVATMAL",31469,4624,100,324,36517
"MANIPUR","IMPHAL WEST",3,0,0,0,3
"MEGHALAYA","JAINTIA HILLS",1,6,0,4,11
"NAGALAND","DIMAPUR",177,95,0,1,273
"NAGALAND","MOKOKCHUNG",5,5,0,0,10
"ORISSA","ANGUL",22755,3493,24,33,26305
"ORISSA","BALASORE",2793,169,21,32,3015
"ORISSA","BARGARH",13575,5440,37,9,19061
"ORISSA","BHADRAK",301,30,1,8,340
"ORISSA","BOLANGIR",25192,32373,180,37,57782
"ORISSA","BOUDH",5905,4559,49,27,10540
"ORISSA","CUTTACK",11900,2298,23,193,14414
"ORISSA","DEOGARH",6986,543,7,8,7544
"ORISSA","DHENKANAL",10248,1039,3,3,11293
"ORISSA","GAJAPATI",4366,223,17,18,4624
"ORISSA","GANJAM",29643,2381,98,581,32703
"ORISSA","JAGATSINGHPUR",1093,20,5,9,1127
"ORISSA","JAJAPUR",2572,219,8,76,2875
"ORISSA","JHARSUGUDA",6207,847,1,5,7060
"ORISSA","KALAHANDI",15565,2278,11,26,17880
"ORISSA","KANDHAMAL",7995,340,3,13,8351
"ORISSA","KENDRAPARA",307,14,1,5,327
"ORISSA","KEONJHAR",5939,14795,34,133,20901
"ORISSA","KHURDA",11382,3569,10,15,14976
"ORISSA","KORAPUT",3582,1927,57,11,5577
"ORISSA","MALKANAGIRI",2008,60,2,19,2089
"ORISSA","MAYURBHANJA",11605,1943,8,85,13641
"ORISSA","NAWARANGAPUR",6763,4362,120,79,11324
"ORISSA","NAYAGARH",14226,1240,16,35,15517
"ORISSA","NUAPADA",12476,1128,12,11,13627
"ORISSA","PURI",562,480,15,35,1092
"ORISSA","RAYAGADA",1522,498,97,4,2121
"ORISSA","SAMBALPUR",14393,2115,5,59,16572
"ORISSA","SONEPUR",6824,5209,12,47,12092
"ORISSA","SUNDARGARH",20714,2860,9,26,23609
"PONDICHERRY","KARAIKAL",1,0,0,0,1
"PONDICHERRY","PONDICHERRY",21,0,56,0,77
"PUNJAB","BATHINDA",96,0,0,0,96
"PUNJAB","FATEHGARH SAHIB",69,0,0,0,69
"PUNJAB","GURDASPUR",98,10,2,5,115
"PUNJAB","HOSHIARPUR",453,3,66,0,522
"PUNJAB","LUDHIANA",92,0,0,0,92
"PUNJAB","MOGA",10,0,0,0,10
"PUNJAB","ROPAR",1177,5,567,0,1749
"PUNJAB","SANGRUR",278,0,0,0,278
"RAJASTHAN","AJMER",69944,2089,357,135,72525
"RAJASTHAN","ALWAR",57597,3273,13358,406,74634
"RAJASTHAN","BANSWARA",4480,6049,66,52,10647
"RAJASTHAN","BARAN",20565,1028,402,46,22041
"RAJASTHAN","BARMER",13047,469,7609,21,21146
"RAJASTHAN","BHARATPUR",7611,34,554,8,8207
"RAJASTHAN","BHILWARA",100376,7677,320,113,108486
"RAJASTHAN","BIKANER",758,9,1576,10,2353
"RAJASTHAN","BUNDI",18316,3559,1549,32,23456
"RAJASTHAN","CHITTORGARH",64350,26515,940,90,91895
"RAJASTHAN","CHURU",3272,82,2180,3,5537
"RAJASTHAN","DAUSA",35182,1376,4884,58,41500
"RAJASTHAN","DHOLPUR",3890,56,79,6,4031
"RAJASTHAN","DUNGARPUR",6101,11895,36,12,18044
"RAJASTHAN","GANGANAGAR",0,0,165,0,165
"RAJASTHAN","HANUMANGARH",188,138,11,0,337
"RAJASTHAN","JAIPUR",102048,3674,15336,217,121275
"RAJASTHAN","JAISALMER",202,2,2,0,206
"RAJASTHAN","JALORE",33331,3765,15328,44,52468
"RAJASTHAN","JHALAWAR",51112,12356,184,93,63745
"RAJASTHAN","JHUNJHUNU",22943,100,13788,41,36872
"RAJASTHAN","JODHPUR",6151,587,650,5,7393
"RAJASTHAN","KAROLI",26524,2171,1500,224,30419
"RAJASTHAN","KOTA",13114,1199,560,17,14890
"RAJASTHAN","NAGAUR",25758,454,5419,55,31686
"RAJASTHAN","PALI",42054,2459,406,312,45231
"RAJASTHAN","RAJSAMAND",38501,9102,224,51,47878
"RAJASTHAN","SAWAI MADHOPUR",29237,583,2698,45,32563
"RAJASTHAN","SIKAR",31363,385,20960,144,52852
"RAJASTHAN","SIROHI",15830,1771,553,8,18162
"RAJASTHAN","TONK",47249,711,386,140,48486
"RAJASTHAN","UDAIPUR",30368,31582,385,33,62368
"TAMIL NADU","COIMBATORE",86935,19092,870,544,107441
"TAMIL NADU","CUDDALORE",9814,1737,313,68,11932
"TAMIL NADU","DHARMAPURI",97067,27036,959,332,125394
"TAMIL NADU","DINDIGUL",61037,34108,905,1277,97327
"TAMIL NADU","ERODE",103951,18270,1749,227,124197
"TAMIL NADU","KANCHEEPURAM",45820,1102,1141,40,48103
"TAMIL NADU","KANYAKUMARI",3194,1,3,2,3200
"TAMIL NADU","KARUR",44421,3181,199,170,47971
"TAMIL NADU","MADURAI",40477,10696,505,1996,53674
"TAMIL NADU","NAGAPATTINAM",5655,0,9,12,5676
"TAMIL NADU","NAMAKKAL",58920,909,798,237,60864
"TAMIL NADU","NILGIRIS",765,182,23,10,980
"TAMIL NADU","PERAMBALUR",41585,4891,770,279,47525
"TAMIL NADU","PUDUKKOTTAI",40287,2367,533,185,43372
"TAMIL NADU","RAMANATHAPURAM",6428,1088,355,36,7907
"TAMIL NADU","SALEM",95454,4323,1898,51,101726
"TAMIL NADU","SIVAGANGA",18126,309,311,15,18761
"TAMIL NADU","THANJAVUR",3973,660,142,63,4838
"TAMIL NADU","THENI",24535,1351,171,3,26060
"TAMIL NADU","THIRUVALLUR",16359,1179,4027,72,21637
"TAMIL NADU","THIRUVARUR",230,18,51,0,299
"TAMIL NADU","TIRUCHIRAPPALLI",67223,9842,416,172,77653
"TAMIL NADU","TIRUNELVELI",86630,1630,497,195,88952
"TAMIL NADU","TIRUVANNAMALAI",148350,19247,957,917,169471
"TAMIL NADU","TUTICORIN DISTRICT",24361,2901,4322,176,31760
"TAMIL NADU","VELLORE",106776,16846,3074,1082,127778
"TAMIL NADU","VILLUPPURAM",114312,38243,2820,1462,156837
"TAMIL NADU","VIRUDHUNAGAR",41543,3037,363,223,45166
"TRIPURA","DHALAI",1,3,1,0,5
"TRIPURA","SOUTH TRIPURA",2,12,183,9,206
"TRIPURA","WEST TRIPURA",14,18,13,3,48
"UTTAR PRADESH","AGRA",1415,209,124,1,1749
"UTTAR PRADESH","ALIGARH",4,2,61,0,67
"UTTAR PRADESH","ALLAHABAD",2707,64,99,4,2874
"UTTAR PRADESH","AMBEDAKAR NAGAR",117,4,0,0,121
"UTTAR PRADESH","AZAMGARH",11,0,0,0,11
"UTTAR PRADESH","BAGHPAT",74,0,5,0,79
"UTTAR PRADESH","BAHARAICH",65,2,0,2,69
"UTTAR PRADESH","BALLIA",680,50,2,0,732
"UTTAR PRADESH","BALRAMPUR",112,10,0,0,122
"UTTAR PRADESH","BANDA",2300,22,708,2,3032
"UTTAR PRADESH","BARABANKI",226,129,106,5,466
"UTTAR PRADESH","BAREILLY",88,1,0,0,89
"UTTAR PRADESH","BASTI",42,1,1,0,44
"UTTAR PRADESH","CHANDAULI",365,7,59,0,431
"UTTAR PRADESH","CHITRAKOOT",3406,213,31,20,3670
"UTTAR PRADESH","DEORIA",27,0,0,0,27
"UTTAR PRADESH","FAIZABAD",372,1,2,0,375
"UTTAR PRADESH","FARRUKHABAD",29,0,0,0,29
"UTTAR PRADESH","FATEHPUR",621,5,76,69,771
"UTTAR PRADESH","FIROZABAD",37,0,24,0,61
"UTTAR PRADESH","GHAZIPUR",78,0,0,0,78
"UTTAR PRADESH","GONDA",14,0,0,0,14
"UTTAR PRADESH","GORAKHPUR",85,0,0,0,85
"UTTAR PRADESH","HAMIRPUR",2009,89,752,30,2880
"UTTAR PRADESH","HARDOI",343,1,29,0,373
"UTTAR PRADESH","JALAUN",1817,44,967,5,2833
"UTTAR PRADESH","JAUNPUR",1884,60,30,4,1978
"UTTAR PRADESH","JHANSI",22315,2940,217,32,25504
"UTTAR PRADESH","KANNAUJ",53,4,0,0,57
"UTTAR PRADESH","KANPUR DEHAT",173,2,1,0,176
"UTTAR PRADESH","KANPUR NAGAR",156,10,0,0,166
"UTTAR PRADESH","KAUSHAMBI",13,2,0,0,15
"UTTAR PRADESH","KHERI",168,0,0,0,168
"UTTAR PRADESH","LALITPUR",23724,1606,37,6,25373
"UTTAR PRADESH","LUCKNOW",50,1,1,0,52
"UTTAR PRADESH","MAHARAJ GANJ",47,0,0,0,47
"UTTAR PRADESH","MAHOBA",13709,280,1165,30,15184
"UTTAR PRADESH","MAINPURI",2,2,0,0,4
"UTTAR PRADESH","MATHURA",422,0,0,0,422
"UTTAR PRADESH","MAU",130,0,0,0,130
"UTTAR PRADESH","MEERUT",22,0,0,0,22
"UTTAR PRADESH","MIRZAPUR",15432,449,968,56,16905
"UTTAR PRADESH","MUZZAFARNAGAR",230,0,0,0,230
"UTTAR PRADESH","PRATAPGARH",163,5,0,0,168
"UTTAR PRADESH","RAEBARELI",5112,113,4,0,5229
"UTTAR PRADESH","SANT KABIR NAGAR",276,43,1,0,320
"UTTAR PRADESH","SANT RAVI DAS NAGAR",65,0,0,0,65
"UTTAR PRADESH","SHRAWASTI",41,0,7,0,48
"UTTAR PRADESH","SIDDHARTH NAGAR",404,23,1,0,428
"UTTAR PRADESH","SONBHADRA",7566,1131,388,33,9118
"UTTAR PRADESH","SULTANPUR",836,15,0,2,853
"UTTAR PRADESH","UNNAO",215,0,11,2,228
"UTTAR PRADESH","VARANASI",419,2,4,6,431
"UTTARANCHAL","DEHRA DUN",12,3,4,0,19
"UTTARANCHAL","HARIDWAR",199,4,39,0,242
"UTTARANCHAL","NAINITAL",1,0,0,0,1
"UTTARANCHAL","PAURI",1,0,0,0,1
"UTTARANCHAL","UDHAM SINGH NAGAR",204,2,46,322,574
"WEST BENGAL","BANKURA",4314,880,10,22,5226
"WEST BENGAL","BIRBHUM",516,14,0,9,539
"WEST BENGAL","BURDWAN",80,8,0,0,88
"WEST BENGAL","COOCHBEHAR",553,4921,95,1200,6769
"WEST BENGAL","DAKSHIN DINAJPUR",0,124,1,0,125
"WEST BENGAL","DARJEELING",231,16,4,2,253
"WEST BENGAL","HOOGHLY",20,1,0,0,21
"WEST BENGAL","JALPAIGURI",3559,94,322,72,4047
"WEST BENGAL","MALDA",1,0,0,0,1
"WEST BENGAL","MIDNAPORE",2866,5950,129,36,8981
"WEST BENGAL","MURSHIDABAD",1,0,0,0,1
"WEST BENGAL","NADIA",2,0,0,0,2
"WEST BENGAL","PURULIA",11881,1430,5,6,13322
"WEST BENGAL","UTTAR DINAJPUR",0,2,0,0,2
