-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells in use and their Potential Created/ Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells in use and their Potential Created/ Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,156,156,0,428,428,0,131,131
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,232,232,0,1297,1297,0,1116,1116
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,287,287,0,458,458,0,339,339
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,1,600,601,1,2908,2909,1,2266,2267
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,0,225,225,0,422,422,0,228,228
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,476,476,0,1882,1882,0,1544,1544
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,102,102,0,520,520,0,365,365
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,65,65,0,357,357,0,180,180
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,72,72,0,310,310,0,306,306
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,0,115,115,0,656,656,0,582,582
ANDHRA PRADESH,CUDDAPAH,VEMULA,1,763,764,4,3183,3187,3,2402,2405
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,10,682,692,36,1365,1402,29,822,850
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,54,54,0,290,290,0,252,252
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,2,78,80,109,1007,1116,109,1007,1116
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,191,191,0,2184,2184,0,2184,2184
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,998,998,0,3798,3798,0,3728,3728
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,7,3,10,36,14,50,22,7,30
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,227,227,0,1765,1765,0,1622,1622
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,6,6,0,246,246,0,246,246
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,0,1,1,0,4,4,0,4,4
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,1,1,0,20,20,0,16,16
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,6,435,441,111,1137,1248,91,1007,1098
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,1,86,87,11,723,734,11,723,734
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,268,268,0,1008,1008,0,1002,1002
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,10,10,0,21,21,0,21,21
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,2,58,60,3,186,189,3,186,189
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),1,250,251,40,1715,1755,40,1676,1716
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,38,802,840,504,7084,7588,504,7074,7578
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,40,325,365,696,2124,2820,543,1778,2321
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,5,5,0,47,47,0,47,47
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,8,8,0,16,16,0,16,16
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,0,101,101,0,438,438,0,438,438
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,0,49,49,0,316,316,0,140,140
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,2,2,0,3,3,0,3,3
ANDHRA PRADESH,GUNTUR,DURGI,2,967,969,11,5061,5071,11,5059,5069
ANDHRA PRADESH,GUNTUR,MACHERLA,2,416,418,17,2220,2237,17,2208,2225
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,1,1,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,0,2,2,0,3,3,0,3,3
ANDHRA PRADESH,GUNTUR,VELDURTHI,1,953,954,1,4459,4460,0,4452,4452
ANDHRA PRADESH,KARIMNAGAR,KATARAM,25,0,25,1010,0,1010,307,0,307
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,11,0,11,231,0,231,112,0,112
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,3,33,36,6,101,107,4,84,88
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,2,5,7,51,26,77,51,19,70
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,0,211,211,0,310,310,0,189,189
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,15,0,15,438,0,438,187,0,187
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,0,1,1,0,2,2,0,2,2
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,0,1,1,0,3,3,0,3,3
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,28,189,217,367,692,1059,367,692,1059
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,59,59,0,118,118,0,118,118
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,5,451,456,39,1344,1383,31,1282,1313
ANDHRA PRADESH,KHAMMAM,JULURPAD,22,31,53,48,45,93,48,45,93
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,0,1,1,0,3,3,0,3,3
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,0,317,317,0,919,919,0,919,919
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,1,0,1,2,0,2,1,0,1
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,7,66,73,10,119,129,10,119,129
ANDHRA PRADESH,KRISHNA,BAPULAPADU,1,189,190,6,848,854,6,682,688
ANDHRA PRADESH,KRISHNA,CHATRAI,0,12,12,0,33,33,0,18,18
ANDHRA PRADESH,KRISHNA,G KONDURU,0,12,12,0,34,34,0,11,11
ANDHRA PRADESH,KRISHNA,MUSUNURU,10,107,117,153,485,638,153,484,637
ANDHRA PRADESH,KRISHNA,NUZVID,20,476,496,149,3869,4019,125,3049,3173
ANDHRA PRADESH,KRISHNA,TIRUVURU,0,5,5,0,19,19,0,19,19
ANDHRA PRADESH,KRISHNA,UNGUTURU,1,0,1,8,0,8,8,0,8
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,0,19,19,0,20,20,0,20,20
ANDHRA PRADESH,KURNOOL,ADONI,0,9,9,0,21,21,0,20,20
ANDHRA PRADESH,KURNOOL,ALLAGADDA,40,660,700,122,2068,2190,95,1417,1512
ANDHRA PRADESH,KURNOOL,ATMAKUR,0,7,7,0,6,6,0,6,6
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,12,1263,1275,36,4782,4818,36,4679,4715
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,0,12,12,0,61,61,0,61,61
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,0,54,54,0,90,90,0,78,78
ANDHRA PRADESH,KURNOOL,KURNOOL,0,99,99,0,245,245,0,245,245
ANDHRA PRADESH,KURNOOL,NANDI KOTKUR,0,49,49,0,148,148,0,105,105
ANDHRA PRADESH,KURNOOL,ORVAKAL,0,2,2,0,13,13,0,12,12
ANDHRA PRADESH,KURNOOL,PEAPALLY,0,1,1,0,4,4,0,3,3
ANDHRA PRADESH,KURNOOL,RUDRAVARAM,0,330,330,0,1174,1174,0,1038,1038
ANDHRA PRADESH,KURNOOL,SIRVEL,0,2,2,0,17,17,0,17,17
ANDHRA PRADESH,KURNOOL,VELDURTHI,13,0,13,94,0,94,94,0,94
ANDHRA PRADESH,MEDAK,JAGDEVPUR,0,53,53,0,96,96,0,42,42
ANDHRA PRADESH,MEDAK,KOHIR,0,178,178,0,400,400,0,307,307
ANDHRA PRADESH,MEDAK,KONDAPAK,0,33,33,0,35,35,0,18,18
ANDHRA PRADESH,MEDAK,ZAHIRABAD,0,268,268,0,529,529,0,361,361
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,0,62,62,0,116,116,0,104,104
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,0,74,74,0,179,179,0,168,168
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,0,41,41,0,148,148,0,81,81
ANDHRA PRADESH,NELLORE,CHEJERLA,0,153,153,0,250,250,0,246,246
ANDHRA PRADESH,NELLORE,JALADANKI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,NELLORE,MANUBOLU,0,1,1,0,13,13,0,13,13
ANDHRA PRADESH,NIZAMABAD,TADWAI,0,10,10,0,12,12,0,11,11
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,14,70,84,29,146,175,26,125,151
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,0,2,2,0,6,6,0,3,3
ANDHRA PRADESH,PRAKASAM,DORNALA,88,1354,1442,148,2334,2481,148,2124,2272
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,0,74,74,0,80,80,0,80,80
ANDHRA PRADESH,PRAKASAM,PAMUR,0,4,4,0,3,3,0,3,3
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,0,49,49,0,138,138,0,138,138
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,0,13,13,0,72,72,0,72,72
ANDHRA PRADESH,RANGAREDDY,IBRAHIMPATAM,0,663,663,0,1082,1082,0,933,933
ANDHRA PRADESH,RANGAREDDY,MARPALLE,0,1,1,0,1,1,0,1,1
ANDHRA PRADESH,RANGAREDDY,MEDCHAL,6,122,128,20,323,343,5,158,163
ANDHRA PRADESH,RANGAREDDY,MOINABAD,0,156,156,0,253,253,0,65,65
ANDHRA PRADESH,RANGAREDDY,NAWABPET,0,11,11,0,12,12,0,9,9
ANDHRA PRADESH,RANGAREDDY,RAJENDRANAGAR,0,9,9,0,22,22,0,13,13
ANDHRA PRADESH,RANGAREDDY,SHABAD,0,73,73,0,102,102,0,90,90
ANDHRA PRADESH,RANGAREDDY,SHAMIRPET,12,361,373,9,420,429,2,417,419
ANDHRA PRADESH,RANGAREDDY,YACHARAM,0,98,98,0,85,85,0,54,54
ANDHRA PRADESH,SRIKAKULAM,RANASTALAM,0,55,55,0,177,177,0,149,149
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,0,1,1,0,2,2,0,1,1
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,0,2,2,0,8,8,0,8,8
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,3,26,29,7,86,92,7,86,92
ANDHRA PRADESH,WARANGAL,GHANAPUR,0,446,446,0,833,833,0,643,643
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),0,28,28,0,28,28,0,23,23
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,4,2,6,21,10,32,18,10,28
ANDHRA PRADESH,WARANGAL,GUDUR,0,4,4,0,8,8,0,8,8
ANDHRA PRADESH,WARANGAL,HANAMKONDA,0,18,18,0,21,21,0,21,21
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,1,149,150,2,450,452,2,434,436
ANDHRA PRADESH,WARANGAL,MANGAPET,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,0,4,4,0,7,7,0,7,7
ANDHRA PRADESH,WARANGAL,TADVAI,20,3,23,107,13,120,76,8,84
ANDHRA PRADESH,WARANGAL,THORRUR,0,23,23,0,36,36,0,23,23
ANDHRA PRADESH,WARANGAL,VENKATAPUR,0,11,11,0,7,7,0,7,7
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,4,193,197,174,1886,2060,125,1558,1684
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,0,490,490,0,2149,2149,0,2077,2077
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,0,563,563,0,3126,3126,0,3126,3126
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,0,877,877,0,2840,2840,0,1728,1728
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,16,949,965,511,5568,6079,511,5439,5950
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,2,1333,1335,57,7746,7803,54,5484,5538
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,16,2242,2258,37,10145,10182,36,9371,9407
ANDHRA PRADESH,WEST GODAVARI,ELURU,0,104,104,0,731,731,0,731,731
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,0,604,604,0,1502,1502,0,1207,1207
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,0,1161,1161,0,3148,3148,0,3128,3128
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,0,270,270,0,1345,1345,0,830,830
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,3,2222,2225,5,4110,4115,5,4065,4071
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,3,306,309,14,1147,1161,10,1117,1127
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,0,928,928,0,1729,1729,0,1729,1729
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,53,1916,1969,1010,10425,11435,894,9153,10048
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,1,973,974,3,5591,5594,3,5570,5572
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,0,357,357,0,3559,3559,0,3275,3275
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,11,1137,1148,62,5977,6039,62,5942,6004
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,0,1,1,0,10,10,0,6,6
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,0,865,865,0,2437,2437,0,2387,2387
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,0,2228,2228,0,13781,13781,0,11729,11729
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,0,8,8,0,84,84,0,84,84
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,5,1079,1084,41,10225,10266,36,9588,9624
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,1,0,1,10,0,10,10,0,10
ASSAM,BARPETA,BARPETA,1,0,1,8,0,8,8,0,8
ASSAM,BARPETA,CHENGA,0,5,5,0,20,20,0,12,12
ASSAM,BARPETA,GOBARDHANA,0,4,4,0,10,10,0,10,10
ASSAM,BONGAIGAON,DANGTOLA,0,2,2,0,100,100,0,75,75
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,0,0,0,0,0,0,0,0,0
ASSAM,BONGAIGAON,TAPALARI,0,2,2,0,100,100,0,22,22
ASSAM,CACHAR,NARSINGPUR,1,0,1,32,0,32,32,0,32
ASSAM,CACHAR,SILCHAR,0,0,0,0,0,0,0,0,0
ASSAM,DARRANG,BECHIMARI,0,0,0,0,0,0,0,0,0
ASSAM,DARRANG,BHERGAON,0,3,3,0,330,330,0,330,330
ASSAM,DARRANG,DOLGAON-SIALMARI,0,13,13,0,383,383,0,325,325
ASSAM,DARRANG,KALAIGAON,0,0,0,0,0,0,0,0,0
ASSAM,DARRANG,MAZBAT,0,14,14,0,52,52,0,31,31
ASSAM,DARRANG,PACHIM-MANGALDAI,0,0,0,0,0,0,0,0,0
ASSAM,DARRANG,PUB-MANGALDAI,0,3,3,0,156,156,0,106,106
ASSAM,DARRANG,SIPAJHAR,0,38,38,0,113,113,0,95,95
ASSAM,DARRANG,UDALGURI,0,2,2,0,55,55,0,30,30
ASSAM,DHEMAJI,DHEMAJI,4,0,4,80,0,80,54,0,54
ASSAM,DHEMAJI,SISSIBOR GAON,3,0,3,145,0,145,86,0,86
ASSAM,DHUBRI,CHAPAR-SALKOCHS,0,0,0,0,0,0,0,0,0
ASSAM,DHUBRI,GAURIPUR,0,9,9,0,18,18,0,18,18
ASSAM,DHUBRI,GOLOKGANJ,2,0,2,105,0,105,100,0,100
ASSAM,DHUBRI,MANKACHAR,0,0,0,0,0,0,0,0,0
ASSAM,DHUBRI,SOUTH SALMARA,0,0,0,0,0,0,0,0,0
ASSAM,DIBRUGARH,KHOWANG,2,0,2,70,0,70,70,0,70
ASSAM,DIBRUGARH,LAHOWAL,0,4,4,0,8,8,0,8,8
ASSAM,DIBRUGARH,TENGAKHAT,2,1,3,68,82,150,68,82,150
ASSAM,GOALPARA,BALIJAN,0,0,0,0,0,0,0,0,0
ASSAM,GOALPARA,DUDHNAI,3,0,3,180,0,180,180,0,180
ASSAM,GOALPARA,JALESWAR,1,0,1,40,0,40,40,0,40
ASSAM,GOALPARA,KHARMUJA,1,4,5,84,282,366,0,86,86
ASSAM,GOALPARA,KRISHNAI,0,0,0,0,0,0,0,0,0
ASSAM,GOALPARA,KUSHDHAWA,2,0,2,100,0,100,100,0,100
ASSAM,GOALPARA,MATIA,1,1,2,70,60,130,55,45,100
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,0,0,0,0,0,0,0,0,0
ASSAM,GOLAGHAT,GOLAGHAT EAST,1,1,2,2,3,5,2,3,5
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,1,1,0,2,2,0,2,2
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,2,3,5,90,110,200,90,110,200
