-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to ownership for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.2.csv"
}
-----
"State","District","Government owned","Cooperative Societies","Panchayat Owned","Group of farmers","Individual farmers","Others","Total"
"TAMIL NADU","VILLUPURAM",27,0,0,25,187,0,239
"TRIPURA","DHALAI",52,0,0,0,57,0,109
"TRIPURA","NORTH",90,0,0,3,53,0,146
"TRIPURA","SOUTH",145,0,3,3,239,11,401
"TRIPURA","WEST",124,0,0,2,47,0,173
"UTTAR PRADESH","AGRA",0,0,0,0,46,0,46
"UTTAR PRADESH","ALLAHABAD",3,0,0,0,419,0,422
"UTTAR PRADESH","ALMORA",75,0,9,9,3,3,99
"UTTAR PRADESH","AZAMGARH",1,0,0,0,45,0,46
"UTTAR PRADESH","BALLIA",206,1,0,0,1,0,208
"UTTAR PRADESH","BANDA",1,0,1,0,500,2,504
"UTTAR PRADESH","BIJNOR",1,0,0,0,0,0,1
"UTTAR PRADESH","DEHRADUN",37,0,25,143,81,0,286
"UTTAR PRADESH","DEORIA",3,0,0,0,0,0,3
"UTTAR PRADESH","ETAWAH",0,0,0,0,18,0,18
"UTTAR PRADESH","FARUKHABAD",0,0,0,0,17,0,17
"UTTAR PRADESH","FATEHPUR",0,0,0,0,22,0,22
"UTTAR PRADESH","GONDA",0,0,0,0,356,0,356
"UTTAR PRADESH","HAMIRPUR",0,0,0,0,7,0,7
"UTTAR PRADESH","JALAUN",1,0,0,0,336,0,337
"UTTAR PRADESH","JAUNPUR",3,0,0,0,23,0,26
"UTTAR PRADESH","JHANSI",16,0,0,3,140,0,159
"UTTAR PRADESH","KANPUR DEHAT",0,0,0,0,173,0,173
"UTTAR PRADESH","KUSHI NAGAR",0,0,0,0,0,1,1
"UTTAR PRADESH","LALITPUR",0,0,0,0,1,0,1
"UTTAR PRADESH","LUCKNOW",0,0,0,0,1,0,1
"UTTAR PRADESH","MAHRAJGANJ",0,0,0,0,12,0,12
"UTTAR PRADESH","MIRZAPUR",2,0,4,1,374,0,381
"UTTAR PRADESH","NAINITAL",17,0,2,5,1,0,25
"UTTAR PRADESH","PAURI GARHWAL",61,0,0,6,0,0,67
"UTTAR PRADESH","RAEBARELY",0,0,0,0,1,0,1
"UTTAR PRADESH","SANT RAVIDAS NAGAR",0,0,0,0,40,0,40
"UTTAR PRADESH","TEHRI GARHWAL",24,0,11,0,0,0,35
"UTTAR PRADESH","UDHAMSINGH NAGAR",9,0,0,3,42,7,61
"UTTAR PRADESH","UTTARKASHI",20,0,0,0,0,9,29
"UTTAR PRADESH","VARANASI",32,0,0,0,37,13,82
"WEST BENGAL","BANKURA",170,16,53,2154,592,33,3018
"WEST BENGAL","BIRBHUM",94,26,103,14702,1976,445,17346
"WEST BENGAL","BURDWAN",275,47,81,3713,2462,18,6596
"WEST BENGAL","COOCHBEHAR",102,1,89,84,1992,169,2437
"WEST BENGAL","DAKSHIN DINAJPUR",249,4,88,744,645,3,1733
"WEST BENGAL","DARJEELING",21,1,2,0,12,27,63
"WEST BENGAL","HOOGLY",313,5,25,1525,2284,227,4379
"WEST BENGAL","HOWRAH",93,33,26,171,8244,97,8664
"WEST BENGAL","JALPAIGURI",94,2,83,35,232,185,631
"WEST BENGAL","MALDA",346,15,495,54,852,27,1789
"WEST BENGAL","MIDNAPORE",367,29,255,3176,10657,560,15044
"WEST BENGAL","MURSHIDABAD",333,17,26,1337,1294,145,3152
"WEST BENGAL","NADIA",271,5,21,0,0,4,301
"WEST BENGAL","NORTH 24 PARGANAS",163,1,6,13,972,5,1160
"WEST BENGAL","PURULIA",122,12,6,216,61,23,440
"WEST BENGAL","SOUTH 24 PARGANAS",53,37,179,664,15288,379,16600
"WEST BENGAL","UTTAR DINAJPUR",101,0,26,16,143,6,292
"ANDAMAN & NICOBARS","ANDAMAN",3,0,1,0,1167,0,1171
"ANDAMAN & NICOBARS","NICOBARS",0,0,0,0,39,0,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",21,0,0,0,33,0,54
"PONDICHERRY","KARAIKAL",0,0,0,0,6,0,6
"PONDICHERRY","YANAM",0,0,0,0,395,5,400
