-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ORISSA,ANGUL,KISHOR NAGAR,0,0,0,1,1
ORISSA,ANGUL,PALALAHADA,3,19,13,2,37
ORISSA,ANGUL,TALACHERA,0,0,3,0,3
ORISSA,BALASORE,BAHANAGA,0,4,1,0,5
ORISSA,BALASORE,BALASORE,0,0,0,0,0
ORISSA,BALASORE,BALIAPAL,16,10,1,0,27
ORISSA,BALASORE,BASTA,19,10,2,2,33
ORISSA,BALASORE,BHOGRAI,34,18,6,0,58
ORISSA,BALASORE,JALESWAR,0,24,0,0,24
ORISSA,BALASORE,KHAIRA,0,2,1,0,3
ORISSA,BALASORE,NILAGIRI,2,0,0,0,2
ORISSA,BALASORE,OUPADA,0,4,2,0,6
ORISSA,BALASORE,REMUNA,1,50,1,0,52
ORISSA,BALASORE,SIMULIA,0,2,0,0,2
ORISSA,BALASORE,SORO,5,8,1,0,14
ORISSA,BARGARH,AMBABHANA,0,1,1,2,4
ORISSA,BARGARH,ATABIRA,0,12,32,1,45
ORISSA,BARGARH,BARAPALI,0,3,8,2,13
ORISSA,BARGARH,BARGARH,5,24,73,25,127
ORISSA,BARGARH,BHATALI,1,43,96,20,160
ORISSA,BARGARH,BHEDEN,9,39,98,7,153
ORISSA,BARGARH,BIJEPUR,2,31,24,10,67
ORISSA,BARGARH,GAISILAT,2,7,9,0,18
ORISSA,BARGARH,JHARABANDH,1,4,11,7,23
ORISSA,BARGARH,PADMAPUR (RAJABUDASA,3,6,16,0,25
ORISSA,BARGARH,PAIKMAL,11,33,86,10,140
ORISSA,BARGARH,SOHELA,3,11,28,9,51
ORISSA,BHADRAK,BANTA,7,13,3,0,23
ORISSA,BHADRAK,BASUDEBPUR,40,31,0,0,71
ORISSA,BHADRAK,BHADRAK,24,16,7,0,47
ORISSA,BHADRAK,BHANDARI POKHARI,0,1,0,0,1
ORISSA,BHADRAK,CHANDABALI,55,68,92,8,223
ORISSA,BHADRAK,DHAMNAGAR,28,95,50,2,175
ORISSA,BHADRAK,TIHIDI,12,3,4,87,106
ORISSA,BOLANGIR,AGALPUR,2,3,8,0,13
ORISSA,BOLANGIR,BALANGIR,17,45,74,7,143
ORISSA,BOLANGIR,BANGOMUNDA,7,4,0,0,11
ORISSA,BOLANGIR,BELAPARA,14,5,7,0,26
ORISSA,BOLANGIR,DEOGAON,15,73,136,4,228
ORISSA,BOLANGIR,GUDVELA,11,16,48,4,79
ORISSA,BOLANGIR,KHAPRAKHOL,6,73,75,16,170
ORISSA,BOLANGIR,LOISINGHA,80,13,5,1,99
ORISSA,BOLANGIR,MURIBAHAL,0,2,16,0,18
ORISSA,BOLANGIR,PATNAGARH,24,100,111,24,259
ORISSA,BOLANGIR,PUINTALA,26,55,78,9,168
ORISSA,BOLANGIR,SAINTALA,9,62,48,3,122
ORISSA,BOLANGIR,TITILAGARH,0,0,2,0,2
ORISSA,BOLANGIR,TUREIKELA,0,0,0,0,0
ORISSA,BOUDH,BOUDH,2,4,4,0,10
ORISSA,BOUDH,HARABHANGA,0,0,0,0,0
ORISSA,BOUDH,KANTAMAL,2,6,13,0,21
ORISSA,CUTTACK,ATHAGARH,15,6,1,4,26
ORISSA,CUTTACK,BADAMBA,1,3,0,0,4
ORISSA,CUTTACK,BANKI,20,8,0,0,28
ORISSA,CUTTACK,BARANGA,25,20,9,0,54
ORISSA,CUTTACK,CUTTACKSADAR,126,38,9,2,175
ORISSA,CUTTACK,DAMPADA,22,2,1,0,25
ORISSA,CUTTACK,KANTAPADA,234,54,19,2,309
ORISSA,CUTTACK,MAHANGA,116,44,33,16,209
ORISSA,CUTTACK,NARASINGHPUR,1,3,4,11,19
ORISSA,CUTTACK,NIALI,562,271,76,0,909
ORISSA,CUTTACK,NISCHINTAKOILI,175,47,14,2,238
ORISSA,CUTTACK,SALIPUR,209,87,39,1,336
ORISSA,CUTTACK,TANGI CHOUDWAR,11,13,10,2,36
ORISSA,CUTTACK,TIGIRIA,10,0,0,0,10
ORISSA,DEOGARH,BARAKOTE,0,24,25,10,59
ORISSA,DEOGARH,RIAMAL,73,60,74,9,216
ORISSA,DEOGARH,TILEIBANI,14,7,8,17,46
ORISSA,DHENKANAL,BHUBAN,0,6,6,0,12
ORISSA,DHENKANAL,GANDIA,4,4,2,21,31
ORISSA,DHENKANAL,HINDOL,1,2,8,1,12
ORISSA,DHENKANAL,KAMAKHYANAGAR,0,2,3,0,5
ORISSA,DHENKANAL,KANKADAHAD,29,12,6,2,49
ORISSA,DHENKANAL,ODAPADA,0,5,2,1,8
ORISSA,DHENKANAL,PARJANG,0,0,0,1,1
ORISSA,DHENKANAL,SADAR,7,1,3,3,14
ORISSA,GAJAPATI,GUMMA,0,6,18,0,24
ORISSA,GAJAPATI,KASINAGAR,0,2,0,0,2
ORISSA,GAJAPATI,MOHANA,0,2,1,0,3
ORISSA,GAJAPATI,NUAGADA,0,0,0,0,0
ORISSA,GAJAPATI,PARALAKHEMUNDI,0,9,6,0,15
ORISSA,GAJAPATI,R.UDAYGIRI,0,0,1,0,1
ORISSA,GAJAPATI,RAYAGADA,0,0,1,0,1
ORISSA,GANJAM,ASKA,64,48,16,56,184
ORISSA,GANJAM,BELLAGUNTHA,0,5,3,0,8
ORISSA,GANJAM,BHANJANAGAR,0,1,2,3,6
ORISSA,GANJAM,BUGUDA,2,6,5,2,15
ORISSA,GANJAM,CHHATRAPUR,0,3,14,0,17
ORISSA,GANJAM,CHIKETI,7,17,1,0,25
ORISSA,GANJAM,DHARAKOTE,16,22,26,7,71
ORISSA,GANJAM,DIGAPAHANDI,204,75,58,3,340
ORISSA,GANJAM,GANJAM,3,10,2,0,15
ORISSA,GANJAM,HINJILICUT,6,11,1,0,18
ORISSA,GANJAM,JAGANNATHPRASAD,49,5,1,0,55
ORISSA,GANJAM,KABISURYANAGAR,33,16,0,4,53
ORISSA,GANJAM,KHALLIKOTE,0,0,0,0,0
ORISSA,GANJAM,KODALA,0,0,0,0,0
ORISSA,GANJAM,KUKUDAHANDI,0,0,0,0,0
ORISSA,GANJAM,PATRAPUR,0,2,2,4,8
ORISSA,GANJAM,POLASARA,1,6,3,1,11
ORISSA,GANJAM,PURUSOTTAMPUR,8,23,2,0,33
ORISSA,GANJAM,RANGEILUNDA,3,4,4,0,11
ORISSA,GANJAM,SANAKHEMUNDI,7,21,29,9,66
ORISSA,GANJAM,SHERAGAD,115,22,1,2,140
ORISSA,GANJAM,SORADA,25,14,16,0,55
ORISSA,JAGATSINGHPUR,BALIKUDA,7,8,2,1,18
ORISSA,JAGATSINGHPUR,BIRIDI,1,2,0,0,3
ORISSA,JAGATSINGHPUR,ERASAMA,0,0,1,0,1
