-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.14.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.14.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total - Constraints in utilisation,Total in use
CHHATTISGARH,RAIGARH,KHARSIYA,6,0,0,4,28,32,38
CHHATTISGARH,RAIGARH,LAILUNGA,0,0,0,0,1,1,1
CHHATTISGARH,RAIGARH,RAIGARH,71,224,0,26,87,337,408
CHHATTISGARH,RAIGARH,SARANGARH,18,18,1,2,5,26,44
CHHATTISGARH,RAIPUR,ABHANPUR,0,0,0,0,2,2,2
CHHATTISGARH,RAIPUR,ARANG,0,0,0,3,5,8,8
CHHATTISGARH,RAIPUR,BHATAPARA,0,0,0,0,13,13,13
CHHATTISGARH,RAIPUR,BILAIGARH,0,0,0,0,2,2,2
CHHATTISGARH,RAIPUR,BLOUDABAJAR,0,0,0,0,4,4,4
CHHATTISGARH,RAIPUR,GARIYABAND,0,0,0,0,4,4,4
CHHATTISGARH,RAIPUR,PALARI,0,0,0,0,7,7,7
CHHATTISGARH,RAIPUR,RAIPUR,0,0,0,5,17,22,22
CHHATTISGARH,RAIPUR,RAJIM,0,0,0,0,8,8,8
CHHATTISGARH,RAIPUR,SIMGA,0,20,0,0,5,25,25
CHHATTISGARH,RAIPUR,TILDA,0,0,0,4,29,33,33
CHHATTISGARH,RAJNANDGAON,DONGAR GAON,0,0,0,1,7,8,8
CHHATTISGARH,RAJNANDGAON,DONGAR GARH,0,0,0,0,1,1,1
CHHATTISGARH,RAJNANDGAON,KHAIRAGARH,0,0,0,2,2,4,4
CHHATTISGARH,RAJNANDGAON,RAJNANDGAON,0,0,0,0,2,2,2
CHHATTISGARH,SURGUJA,AMBIKAPUR,0,0,0,0,2,2,2
CHHATTISGARH,SURGUJA,PRATAPPUR,2,1,0,0,12,13,15
CHHATTISGARH,SURGUJA,RAJPUR,0,0,0,0,2,2,2
CHHATTISGARH,SURGUJA,SAMRI,0,0,0,0,1,1,1
CHHATTISGARH,SURGUJA,SURAJPUR,0,0,0,3,47,50,50
DELHI,MAHRAULI,MAHRAULI,433,33,0,2,7,42,475
DELHI,NAJAFGARH,NAJAFGARH,167,1,0,0,0,1,168
GOA,NORTH GOA,SATTARI,45,2,0,5,0,7,52
GOA,SOUTH GOA,CANACONA,2,0,0,0,0,0,2
GOA,SOUTH GOA,SANGUEM,0,0,0,1,0,1,1
GUJARAT,AHMEDABAD,BARWALA,0,0,0,17,30,47,47
GUJARAT,AHMEDABAD,BAVLA,26,242,0,27,31,300,326
GUJARAT,AHMEDABAD,DASKROI,3,998,6,1,151,1156,1159
GUJARAT,AHMEDABAD,DETROJ-RAMPURA,0,341,1,12,52,406,406
GUJARAT,AHMEDABAD,DHANDHUKA,0,0,0,0,15,15,15
GUJARAT,AHMEDABAD,DHOLKA,20,1400,9,13,8,1430,1450
GUJARAT,AHMEDABAD,MANDAL,1,342,2,0,1,345,346
GUJARAT,AHMEDABAD,RANPUR,0,33,0,473,5,511,511
GUJARAT,AHMEDABAD,SANAND,0,455,130,12,1,598,598
GUJARAT,AHMEDABAD,VIRAMGAM,0,345,9,39,3,396,396
GUJARAT,AMRELI,AMRELI,0,0,0,944,0,944,944
GUJARAT,AMRELI,BABRA,0,0,0,11,0,11,11
GUJARAT,AMRELI,BAGASARA,0,0,0,0,0,0,0
GUJARAT,AMRELI,DHARI,0,0,0,11,0,11,11
GUJARAT,AMRELI,JAFRABAD,0,0,0,0,0,0,0
GUJARAT,AMRELI,KUNKAVAV VADIA,0,0,0,608,0,608,608
GUJARAT,AMRELI,LATHI,0,0,0,11,0,11,11
GUJARAT,AMRELI,LILIA,0,0,0,28,0,28,28
GUJARAT,AMRELI,RAJULA,0,0,0,0,0,0,0
GUJARAT,AMRELI,SAVARKUNDLA,0,0,0,0,0,0,0
GUJARAT,ANAND,ANAND,0,1,2,0,248,251,251
GUJARAT,ANAND,ANKLAV,0,0,0,0,314,314,314
GUJARAT,ANAND,BORSAD,0,0,0,0,747,747,747
GUJARAT,ANAND,KHAMBHAT,22,0,0,1,798,799,821
GUJARAT,ANAND,PETLAD,0,0,0,0,69,69,69
GUJARAT,ANAND,SOJITRA,5,0,0,0,6,6,11
GUJARAT,ANAND,TARAPUR,2,0,0,0,28,28,30
GUJARAT,ANAND,UMRETH,3,0,0,0,37,37,40
GUJARAT,BANASKANTHA,BHABHAR,0,1162,8,67,340,1577,1577
GUJARAT,BANASKANTHA,DANTA,0,0,0,13,0,13,13
GUJARAT,BANASKANTHA,DANTIWADA,8,13,0,265,208,486,494
GUJARAT,BANASKANTHA,DEESA,2,774,5,1718,1792,4289,4291
GUJARAT,BANASKANTHA,DEODAR,1,1115,2,297,3405,4819,4820
GUJARAT,BANASKANTHA,DHANERA,0,56,0,82,65,203,203
GUJARAT,BANASKANTHA,KANKAREJ,68,2139,386,340,1058,3923,3991
GUJARAT,BANASKANTHA,PALANPUR,25,284,426,288,128,1126,1151
GUJARAT,BANASKANTHA,THARAD,0,93,1,357,1902,2353,2353
GUJARAT,BANASKANTHA,VADAGAM,8,211,216,239,414,1080,1088
GUJARAT,BANASKANTHA,WAV,0,207,1,4,238,450,450
GUJARAT,BHARUCH,AMOD,0,0,0,0,43,43,43
GUJARAT,BHARUCH,ANKLESVAR,0,2,0,0,0,2,2
GUJARAT,BHARUCH,BHARUCH,0,7,0,0,0,7,7
GUJARAT,BHARUCH,JAMBUSAR,0,0,0,0,4,4,4
GUJARAT,BHARUCH,JHAGADIA,58,69,0,0,17,86,144
GUJARAT,BHARUCH,VALIA,0,3,0,0,0,3,3
GUJARAT,BHAVNAGAR,BOTAD,0,0,0,0,2,2,2
GUJARAT,BHAVNAGAR,GARIADHAR,0,0,0,0,1,1,1
GUJARAT,BHAVNAGAR,TALAJA,0,0,0,0,0,0,0
GUJARAT,DANG,DANG,0,0,0,0,1,1,1
GUJARAT,GANDHINAGAR,DEHGAM,3,2116,1,0,0,2117,2120
GUJARAT,GANDHINAGAR,GANDHINAGAR,1033,1626,1,0,317,1944,2977
GUJARAT,GANDHINAGAR,KALOL,0,1362,0,0,0,1362,1362
GUJARAT,GANDHINAGAR,MANSA,1,1467,0,0,0,1467,1468
GUJARAT,JUNAGADH,BHESANA,0,272,0,317,0,589,589
GUJARAT,JUNAGADH,JUNAGADH,0,0,0,725,0,725,725
GUJARAT,JUNAGADH,KESHOD,6,0,0,757,156,913,919
GUJARAT,JUNAGADH,KODINAR,0,0,0,0,29,29,29
GUJARAT,JUNAGADH,MALIA,0,0,0,30,209,239,239
GUJARAT,JUNAGADH,MANAVADAR,0,0,0,705,0,705,705
GUJARAT,JUNAGADH,MENDARDA,0,534,1,215,0,750,750
GUJARAT,JUNAGADH,VATHALI,0,0,0,679,0,679,679
GUJARAT,JUNAGADH,VISAVADAR,0,2514,3,20,0,2537,2537
GUJARAT,KACHCHH,ANJAR,49,15,0,1,2,18,67
GUJARAT,KACHCHH,BHACHAU,186,19,0,0,23,42,228
GUJARAT,KACHCHH,BHUJ,87,273,1,13,9,296,383
GUJARAT,KACHCHH,GANDHIDHAM,0,2,0,0,0,2,2
GUJARAT,KACHCHH,LAKHPAT,0,0,0,0,0,0,0
GUJARAT,KACHCHH,MANDVI,8,1,0,0,0,1,9
GUJARAT,KACHCHH,MUNDRA,60,5,0,0,5,10,70
GUJARAT,KACHCHH,NAKHATRANA,144,23,0,0,22,45,189
GUJARAT,KACHCHH,RAPAR,43,0,0,0,1,1,44
GUJARAT,KHEDA,KAPADVANJ,4,0,0,29,0,29,33
GUJARAT,KHEDA,KATHLAL,1,0,0,486,1,487,488
GUJARAT,KHEDA,KHEDA,0,1,0,414,0,415,415
GUJARAT,KHEDA,MAHUDHA,12,0,0,0,15,15,27
GUJARAT,KHEDA,MATAR,2,0,0,5,4,9,11
GUJARAT,KHEDA,MEHMEDABAD,25,0,0,1,51,52,77
GUJARAT,KHEDA,NADIAD,4,0,0,0,12,12,16
GUJARAT,KHEDA,THASRA,1,0,0,486,1,487,488
GUJARAT,MEHSANA,BECHARAJI,3,412,32,0,13,457,460
GUJARAT,MEHSANA,KADI,17,807,89,539,129,1564,1581
GUJARAT,MEHSANA,KHERALU,13,69,13,557,459,1098,1111
GUJARAT,MEHSANA,MEHSANA,72,1573,70,64,275,1982,2054
GUJARAT,MEHSANA,SATLASANA,0,5,12,251,256,524,524
GUJARAT,MEHSANA,UNJHA,45,54,1,4,498,557,602
GUJARAT,MEHSANA,VADNAGAR,40,4,1,329,41,375,415
GUJARAT,MEHSANA,VIJAPUR,0,1347,0,0,23,1370,1370
GUJARAT,MEHSANA,VISNAGAR,49,981,14,26,83,1104,1153
GUJARAT,NARMADA,DEDIAPADA,0,0,0,0,9,9,9
GUJARAT,NARMADA,NANDOD,0,0,0,0,317,317,317
GUJARAT,NARMADA,SAGBARA,0,0,0,0,5,5,5
GUJARAT,NARMADA,TILAKWADA,0,3,0,0,126,129,129
GUJARAT,NAVSARI,BANSDA,0,0,0,0,1,1,1
GUJARAT,NAVSARI,CHIKHLI,2,0,0,0,0,0,2
GUJARAT,NAVSARI,GANDEVI,198,0,1,0,0,1,199
GUJARAT,PANCHMAHAL,GHOGHAMBA,0,7,0,0,0,7,7
GUJARAT,PANCHMAHAL,HALOL,0,2,0,0,0,2,2
GUJARAT,PANCHMAHAL,KALOL,0,2,0,0,0,2,2
GUJARAT,PANCHMAHAL,SHEHERA,0,3,0,0,0,3,3
GUJARAT,PATAN,CHANASMA,0,310,0,323,52,685,685
GUJARAT,PATAN,HARIJ,0,208,1,489,46,744,744
GUJARAT,PATAN,PATAN,38,41,10,396,1368,1815,1853
GUJARAT,PATAN,RADHANPUR,0,11,1,171,20,203,203
GUJARAT,PATAN,SAMI,0,334,1,3,178,516,516
GUJARAT,PATAN,SANTALPUR,0,3,0,0,32,35,35
GUJARAT,PATAN,SIDHPUR,0,348,9,440,502,1299,1299
GUJARAT,PATAN,VAGDOD,0,108,3,18,560,689,689
GUJARAT,PORBANDAR,KUTIYANA,0,0,0,2,0,2,2
GUJARAT,PORBANDAR,PORBANDAR,0,0,0,109,0,109,109
GUJARAT,PORBANDAR,RANAVAV,0,0,0,40,0,40,40
GUJARAT,RAJKOT,DHORAJI,0,30,138,215,833,1216,1216
GUJARAT,RAJKOT,GONDAL,0,0,49,138,78,265,265
GUJARAT,RAJKOT,JAMKANDORNA,10,0,18,167,150,335,345
GUJARAT,RAJKOT,JASDAN,39,28,284,81,5,398,437
GUJARAT,RAJKOT,JETPUR,0,0,98,203,32,333,333
GUJARAT,RAJKOT,LODHIKA,0,0,1,177,21,199,199
GUJARAT,RAJKOT,MALIYA,0,0,1,0,24,25,25
GUJARAT,RAJKOT,MORVI,0,19,144,142,0,305,305
GUJARAT,RAJKOT,PADDHARI,0,0,0,13,41,54,54
GUJARAT,RAJKOT,RAJKOT,0,11,7,5,174,197,197
GUJARAT,RAJKOT,TANKARA,0,78,26,60,21,185,185
GUJARAT,RAJKOT,UPLETA,0,9,0,490,74,573,573
GUJARAT,RAJKOT,WANKANER,0,1,503,664,1,1169,1169
GUJARAT,SABARKANTHA,BAYAD,0,0,0,1,0,1,1
GUJARAT,SABARKANTHA,BHILODA,0,4,20,452,0,476,476
GUJARAT,SABARKANTHA,HIMATNAGAR,0,13,0,433,0,446,446
GUJARAT,SABARKANTHA,IDAR,0,0,0,4,0,4,4
GUJARAT,SABARKANTHA,KHEDBRAHMA,0,0,0,1,0,1,1
GUJARAT,SABARKANTHA,MEGHRAJ,0,0,0,19,0,19,19
GUJARAT,SABARKANTHA,MODASA,0,0,0,20,0,20,20
GUJARAT,SABARKANTHA,PRANTIJ,0,0,0,286,0,286,286
GUJARAT,SABARKANTHA,TALOD,0,0,0,5,0,5,5
GUJARAT,SABARKANTHA,VIJAYNAGAR,0,0,0,9,0,9,9
GUJARAT,SURAT,MAHUVA,0,0,0,0,1,1,1
GUJARAT,SURAT,MANGROL,0,0,0,0,4,4,4
GUJARAT,SURAT,NIZAR,0,0,0,0,7,7,7
GUJARAT,SURAT,SONGADH,0,0,0,0,3,3,3
GUJARAT,SURAT,UMARPADA,0,0,0,0,1,1,1
GUJARAT,SURAT,VYARA,0,0,0,0,3,3,3
GUJARAT,SURENDRANAGAR,CHOTILA,0,286,177,184,3,650,650
GUJARAT,SURENDRANAGAR,CHUDA,0,0,0,0,1,1,1
GUJARAT,SURENDRANAGAR,DASADA,11,172,0,38,183,393,404
GUJARAT,SURENDRANAGAR,DHRANGADHRA,1,220,2045,571,223,3059,3060
GUJARAT,SURENDRANAGAR,HALVAD,1,267,1305,683,747,3002,3003
GUJARAT,SURENDRANAGAR,LAKHTAR,0,0,0,0,58,58,58
GUJARAT,SURENDRANAGAR,LIMDI,6,0,0,15,1,16,22
GUJARAT,SURENDRANAGAR,MULI,0,620,532,386,84,1622,1622
GUJARAT,SURENDRANAGAR,SAYLA,0,91,106,176,2,375,375
GUJARAT,SURENDRANAGAR,WADHWAN,482,0,0,0,21,21,503
GUJARAT,VADODARA,CHHOTA UDAIPUR,1,0,0,4,1,5,6
GUJARAT,VADODARA,DABHOI,0,351,0,0,5,356,356
GUJARAT,VADODARA,JETPUR  PAVI,4,9,0,0,1,10,14
GUJARAT,VADODARA,KARJAN,1,873,2,49,5,929,930
GUJARAT,VADODARA,KAVANT,26,12,0,8,7,27,53
GUJARAT,VADODARA,NASVADI,0,9,0,0,1,10,10
GUJARAT,VADODARA,PADARA,3,954,2,0,3,959,962
GUJARAT,VADODARA,SANKHEDA,0,7,0,0,11,18,18
GUJARAT,VADODARA,SAVLI,12,25,0,0,1,26,38
GUJARAT,VADODARA,SINOR,3,55,0,0,25,80,83
GUJARAT,VADODARA,VADODARA,262,177,0,52,22,251,513
GUJARAT,VADODARA,VAGHODIA,4,0,0,9,0,9,13
HARYANA,AMBALA,AMBALA,0,635,5,0,2033,2673,2673
HARYANA,AMBALA,AMBALA-1,0,0,0,0,38,38,38
HARYANA,AMBALA,BARARA,0,234,2,0,207,443,443
HARYANA,AMBALA,NARAINGARH,0,54,2,0,9,65,65
HARYANA,AMBALA,SAHA,0,0,0,0,3,3,3
HARYANA,AMBALA,SHAHAZADPUR,0,102,3,0,329,434,434
HARYANA,BHIWANI,BADHRA,0,134,0,0,0,134,134
HARYANA,BHIWANI,DADRI-I,0,0,0,0,88,88,88
HARYANA,BHIWANI,DADRI-II,0,20,0,0,30,50,50
HARYANA,FARIDABAD,FARIDABAD,0,0,0,0,28,28,28
HARYANA,FATEHABAD,BHUNA,0,22,1,7,235,265,265
HARYANA,FATEHABAD,FATEHABAD,0,54,7,75,779,915,915
HARYANA,FATEHABAD,RATIA,0,3,0,8,197,208,208
HARYANA,FATEHABAD,TOHANA,0,348,2,0,1098,1448,1448
HARYANA,GURGAON,FEROZEPUR JHIRKA,0,0,0,0,234,234,234
HARYANA,GURGAON,GURGAON,0,0,0,0,10,10,10
HARYANA,GURGAON,NAGINA,0,0,0,0,0,0,0
HARYANA,GURGAON,PUNHANA,0,0,0,0,18,18,18
HARYANA,HISSAR,AGROHA,0,0,0,0,132,132,132
HARYANA,HISSAR,BARWALA,0,0,0,2,23,25,25
HARYANA,HISSAR,HISSAR-II,0,0,0,0,78,78,78
HARYANA,HISSAR,UKLANA,0,0,0,0,93,93,93
HARYANA,JHAJJAR,MATANHAIL,0,0,0,0,239,239,239
HARYANA,JHAJJAR,SAHLAWAS,0,0,0,0,89,89,89
HARYANA,JIND,ALEWA,0,7,0,5,94,106,106
HARYANA,JIND,JIND,0,0,1,0,88,89,89
HARYANA,JIND,JULANA,0,57,29,1,321,408,408
HARYANA,JIND,NARWANA,0,0,0,0,369,369,369
HARYANA,JIND,PILLU KHERA,0,16,0,93,16,125,125
HARYANA,JIND,SAFIDON,0,0,0,0,117,117,117
HARYANA,JIND,UCHANA,0,0,0,8,266,274,274
HARYANA,KAITHAL,GUHLA,0,0,0,0,1676,1676,1676
HARYANA,KAITHAL,KAITHAL,0,0,0,0,726,726,726
HARYANA,KAITHAL,KALAYAT,0,0,0,0,169,169,169
HARYANA,KAITHAL,PUNDRI,0,1,0,0,527,528,528
HARYANA,KAITHAL,RAJOND,0,0,0,0,202,202,202
HARYANA,KARNAL,ASSANDH,0,169,0,0,711,880,880
HARYANA,KARNAL,GHARAUNDA,0,2,0,0,488,490,490
HARYANA,KARNAL,INDRI,0,16,0,0,223,239,239
HARYANA,KARNAL,KARNAL,0,9,0,0,351,360,360
HARYANA,KARNAL,NILOKHERI,0,0,0,0,303,303,303
HARYANA,KARNAL,NISSING,0,0,0,0,77,77,77
HARYANA,KURUKSHETRA,BABAIN,0,0,0,0,16,16,16
HARYANA,KURUKSHETRA,LADWA,0,0,0,0,1,1,1
HARYANA,KURUKSHETRA,PEHOWA,0,18,1,0,2209,2228,2228
HARYANA,KURUKSHETRA,SHAHBAD,0,0,0,0,604,604,604
HARYANA,KURUKSHETRA,THANESAR,0,0,0,0,492,492,492
HARYANA,MAHENDRAGARH,ATELI NANGAL,0,0,0,0,9,9,9
HARYANA,MAHENDRAGARH,NANGAL CHAUDHARY,0,0,0,2,626,628,628
HARYANA,MAHENDRAGARH,NARNAUL,0,0,0,0,21,21,21
HARYANA,PANCHKULA,BARWALA,0,4,0,1,48,53,53
HARYANA,PANCHKULA,PINJORE,0,6,0,1,67,74,74
HARYANA,PANCHKULA,RAIPUR RANI,0,17,2,10,82,111,111
HARYANA,PANIPAT,BAPAULI,0,12,0,0,271,283,283
HARYANA,PANIPAT,ISRANA,0,0,0,0,323,323,323
HARYANA,PANIPAT,MADLAUDA,0,0,0,0,278,278,278
HARYANA,PANIPAT,PANIPAT,0,0,0,0,183,183,183
HARYANA,PANIPAT,SMALKHA,0,146,0,0,212,358,358
HARYANA,REWARI,BAWAL,0,0,0,0,5,5,5
HARYANA,REWARI,JATUSANA,0,0,0,0,67,67,67
HARYANA,REWARI,NAHAR,0,7,0,0,193,200,200
HARYANA,REWARI,REWARI,0,0,0,0,15,15,15
HARYANA,SIRSA,ELLENABAD,0,0,6,0,7,13,13
HARYANA,SIRSA,NATHUSARI CHOPTA,0,134,23,30,101,288,288
HARYANA,SIRSA,RANIA,0,0,0,0,25,25,25
HARYANA,SIRSA,SIRSA,0,20,7,0,1794,1821,1821
HARYANA,SONEPAT,GANAUR,0,49,0,7,312,368,368
HARYANA,SONEPAT,SONEPAT,0,4,0,0,197,201,201
HARYANA,YAMUNANAGAR,BILASPUR,0,71,13,0,132,216,216
HARYANA,YAMUNANAGAR,CHHACHHRAULI,0,3,0,0,1,4,4
HARYANA,YAMUNANAGAR,MUSTAFABAD,0,0,0,0,47,47,47
HARYANA,YAMUNANAGAR,RADAUR,0,0,0,0,1,1,1
HARYANA,YAMUNANAGAR,SADHAURA,0,8,1,0,4,13,13
HIMACHAL PRADESH,Kangra,BAROH,1,0,0,0,0,0,1
HIMACHAL PRADESH,Kangra,FATEHPUR (ST),4,1,1,2,6,10,14
HIMACHAL PRADESH,Kangra,INDORA,46,3,0,0,0,3,49
HIMACHAL PRADESH,Kangra,JAWALI,17,0,0,0,0,0,17
HIMACHAL PRADESH,Kangra,NURPUR,2,2,1,0,24,27,29
HIMACHAL PRADESH,Kullu,KULLU,0,0,0,0,2,2,2
HIMACHAL PRADESH,Sirmaur,NAHAN,0,0,0,3,0,3,3
HIMACHAL PRADESH,Sirmaur,PAONTA SAHIB,1,0,0,3,4,7,8
HIMACHAL PRADESH,Solan,NALAGARH,11,3,3,1,19,26,37
HIMACHAL PRADESH,Una,AMB,45,0,0,0,36,36,81
HIMACHAL PRADESH,Una,BANGANA,1,0,0,0,0,0,1
HIMACHAL PRADESH,Una,HAROLI (ST),18,0,0,0,15,15,33
HIMACHAL PRADESH,Una,UNA,73,0,0,0,1,1,74
JAMMU & KASHMIR,JAMMU,BISHNAH,2,0,0,0,0,0,2
JAMMU & KASHMIR,JAMMU,R. S. PURA,3,0,0,0,5,5,8
JAMMU & KASHMIR,JAMMU,SAMBA,0,0,0,0,5,5,5
JAMMU & KASHMIR,KATHUA,GHAGWAL,3,0,1,0,0,1,4
JHARKHAND,CHATRA,HANTARGANJ,0,0,0,1,0,1,1
JHARKHAND,DUMKA,RANESHWAR,0,0,5,0,0,5,5
JHARKHAND,GARHWA,RAMNA,0,0,0,1,0,1,1
JHARKHAND,GARHWA,RANKA,0,0,0,2,0,2,2
JHARKHAND,GIRIDIH,GAWA,0,0,0,6,0,6,6
JHARKHAND,HAZARIBAGH,CHURCHU,0,0,0,4,0,4,4
JHARKHAND,SAHEBGANJ,PATANA,0,4,0,1,0,5,5
JHARKHAND,SARAIKELA,GAMHARIYA,0,0,1,0,0,1,1
JHARKHAND,WEST SINGHBHUM,BANDGAON,0,0,1,0,0,1,1
JHARKHAND,WEST SINGHBHUM,JAGANATHPUR,0,0,1,0,0,1,1
KARNATAKA,Bangalore,BANGALORE SOUTH,1,0,0,0,0,0,1
KARNATAKA,Bangalore Rural,DODDBALLAPUR,0,1,0,0,0,1,1
KARNATAKA,Bangalore Rural,HOSKOTE,0,1,0,0,0,1,1
KARNATAKA,Belgaum,BAILAHONGAL,0,0,0,1,0,1,1
KARNATAKA,Belgaum,BELGAUM,1,0,0,0,0,0,1
KARNATAKA,Belgaum,GOKAK,0,0,0,1,0,1,1
KARNATAKA,Belgaum,KHANAPUR,0,0,0,0,0,0,0
KARNATAKA,Belgaum,SOUNDATTI,1,0,0,0,0,0,1
KARNATAKA,Bellary,BELLARY,1,0,0,0,0,0,1
KARNATAKA,Bijapur,BASAVANA BAGEWADI,0,1,0,0,0,1,1
KARNATAKA,Bijapur,MUDDEBIHAL,0,0,0,0,1,1,1
KARNATAKA,Chikmagalur,NARASIMHARAJAPURA,2,0,0,1,0,1,3
KARNATAKA,Chikmagalur,TARIKERE,1,0,0,0,0,0,1
KARNATAKA,Chitradurga,CHITRADURGA,1,0,0,0,0,0,1
KARNATAKA,Dakshina Kannada,BELTHANGADI,1,0,0,0,0,0,1
KARNATAKA,Davanagere,HARPANAHALLI,0,1,1,0,0,2,2
KARNATAKA,Dharwar,KUNDGOL,0,0,0,0,0,0,0
KARNATAKA,Kolar,CHIKBALLAPUR,0,2,0,0,1,3,3
KARNATAKA,Kolar,GUDIBANDA,0,0,1,0,0,1,1
KARNATAKA,Kolar,MULBAGAL,0,0,0,1,0,1,1
KARNATAKA,Kolar,SRINIVASPUR,0,0,0,1,0,1,1
KARNATAKA,Mandya,MADDUR,1,0,0,0,0,0,1
KARNATAKA,Mandya,MALAVALLI,0,1,0,1,0,2,2
KARNATAKA,Mandya,PANDAVAPURA,0,1,0,0,0,1,1
KARNATAKA,Tumkur,TURUVEKERE,1,0,0,0,0,0,1
KERALA,ALAPPUZHA,MAVELIKARA,0,2,0,0,0,2,2
KERALA,ERANAKULAM,KALAMASSERY,8,0,0,0,0,0,8
KERALA,ERANAKULAM,KOTHAMANGALAM-999,3,0,0,0,0,0,3
KERALA,IDDUKKI,NEDUMKANDAM,2,0,0,14,18,32,34
KERALA,KANNUR,EDAKKAD,0,0,0,0,0,0,0
KERALA,KANNUR,IRIKKUR,9,0,0,0,0,0,9
KERALA,KANNUR,THALIPARAMBA,17,0,0,0,0,0,17
KERALA,KASARAGODE,KANHANGAD,4,0,0,1,0,1,5
KERALA,KASARAGODE,KASARAGODE,0,0,4,5,0,9,9
KERALA,KASARAGODE,MANJESWARAM,0,4,4,3,2,13,13
KERALA,KOLLAM,ITHIKKARA,1,0,0,0,1,1,2
KERALA,KOLLAM,VETTIKKAVALA,0,0,0,0,1,1,1
KERALA,KOTTAYAM,ERATTUPETTAH,0,0,0,0,5,5,5
KERALA,KOTTAYAM,LALAM,0,0,0,1,0,1,1
KERALA,KOTTAYAM,UZHAVOOR,5,0,0,0,0,0,5
KERALA,KOZHIKODE,KODUVALLY,0,0,0,0,1,1,1
KERALA,MALAPPURAM,MALAPPURAM,0,3,4,1,0,8,8
KERALA,MALAPPURAM,MANKADA,5,0,0,3,3,6,11
KERALA,MALAPPURAM,PERINTHALMANNA,4,0,0,1,0,1,5
KERALA,PALAKKAD,ALATHUR,19,0,0,0,4,4,23
KERALA,PALAKKAD,MANNARKKAD,2,0,0,0,0,0,2
KERALA,PALAKKAD,OTTAPPALAM,14,0,0,0,0,0,14
KERALA,PATHANAMTHITTA,KOIPURAM,0,0,0,1,1,2,2
KERALA,PATHANAMTHITTA,MALLAPPALLY,2,0,0,1,0,1,3
KERALA,PATHANAMTHITTA,RANNI,4,0,0,0,4,4,8
KERALA,THIRUVANANTHAPURAM,KILIMANOOR,0,0,0,0,0,0,0
KERALA,THIRUVANANTHAPURAM,PERUMKADAVILA,0,0,0,1,0,1,1
KERALA,THRISSUR,MALA,13,0,0,0,0,0,13
KERALA,THRISSUR,OLLUKKARA,1,0,0,0,0,0,1
KERALA,THRISSUR,PAZHAYANNUR,1,0,0,0,6,6,7
KERALA,THRISSUR,VADAKKANCHERRY,5,0,0,0,0,0,5
MADHYA PRADESH,BALAGHAT,KHAIRLANJI,3,0,0,0,0,0,3
MADHYA PRADESH,BALAGHAT,KIRNAPUR,6,0,0,1,0,1,7
MADHYA PRADESH,BALAGHAT,LANJI,24,0,0,0,0,0,24
MADHYA PRADESH,BALAGHAT,WARASEONI,10,0,0,0,0,0,10
MADHYA PRADESH,BARWANI,BARWANI,0,0,0,71,0,71,71
MADHYA PRADESH,BARWANI,NIWALI,0,0,0,0,0,0,0
MADHYA PRADESH,BARWANI,PANSEMAL,0,7,0,33,0,40,40
MADHYA PRADESH,BARWANI,PATI,0,0,0,9,0,9,9
MADHYA PRADESH,BARWANI,RAJPUR,0,55,0,547,0,602,602
MADHYA PRADESH,BARWANI,SENDHWA,0,0,0,246,0,246,246
MADHYA PRADESH,BARWANI,THIKRI,0,0,0,434,0,434,434
MADHYA PRADESH,BETUL,AMLA,0,8,0,230,155,393,393
MADHYA PRADESH,BETUL,ATHNER,0,0,0,0,22,22,22
MADHYA PRADESH,BETUL,BETUL,0,2,1,208,679,890,890
MADHYA PRADESH,BETUL,BHAINSDEHI,0,0,0,0,15,15,15
MADHYA PRADESH,BETUL,BHIMPURA,0,1,0,10,6,17,17
MADHYA PRADESH,BETUL,CHICHOLI,0,0,0,0,5,5,5
MADHYA PRADESH,BETUL,GHODA DONGRI,0,0,0,43,20,63,63
MADHYA PRADESH,BETUL,MULTAI,0,8,6,56,1,71,71
MADHYA PRADESH,BETUL,PRABHAT PATTAN,0,2,0,153,28,183,183
MADHYA PRADESH,BHIND,ATER,0,0,0,8,1,9,9
MADHYA PRADESH,BHIND,BHIND,0,14,22,43,1,80,80
MADHYA PRADESH,BHIND,GOHAD,0,1,0,89,0,90,90
MADHYA PRADESH,BHIND,LAHAR,0,82,11,17,7,117,117
MADHYA PRADESH,BHIND,MEHAGOAN,0,0,0,50,7,57,57
MADHYA PRADESH,BHIND,ROUN(MIHONA),0,76,3,39,8,126,126
MADHYA PRADESH,BHOPAL,BERASIA,17,82,0,2,5,89,106
MADHYA PRADESH,BHOPAL,FUNDA,8,1,2,4,119,126,134
MADHYA PRADESH,CHHATARPUR,BADAMALAHERA,84,0,0,0,0,0,84
MADHYA PRADESH,CHHATARPUR,BIJAWAR,12,0,0,0,0,0,12
MADHYA PRADESH,CHHATARPUR,GAURIHAR,3,0,0,0,0,0,3
