-----
{
 "description": "The table refers to district wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.12.csv", 
 "title": "Download CSV for Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"KERALA","ERANAKULAM",1043,619,290,33
"KERALA","IDUKKI",202,32,30,42
"KERALA","KANNUR",713,136,158,38
"KERALA","KASARAGODE",80,17,770,318
"KERALA","KOLLAM",19,750,100,253
"KERALA","KOTTAYAM",1186,20,334,54
"KERALA","KOZHIKODE",497,0,70,160
"KERALA","MALAPPURAM",2112,430,395,6
"KERALA","PALAKKAD",2268,337,85,23
"KERALA","PATHANAMTHITTA",80,1026,181,25
"KERALA","THIRUVANANTHAPURAM",14,25,133,72
"KERALA","THRISSUR",2061,564,1132,46
"KERALA","WAYANAD",713,85,151,20
"MADHYA PRADESH","BALAGHAT",703,1,26,0
"MADHYA PRADESH","BASTAR",1933,2,61,1
"MADHYA PRADESH","BETUL",7347,1,53,16
"MADHYA PRADESH","BHIND",160,0,97,1
"MADHYA PRADESH","BHOPAL",2700,2,27,41
"MADHYA PRADESH","BILASPUR",81,2,8,1
"MADHYA PRADESH","CHHATARPUR",4615,1,91,6
"MADHYA PRADESH","CHHINDWARA",1688,3,81,55
"MADHYA PRADESH","DAMOH",12061,2,53,61
"MADHYA PRADESH","DATIA",51,0,57,0
"MADHYA PRADESH","DEWAS",3204,5,34,34
"MADHYA PRADESH","DHAR",4498,0,34,119
"MADHYA PRADESH","DURG",833,7,49,7
"MADHYA PRADESH","GUNA",8394,2,44,18
"MADHYA PRADESH","GWALIOR",1731,2,103,13
"MADHYA PRADESH","HOSHANGABAD",8483,0,49,30
"MADHYA PRADESH","INDORE",1182,0,47,131
"MADHYA PRADESH","JABALPUR",3151,32,44,30
"MADHYA PRADESH","JHABUA",11242,4,54,56
