-----
{
 "description": "The table shows the Annual Growth Rate of Gross National Product and Net National Product for the years 1951-52 to 2011-12. It gives the percentage growth rate of Gross National Income at factor cost, Net National Income at factor cost and Per Capita Net National Income at current prices and at ...", 
 "file_name": "tab12.xls", 
 "title": "Download XLS for Annual Growth Rate of Gross National Product and Net National Product(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab12.xls"
}
-----
"1.2 ANNUAL GROWTH RATES OF GROSS NATIONAL INCOME AND NET NATIONAL INCOME","","","","","",""
"1998-99",15.2929387731,6.68650967159,15.7627852977,6.65221664801,13.5252543509,4.59078011056
"1999-00",10.7675798063,7.56148201054,10.4252799429,7.52169995258,8.4396105733,5.58824281057
"2000-01",7.50106788705,3.99451113339,7.11010638665,3.67811600769,5.21807310406,1.84670669646
"2001-02",9.06068285907,5.67952854223,8.87842790293,5.58490660762,6.67992118566,3.45290368573
"2002-03",8.09398707838,4.12329714403,8.15612763794,3.99984581588,6.5173984313,2.42409057624
"2003-04",12.0610667834,8.04906411702,12.2402036251,8.23968804423,10.5649767053,6.62417031223
"2004-05 ",13.3607337308,6.96266142557,12.87241862,6.61390422392,11.1093413827,4.94858553921
"2005-06",14.1,9.5,14.1,9.4,12.4,7.8
"2006-07",16.5,9.5,16.7,9.4,15.0,7.9
"2007-08 ",16.4,9.7,16.4,9.6,14.8,8.1
"2008-09 ",15.5,6.5,15.4,6.2,13.8,4.7
"2009-10(3R)",15.2,8.6,15.0,8.2,13.4,6.8
"2010-11(2R)",18.4,8.8,18.7,8.7,17.1,7.2
"2011-12(IR)",15.2,6.4,15.2,6.1,13.7,4.7
"","","","","","",""
"","ANNUAL AVERAGE GROWTH RATES","","","","",""
"FIRST PLAN (1951-56) ",1.79446097481,3.66860525777,1.87170587873,4.24561666428,0.0458383144136,2.3754404837
"SECOND PLAN (1956-61) ",9.5246515027,4.20424557402,9.59674191427,4.24826351746,7.44062133882,2.19861716517
"THIRD PLAN (1961-66) ",9.61489641074,2.77704103051,9.5203050814,2.5869733934,7.11649156061,0.334579589621
"THREE ANNUAL PLANS (1966-69) ",12.240603871,3.91520325261,12.2075852951,3.7374064002,9.77628507174,1.48506180496
"FOURTH PLAN (1969-74) ",11.0970308381,3.38762888872,10.8317004267,3.1665043649,8.354351383,0.862105015963
"FIFTH PLAN (1974-79) ",10.6835711719,4.94727895994,10.3913779968,4.91913270416,7.97093659303,2.61657608568
"ANNUAL PLAN (1979-80) ",9.42865223214,-5.0395619106,8.38222515571,-5.9243728782,5.77060527244,-8.19125545945
"SIXTH PLAN (1980-85) ",15.3488337545,5.39038996972,15.2691650334,5.36448633268,12.8297822269,3.13440240826
"SEVENTH PLAN (1985-90) ",14.0760866537,5.5641203847,13.8153741862,5.4987187494,11.4180798836,3.27676109021
"TWO ANNUAL PLANS (1990-92) ",15.6991595706,3.23186812564,15.2689304947,2.83426934675,12.9563137245,0.770899457069
"EIGHTH PLAN (1992-97) ",16.3899336249,6.62370040911,16.555150445,6.7015560678,14.2472753052,4.589662903
"NINTH PLAN (1997-2002) ",10.78566547,5.68619320184,10.6492772324,5.51568177538,8.57174573356,3.53511054019
"TENTH PLAN (2002-2007)",12.8231575185,7.62700453732,12.8137499766,7.53068761681,11.1183433039,5.93936928554
"ELEVENTH PLAN (2007-2012)1R",16.14,8.0,16.14,7.76,14.56,6.3
"Source : Based on data in Table 1.1.","1R : 1st Revised Estimates.","","","2R:2nd Revised Estimates","","3R:3rd Revised Estimates"
