-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.3.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to the holding size for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.3.csv"
}
-----
"State","District","Marginal (0-1 Ha)","Small (1-2 Ha)","Medium (2-10 Ha)","Big (Greater than 10 Ha)","Total"
"UTTAR PRADESH","ALLAHABAD",71,184,157,7,419
"UTTAR PRADESH","ALMORA",6,3,2,1,12
"UTTAR PRADESH","AZAMGARH",25,12,8,0,45
"UTTAR PRADESH","BALLIA",0,0,0,1,1
"UTTAR PRADESH","BANDA",30,224,217,29,500
"UTTAR PRADESH","BIJNOR",0,0,0,0,0
"UTTAR PRADESH","DEHRADUN",71,75,67,11,224
"UTTAR PRADESH","DEORIA",0,0,0,0,0
"UTTAR PRADESH","ETAWAH",3,7,8,0,18
"UTTAR PRADESH","FARUKHABAD",3,14,0,0,17
"UTTAR PRADESH","FATEHPUR",0,10,12,0,22
"UTTAR PRADESH","GONDA",74,126,139,17,356
"UTTAR PRADESH","HAMIRPUR",0,2,3,2,7
"UTTAR PRADESH","JALAUN",42,125,138,31,336
"UTTAR PRADESH","JAUNPUR",14,8,1,0,23
"UTTAR PRADESH","JHANSI",77,32,31,3,143
"UTTAR PRADESH","KANPUR DEHAT",2,6,6,159,173
"UTTAR PRADESH","KUSHI NAGAR",0,0,0,0,0
"UTTAR PRADESH","LALITPUR",0,0,0,1,1
"UTTAR PRADESH","LUCKNOW",0,1,0,0,1
"UTTAR PRADESH","MAHRAJGANJ",5,5,2,0,12
"UTTAR PRADESH","MIRZAPUR",117,169,78,11,375
"UTTAR PRADESH","NAINITAL",4,1,1,0,6
"UTTAR PRADESH","PAURI GARHWAL",3,1,2,0,6
"UTTAR PRADESH","RAEBARELY",0,1,0,0,1
"UTTAR PRADESH","SANT RAVIDAS NAGAR",17,18,5,0,40
"UTTAR PRADESH","TEHRI GARHWAL",0,0,0,0,0
"UTTAR PRADESH","UDHAMSINGH NAGAR",8,5,17,15,45
"UTTAR PRADESH","UTTARKASHI",0,0,0,0,0
"UTTAR PRADESH","VARANASI",24,13,0,0,37
"WEST BENGAL","BANKURA",890,1092,564,200,2746
"WEST BENGAL","BIRBHUM",4281,7046,4790,561,16678
"WEST BENGAL","BURDWAN",2121,2237,1608,209,6175
"WEST BENGAL","COOCHBEHAR",1561,338,170,7,2076
"WEST BENGAL","DAKSHIN DINAJPUR",271,646,394,78,1389
"WEST BENGAL","DARJEELING",0,0,1,11,12
"WEST BENGAL","HOOGLY",2103,1124,498,84,3809
"WEST BENGAL","HOWRAH",6655,1282,398,80,8415
"WEST BENGAL","JALPAIGURI",112,89,42,24,267
"WEST BENGAL","MALDA",324,388,148,46,906
"WEST BENGAL","MIDNAPORE",9342,3044,1333,114,13833
"WEST BENGAL","MURSHIDABAD",858,1016,732,25,2631
"WEST BENGAL","NADIA",0,0,0,0,0
"WEST BENGAL","NORTH 24 PARGANAS",758,86,10,131,985
"WEST BENGAL","PURULIA",76,107,86,8,277
"WEST BENGAL","SOUTH 24 PARGANAS",14658,857,379,58,15952
"WEST BENGAL","UTTAR DINAJPUR",48,76,31,4,159
"ANDAMAN & NICOBARS","ANDAMAN",85,400,681,1,1167
"ANDAMAN & NICOBARS","NICOBARS",0,0,39,0,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",11,12,8,2,33
"PONDICHERRY","KARAIKAL",6,0,0,0,6
"PONDICHERRY","YANAM",301,56,38,0,395
