-----
{
 "description": "The table gives outstanding advances against Sensitive Commodities for Scheduled Commercial Banks since 2003. Sensitive commodities include food commodities as well as non food commodities.\r\r", 
 "file_name": "tab44.xls", 
 "title": "Download XLS for Scheduled Commercial Banks: Outstanding Advances Against Sensitive Commodities(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab44.xls"
}
-----
"","","","","","","","","","","","","","REVISED","","","",""
"21. Other Veg. oil",539.0,609.0,603.0,1066.0,727.0,948.0,1370.0,986.8718,1083.0,1587.0,910.0,1697.0,-173.0,110.0,"",-173.0,110.0
"22. Vanaspati",203.0,200.0,162.0,198.0,211.0,886.0,223.0,177.544,418.0,484.0,412.0,470.0,-6.0,-14.0,"",-6.0,-14.0
"23. Cotton & Kapas",2213.0,2839.0,2446.0,4153.0,4817.0,5487.0,6061.0,6655.2978,8636.0,15559.0,5915.0,13734.0,-2721.0,-1825.0,"",-2721.0,-1825.0
"24. Raw Jute",170.0,237.0,279.0,209.0,293.0,373.0,352.0,1379.5411,426.0,639.0,459.0,514.0,33.0,-125.0,"",33.0,-125.0
"Total",14311.0,15838.0,15624.0,21274.0,25528.0,35226.0,35776.0,39177.5607,45397.0,68940.0,39217.0,64229.0,-6180.0,-4711.0,"",-6180.0,-4711.0
"","","","","","","","","","","","","","","","","",""
"a  Data are provisional","","","","","","","","","","","","","","","","",""
"Note : Effective from October 10, 2000 all commodities except unreleased stocks of levy sugar stand exempted from selective credit controls.","","","","","","","","","","","","","","","","",""
"Figures may not add up to total due to rounding.","","","","","","","","","","","","","","","","",""
"Source : Reserve Bank of India.","","","","","","","","","","","","","","","","",""
"","","","","",25528.0,35226.0,"","","","","",23,"",-6180.0,"","",""
