-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.8.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Submersible pumps,Turbine pumps,Others,Total
BIHAR,AURANGABAD,BARUN,17,5,1,23
BIHAR,AURANGABAD,DEO,6,0,0,6
BIHAR,AURANGABAD,GOH,10,2,0,12
BIHAR,AURANGABAD,HASPURA,8,2,0,10
BIHAR,AURANGABAD,KUTUMBA,11,6,24,41
BIHAR,AURANGABAD,OBRA,1,2,0,3
BIHAR,BANKA,BANKA,1,0,0,1
BIHAR,BANKA,DHORAIYA,2,0,0,2
BIHAR,BEGUSARAI,BACHHAWARA,8,2,0,10
BIHAR,BEGUSARAI,BAKHRI,8,5,0,13
BIHAR,BEGUSARAI,BALLIA,6,2,2,10
BIHAR,BEGUSARAI,BARAUNI,20,0,0,20
BIHAR,BEGUSARAI,BEGUSARAI,43,2,0,45
BIHAR,BEGUSARAI,BHAGWANPUR,8,6,0,14
BIHAR,BEGUSARAI,BIRPUR,4,2,0,6
BIHAR,BEGUSARAI,CH.BARIYARPUR,9,6,0,15
BIHAR,BEGUSARAI,CHHAURAHI,18,4,0,22
BIHAR,BEGUSARAI,DANDARI,7,1,0,8
BIHAR,BEGUSARAI,GADHPURA,18,0,1,19
BIHAR,BEGUSARAI,KHODAWANDPUR,11,0,1,12
BIHAR,BEGUSARAI,MANSOORCHAK,4,0,0,4
BIHAR,BEGUSARAI,MATIHANI,1,16,0,17
BIHAR,BEGUSARAI,NAWAKOTHI,16,0,1,17
BIHAR,BEGUSARAI,S.KAMAL,7,0,0,7
BIHAR,BEGUSARAI,TEGHRA,0,9,4,13
BIHAR,BHAGALPUR,BIHPUR,16,1,0,17
BIHAR,BHAGALPUR,GOPALPUR,10,0,0,10
BIHAR,BHAGALPUR,GOURADIH,3,1,0,4
BIHAR,BHAGALPUR,JAGDISHPUR,1,0,0,1
BIHAR,BHAGALPUR,KAHALGAON,2,0,0,2
BIHAR,BHAGALPUR,KHARIK,14,0,0,14
BIHAR,BHAGALPUR,NATHNAGAR,7,13,0,20
BIHAR,BHAGALPUR,NAVGACHHIA,14,5,0,19
BIHAR,BHAGALPUR,RANGRA CHOWK,6,0,0,6
BIHAR,BHAGALPUR,SABOUR,15,0,0,15
BIHAR,BHAGALPUR,SANHAULA,14,0,0,14
BIHAR,BHAGALPUR,SULTANGANJ,22,11,0,33
BIHAR,BHOJPUR,ARA,37,2,0,39
