-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,3,427,430,4,926,931,4,786,790
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,890,890,0,2346,2346,0,2030,2030
ANDHRA PRADESH,CHITTOOR,NAGARI,1,1635,1636,8,3072,3080,8,3003,3011
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,7,714,721,8,879,886,5,786,792
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,838,838,0,1239,1239,0,427,427
ANDHRA PRADESH,CHITTOOR,NINDRA,0,1207,1207,0,2486,2486,0,2174,2174
ANDHRA PRADESH,CHITTOOR,PAKALA,0,2198,2198,0,2331,2331,0,1244,1244
ANDHRA PRADESH,CHITTOOR,PALAMANER,0,1854,1854,0,2032,2032,0,1820,1820
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1,1455,1456,1,2444,2445,1,1745,1745
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,4,1734,1738,11,2714,2725,8,1703,1711
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,752,752,0,900,900,0,446,446
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,2,431,433,2,261,262,0,137,137
ANDHRA PRADESH,CHITTOOR,PENUMURU,1,1318,1319,1,1332,1333,1,1050,1050
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,1101,1101,0,2676,2676,0,2676,2676
ANDHRA PRADESH,CHITTOOR,PILERU,2,954,956,2,1299,1301,2,455,457
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,492,492,0,832,832,0,511,511
