-----
{
 "description": "The table refers to Block wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.16.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.16.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No in use - Public,No in use - Private,Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Total potential created,Potential utilised - Public,Potential utilised - Private,Total potential utilised
KERALA,MALAPPURAM,NILAMBOOR,0,462,462,0,227,227,0,205,205
KERALA,MALAPPURAM,PERINTHALMANNA,6,607,613,14,799,813,8,551,559
KERALA,MALAPPURAM,PERINTHALMANNA MUNI,0,150,150,0,104,104,0,85,85
KERALA,MALAPPURAM,PONNANI,0,301,301,0,224,224,0,180,180
KERALA,MALAPPURAM,PONNANI MUNI,0,157,157,0,60,60,0,60,60
KERALA,MALAPPURAM,THANUR,0,1147,1147,0,632,632,0,541,541
KERALA,MALAPPURAM,THIRUR,0,967,967,0,685,685,0,582,582
KERALA,MALAPPURAM,THIRURANGADI,0,621,621,0,507,507,0,425,425
KERALA,MALAPPURAM,TIRUR MUNI,0,144,144,0,137,137,0,137,137
KERALA,MALAPPURAM,VENGARA,1,818,819,1,460,460,1,454,454
KERALA,MALAPPURAM,WANDOOR,0,1044,1044,0,776,776,0,689,689
KERALA,PALAKKAD,ALATHUR,1,680,681,4,628,632,4,612,616
KERALA,PALAKKAD,ATTAPPADY,4,60,64,36,161,197,31,142,173
KERALA,PALAKKAD,CHITTURTHATHAMANG MU,0,45,45,0,84,84,0,82,82
KERALA,PALAKKAD,CHITUR,0,723,723,0,1556,1556,0,1470,1470
KERALA,PALAKKAD,KOLLENGODE,1,302,303,98,435,533,98,423,521
KERALA,PALAKKAD,KUZHALMANNAM,0,709,709,0,683,683,0,633,633
KERALA,PALAKKAD,MALAMPUZHA,1,541,542,1,871,871,1,843,844
KERALA,PALAKKAD,MANNARKKAD,1,954,955,1,681,682,1,653,654
KERALA,PALAKKAD,NENMARA,0,329,329,0,436,436,0,426,426
KERALA,PALAKKAD,OTTAPPALAM,0,753,753,0,640,640,0,491,491
KERALA,PALAKKAD,OTTAPPALAM MUNI,0,130,130,0,200,200,0,174,174
KERALA,PALAKKAD,PALAKKAD,3,366,369,2,275,277,2,267,269
KERALA,PALAKKAD,PALAKKAD MUNI,0,24,24,0,34,34,0,33,33
KERALA,PALAKKAD,PATTAMBI,10,1346,1356,38,1377,1414,37,1256,1293
KERALA,PALAKKAD,SHORANNUR MUNI,0,96,96,0,66,66,0,63,63
KERALA,PALAKKAD,SREEKRISHNAPURAM,1,830,831,1,568,569,1,561,562
KERALA,PALAKKAD,THRITHALA,1,943,944,1,527,528,1,504,505
KERALA,PATHANAMTHITTA,ADOOR MUNI,0,150,150,0,68,68,0,65,65
KERALA,PATHANAMTHITTA,ELANTHUR,0,400,400,0,133,133,0,120,120
KERALA,PATHANAMTHITTA,KOIPURAM,0,622,622,0,247,247,0,220,220
KERALA,PATHANAMTHITTA,KONNI,0,403,403,0,161,161,0,161,161
KERALA,PATHANAMTHITTA,KULANADA,0,621,621,0,151,151,0,138,138
KERALA,PATHANAMTHITTA,MALLAPPALLY,0,749,749,0,696,696,0,456,456
KERALA,PATHANAMTHITTA,PANDALAM,0,537,537,0,201,201,0,179,179
KERALA,PATHANAMTHITTA,PARAKKODE,4,2043,2047,2,512,513,1,480,481
KERALA,PATHANAMTHITTA,PATHANAMTHITTA MUNI,0,50,50,0,22,22,0,22,22
KERALA,PATHANAMTHITTA,PULIKEEZHU,0,292,292,0,122,122,0,114,114
KERALA,PATHANAMTHITTA,RANNI,1,646,647,0,254,254,0,247,247
KERALA,PATHANAMTHITTA,THIRUVALLA MUNI,0,54,54,0,19,19,0,14,14
KERALA,THIRUVANANTHAPURAM,ATHIYANNOOR,30,845,875,14,451,465,13,431,444
KERALA,THIRUVANANTHAPURAM,ATTINGAL MUNI,0,30,30,0,13,13,0,12,12
KERALA,THIRUVANANTHAPURAM,CHIRAYINKEEZHU,1,945,946,1,315,316,1,292,293
KERALA,THIRUVANANTHAPURAM,KAZHAKUTTOM,0,1014,1014,0,280,280,0,260,260
KERALA,THIRUVANANTHAPURAM,KILIMANOOR,0,1154,1154,0,548,548,0,402,402
KERALA,THIRUVANANTHAPURAM,NEDUMANGAD,0,503,503,0,292,292,0,231,231
KERALA,THIRUVANANTHAPURAM,NEDUMANGAD MUNI,0,92,92,0,35,35,0,29,29
KERALA,THIRUVANANTHAPURAM,NEMOM,3,1305,1308,157,743,900,134,618,752
KERALA,THIRUVANANTHAPURAM,NEYYATTINKARA MUNI,0,328,328,0,88,88,0,82,82
KERALA,THIRUVANANTHAPURAM,PARASSALA,0,861,861,0,412,412,0,370,370
KERALA,THIRUVANANTHAPURAM,PERUMKADAVILA,10,874,884,2,264,266,2,237,239
KERALA,THIRUVANANTHAPURAM,TVPM CORPORATION,0,1031,1031,0,356,356,0,347,347
KERALA,THIRUVANANTHAPURAM,TVPM RURAL,0,321,321,0,57,57,0,55,55
KERALA,THIRUVANANTHAPURAM,VAMANAPURAM,0,1489,1489,0,481,481,0,418,418
KERALA,THIRUVANANTHAPURAM,VARKALA,9,868,877,1,241,242,1,226,227
KERALA,THIRUVANANTHAPURAM,VARKALA MUNI,0,50,50,0,10,10,0,9,9
KERALA,THIRUVANANTHAPURAM,VELLANADU,12,1217,1229,4,530,534,4,407,411
KERALA,THRISSUR,ANTHIKKAD,0,1996,1996,0,643,643,0,607,607
KERALA,THRISSUR,CHALAKKUDY,0,3376,3376,0,1641,1641,0,1593,1593
KERALA,THRISSUR,CHALAKUDY MUNI,0,523,523,0,627,627,0,616,616
KERALA,THRISSUR,CHAVAKKAD,0,2343,2343,0,900,900,0,887,887
KERALA,THRISSUR,CHAVAKKAD MUNI,0,494,494,0,87,87,0,87,87
KERALA,THRISSUR,CHERPU,15,1941,1956,6,846,852,6,734,740
KERALA,THRISSUR,CHOWANNUR,0,2280,2280,0,675,675,0,667,667
KERALA,THRISSUR,GURUVAYOOR MUNI,0,236,236,0,58,58,0,58,58
KERALA,THRISSUR,IRINJALAKKUDA,1,1723,1724,0,1059,1060,0,992,992
KERALA,THRISSUR,IRINJALAKUDA MUNI,0,360,360,0,126,126,0,126,126
KERALA,THRISSUR,KODAKARA,2,3950,3952,0,2055,2056,0,1999,1999
KERALA,THRISSUR,KODUNGALLUR,1,786,787,0,257,257,0,228,229
KERALA,THRISSUR,KODUNGALLUR MUNI,0,210,210,0,56,56,0,56,56
KERALA,THRISSUR,KUNNAMKULAM MUNI,0,681,681,0,219,219,0,216,216
KERALA,THRISSUR,MALA,2,5815,5817,1,2371,2372,1,2331,2332
KERALA,THRISSUR,MATHILAKOM,0,998,998,0,475,475,0,463,463
KERALA,THRISSUR,MULLASSERY,0,1584,1584,0,597,597,0,595,595
KERALA,THRISSUR,OLLUKKARA,0,2241,2241,0,1066,1066,0,1031,1031
KERALA,THRISSUR,PAZHAYANNUR,0,2246,2246,0,1613,1613,0,1550,1550
KERALA,THRISSUR,PUZHAKKAL,0,2932,2932,0,1407,1407,0,1349,1349
KERALA,THRISSUR,THALIKULAM,0,1187,1187,0,406,406,0,360,360
KERALA,THRISSUR,THRISSUR CORPORATION,4,1784,1788,2,640,641,1,634,636
KERALA,THRISSUR,VADAKKANCHERRY,1,3132,3133,0,1691,1691,0,1559,1559
KERALA,THRISSUR,VELLANGALLUR,0,1523,1523,0,687,687,0,663,663
KERALA,WAYANAD,KALPETTA,1,99,100,5,177,182,5,149,154
KERALA,WAYANAD,KALPETTA MUNI,0,5,5,0,4,4,0,3,3
KERALA,WAYANAD,MANANTHAVADI,10,195,205,18,178,196,14,166,180
KERALA,WAYANAD,SULTHANBATHERI,4,360,364,41,1022,1063,36,805,841
MADHYA PRADESH,BALAGHAT,BAIHAR,3,156,159,0,148,148,0,89,89
MADHYA PRADESH,BALAGHAT,BALAGHAT,17,1311,1328,35,3073,3109,3,2700,2703
MADHYA PRADESH,BALAGHAT,BIRSA,0,432,432,0,109,109,0,83,83
MADHYA PRADESH,BALAGHAT,KATANGI,0,2523,2523,0,4529,4529,0,4026,4026
MADHYA PRADESH,BALAGHAT,KHAIRLANJI,0,1498,1498,0,5118,5118,0,4848,4848
MADHYA PRADESH,BALAGHAT,KIRNAPUR,1,2106,2107,8,4341,4349,8,4117,4125
MADHYA PRADESH,BALAGHAT,LALBURRA,4,1550,1554,5,3785,3791,5,2609,2614
MADHYA PRADESH,BALAGHAT,LANJI,4,1368,1372,11,1501,1512,7,1221,1228
MADHYA PRADESH,BALAGHAT,PARASWADA,6,448,454,6,577,583,2,265,267
MADHYA PRADESH,BALAGHAT,WARASEONI,0,876,876,0,1605,1605,0,1416,1416
MADHYA PRADESH,BARWANI,BARWANI,2,686,688,2,3884,3886,0,1427,1427
MADHYA PRADESH,BARWANI,NIWALI,0,201,201,0,556,556,0,192,192
MADHYA PRADESH,BARWANI,PANSEMAL,0,1355,1355,0,3452,3452,0,1780,1780
MADHYA PRADESH,BARWANI,PATI,0,735,735,0,1448,1448,0,804,804
MADHYA PRADESH,BARWANI,RAJPUR,0,4694,4694,0,11300,11300,0,4680,4680
MADHYA PRADESH,BARWANI,SENDHWA,0,2676,2676,0,7337,7337,0,3201,3201
MADHYA PRADESH,BARWANI,THIKRI,0,2657,2657,0,6749,6749,0,3643,3643
MADHYA PRADESH,BETUL,AMLA,0,6494,6494,0,9587,9587,0,7060,7060
MADHYA PRADESH,BETUL,ATHNER,1,2330,2331,2,7298,7300,0,5750,5751
MADHYA PRADESH,BETUL,BETUL,8,7757,7765,43,15032,15076,43,11451,11494
MADHYA PRADESH,BETUL,BHAINSDEHI,39,1893,1932,40,2672,2713,39,1487,1526
MADHYA PRADESH,BETUL,BHIMPURA,53,1939,1992,55,3150,3205,55,2093,2148
MADHYA PRADESH,BETUL,CHICHOLI,1,3348,3349,2,5085,5087,1,4000,4001
MADHYA PRADESH,BETUL,GHODA DONGRI,0,3003,3003,0,4266,4266,0,3115,3115
MADHYA PRADESH,BETUL,MULTAI,1,3529,3530,1,5936,5937,1,3038,3039
MADHYA PRADESH,BETUL,PRABHAT PATTAN,0,3163,3163,0,5944,5944,0,3058,3058
MADHYA PRADESH,BETUL,SHAHPUR,2,2522,2524,5,3592,3596,0,1996,1996
MADHYA PRADESH,BHIND,ATER,9,1934,1943,146,29654,29800,78,14651,14730
MADHYA PRADESH,BHIND,BHIND,13,1025,1038,130,9023,9152,92,6490,6581
MADHYA PRADESH,BHIND,GOHAD,234,1268,1502,1086,6492,7578,567,3960,4527
MADHYA PRADESH,BHIND,LAHAR,151,2518,2669,360,13165,13524,162,8881,9043
MADHYA PRADESH,BHIND,MEHAGOAN,415,3126,3541,2476,15317,17793,1578,10745,12323
MADHYA PRADESH,BHIND,ROUN(MIHONA),16,1307,1323,44,4827,4870,37,3472,3509
MADHYA PRADESH,BHOPAL,BERASIA,4,7553,7557,7,52428,52435,5,42441,42446
MADHYA PRADESH,BHOPAL,FUNDA,1,2450,2451,1,7119,7119,1,4742,4743
MADHYA PRADESH,CHHATARPUR,BADAMALAHERA,39,5053,5092,66,12513,12579,66,12513,12579
MADHYA PRADESH,CHHATARPUR,BIJAWAR,67,5579,5646,142,12563,12705,142,12552,12694
MADHYA PRADESH,CHHATARPUR,BUXWAHA,0,1393,1393,0,2649,2649,0,2649,2649
MADHYA PRADESH,CHHATARPUR,CHHATARPUR,202,12069,12271,440,26719,27159,407,25584,25991
MADHYA PRADESH,CHHATARPUR,GAURIHAR,15,856,871,34,1413,1447,29,1057,1086
MADHYA PRADESH,CHHATARPUR,LAUNDI,103,4914,5017,245,10287,10532,231,9929,10160
MADHYA PRADESH,CHHATARPUR,NOWGONG,1,10147,10148,1,29513,29514,1,28116,28117
MADHYA PRADESH,CHHATARPUR,RAJNAGAR,56,12645,12701,103,77704,77807,103,77683,77786
MADHYA PRADESH,CHHINDWARA,AMARWADA,0,7372,7372,0,12859,12859,0,8916,8916
MADHYA PRADESH,CHHINDWARA,BICHHUA,0,3292,3292,0,4928,4928,0,3509,3509
MADHYA PRADESH,CHHINDWARA,CHHINDWADA,1,9250,9251,3,22408,22411,2,10676,10678
MADHYA PRADESH,CHHINDWARA,CHOURAI,0,12364,12364,0,30596,30596,0,19819,19819
MADHYA PRADESH,CHHINDWARA,HARAI,0,2617,2617,0,6819,6819,0,5947,5947
MADHYA PRADESH,CHHINDWARA,JAMAI,0,3079,3079,0,3675,3675,0,2378,2378
MADHYA PRADESH,CHHINDWARA,MOHKHED,2,10598,10600,8,12866,12874,2,8183,8185
MADHYA PRADESH,CHHINDWARA,PANDHURANA,0,10333,10333,0,14961,14961,0,8515,8515
MADHYA PRADESH,CHHINDWARA,PARASIA,1,6430,6431,2,8263,8265,1,6009,6010
MADHYA PRADESH,CHHINDWARA,SAUSAR,18,7194,7212,9,9146,9155,2,4463,4465
MADHYA PRADESH,CHHINDWARA,TAMIA,1,454,455,4,733,737,4,718,722
MADHYA PRADESH,DAMOH,BATIYAGHAR,0,1824,1824,0,5471,5471,0,5237,5237
MADHYA PRADESH,DAMOH,DAMOH,16,3732,3748,19,61241,61259,19,52361,52380
MADHYA PRADESH,DAMOH,HATTA,3,1368,1371,2,2429,2431,2,1949,1951
MADHYA PRADESH,DAMOH,JABERA,2,1160,1162,1,1848,1849,1,1637,1638
MADHYA PRADESH,DAMOH,PATERA,0,1382,1382,0,2782,2782,0,2521,2521
MADHYA PRADESH,DAMOH,PATHARIA,0,1941,1941,0,4226,4226,0,4066,4066
MADHYA PRADESH,DAMOH,TENDUKHEDA,5,860,865,3,1823,1826,3,1501,1504
MADHYA PRADESH,DATIA,BHANDER,97,2338,2435,395,9259,9654,361,8248,8609
MADHYA PRADESH,DATIA,DATIA,304,12028,12332,777,35361,36139,585,25713,26298
MADHYA PRADESH,DATIA,SEONDHA,29,4021,4050,94,20165,20259,82,17563,17646
MADHYA PRADESH,DEWAS,BAGLEE,3,8331,8334,5,16973,16978,2,9879,9881
MADHYA PRADESH,DEWAS,DEWAS,5,5924,5929,15,13404,13419,4,6790,6794
MADHYA PRADESH,DEWAS,KANNOD,2,5483,5485,8,34475,34483,2,20858,20860
MADHYA PRADESH,DEWAS,KHATEGAON,0,3723,3723,0,9279,9279,0,6743,6743
MADHYA PRADESH,DEWAS,SONKUCH,7,3822,3829,10,7384,7394,6,4232,4238
MADHYA PRADESH,DEWAS,TONKHURD,5,3135,3140,5,6524,6529,0,4045,4045
MADHYA PRADESH,DHAR,BADNAWER,23,1690,1713,24,4391,4414,15,1712,1727
MADHYA PRADESH,DHAR,BAGH,4,744,748,6,1120,1126,0,72,72
MADHYA PRADESH,DHAR,DAHI,3,370,373,5,832,837,0,74,74
MADHYA PRADESH,DHAR,DHAR,0,58,58,0,192,192,0,72,72
MADHYA PRADESH,DHAR,DHARAMPURI,6,3488,3494,30,24001,24031,1,2128,2129
MADHYA PRADESH,DHAR,GANDHWANI,0,756,756,0,1633,1633,0,312,312
MADHYA PRADESH,DHAR,KUKSHI,1,773,774,2,2268,2270,0,216,216
MADHYA PRADESH,DHAR,MANAWAR,2,2324,2326,8,7259,7267,1,3411,3413
MADHYA PRADESH,DHAR,NALACHHA,1,545,546,6,1571,1577,4,313,317
MADHYA PRADESH,DHAR,NISARPUR,0,933,933,0,2609,2609,0,610,610
MADHYA PRADESH,DHAR,SARDARPUR,81,2783,2864,168,6018,6186,68,2217,2284
MADHYA PRADESH,DHAR,TIRLA,2,135,137,3,256,260,2,98,100
MADHYA PRADESH,DHAR,UMARBAN,4,467,471,4,831,835,4,410,414
MADHYA PRADESH,DINDORI,AMARPUR,0,11,11,0,2,2,0,2,2
MADHYA PRADESH,DINDORI,BAJAG,0,3,3,0,1,1,0,1,1
MADHYA PRADESH,DINDORI,DINDORI,0,22,22,0,16,16,0,8,8
MADHYA PRADESH,DINDORI,KARANJIYA,0,9,9,0,7,7,0,2,2
MADHYA PRADESH,DINDORI,SAMNAPUR,3,97,100,1,111,112,0,34,34
MADHYA PRADESH,DINDORI,SHAHPURA,0,57,57,0,27,27,0,10,10
MADHYA PRADESH,GUNA,ARON,2,451,453,3,1145,1148,3,1035,1038
MADHYA PRADESH,GUNA,ASHOKNAGAR,2,2760,2762,8,10823,10831,8,10823,10831
MADHYA PRADESH,GUNA,BAMORI,5,765,770,22,1372,1394,22,1368,1390
MADHYA PRADESH,GUNA,CHANCHODA,26,9605,9631,39,18114,18153,39,17414,17453
MADHYA PRADESH,GUNA,CHANDERI,1,964,965,3,1716,1719,3,1707,1710
MADHYA PRADESH,GUNA,EHSAGADH,13,1353,1366,66,3270,3336,66,2952,3017
MADHYA PRADESH,GUNA,GUNA,98,3147,3245,212,16376,16589,212,16337,16549
MADHYA PRADESH,GUNA,MUNGAWALI,11,1818,1829,45,4191,4236,45,4187,4232
MADHYA PRADESH,GUNA,RAGHOGARH,4,6236,6240,8,15100,15108,8,15052,15060
MADHYA PRADESH,GWALIOR,BHITARWAR,855,3216,4071,1672,6680,8352,1498,6038,7537
MADHYA PRADESH,GWALIOR,DABRA,557,2579,3136,1347,6198,7546,1168,4676,5844
MADHYA PRADESH,GWALIOR,GHATIGAWAN,555,2919,3474,1464,8161,9625,1039,5048,6086
MADHYA PRADESH,GWALIOR,MORAR,451,3573,4024,1219,9177,10395,1022,7795,8817
MADHYA PRADESH,HARDA,HARDA,1,1773,1774,1,5773,5774,1,4990,4991
MADHYA PRADESH,HARDA,KHIRKIYA,0,6786,6786,0,20381,20381,0,14861,14861
MADHYA PRADESH,HARDA,TIMARNI,0,2771,2771,0,8035,8035,0,7786,7786
MADHYA PRADESH,HOSHANGABAD,BABAI,7,3968,3975,14,9359,9373,14,8771,8786
MADHYA PRADESH,HOSHANGABAD,BANKHEDI,2,5701,5703,52,94709,94761,52,93301,93353
MADHYA PRADESH,HOSHANGABAD,HOSHANGABAD,14,2208,2222,89,5152,5242,75,4707,4782
MADHYA PRADESH,HOSHANGABAD,KESLA,3,1321,1324,12,2514,2526,12,2272,2284
MADHYA PRADESH,HOSHANGABAD,PIPARIYA,2,2377,2379,3,7044,7047,2,4960,4963
MADHYA PRADESH,HOSHANGABAD,SEONIMALWA,0,2782,2782,0,10399,10399,0,9595,9595
MADHYA PRADESH,HOSHANGABAD,SOHAGPUR,1,1664,1665,14,3092,3106,4,2583,2587
MADHYA PRADESH,INDORE,DEPAL PUR,5,619,624,26,2582,2608,13,1603,1616
MADHYA PRADESH,INDORE,INDORE,32,3133,3165,107,7843,7950,40,4677,4716
MADHYA PRADESH,INDORE,MHOW,22,5351,5373,67,13870,13937,55,10373,10428
MADHYA PRADESH,INDORE,SANWER,0,165,165,0,482,482,0,202,202
MADHYA PRADESH,JABALPUR,BARGI,4,2250,2254,7,18350,18357,4,15687,15691
MADHYA PRADESH,JABALPUR,KUNDAM,1,388,389,2,1062,1064,1,602,603
MADHYA PRADESH,JABALPUR,MAJHOLI,2,1524,1526,2,3081,3083,2,2412,2414
MADHYA PRADESH,JABALPUR,PANAGAR,0,865,865,0,2370,2370,0,1547,1547
MADHYA PRADESH,JABALPUR,PATAN,0,147,147,0,502,502,0,427,427
MADHYA PRADESH,JABALPUR,SHAHPURA,64,2403,2467,74,6647,6721,74,5567,5641
MADHYA PRADESH,JABALPUR,SIHORA,3,1620,1623,6,4728,4734,6,3741,3748
MADHYA PRADESH,JHABUA,ALIRAJPUR,0,258,258,0,268,268,0,87,87
MADHYA PRADESH,JHABUA,BHABHARA,0,155,155,0,161,161,0,36,36
MADHYA PRADESH,JHABUA,JHABUA,0,37,37,0,33,33,0,6,6
MADHYA PRADESH,JHABUA,JOBAT,1,161,162,2,271,273,2,118,119
MADHYA PRADESH,JHABUA,KATTHIWADA,3,423,426,5,730,735,2,300,303
MADHYA PRADESH,JHABUA,MEGHNAGAR,0,156,156,0,191,191,0,71,71
MADHYA PRADESH,JHABUA,PETLAWAD,1,2471,2472,4,3101,3105,1,1872,1873
MADHYA PRADESH,JHABUA,RAMA,2,301,303,51,489,540,1,155,155
MADHYA PRADESH,JHABUA,RANAPUR,0,74,74,0,63,63,0,16,16
MADHYA PRADESH,JHABUA,SONDWA,5,382,387,18,810,828,2,150,152
MADHYA PRADESH,JHABUA,THANDLA,2,861,863,6,1405,1411,6,523,529
MADHYA PRADESH,JHABUA,UDAIGARH,4,164,168,3,211,214,2,72,74
MADHYA PRADESH,KATNI,BADWARA,0,3271,3271,0,5224,5224,0,5036,5036
MADHYA PRADESH,KATNI,BAHORIBAND,17,2240,2257,52,7475,7527,26,5296,5322
MADHYA PRADESH,KATNI,DHIMAR KHERA,0,1096,1096,0,2932,2932,0,2425,2425
MADHYA PRADESH,KATNI,KATNI,2,1637,1639,11,4888,4898,10,3468,3478
MADHYA PRADESH,KATNI,RITHI,0,1138,1138,0,2323,2323,0,1757,1757
MADHYA PRADESH,KATNI,VIJAYRAGHAVGARH,4,2511,2515,14,5877,5891,13,4537,4550
MADHYA PRADESH,KHANDWA,BALADI,252,2283,2535,543,6240,6783,224,3679,3903
MADHYA PRADESH,KHANDWA,BURHANPUR,2,5565,5567,3,13919,13922,1,11864,11865
MADHYA PRADESH,KHANDWA,CHHEGAON MAKHAN,0,2776,2776,0,8404,8404,0,2348,2348
MADHYA PRADESH,KHANDWA,HARSOOD,1,2836,2837,2,7884,7886,1,3683,3685
MADHYA PRADESH,KHANDWA,KHAKNAR,0,4688,4688,0,14550,14550,0,10558,10558
MADHYA PRADESH,KHANDWA,KHALWA,0,3993,3993,0,10370,10370,0,6290,6290
MADHYA PRADESH,KHANDWA,KHANDWA,2,3750,3752,3,9184,9187,2,3406,3408
MADHYA PRADESH,KHANDWA,PANDHANA,1,6425,6426,2,12287,12289,1,7780,7781
MADHYA PRADESH,KHANDWA,PUNASA,5,5268,5273,3,11243,11246,3,6301,6303
MADHYA PRADESH,KHARGONE,BARWAHA,0,11780,11780,0,27765,27765,0,18394,18394
MADHYA PRADESH,KHARGONE,BHAGWANPURA,2,2130,2132,4,5003,5007,4,3155,3159
MADHYA PRADESH,KHARGONE,BHIKANGAON,0,5078,5078,0,14293,14293,0,5756,5756
MADHYA PRADESH,KHARGONE,GOGAWA,0,4120,4120,0,11405,11405,0,7197,7197
MADHYA PRADESH,KHARGONE,KASRAWAD,0,5217,5217,0,16621,16621,0,7852,7852
MADHYA PRADESH,KHARGONE,KHARGONE,2,4585,4587,6,13332,13338,0,7163,7163
MADHYA PRADESH,KHARGONE,MAHESHWAR,0,7493,7493,0,17851,17851,0,9482,9482
MADHYA PRADESH,KHARGONE,SEGOAN,0,2973,2973,0,7987,7987,0,3668,3668
MADHYA PRADESH,KHARGONE,ZIRNYA,1,2289,2290,3,6551,6554,1,3270,3271
MADHYA PRADESH,MANDLA,BICHHIA,0,501,501,0,1401,1401,0,972,972
MADHYA PRADESH,MANDLA,BIJADANDI,0,23,23,0,19,19,0,13,13
MADHYA PRADESH,MANDLA,GHUGHRI,0,13,13,0,7,7,0,7,7
MADHYA PRADESH,MANDLA,MANDLA,0,701,701,0,1876,1876,0,1279,1279
MADHYA PRADESH,MANDLA,MAWAI,0,9,9,0,13,13,0,9,9
MADHYA PRADESH,MANDLA,MOHGAON,0,221,221,0,138,138,0,93,93
MADHYA PRADESH,MANDLA,NAINPUR,0,454,454,0,584,584,0,419,419
MADHYA PRADESH,MANDLA,NARAYANGANJ,0,146,146,0,258,258,0,68,68
MADHYA PRADESH,MANDLA,NIVAS,1,85,86,0,112,113,0,77,77
MADHYA PRADESH,MANDSAUR,BHANPURA,103,6521,6624,167,11249,11415,109,6773,6882
MADHYA PRADESH,MANDSAUR,GAROTH,224,14654,14878,420,21909,22329,146,9628,9774
MADHYA PRADESH,MANDSAUR,MALHARGAR,448,16951,17399,616,26272,26888,117,6383,6500
MADHYA PRADESH,MANDSAUR,MANDSAUR,1471,22884,24355,2251,34387,36638,538,9026,9564
MADHYA PRADESH,MANDSAUR,SITAMAU,1144,14866,16010,1757,23104,24861,720,8346,9067
MADHYA PRADESH,MORENA,AMBAH,0,1554,1554,0,19326,19326,0,15603,15603
MADHYA PRADESH,MORENA,JOURA,0,2807,2807,0,9313,9313,0,8817,8817
MADHYA PRADESH,MORENA,KAILARAS,0,1820,1820,0,7111,7111,0,6702,6702
MADHYA PRADESH,MORENA,MORENA,0,4443,4443,0,17795,17795,0,16804,16804
MADHYA PRADESH,MORENA,PAHARGARH,0,624,624,0,2384,2384,0,2384,2384
MADHYA PRADESH,MORENA,PORSA,0,2040,2040,0,18797,18797,0,13993,13993
MADHYA PRADESH,MORENA,SABALGARH,26,1035,1061,116,4522,4638,114,4088,4202
MADHYA PRADESH,NARSINGHPUR,BABAI-CHICHLI,0,2311,2311,0,8780,8780,0,8172,8172
MADHYA PRADESH,NARSINGHPUR,CHAVARPATHA,16,3418,3434,39,10132,10171,31,8488,8519
MADHYA PRADESH,NARSINGHPUR,GOTEGAON,1,1041,1042,1,3071,3072,1,2894,2895
MADHYA PRADESH,NARSINGHPUR,KARELI,0,362,362,0,1076,1076,0,1035,1035
MADHYA PRADESH,NARSINGHPUR,NARSINGHPUR,0,1390,1390,0,3633,3633,0,3442,3442
MADHYA PRADESH,NARSINGHPUR,SAIKHEDA,0,2902,2902,0,12851,12851,0,9823,9823
MADHYA PRADESH,NEEMUCH,JAWAD,435,10495,10930,857,20143,20999,427,12144,12572
MADHYA PRADESH,NEEMUCH,MANASA,36,11693,11729,60,17812,17872,24,7945,7969
MADHYA PRADESH,NEEMUCH,NEEMUCH,161,12214,12375,420,19521,19940,129,8693,8821
MADHYA PRADESH,PANNA,AJAYGARH,125,3147,3272,317,6394,6711,317,6336,6654
MADHYA PRADESH,PANNA,GUNOUR,3,661,664,35,1912,1947,26,1737,1762
MADHYA PRADESH,PANNA,PANNA,17,1192,1209,18,2129,2147,18,2022,2041
MADHYA PRADESH,PANNA,PAWAI,3,885,888,7,1977,1985,7,1654,1662
MADHYA PRADESH,PANNA,SHAHNAGAR,0,659,659,0,879,879,0,870,870
MADHYA PRADESH,RAISEN,ABDULLA GANJ,0,303,303,0,1007,1007,0,773,773
MADHYA PRADESH,RAISEN,BADI,1,1382,1383,4,4209,4212,3,3783,3786
MADHYA PRADESH,RAISEN,BEGAMGANJ,0,2372,2372,0,6098,6098,0,4310,4310
MADHYA PRADESH,RAISEN,GAIRATGANJ,0,1413,1413,0,3129,3129,0,2584,2584
MADHYA PRADESH,RAISEN,SANCHI,3,594,597,5,1500,1505,2,1008,1010
MADHYA PRADESH,RAISEN,SILVANI,1,1965,1966,1,4055,4056,1,3268,3269
MADHYA PRADESH,RAISEN,UDAYPURA,1,2368,2369,5,8676,8681,1,6762,6763
MADHYA PRADESH,RAJGARH,BIAORA,24,12277,12301,36,26238,26274,13,15766,15779
MADHYA PRADESH,RAJGARH,KHILCHIPUR,12,9422,9434,18,12758,12776,5,5858,5863
MADHYA PRADESH,RAJGARH,NARSINGARH,6,12462,12468,9,30102,30111,7,14638,14644
MADHYA PRADESH,RAJGARH,RAJGARH,74,8598,8672,122,15207,15329,42,6595,6637
MADHYA PRADESH,RAJGARH,SARANGPUR,45,9406,9451,116,20559,20676,73,7859,7932
MADHYA PRADESH,RAJGARH,ZEERAPUR],112,10244,10356,216,19050,19265,150,11748,11898
MADHYA PRADESH,RATLAM,ALOT,91,4918,5009,204,9891,10095,53,3277,3331
MADHYA PRADESH,RATLAM,BAJNA,6,774,780,17,2073,2089,9,281,290
MADHYA PRADESH,RATLAM,JAORA,170,6343,6513,395,15332,15727,100,4652,4752
