-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.4.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.4.csv"
}
-----
State,District,Block,Scheduled caste,Scheduled tribe,Other social status of farmers,Total,Owned by other than individual farmers,Total
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,9,1,302,312,1,313
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,4,146,150,1,151
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,2,2,181,185,0,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,1,1,143,145,0,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,0,67,67,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,14,0,360,374,0,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,1,62,63,0,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,47,16,544,607,0,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,20,1,538,559,0,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,95,1,1253,1349,64,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,2,3,270,275,2,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,5,0,230,235,0,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,4,1,575,580,7,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,0,0,119,119,2,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,9,0,178,187,0,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,10,8,488,506,0,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,26,28,460,514,0,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,22,0,642,664,0,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,0,0,92,92,0,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,5,1,93,99,0,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,21,3,519,543,0,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,3,45,300,348,0,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,12,2,364,378,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,83,44,647,774,0,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,4,0,76,80,0,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1,8,207,216,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,2,2,124,128,4,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,0,0,82,82,1,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,0,0,41,41,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,15,5,506,526,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,35,0,626,661,8,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,7,1,268,276,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,4,3,67,74,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,1,0,58,59,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,19,2,392,413,0,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,1,0,94,95,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,5,1,142,148,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,1,0,26,27,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,1,0,155,156,0,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,3,0,92,95,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,10,5,62,77,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,3,0,69,72,0,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,0,34,34,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,51,51,0,51
ANDHRA PRADESH,CHITTOOR,IRALA,2,9,106,117,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,3,1,78,82,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,2,2,186,190,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,15,1,183,199,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,7,0,149,156,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1,1,105,107,1,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,35,35,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,74,74,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,10,0,174,184,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,7,3,290,300,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,2,3,101,106,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,8,8,105,121,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,4,61,305,370,0,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,31,0,104,135,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,6,4,138,148,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,35,3,360,398,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,1,0,24,25,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,8,1,98,107,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,7,0,55,62,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,59,59,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,6,1,165,172,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,7,2,233,242,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,5,0,92,97,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,2,1,87,90,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,0,5,21,26,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,8,1,195,204,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,4,1,192,197,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,3,0,126,129,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,15,2,163,180,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,1,0,57,58,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,4,4,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,41,9,339,389,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,5,1,142,148,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,0,45,45,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,1,0,26,27,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,59,59,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,27,8,221,256,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,18,1,190,209,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,11,11,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,76,6,496,578,1,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),13,0,347,360,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,0,22,22,1,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,17,1,273,291,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,50,3,311,364,0,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,101,101,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,1,1,61,63,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,0,0,84,84,0,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,18,0,117,135,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,0,0,18,18,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,53,42,890,985,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,2,0,37,39,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,8,0,27,35,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,43,1,80,124,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,13,3,63,79,4,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,1,0,32,33,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,6,18,369,393,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,77,1,830,908,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,0,0,11,11,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,3,1,219,223,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,0,1,21,22,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,65,0,697,762,0,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,1,1,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,18,0,160,178,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,18,18,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,4,3,149,156,1,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,147,0,807,954,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,27,4,444,475,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,24,9,30,63,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,26,1,1178,1205,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,3,3,6,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,2,1,94,97,0,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,13,0,216,229,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,9,9,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,13,0,327,340,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,95,60,1123,1278,0,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,2,1,93,96,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,42,0,736,778,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,1,0,47,48,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,4,0,117,121,1,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2,2,212,216,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,0,0,30,30,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,3,0,0,3,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,1,0,54,55,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,38,1,918,957,0,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,11,11,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,29,1,344,374,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,20,2,645,667,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,29,29,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,58,4,337,399,0,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,13,3,251,267,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,19,20,239,278,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,4,23,553,580,0,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,1,0,113,114,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,0,0,28,28,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,7,2,144,153,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,1,2,28,31,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,61,10,538,609,4,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,50,2,495,547,6,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,3,0,103,106,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,24,0,468,492,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,72,59,1149,1280,1,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,2,14,199,215,7,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,142,8,1153,1303,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,1,0,134,135,1,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,20,3,587,610,4,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,4,0,151,155,2,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,32,32,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,5,4,45,54,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,15,0,124,139,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,58,5,1672,1735,1,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,0,0,51,51,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,0,0,52,52,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,67,0,670,737,2,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,19,19,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,6,16,687,709,2,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,1,1,358,360,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,5,2,225,232,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,0,0,75,75,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,48,0,1208,1256,0,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,155,0,146,301,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,36,3,391,430,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,7,5,717,729,1,730
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,27,37,474,538,26,564
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,179,4,606,789,0,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,63,1,237,301,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,0,0,259,259,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,23,10,298,331,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,14,7,584,605,0,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,10,4,289,303,0,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,3,0,205,208,0,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,2,0,2,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,4,1,569,574,1,575
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,17,17,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,47,1,1018,1066,0,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,12,1,358,371,0,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,42,0,88,130,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,1,0,63,64,2,66
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,1,1,280,282,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,29,0,605,634,3,637
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,23,0,6,29,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,5,0,372,377,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,6,0,440,446,11,457
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,7,4,31,42,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,25,10,974,1009,2,1011
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,0,11,11,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,71,37,194,302,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,4,0,207,211,0,211
ANDHRA PRADESH,GUNTUR,BAPATLA,9,0,15,24,4,28
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,1,0,49,50,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,239,8,711,958,0,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,90,32,36,158,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,19,0,12,31,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,2,0,97,99,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,0,0,45,45,0,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,199,19,1243,1461,0,1461
ANDHRA PRADESH,GUNTUR,DURGI,0,0,31,31,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,1,0,31,32,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,3,0,27,30,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,3,0,60,63,0,63
ANDHRA PRADESH,GUNTUR,IPUR,4,4,6,14,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,1,6,59,66,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,7,0,33,40,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,178,20,1477,1675,0,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,270,4,2259,2533,0,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,0,4,4,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,0,2,105,107,1,108
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,70,4,815,889,1,890
ANDHRA PRADESH,GUNTUR,NADENDLA,0,0,1,1,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,2,0,31,33,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,3,3,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,0,5,5,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,4,0,53,57,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,0,0,72,72,17,89
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,4,0,1,5,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,72,0,889,961,0,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,2,0,19,21,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,6,0,19,25,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,0,1,27,28,1,29
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,88,88,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,0,1,1,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,0,0,6,6,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,14,1,998,1013,6,1019
ANDHRA PRADESH,GUNTUR,TADIKONDA,9,0,288,297,30,327
ANDHRA PRADESH,GUNTUR,TENALI,36,8,814,858,1,859
ANDHRA PRADESH,GUNTUR,THULLUR,186,3,1866,2055,0,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,31,0,501,532,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,9,3,401,413,0,413
ANDHRA PRADESH,GUNTUR,VEMURU,29,2,503,534,0,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,17,17,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,34,0,19,53,4,57
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,2,0,11,13,1,14
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,1,0,9,10,0,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,1,1,17,19,0,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,9,0,33,42,0,42
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,0,0,0,0,1,1
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,2,1,54,57,7,64
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,0,0,7,7,0,7
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,0,7,7,0,7
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,0,2,3,5,3,8
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,0,0,4,4,0,4
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,0,0,3,3,0,3
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,0,0,11,11,0,11
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,19,0,79,98,0,98
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,0,4,1,5,0,5
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,0,0,53,53,0,53
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,0,0,0,0,3,3
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,2,0,69,71,3,74
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,0,0,19,19,0,19
ANDHRA PRADESH,KARIMNAGAR,METPALLE,2,2,0,4,3,7
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,0,0,2,2,1,3
ANDHRA PRADESH,KARIMNAGAR,SHANKARA PATNAM,0,0,1,1,0,1
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,33,1,332,366,14,380
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,0,0,100,100,0,100
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,0,9,17,26,0,26
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,0,15,15
ANDHRA PRADESH,KHAMMAM,CHERLA,7,94,287,388,0,388
