-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.9.csv"
}
-----
"State","District","Horse Power (0 - 6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power ( > 18)","Total"
"TAMIL NADU","CUDDALORE",320,743,1832,895,3790
"TAMIL NADU","DHARMAPURI",1906,114,2,2,2024
"TAMIL NADU","DINDIGUL",2711,243,0,3,2957
"TAMIL NADU","ERODE",5021,1650,27,11,6709
"TAMIL NADU","KANCHEEPURAM",232,123,127,0,482
"TAMIL NADU","KANYAKUMARI",311,0,0,1,312
"TAMIL NADU","KARUR",860,68,1,2,931
"TAMIL NADU","MADURAI",376,29,2,0,407
"TAMIL NADU","NAMAKKAL",3612,146,0,2,3760
"TAMIL NADU","NILGIRIS",0,1,0,0,1
"TAMIL NADU","PERAMBALUR",898,1195,542,61,2696
"TAMIL NADU","PUDUKKOTTAI",1168,5587,927,55,7737
"TAMIL NADU","RAMANATHAPURAM",408,169,1,0,578
"TAMIL NADU","SALEM",4978,748,0,0,5726
"TAMIL NADU","SIVAGANGA",426,78,7,5,516
"TAMIL NADU","THANJAVUR",9798,4536,682,30,15046
"TAMIL NADU","THENI",1518,989,58,8,2573
"TAMIL NADU","THIRUVALLUR",334,66,1,0,401
"TAMIL NADU","THIRUVARUR",2255,280,1,3,2539
"TAMIL NADU","TIRUCHIRAPPALLI",250,77,0,1,328
"TAMIL NADU","TIRUNELVELI",566,30,0,0,596
"TAMIL NADU","TIRUVANNAMALAI",28,0,0,0,28
"TAMIL NADU","TUTICORIN DISTRICT",84,13,0,0,97
"TAMIL NADU","VELLORE",265,39,4,0,308
"TAMIL NADU","VILLUPPURAM",196,311,334,404,1245
"TAMIL NADU","VIRUDHUNAGAR",234,16,0,0,250
"TRIPURA","DHALAI",1,1,1,0,3
"TRIPURA","NORTH TRIPURA",0,1,3,8,12
"TRIPURA","SOUTH TRIPURA",1,1,2,28,32
"TRIPURA","WEST TRIPURA",30,3,32,56,121
"UTTAR PRADESH","AGRA",71,298,142,258,769
"UTTAR PRADESH","ALIGARH",47,293,192,91,623
"UTTAR PRADESH","ALLAHABAD",80,196,199,660,1135
"UTTAR PRADESH","AMBEDAKAR NAGAR",26,26,327,16,395
"UTTAR PRADESH","AURAIYA",0,0,0,472,472
"UTTAR PRADESH","AZAMGARH",9,4,22,261,296
"UTTAR PRADESH","BAGHPAT",29,31,12,300,372
"UTTAR PRADESH","BAHARAICH",19,2,377,0,398
"UTTAR PRADESH","BALLIA",110,8,548,64,730
"UTTAR PRADESH","BALRAMPUR",22,121,127,6,276
"UTTAR PRADESH","BANDA",499,371,11,759,1640
"UTTAR PRADESH","BARABANKI",9,1,53,135,198
"UTTAR PRADESH","BAREILLY",202,126,399,23,750
"UTTAR PRADESH","BASTI",17,57,389,22,485
"UTTAR PRADESH","BIJNOR",84,549,0,3,636
"UTTAR PRADESH","BUDAUN",153,62,648,55,918
"UTTAR PRADESH","BULAND SAHAR",77,39,196,15,327
"UTTAR PRADESH","CHANDAULI",31,6,48,140,225
"UTTAR PRADESH","CHITRAKOOT",39,103,0,2,144
"UTTAR PRADESH","DEORIA",283,48,518,5,854
"UTTAR PRADESH","ETAH",642,0,0,4,646
"UTTAR PRADESH","ETAWAH",0,0,0,517,517
"UTTAR PRADESH","FAIZABAD",38,39,459,24,560
"UTTAR PRADESH","FARRUKHABAD",11,2,15,263,291
"UTTAR PRADESH","FATEHPUR",25,23,119,451,618
"UTTAR PRADESH","FIROZABAD",42,127,19,75,263
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",19,2,101,10,132
"UTTAR PRADESH","GHAZIABAD",27,5,127,43,202
"UTTAR PRADESH","GHAZIPUR",24,8,50,685,767
"UTTAR PRADESH","GONDA",147,20,256,10,433
"UTTAR PRADESH","GORAKHPUR",342,53,573,19,987
"UTTAR PRADESH","HAMIRPUR",77,189,72,439,777
"UTTAR PRADESH","HARDOI",0,0,551,0,551
"UTTAR PRADESH","HATHRAS",3,4,54,71,132
"UTTAR PRADESH","JALAUN",233,396,443,541,1613
"UTTAR PRADESH","JAUNPUR",25,0,324,166,515
"UTTAR PRADESH","JHANSI",93,146,22,57,318
"UTTAR PRADESH","JYOTIBA PHULENAGAR",116,10,236,25,387
"UTTAR PRADESH","KANNAUJ",11,2,11,187,211
"UTTAR PRADESH","KANPUR DEHAT",89,40,295,802,1226
"UTTAR PRADESH","KANPUR NAGAR",79,61,232,547,919
"UTTAR PRADESH","KAUSHAMBI",26,36,27,197,286
"UTTAR PRADESH","KHERI",51,13,304,387,755
"UTTAR PRADESH","KUSHINAGAR",7,103,20,12,142
"UTTAR PRADESH","LALITPUR",1,14,0,69,84
"UTTAR PRADESH","LUCKNOW",53,98,174,56,381
"UTTAR PRADESH","MAHARAJ GANJ",2,11,202,1,216
"UTTAR PRADESH","MAHOBA",5,22,1,0,28
"UTTAR PRADESH","MAINPURI",33,6,152,136,327
"UTTAR PRADESH","MATHURA",0,37,0,1,38
"UTTAR PRADESH","MAU",11,2,11,249,273
"UTTAR PRADESH","MEERUT",28,14,208,102,352
"UTTAR PRADESH","MIRZAPUR",34,70,33,345,482
"UTTAR PRADESH","MORADABAD",161,79,937,65,1242
"UTTAR PRADESH","MUZZAFARNAGAR",49,8,248,198,503
"UTTAR PRADESH","PILIBHIT",21,15,89,1,126
"UTTAR PRADESH","PRATAPGARH",6,7,77,5,95
"UTTAR PRADESH","RAEBARELI",12,4,25,349,390
"UTTAR PRADESH","RAMPUR",178,303,257,29,767
"UTTAR PRADESH","SAHARANPUR",104,3,281,211,599
"UTTAR PRADESH","SANT KABIR NAGAR",61,138,153,6,358
"UTTAR PRADESH","SANT RAVI DAS NAGAR",39,27,39,378,483
"UTTAR PRADESH","SHAHJAHANPUR",458,0,0,0,458
"UTTAR PRADESH","SHRAWASTI",110,12,97,1,220
"UTTAR PRADESH","SIDDHARTH NAGAR",19,38,237,2,296
"UTTAR PRADESH","SITAPUR",1,5,623,70,699
"UTTAR PRADESH","SONBHADRA",2,4,4,20,30
"UTTAR PRADESH","SULTANPUR",55,7,335,382,779
"UTTAR PRADESH","UNNAO",16,56,17,79,168
"UTTAR PRADESH","VARANASI",60,66,47,627,800
"UTTARANCHAL","CHAMPAWAT",1,0,3,2,6
"UTTARANCHAL","DEHRA DUN",14,0,0,65,79
"UTTARANCHAL","HARIDWAR",6,64,59,85,214
"UTTARANCHAL","NAINITAL",17,2,1,149,169
"UTTARANCHAL","PAURI",0,0,0,15,15
"UTTARANCHAL","UDHAM SINGH NAGAR",100,86,205,9,400
"WEST BENGAL","BANKURA",4,0,140,16,160
"WEST BENGAL","BIRBHUM",2,0,123,0,125
"WEST BENGAL","BURDWAN",9,0,429,188,626
"WEST BENGAL","COOCHBEHAR",1,0,47,18,66
"WEST BENGAL","DAKSHIN DINAJPUR",0,0,150,0,150
"WEST BENGAL","DARJEELING",0,0,28,10,38
"WEST BENGAL","HAORA",2,0,157,24,183
"WEST BENGAL","HOOGHLY",1,0,380,146,527
"WEST BENGAL","JALPAIGURI",8,0,171,56,235
"WEST BENGAL","MALDA",2,0,331,40,373
"WEST BENGAL","MIDNAPORE",10,0,608,155,773
"WEST BENGAL","MURSHIDABAD",15,0,495,78,588
"WEST BENGAL","NADIA",33,0,594,130,757
"WEST BENGAL","NORTH 24 PARGANAS",3,0,257,67,327
"WEST BENGAL","SOUTH 24 PARGANAS",2,0,27,0,29
"WEST BENGAL","UTTAR DINAJPUR",4,0,130,48,182
