-----
{
 "description": "The table refers to block wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.1.csv", 
 "title": "Download CSV for Block wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.1.csv"
}
-----
State,District,Block,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,CHITTOOR,NINDRA,160,25,29,29,47,44,45,19,398
ANDHRA PRADESH,CHITTOOR,PAKALA,5,0,0,9,6,1,1,3,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,14,0,25,9,18,20,13,8,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,1,16,7,8,10,10,10,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,3,4,4,6,14,12,11,5,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,22,12,24,24,24,37,16,13,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,5,1,35,49,33,37,47,35,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,3,0,1,2,8,11,45,27,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,47,6,7,9,11,3,6,1,90
ANDHRA PRADESH,CHITTOOR,PILERU,10,3,1,4,0,1,6,1,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,85,5,1,16,5,20,33,39,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,54,5,31,12,12,22,37,24,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,1,4,8,15,40,32,29,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,88,18,6,13,5,20,18,12,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,9,0,7,1,3,6,9,23,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,0,0,0,1,2,1,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,297,23,16,10,7,8,20,8,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,3,3,4,1,6,70,50,11,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,25,1,7,0,0,2,7,3,45
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,0,2,1,7,13,4,27
ANDHRA PRADESH,CHITTOOR,SOMALA,4,3,5,8,8,7,21,3,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,65,17,57,47,34,12,14,10,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,42,10,3,34,23,41,48,8,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,0,3,5,3,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,404,21,21,40,13,19,17,44,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),100,1,9,38,90,62,49,11,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),2,0,0,0,2,12,4,3,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,23,35,52,29,48,27,47,30,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,251,8,62,8,2,14,9,10,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,93,0,0,2,5,1,0,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,0,0,4,6,7,15,31,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,6,9,2,1,25,4,9,28,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,7,0,2,19,41,31,13,22,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,11,3,0,0,2,0,1,1,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,358,87,133,99,71,83,96,58,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,0,2,3,2,2,6,24,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,18,5,3,3,4,2,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,5,7,3,11,11,33,38,16,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,17,2,5,11,8,15,19,6,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,2,4,1,1,4,12,7,2,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,4,8,18,70,108,86,49,50,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,438,76,81,103,113,41,45,11,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,2,0,1,0,0,2,5,1,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,171,0,2,28,5,10,5,2,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,5,1,1,3,8,2,1,1,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,57,25,153,77,58,157,139,96,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,0,1,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,66,6,6,24,52,22,0,2,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,0,0,0,2,3,5,8,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,31,1,1,14,23,22,23,42,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,519,59,54,95,102,96,10,19,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,32,85,54,65,40,82,79,38,475
ANDHRA PRADESH,CUDDAPAH,KODUR,63,0,0,0,0,0,0,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,13,1,0,400,385,406,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,0,0,0,0,1,3,2,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,0,0,4,3,12,33,36,9,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,152,2,8,2,61,3,1,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,1,1,0,0,3,0,4,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,129,24,39,60,57,24,6,1,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,75,60,140,204,292,247,193,67,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,14,5,3,2,5,16,21,30,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,424,128,71,57,73,12,10,3,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,1,0,0,0,10,0,0,37,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,42,5,35,4,11,15,8,2,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,196,0,1,0,12,4,0,3,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,3,0,0,2,8,10,1,6,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,3,0,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,13,6,3,7,2,7,15,2,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,195,11,27,70,118,196,301,39,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,0,0,0,0,4,4,3,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,326,23,16,7,2,0,0,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,566,33,19,13,6,12,8,10,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,0,10,2,17,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,213,33,41,80,22,6,0,4,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,70,54,32,41,21,18,15,16,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,52,11,30,16,65,55,23,26,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,110,123,83,87,73,43,37,24,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,1,7,8,26,15,12,35,10,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,3,0,0,13,0,0,10,2,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,2,5,10,44,54,38,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,27,1,2,1,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,453,31,63,2,17,10,10,27,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,352,77,26,30,25,20,12,11,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,42,8,6,21,16,8,1,4,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,339,40,28,29,23,7,15,11,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,679,149,60,162,196,16,13,6,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,74,3,12,75,32,11,1,14,222
