-----
{
 "description": "This data provides details on the total number of days each member signed the member's attendance register of session 7 of Lok Sabha 15 from 21st February 2011 to 25th March 2011.", 
 "file_name": "Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls", 
 "title": "Download XLS for Attendance of the Members of Lok Sabha 15 for Session 7", 
 "url": "http://data.gov.in/sites/default/files/Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls"
}
-----
"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
108.0,168.0,"Shri  Devendra  Nagpal                                            ",15.0,7.0,"Uttar Pradesh                                               ","Amroha",23.0,17.0
109.0,169.0,"Shri  Manicka  Tagore                                            ",15.0,7.0,"Tamil Nadu                                                  ","Virudhunagar",23.0,26.0
110.0,170.0,"Shri  Prabhakar  Ponnam                                            ",15.0,7.0,"Andhra Pradesh                                              ","Karimnagar",23.0,28.0
111.0,171.0,"Shri  Sajjan Singh  Verma                                             ",15.0,7.0,"Madhya Pradesh                                              ","Dewas",23.0,26.0
112.0,172.0,"Shri  Abdul Mannan  Hossain                                           ",15.0,7.0,"West Bengal                                                 ","Murshidabad",23.0,21.0
113.0,173.0,"Shri  S.  Alagiri                                           ",15.0,7.0,"Tamil Nadu                                                  ","Cuddalore",23.0,18.0
114.0,174.0,"Shri  Basori Singh  Masram                                            ",15.0,7.0,"Madhya Pradesh                                              ","Mandla",23.0,24.0
115.0,175.0,"Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ",15.0,7.0,"Gujarat                                                     ","Rajkot",23.0,16.0
116.0,176.0,"Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ",15.0,7.0,"Gujarat                                                     ","Porbandar",23.0,7.0
117.0,177.0,"Dr.  G.  Vivekanand                                        ",15.0,7.0,"Andhra Pradesh                                              ","Peddapalle",23.0,22.0
118.0,178.0,"Shri  Suresh Kumar  Shetkar                                           ",15.0,7.0,"Andhra Pradesh                                              ","Zahirabad",23.0,28.0
119.0,179.0,"Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ",15.0,7.0,"Gujarat                                                     ","Banaskantha",23.0,22.0
120.0,180.0,"Shri  Jagdish  Thakor                                            ",15.0,7.0,"Gujarat                                                     ","Patan",23.0,14.0
121.0,181.0,"Shri  Adagooru  Vishwanath                                        ",15.0,7.0,"Karnataka                                                   ","Mysore",23.0,15.0
122.0,182.0,"Shri  R.  Dhruvanarayana                                    ",15.0,7.0,"Karnataka                                                   ","Chamrajanagar",23.0,26.0
123.0,183.0,"Shri  K.  Sudhakaran                                        ",15.0,7.0,"Kerala                                                      ","Kannur",23.0,17.0
124.0,185.0,"Shri  M. K.  Raghavan                                          ",15.0,7.0,"Kerala                                                      ","Kozhikode",23.0,23.0
125.0,186.0,"Shri  K. P.  Dhanapalan                                        ",15.0,7.0,"Kerala                                                      ","Chalakudy",23.0,28.0
126.0,187.0,"Shri  Dara Singh  Chauhan                                           ",15.0,7.0,"Uttar Pradesh                                               ","Ghosi",23.0,27.0
127.0,188.0,"Shri    Lalu Prasad                                       ",15.0,7.0,"Bihar                                                       ","Saran",23.0,19.0
128.0,189.0,"Shri  Shibu  Soren                                             ",15.0,7.0,"Jharkhand                                                   ","Dumka",23.0,8.0
129.0,190.0,"Shri  T.K.S.  Elangovan                                         ",15.0,7.0,"Tamil Nadu                                                  ","Chennai North",23.0,18.0
130.0,191.0,"Shri  Sudip  Bandyopadhyay                                     ",15.0,7.0,"West Bengal                                                 ","Kolkata Uttar",23.0,22.0
131.0,192.0,"Smt.  Supriya  Sule                                              ",15.0,7.0,"Maharashtra                                                 ","Baramati",23.0,27.0
132.0,193.0,"Shri   Udayanraje  Bhonsle                                          ",15.0,7.0,"Maharashtra                                                 ","Satara",23.0,20.0
133.0,194.0,"Shri  Sameer  Bhujbal                                           ",15.0,7.0,"Maharashtra                                                 ","Nashik",23.0,11.0
134.0,195.0,"Shri  D.  Venugopal                                         ",15.0,7.0,"Tamil Nadu                                                  ","Tiruvannamalai",23.0,5.0
135.0,196.0,"Shri  Kalyan  Banerjee                                          ",15.0,7.0,"West Bengal                                                 ","Sreerampur",23.0,20.0
136.0,197.0,"Shri  A.K.S.  Vijayan                                           ",15.0,7.0,"Tamil Nadu                                                  ","Nagapattinam",23.0,7.0
137.0,198.0,"Shri  E.G.  Sugavanam                                         ",15.0,7.0,"Tamil Nadu                                                  ","Krisnagiri",23.0,11.0
138.0,199.0,"Shri    Adhi Sankar                                       ",15.0,7.0,"Tamil Nadu                                                  ","Kallakurichi",23.0,13.0
139.0,200.0,"Dr.  Sanjeev Ganesh  Naik                                              ",15.0,7.0,"Maharashtra                                                 ","Thane",23.0,25.0
140.0,201.0,"Shri  Asaduddin  Owaisi                                            ",15.0,7.0,"Andhra Pradesh                                              ","Hyderabad",23.0,25.0
141.0,202.0,"Shri  Sansuma Khunggur  Bwiswmuthiary                                     ",15.0,7.0,"Assam                                                       ","Kokrajhar",23.0,18.0
142.0,203.0,"Dr.  Raghuvansh Prasad  Singh                                             ",15.0,7.0,"Bihar                                                       ","Vaishali",23.0,28.0
143.0,204.0,"Shri  Hassan  Khan                                              ",15.0,7.0,"Jammu and Kashmir                                           ","Ladakh",23.0,27.0
144.0,205.0,"Shri  Sadashivrao Dadoba  Mandlik                                           ",15.0,7.0,"Maharashtra                                                 ","Kolhapur",23.0,14.0
145.0,206.0,"Shri  R.  Thamaraiselvan                                    ",15.0,7.0,"Tamil Nadu                                                  ","Dharmapuri",23.0,21.0
146.0,207.0,"Shri    Abdul Rahman                                      ",15.0,7.0,"Tamil Nadu                                                  ","Vellore",23.0,10.0
147.0,208.0,"Shri  Somendranath  Mitra                                             ",15.0,7.0,"West Bengal                                                 ","Diamond Harbour",23.0,12.0
148.0,210.0,"Shri  Badruddin  Ajmal                                             ",15.0,7.0,"Assam                                                       ","Dhubri",23.0,8.0
149.0,211.0,"Shri  Babu Lal  Marandi                                           ",15.0,7.0,"Jharkhand                                                   ","Kodarma",23.0,5.0
150.0,212.0,"Shri  Mirza Mehboob  Beg                                               ",15.0,7.0,"Jammu and Kashmir                                           ","Anantnag",23.0,28.0
151.0,213.0,"Shri  Jagdambika  Pal                                               ",15.0,7.0,"Uttar Pradesh                                               ","Domariyaganj",23.0,28.0
152.0,214.0,"Shri  N.Dharam  Singh                                             ",15.0,7.0,"Karnataka                                                   ","Bidar",23.0,17.0
153.0,215.0,"Shri  H.D.  Kumaraswamy                                       ",15.0,7.0,"Karnataka                                                   ","Bangalore Rural",23.0,14.0
154.0,217.0,"Dr.  Kakoli Ghosh  Dastidar                                          ",15.0,7.0,"West Bengal                                                 ","Barasat",23.0,15.0
155.0,218.0,"Shri  K. R. G.  Reddy                                             ",15.0,7.0,"Andhra Pradesh                                              ","Bhongir",23.0,23.0
156.0,219.0,"Shri  Rajaiah  Siricilla                                         ",15.0,7.0,"Andhra Pradesh                                              ","Warangal",23.0,28.0
157.0,220.0,"Shri  Jitendra  Singh Malik                                       ",15.0,7.0,"Rajasthan                                                   ","Alwar",23.0,20.0
158.0,221.0,"Shri  P.L.  Punia                                             ",15.0,7.0,"Uttar Pradesh                                               ","Barabanki",23.0,27.0
159.0,222.0,"Shri  Kamal  Kishor   Commando                                 ",15.0,7.0,"Uttar Pradesh                                               ","Bahraich",23.0,28.0
160.0,223.0,"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",15.0,7.0,"Uttar Pradesh                                               ","Shrawasti",23.0,26.0
161.0,224.0,"Shri  Harsh  Vardhan                                           ",15.0,7.0,"Uttar Pradesh                                               ","Maharajganj",23.0,26.0
162.0,225.0,"Shri  Praveen Singh  Aron                                              ",15.0,7.0,"Uttar Pradesh                                               ","Bareilly",23.0,24.0
163.0,226.0,"Shri  Pradeep  Tamta                                             ",15.0,7.0,"Uttarakhand                                                 ","Almora",23.0,28.0
164.0,227.0,"Shri  S. S.  Ramasubbu                                         ",15.0,7.0,"Tamil Nadu                                                  ","Tirunelveli",23.0,28.0
165.0,228.0,"Shri  Sharief Ud Din  Shariq                                            ",15.0,7.0,"Jammu and Kashmir                                           ","Baramulla",23.0,25.0
166.0,229.0,"Shri  Mahesh  Joshi                                             ",15.0,7.0,"Rajasthan                                                   ","Jaipur",23.0,28.0
167.0,230.0,"Shri  Ijyaraj  Singh                                             ",15.0,7.0,"Rajasthan                                                   ","Kota",23.0,28.0
168.0,231.0,"Shri  E. T. Muhammed  Basheer                                           ",15.0,7.0,"Kerala                                                      ","Ponnani",23.0,10.0
169.0,232.0,"Shri  Gopal  Singh  Shekhawat                                  ",15.0,7.0,"Rajasthan                                                   ","Rajsamand",23.0,26.0
170.0,233.0,"Shri  Raghuvir Singh  Meena                                             ",15.0,7.0,"Rajasthan                                                   ","Udaipur",23.0,27.0
171.0,234.0,"Shri  Harish  Choudhary                                         ",15.0,7.0,"Rajasthan                                                   ","Barmer",23.0,27.0
172.0,235.0,"Shri  Badri Ram  Jakhar                                            ",15.0,7.0,"Rajasthan                                                   ","Pali",23.0,26.0
173.0,236.0,"Shri  Khiladi Lal  Bairwa                                            ",15.0,7.0,"Rajasthan                                                   ","Karauli-Dholpur",23.0,28.0
174.0,237.0,"Shri  Ratan  Singh                                             ",15.0,7.0,"Rajasthan                                                   ","Bharatpur",23.0,28.0
175.0,238.0,"Shri  Raja Ram  Pal                                               ",15.0,7.0,"Uttar Pradesh                                               ","Akbarpur",23.0,24.0
176.0,239.0,"Shri  Bharat Ram  Meghwal                                           ",15.0,7.0,"Rajasthan                                                   ","Ganganagar",23.0,24.0
177.0,240.0,"Shri  Zafar Ali  Naqvi                                             ",15.0,7.0,"Uttar Pradesh                                               ","Kheri",23.0,28.0
178.0,242.0,"Shri  Charles  Dias                                              ",15.0,7.0,"Kerala                                                      ","Nominated Anglo-Indian",23.0,28.0
179.0,243.0,"Shri  Mohinder Singh  Kaypee                                            ",15.0,7.0,"Punjab                                                      ","Jalandhar",23.0,27.0
180.0,244.0,"Shri  Partap Singh  Bajwa                                             ",15.0,7.0,"Punjab                                                      ","Gurdaspur",23.0,26.0
181.0,245.0,"Adv.  P. T.  Thomas                                            ",15.0,7.0,"Kerala                                                      ","Idukki",23.0,28.0
182.0,246.0,"Shri  M. I.  Shanavas                                          ",15.0,7.0,"Kerala                                                      ","Wayanad",23.0,10.0
183.0,247.0,"Shri  Anto  Antony                                            ",15.0,7.0,"Kerala                                                      ","Pathanamthitta",23.0,25.0
184.0,248.0,"Shri  N.  Peethambarakurup                                  ",15.0,7.0,"Kerala                                                      ","Kollam",23.0,24.0
185.0,249.0,"Shri  Om Prakash  Yadav                                             ",15.0,7.0,"Bihar                                                       ","Siwan",23.0,22.0
186.0,250.0,"Shri    Sivakumar @  Ritheesh                             ",15.0,7.0,"Tamil Nadu                                                  ","Ramanthapuram",23.0,4.0
187.0,251.0,"Shri  Sanjay Dina  Patil                                             ",15.0,7.0,"Maharashtra                                                 ","Mumbai-North-East",23.0,23.0
188.0,252.0,"Shri  Narayan Singh  Amlabe                                            ",15.0,7.0,"Madhya Pradesh                                              ","Rajgarh",23.0,28.0
189.0,253.0,"Shri  Jose K.  Mani                                              ",15.0,7.0,"Kerala                                                      ","Kottayam",23.0,17.0
190.0,255.0,"Shri  N. Cheluvaraya Swamy  ",15.0,7.0,"Karnataka                                                   ","Mandya",23.0,24.0
191.0,257.0,"Shri  Prem Das  Rai                                               ",15.0,7.0,"Sikkim                                                      ","Sikkim",23.0,24.0
192.0,258.0,"Shri  C. M.  Chang                                             ",15.0,7.0,"Nagaland                                                    ","Nagaland",23.0,24.0
193.0,259.0,"Shri   Baliram  Jadhav                                          ",15.0,7.0,"Maharashtra                                                 ","Palghar",23.0,28.0
194.0,260.0,"Shri  Jagada Nand  Singh                                             ",15.0,7.0,"Bihar                                                       ","Buxar",23.0,26.0
195.0,261.0,"Shri  Uma Shanaker  Singh                                             ",15.0,7.0,"Bihar                                                       ","Maharajganj",23.0,27.0
196.0,262.0,"Smt.  J. Helen Davidson  ",15.0,7.0,"Tamil Nadu                                                  ","Kanniyakumari",23.0,21.0
197.0,263.0,"Shri  S. R.  Jeyadurai                                         ",15.0,7.0,"Tamil Nadu                                                  ","Thoothukkudi",23.0,11.0
198.0,264.0,"Shri  Uday Pratap  Singh                                             ",15.0,7.0,"Madhya Pradesh                                              ","Hoshangabad",23.0,26.0
199.0,265.0,"Shri  Premchand  Guddu                                             ",15.0,7.0,"Madhya Pradesh                                              ","Ujjain",23.0,23.0
200.0,266.0,"Shri  Marotrao  Sainuji   Kowase                                  ",15.0,7.0,"Maharashtra                                                 ","Gadchiroli-Chimur",23.0,28.0
