-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.3.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.3.csv"
}
-----
State,District,Block,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,8,49,203,50,310
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,10,55,144,156,365
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,9,71,251,36,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,68,66,128,54,316
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,181,367,525,22,1095
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,8,16,111,6,141
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,11,52,156,20,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,14,98,549,69,730
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,16,52,140,24,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,3,5,28,1,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,87,211,378,66,742
ANDHRA PRADESH,ANANTHAPUR,GOOTY,5,68,155,25,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,39,90,76,2,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,3,45,104,24,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,18,146,262,37,463
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,27,72,93,12,204
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,214,169,165,7,555
ANDHRA PRADESH,ANANTHAPUR,KADIRI,29,43,44,1,117
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,35,128,217,29,409
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,0,69,181,38,288
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,17,58,164,8,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,98,183,416,74,771
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,10,37,47,0,94
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,18,104,199,26,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,5,24,48,24,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,29,175,375,10,589
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,82,109,119,2,312
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,0,32,103,15,150
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,16,84,84,1,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,5,70,68,2,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,23,29,15,0,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,48,93,189,44,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,0,1,49,13,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,101,148,318,40,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,83,195,261,20,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,192,420,645,92,1349
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,18,45,159,53,275
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,4,89,127,15,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,4,48,473,55,580
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,14,36,62,7,119
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,13,15,156,3,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,65,183,238,20,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,8,76,338,92,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,59,154,350,101,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,36,34,21,1,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,22,42,31,4,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,65,178,294,6,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,36,132,170,10,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,21,118,223,16,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,145,204,379,46,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,36,22,22,0,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,2,18,168,28,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,2,17,88,21,128
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,1,16,50,15,82
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,2,7,32,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,24,137,337,28,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,126,178,294,63,661
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,8,77,190,1,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,17,39,18,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,16,30,13,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,60,229,117,7,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,59,24,11,1,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,37,78,33,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,15,11,1,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,9,67,75,5,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,47,42,5,1,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,10,25,40,2,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,14,37,20,1,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,6,11,17,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,11,24,15,1,51
ANDHRA PRADESH,CHITTOOR,IRALA,55,44,18,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,19,44,18,1,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,2,39,148,1,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,83,53,62,1,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,53,85,17,1,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,15,50,40,2,107
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,16,15,4,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,11,36,27,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,22,76,78,8,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,101,119,78,2,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,5,17,80,4,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,71,35,12,3,121
ANDHRA PRADESH,CHITTOOR,NAGARI,91,190,88,1,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,56,41,38,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,15,44,89,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,73,145,179,1,398
ANDHRA PRADESH,CHITTOOR,PAKALA,2,13,10,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,43,45,19,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,8,25,29,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,21,17,19,2,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,40,56,67,9,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,3,49,176,14,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,7,44,46,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,10,45,34,1,90
ANDHRA PRADESH,CHITTOOR,PILERU,3,3,18,2,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,57,94,52,1,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,15,44,120,18,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,19,78,32,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,57,56,66,1,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,4,14,39,1,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,4,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,225,111,49,4,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,6,64,78,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,7,23,14,1,45
ANDHRA PRADESH,CHITTOOR,SODAM,4,6,16,1,27
ANDHRA PRADESH,CHITTOOR,SOMALA,5,37,17,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,78,90,86,2,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,30,135,44,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,2,6,3,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,181,237,159,1,578
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),89,166,91,14,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),9,12,1,0,22
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,53,81,152,5,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,74,165,121,4,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,15,48,38,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,12,31,20,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,4,4,70,6,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,9,61,62,3,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,1,15,2,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,327,443,209,6,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,9,15,14,1,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,0,1,32,2,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,3,33,84,4,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,7,31,41,0,79
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,0,8,24,1,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,111,148,133,1,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,183,276,444,5,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,2,1,8,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,67,85,64,7,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,1,4,15,2,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,81,518,160,3,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,27,78,68,5,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,0,1,14,3,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,31,54,62,9,156
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,291,391,268,4,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,93,196,182,4,475
ANDHRA PRADESH,CUDDAPAH,KODUR,19,33,11,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,217,556,418,14,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,0,4,1,1,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,1,31,51,14,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,131,79,19,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,8,1,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,97,211,30,2,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,253,538,467,20,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1,21,66,8,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,201,284,269,24,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,1,7,40,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,13,66,41,1,121
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,110,90,16,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,2,15,10,3,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,2,1,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,16,20,19,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,242,365,347,3,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,0,10,1,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,140,139,94,1,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,121,299,245,2,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,0,2,26,1,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,197,133,55,14,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,132,102,32,1,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,63,109,104,2,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,89,154,327,10,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,4,47,59,4,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,9,17,2,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,44,61,47,1,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,13,18,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,217,233,157,2,609
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,341,137,69,0,547
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,66,26,14,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,305,117,70,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,644,423,211,2,1280
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,126,68,20,1,215
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,739,440,123,1,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,66,39,30,0,135
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,59,193,355,3,610
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,52,41,32,30,155
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,2,15,13,2,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,38,12,4,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,7,36,96,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1089,438,199,9,1735
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,13,19,18,1,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,11,14,27,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,340,225,172,0,737
ANDHRA PRADESH,EAST GODAVARI,KARAPA,0,0,19,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,201,219,287,2,709
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,125,145,90,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,79,113,40,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,21,22,32,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,533,408,313,2,1256
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,251,42,8,0,301
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,260,108,62,0,430
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,294,287,147,1,729
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,272,156,110,0,538
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,573,165,50,1,789
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,169,92,40,0,301
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,51,110,98,0,259
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,117,90,124,0,331
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,235,188,181,1,605
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,78,100,123,2,303
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,30,77,97,4,208
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,0,0,2,0,2
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,162,253,158,1,574
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1,10,6,0,17
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,679,252,133,2,1066
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,75,207,88,1,371
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,69,26,35,0,130
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,6,24,34,0,64
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,80,120,82,0,282
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,212,200,201,21,634
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,6,23,0,29
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,59,166,152,0,377
ANDHRA PRADESH,EAST GODAVARI,TUNI,102,170,157,17,446
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,18,18,6,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,210,397,392,10,1009
ANDHRA PRADESH,GUNTUR,ACHAMPET,0,3,8,0,11
ANDHRA PRADESH,GUNTUR,AMARAVATHI,124,97,81,0,302
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,80,85,45,1,211
ANDHRA PRADESH,GUNTUR,BAPATLA,17,5,2,0,24
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,5,28,17,0,50
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,332,479,144,3,958
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,4,51,103,0,158
ANDHRA PRADESH,GUNTUR,CHEBROLE,21,7,3,0,31
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,45,24,30,0,99
ANDHRA PRADESH,GUNTUR,DACHEPALLE,9,18,17,1,45
ANDHRA PRADESH,GUNTUR,DUGGIRALA,819,437,199,6,1461
ANDHRA PRADESH,GUNTUR,DURGI,2,3,26,0,31
ANDHRA PRADESH,GUNTUR,EDLAPADU,22,9,1,0,32
ANDHRA PRADESH,GUNTUR,GUNTUR,9,12,9,0,30
ANDHRA PRADESH,GUNTUR,GURAZALA,10,23,25,5,63
ANDHRA PRADESH,GUNTUR,IPUR,6,1,7,0,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,19,27,20,0,66
ANDHRA PRADESH,GUNTUR,KARLAPALEM,10,7,23,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,956,509,203,7,1675
ANDHRA PRADESH,GUNTUR,KOLLUR,999,788,732,14,2533
ANDHRA PRADESH,GUNTUR,KROSURU,0,1,3,0,4
ANDHRA PRADESH,GUNTUR,MACHERLA,9,37,56,5,107
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,577,231,80,1,889
ANDHRA PRADESH,GUNTUR,NADENDLA,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,NAGARAM,4,15,14,0,33
ANDHRA PRADESH,GUNTUR,NARASARAOPET,0,0,3,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,3,2,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,13,30,14,0,57
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,37,16,13,6,72
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,3,2,0,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,597,279,83,2,961
ANDHRA PRADESH,GUNTUR,PRATHIPADU,8,9,4,0,21
ANDHRA PRADESH,GUNTUR,RAJUPALEM,10,9,6,0,25
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,4,7,17,0,28
ANDHRA PRADESH,GUNTUR,REPALLE,47,28,13,0,88
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,1,5,0,0,6
ANDHRA PRADESH,GUNTUR,TADEPALLE,511,257,240,5,1013
ANDHRA PRADESH,GUNTUR,TADIKONDA,26,102,169,0,297
ANDHRA PRADESH,GUNTUR,TENALI,428,253,176,1,858
ANDHRA PRADESH,GUNTUR,THULLUR,1324,613,118,0,2055
ANDHRA PRADESH,GUNTUR,TSUNDUR,134,311,87,0,532
ANDHRA PRADESH,GUNTUR,VELDURTHY,143,215,55,0,413
ANDHRA PRADESH,GUNTUR,VEMURU,220,198,113,3,534
ANDHRA PRADESH,GUNTUR,VINUKONDA,1,5,11,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,3,47,3,53
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,7,2,4,0,13
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,7,2,1,0,10
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,0,10,9,0,19
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,18,9,15,0,42
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,5,40,12,0,57
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,1,4,2,0,7
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,2,5,0,0,7
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,2,3,0,0,5
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,0,1,3,0,4
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,0,0,3,0,3
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,2,2,7,0,11
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,57,31,10,0,98
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,2,0,3,0,5
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,4,12,37,0,53
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,16,20,32,3,71
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,3,7,9,0,19
ANDHRA PRADESH,KARIMNAGAR,METPALLE,1,1,2,0,4
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,0,1,1,0,2
ANDHRA PRADESH,KARIMNAGAR,SHANKARA PATNAM,0,0,1,0,1
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,107,143,106,10,366
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,62,14,23,1,100
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,1,13,12,0,26
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,0,0
ANDHRA PRADESH,KHAMMAM,CHERLA,32,77,272,7,388
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,20,191,345,34,590
ANDHRA PRADESH,KHAMMAM,ENKURU,11,58,50,0,119
ANDHRA PRADESH,KHAMMAM,GUNDALA,0,1,0,0,1
ANDHRA PRADESH,KHAMMAM,KHAMMAM (RURAL),1,2,2,0,5
ANDHRA PRADESH,KHAMMAM,KHAMMAM (URBAN),1,3,5,1,10
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,2,16,7,0,25
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,0,0,8,0,8
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,314,59,4,0,377
ANDHRA PRADESH,KHAMMAM,MADHIRA,23,56,44,0,123
ANDHRA PRADESH,KHAMMAM,MANUGUR,2,21,46,1,70
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,0,5,19,0,24
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,0,34,3,37
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,0,0,4,0,4
ANDHRA PRADESH,KHAMMAM,PALWANCHA,2,11,4,0,17
ANDHRA PRADESH,KHAMMAM,PENUBALLI,2,8,29,3,42
ANDHRA PRADESH,KHAMMAM,PINAPAKA,45,228,442,6,721
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,53,75,73,2,203
