-----
{
 "description": "This dataset contains the list of horticultural crops varieties that have been released and notified (central release) during the years 2005-2009. The horticultural crops include fruit crops, vegetable crops, tuber crops, floricultural crops, spices, medicinal and aromatic plant, plantation crops ...", 
 "file_name": "Horticultural_Crops_Varieties_Central_Released_2005-09.xls", 
 "title": "Download XLS for Horticultural Crops Varieties Central Release (2005-09)", 
 "url": "http://data.gov.in/sites/default/files/Horticultural_Crops_Varieties_Central_Released_2005-09.xls"
}
-----
"Crops ","Variety Name","Year ","Remarks/ Development By ","State"
"Fengreek","NRCSS NM 2",2005.0,"NRC on SS","Ajmer"
"Ginger","IISR Mahima",2005.0,"IISR","Calicut"
"Ginger","IISR Rajitha",2005.0,"IISR","Calicut"
"Nutmeg","IISR Viswashree",2005.0,"IISR","Calicut"
"Black Pepper","IISR Thevam",2006.0,"IISR","Calicut"
"Black Pepper","IISR Girimunda",2006.0,"IISR","Calicut"
"Black Pepper","IISR Malabar excel",2006.0,"IISR","Calicut"
"Black Pepper","IISR Shakthi",2006.0,"IISR","Calicut"
"Turmeric","IISR, Kedaram",2006.0,"IISR","Calicut"
"Turmeric","IISR Alleppy Suprem",2006.0,"IISR","Calicut"
"Ajowain","NRCSS AA1",2005.0,"NRCSS","Ajmer"
"Ajowain","NRCSS AA2",2005.0,"NRCSS","Ajmer"
"Nigella","NRCSS AN1",2005.0,"NRCSS","Ajmer"
"Anise","NRCSS Aani 1",2006.0,"NRCSS","Ajmer"
"Celery","NRCSS Acel 1",2006.0,"NRCSS","Ajmer"
"Dill","NRCSS AD- 1",2005.0,"NRCSS","Ajmer"
"Dill","NRCSS AD-2",2005.0,"NRCSS","Ajmer"
"Safed Musli","INGR No. 04113",2005.0,"NRCM and AP","Anand"
"Safed Musli","INGR No. 04114",2005.0,"NRCM and AP","Anand"
"Aloe Vera","INGR No. 06023",2006.0,"NRCM and AP","Anand"
"Aloe Vera","INGR No. 06024",2006.0,"NRCM and AP","Anand"
"Gilo (Tinospora Cordifolia)","INGR No. 06025",2006.0,"NRCM and AP","Anand"
"Isbgol","GI-3",2006.0,"NRCM and AP","Anand"
"Arecaunt","VTL AH- 1",2006.0,"CPCRI","Kasaragod"
"Cocoa","VTl CH-4",2006.0,"CPCRI","Kasaragod"
"Cashewnut","Chintamani- 2, VRI (CW)-5, Goa-2",2007.0,"Released by Directorate of Cashew Research","Puttur"
"Coconut","Kalpa Pratobha, Kalpa Mitra, Kalpa Dhenu, Kalparaksha",2008.0,"Released by CPCRI","Kasaragod"
