-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.8.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.8.csv"
}
-----
"State","District","Submersible pumps","Turbine pumps","Others","Total"
"CHHATTISGARH","MAHASAMUND",3,0,1,4
"CHHATTISGARH","RAIGARH",641,1,0,642
"CHHATTISGARH","RAIPUR",132,1,1,134
"CHHATTISGARH","RAJNANDGAON",13,0,4,17
"CHHATTISGARH","SURGUJA",71,0,0,71
"DELHI","MAHRAULI",474,2,0,476
"DELHI","NAJAFGARH",167,2,0,169
"GOA","NORTH GOA",57,0,0,57
"GOA","SOUTH GOA",1,2,0,3
"GUJARAT","AHMEDABAD",6561,46,79,6686
"GUJARAT","AMRELI",5559,0,0,5559
"GUJARAT","ANAND",2176,133,36,2345
"GUJARAT","BANASKANTHA",20624,137,382,21143
"GUJARAT","BHARUCH",196,5,6,207
"GUJARAT","BHAVNAGAR",4,0,0,4
"GUJARAT","DANG",1,0,0,1
"GUJARAT","GANDHINAGAR",7971,3,16,7990
"GUJARAT","JUNAGADH",6288,714,219,7221
"GUJARAT","KACHCHH",1182,39,37,1258
"GUJARAT","KHEDA",2224,14,22,2260
"GUJARAT","MEHSANA",9846,76,16,9938
"GUJARAT","NARMADA",449,5,7,461
"GUJARAT","NAVSARI",199,0,3,202
"GUJARAT","PANCHMAHAL",14,0,0,14
"GUJARAT","PATAN",6004,115,5,6124
"GUJARAT","PORBANDAR",742,24,10,776
"GUJARAT","RAJKOT",6755,195,173,7123
"GUJARAT","SABARKANTHA",1230,73,8,1311
"GUJARAT","SURAT",19,0,0,19
"GUJARAT","SURENDRANAGAR",9558,381,363,10302
"GUJARAT","VADODARA",3227,11,0,3238
"HARYANA","AMBALA",3576,37,79,3692
"HARYANA","BHIWANI",244,20,23,287
"HARYANA","FARIDABAD",24,4,0,28
"HARYANA","FATEHABAD",2684,70,97,2851
"HARYANA","GURGAON",146,124,20,290
"HARYANA","HISSAR",25,301,4,330
"HARYANA","JHAJJAR",37,265,35,337
"HARYANA","JIND",293,1224,29,1546
"HARYANA","KAITHAL",2769,388,193,3350
"HARYANA","KARNAL",2294,13,69,2376
"HARYANA","KURUKSHETRA",3289,4,99,3392
"HARYANA","MAHENDRAGARH",675,0,70,745
"HARYANA","PANCHKULA",256,20,16,292
"HARYANA","PANIPAT",1260,170,55,1485
"HARYANA","REWARI",237,49,21,307
"HARYANA","SIRSA",2085,40,35,2160
"HARYANA","SONEPAT",474,93,22,589
"HARYANA","YAMUNANAGAR",263,6,13,282
"HIMACHAL PRADESH","Kangra",105,2,3,110
"HIMACHAL PRADESH","Kullu",0,2,0,2
"HIMACHAL PRADESH","Sirmaur",12,0,0,12
"HIMACHAL PRADESH","Solan",36,1,0,37
"HIMACHAL PRADESH","Una",179,9,2,190
"JAMMU & KASHMIR","JAMMU",11,3,1,15
"JAMMU & KASHMIR","KATHUA",3,0,2,5
"JHARKHAND","CHATRA",1,0,0,1
"JHARKHAND","DUMKA",0,1,4,5
"JHARKHAND","GARHWA",0,3,0,3
"JHARKHAND","GIRIDIH",0,6,1,7
"JHARKHAND","HAZARIBAGH",0,4,0,4
"JHARKHAND","SAHEBGANJ",0,5,0,5
"JHARKHAND","SARAIKELA",0,1,0,1
"JHARKHAND","WEST SINGHBHUM",0,1,1,2
"KARNATAKA","Bangalore",1,0,0,1
"KARNATAKA","Bangalore Rural",2,0,0,2
"KARNATAKA","Belgaum",5,0,0,5
"KARNATAKA","Bellary",1,0,0,1
"KARNATAKA","Bijapur",2,0,0,2
"KARNATAKA","Chikmagalur",3,1,0,4
"KARNATAKA","Chitradurga",1,0,0,1
"KARNATAKA","Dakshina Kannada",1,0,0,1
"KARNATAKA","Davanagere",3,0,0,3
"KARNATAKA","Dharwar",0,0,1,1
"KARNATAKA","Kolar",6,0,0,6
"KARNATAKA","Mandya",4,0,0,4
"KARNATAKA","Tumkur",1,0,0,1
"KERALA","ALAPPUZHA",0,0,2,2
"KERALA","ERANAKULAM",7,3,1,11
"KERALA","IDDUKKI",0,2,32,34
"KERALA","KANNUR",11,0,16,27
"KERALA","KASARAGODE",11,6,10,27
"KERALA","KOLLAM",3,0,2,5
"KERALA","KOTTAYAM",1,0,10,11
"KERALA","KOZHIKODE",1,0,0,1
"KERALA","MALAPPURAM",13,2,11,26
"KERALA","PALAKKAD",19,14,6,39
"KERALA","PATHANAMTHITTA",1,3,9,13
"KERALA","THIRUVANANTHAPURAM",2,2,1,5
"KERALA","THRISSUR",22,3,1,26
"MADHYA PRADESH","BALAGHAT",41,0,4,45
"MADHYA PRADESH","BARWANI",1591,0,34,1625
"MADHYA PRADESH","BETUL",1720,11,39,1770
"MADHYA PRADESH","BHIND",371,58,98,527
"MADHYA PRADESH","BHOPAL",226,8,68,302
"MADHYA PRADESH","CHHATARPUR",108,0,1,109
"MADHYA PRADESH","DAMOH",512,2,9,523
"MADHYA PRADESH","DATIA",217,146,0,363
"MADHYA PRADESH","DEWAS",1567,35,32,1634
"MADHYA PRADESH","DHAR",943,284,4,1231
"MADHYA PRADESH","GUNA",2114,218,17,2349
"MADHYA PRADESH","GWALIOR",26,1,2,29
"MADHYA PRADESH","HARDA",0,0,2,2
"MADHYA PRADESH","HOSHANGABAD",471,1,52,524
"MADHYA PRADESH","INDORE",1245,485,11,1741
"MADHYA PRADESH","JABALPUR",176,0,0,176
"MADHYA PRADESH","JHABUA",691,19,12,722
"MADHYA PRADESH","KATNI",106,4,3,113
"MADHYA PRADESH","KHANDWA",1558,13,189,1760
"MADHYA PRADESH","KHARGONE",3066,12,1,3079
"MADHYA PRADESH","MANDSAUR",1233,19,0,1252
"MADHYA PRADESH","MORENA",1,0,0,1
"MADHYA PRADESH","NARSINGHPUR",173,2,0,175
"MADHYA PRADESH","NEEMUCH",3027,74,21,3122
"MADHYA PRADESH","PANNA",342,7,81,430
"MADHYA PRADESH","RAISEN",124,21,4,149
"MADHYA PRADESH","RAJGARH",416,8,278,702
"MADHYA PRADESH","RATLAM",4989,37,29,5055
"MADHYA PRADESH","REWA",1043,14,44,1101
"MADHYA PRADESH","SAGAR",280,0,63,343
"MADHYA PRADESH","SATNA",1692,2,32,1726
"MADHYA PRADESH","SEHORE",77,0,14,91
"MADHYA PRADESH","SEONI",49,2,11,62
"MADHYA PRADESH","SHAHDOL",90,13,13,116
"MADHYA PRADESH","SHAJAPUR",232,101,87,420
"MADHYA PRADESH","SHEOPUR",866,28,15,909
"MADHYA PRADESH","SHIVPURI",1182,19,332,1533
"MADHYA PRADESH","SIDHI",71,1,0,72
"MADHYA PRADESH","TIKAMGARH",79,6,0,85
"MADHYA PRADESH","UJJAIN",303,5,0,308
"MADHYA PRADESH","VIDISHA",115,7,0,122
"MAHARASHTRA","AHMEDNAGAR",3095,7,181,3283
"MAHARASHTRA","AKOLA",188,0,0,188
"MAHARASHTRA","AMRAVATI",568,0,3,571
"MAHARASHTRA","AURANGABAD",150,0,0,150
"MAHARASHTRA","BEED",1779,4,79,1862
"MAHARASHTRA","BHANDARA",36,1,0,37
"MAHARASHTRA","BULDANA",159,0,4,163
"MAHARASHTRA","CHANDRAPUR",44,0,0,44
"MAHARASHTRA","DHULE",2856,34,193,3083
"MAHARASHTRA","GADCHIROLI",36,9,0,45
"MAHARASHTRA","GONDIYA",14,0,1,15
"MAHARASHTRA","HINGOLI",322,0,0,322
"MAHARASHTRA","JALGAON",6496,15,0,6511
"MAHARASHTRA","JALNA",118,0,0,118
"MAHARASHTRA","KOLHAPUR",2289,58,0,2347
"MAHARASHTRA","LATUR",10408,11,0,10419
"MAHARASHTRA","NAGPUR",38,1,0,39
"MAHARASHTRA","NANDED",1312,8,1,1321
"MAHARASHTRA","NANDURBAR",6897,37,396,7330
"MAHARASHTRA","NASHIK",3807,132,638,4577
"MAHARASHTRA","OSMANABAD",10226,5,4,10235
"MAHARASHTRA","PARBHANI",103,0,1,104
"MAHARASHTRA","PUNE",1419,18,5,1442
"MAHARASHTRA","RAIGHAR",123,1,1,125
"MAHARASHTRA","SANGLI",11544,35,149,11728
"MAHARASHTRA","SATARA",567,6,0,573
"MAHARASHTRA","SINDHUDURGA",3,0,0,3
"MAHARASHTRA","SOLAPUR",9566,81,319,9966
"MAHARASHTRA","THANE",19,0,0,19
"MAHARASHTRA","WARDHA",75,15,14,104
"MAHARASHTRA","WASHIM",48,29,0,77
"MAHARASHTRA","YAVATMAL",384,4,34,422
"MEGHALAYA","WEST GARO HILLS",1,7,0,8
"NAGALAND","DIMAPUR",2,0,1,3
"ORISSA","ANGUL",1,0,1,2
"ORISSA","BALASORE",1442,28,166,1636
"ORISSA","BARGARH",68,1,0,69
"ORISSA","BHADRAK",520,21,23,564
"ORISSA","BOLANGIR",22,6,5,33
"ORISSA","CUTTACK",234,11,50,295
"ORISSA","DEOGARH",4,0,1,5
"ORISSA","DHENKANAL",4,1,0,5
"ORISSA","GAJAPATI",2,0,0,2
"ORISSA","GANJAM",63,6,22,91
"ORISSA","JAGATSINGHPUR",242,9,11,262
"ORISSA","JAJAPUR",599,70,30,699
"ORISSA","JHARSUGUDA",138,4,4,146
"ORISSA","KALAHANDI",4,4,5,13
"ORISSA","KENDRAPARA",27,21,12,60
"ORISSA","KEONJHAR",43,2,1,46
"ORISSA","KHURDA",37,0,4,41
"ORISSA","KORAPUT",2,0,0,2
"ORISSA","MALKANAGIRI",1,2,5,8
"ORISSA","MAYURBHANJA",374,22,9,405
"ORISSA","NAWARANGAPUR",2,0,4,6
"ORISSA","NAYAGARH",4,0,6,10
"ORISSA","NUAPADA",4,0,1,5
"ORISSA","PURI",75,15,6,96
"ORISSA","RAYAGADA",9,2,1,12
"ORISSA","SAMBALPUR",31,0,2,33
"ORISSA","SONEPUR",2,1,0,3
"ORISSA","SUNDARGARH",34,5,4,43
"PONDICHERRY","KARAIKAL",16,3,0,19
"PONDICHERRY","PONDICHERRY",309,0,0,309
"PUNJAB","AMRITSER",4,0,0,4
"PUNJAB","GURDASPUR",1895,80,33,2008
"PUNJAB","HOSHIARPUR",1780,41,5,1826
"PUNJAB","KAPURTHALA",5,0,9,14
"PUNJAB","LUDHIANA",230,62,42,334
"PUNJAB","MOGA",66,35,0,101
"PUNJAB","NAWANSHAHAR",420,26,1,447
"PUNJAB","PATIALA",2142,53,10,2205
"PUNJAB","ROPAR",873,9,11,893
"PUNJAB","SANGRUR",634,86,1438,2158
"RAJASTHAN","AJMER",67,4,0,71
"RAJASTHAN","ALWAR",2,26,0,28
"RAJASTHAN","BANSWARA",193,1,0,194
"RAJASTHAN","BARAN",8719,565,1,9285
"RAJASTHAN","BARMER",432,26,11,469
"RAJASTHAN","BHARATPUR",470,110,407,987
"RAJASTHAN","BHILWARA",239,4,4,247
"RAJASTHAN","BIKANER",2462,23,2,2487
"RAJASTHAN","BUNDI",2790,872,341,4003
"RAJASTHAN","CHITTORGARH",7015,168,265,7448
"RAJASTHAN","CHURU",1156,37,3,1196
"RAJASTHAN","DAUSA",15,0,0,15
"RAJASTHAN","DUNGARPUR",26,48,3,77
"RAJASTHAN","JAIPUR",132,9,0,141
"RAJASTHAN","JAISALMER",873,28,1,902
"RAJASTHAN","JALORE",773,275,26,1074
"RAJASTHAN","JHALAWAR",527,18,0,545
"RAJASTHAN","JHUNJHUNU",7,0,0,7
"RAJASTHAN","JODHPUR",13483,137,43,13663
"RAJASTHAN","KAROLI",292,72,71,435
"RAJASTHAN","KOTA",1606,247,2,1855
"RAJASTHAN","NAGAUR",8573,251,236,9060
"RAJASTHAN","PALI",580,21,4,605
"RAJASTHAN","RAJSAMAND",117,1,12,130
"RAJASTHAN","SAWAI MADHOPUR",901,120,19,1040
"RAJASTHAN","SIKAR",105,0,0,105
"RAJASTHAN","SIROHI",72,1,0,73
"RAJASTHAN","TONK",232,24,0,256
"RAJASTHAN","UDAIPUR",360,6,0,366
"TAMIL NADU","COIMBATORE",18720,1199,2054,21973
"TAMIL NADU","CUDDALORE",3503,50,237,3790
"TAMIL NADU","DHARMAPURI",1306,216,502,2024
"TAMIL NADU","DINDIGUL",1908,280,769,2957
"TAMIL NADU","ERODE",6051,423,235,6709
"TAMIL NADU","KANCHEEPURAM",475,5,2,482
"TAMIL NADU","KANYAKUMARI",238,2,72,312
"TAMIL NADU","KARUR",529,35,367,931
"TAMIL NADU","MADURAI",368,27,12,407
"TAMIL NADU","NAMAKKAL",1588,128,2044,3760
"TAMIL NADU","NILGIRIS",1,0,0,1
"TAMIL NADU","PERAMBALUR",2001,511,184,2696
"TAMIL NADU","PUDUKKOTTAI",7571,136,30,7737
"TAMIL NADU","RAMANATHAPURAM",436,20,122,578
"TAMIL NADU","SALEM",4313,123,1290,5726
"TAMIL NADU","SIVAGANGA",350,42,124,516
"TAMIL NADU","THANJAVUR",14064,742,240,15046
"TAMIL NADU","THENI",2444,129,0,2573
"TAMIL NADU","THIRUVALLUR",401,0,0,401
"TAMIL NADU","THIRUVARUR",1158,1347,34,2539
"TAMIL NADU","TIRUCHIRAPPALLI",247,39,42,328
"TAMIL NADU","TIRUNELVELI",274,28,294,596
"TAMIL NADU","TIRUVANNAMALAI",26,0,2,28
"TAMIL NADU","TUTICORIN DISTRICT",66,21,10,97
"TAMIL NADU","VELLORE",303,5,0,308
"TAMIL NADU","VILLUPPURAM",1174,66,5,1245
"TAMIL NADU","VIRUDHUNAGAR",117,12,121,250
"TRIPURA","DHALAI",2,1,0,3
"TRIPURA","NORTH TRIPURA",12,0,0,12
"TRIPURA","SOUTH TRIPURA",32,0,0,32
"TRIPURA","WEST TRIPURA",108,13,0,121
"UTTAR PRADESH","AGRA",698,28,43,769
"UTTAR PRADESH","ALIGARH",300,310,13,623
"UTTAR PRADESH","ALLAHABAD",829,241,65,1135
"UTTAR PRADESH","AMBEDAKAR NAGAR",347,44,4,395
"UTTAR PRADESH","AURAIYA",472,0,0,472
"UTTAR PRADESH","AZAMGARH",279,10,7,296
"UTTAR PRADESH","BAGHPAT",341,3,28,372
"UTTAR PRADESH","BAHARAICH",357,23,18,398
"UTTAR PRADESH","BALLIA",403,242,85,730
"UTTAR PRADESH","BALRAMPUR",108,146,22,276
"UTTAR PRADESH","BANDA",1016,157,467,1640
"UTTAR PRADESH","BARABANKI",171,19,8,198
"UTTAR PRADESH","BAREILLY",507,95,148,750
"UTTAR PRADESH","BASTI",220,249,16,485
"UTTAR PRADESH","BIJNOR",209,425,2,636
"UTTAR PRADESH","BUDAUN",706,76,136,918
"UTTAR PRADESH","BULAND SAHAR",213,52,62,327
"UTTAR PRADESH","CHANDAULI",177,22,26,225
"UTTAR PRADESH","CHITRAKOOT",104,13,27,144
"UTTAR PRADESH","DEORIA",421,152,281,854
"UTTAR PRADESH","ETAH",3,1,642,646
"UTTAR PRADESH","ETAWAH",517,0,0,517
"UTTAR PRADESH","FAIZABAD",492,62,6,560
"UTTAR PRADESH","FARRUKHABAD",273,9,9,291
"UTTAR PRADESH","FATEHPUR",553,53,12,618
"UTTAR PRADESH","FIROZABAD",217,9,37,263
"UTTAR PRADESH","GAUTAM BUDHA NAGAR",104,9,19,132
"UTTAR PRADESH","GHAZIABAD",162,13,27,202
"UTTAR PRADESH","GHAZIPUR",725,22,20,767
"UTTAR PRADESH","GONDA",243,148,42,433
"UTTAR PRADESH","GORAKHPUR",582,66,339,987
"UTTAR PRADESH","HAMIRPUR",604,96,77,777
"UTTAR PRADESH","HARDOI",551,0,0,551
"UTTAR PRADESH","HATHRAS",126,6,0,132
"UTTAR PRADESH","JALAUN",1330,54,229,1613
"UTTAR PRADESH","JAUNPUR",393,97,25,515
"UTTAR PRADESH","JHANSI",247,61,10,318
"UTTAR PRADESH","JYOTIBA PHULENAGAR",265,8,114,387
"UTTAR PRADESH","KANNAUJ",194,8,9,211
"UTTAR PRADESH","KANPUR DEHAT",1138,27,61,1226
"UTTAR PRADESH","KANPUR NAGAR",809,49,61,919
"UTTAR PRADESH","KAUSHAMBI",243,26,17,286
"UTTAR PRADESH","KHERI",568,152,35,755
"UTTAR PRADESH","KUSHINAGAR",27,109,6,142
"UTTAR PRADESH","LALITPUR",79,4,1,84
"UTTAR PRADESH","LUCKNOW",337,12,32,381
"UTTAR PRADESH","MAHARAJ GANJ",191,24,1,216
"UTTAR PRADESH","MAHOBA",23,5,0,28
"UTTAR PRADESH","MAINPURI",257,37,33,327
"UTTAR PRADESH","MATHURA",36,2,0,38
"UTTAR PRADESH","MAU",255,9,9,273
"UTTAR PRADESH","MEERUT",234,90,28,352
"UTTAR PRADESH","MIRZAPUR",460,15,7,482
"UTTAR PRADESH","MORADABAD",1012,99,131,1242
"UTTAR PRADESH","MUZZAFARNAGAR",411,53,39,503
"UTTAR PRADESH","PILIBHIT",81,25,20,126
"UTTAR PRADESH","PRATAPGARH",89,5,1,95
"UTTAR PRADESH","RAEBARELI",369,11,10,390
"UTTAR PRADESH","RAMPUR",424,211,132,767
"UTTAR PRADESH","SAHARANPUR",451,45,103,599
"UTTAR PRADESH","SANT KABIR NAGAR",266,38,54,358
"UTTAR PRADESH","SANT RAVI DAS NAGAR",398,51,34,483
"UTTAR PRADESH","SHAHJAHANPUR",0,0,458,458
"UTTAR PRADESH","SHRAWASTI",99,12,109,220
"UTTAR PRADESH","SIDDHARTH NAGAR",234,45,17,296
"UTTAR PRADESH","SITAPUR",698,0,1,699
"UTTAR PRADESH","SONBHADRA",23,5,2,30
"UTTAR PRADESH","SULTANPUR",571,170,38,779
"UTTAR PRADESH","UNNAO",143,11,14,168
"UTTAR PRADESH","VARANASI",712,44,44,800
"UTTARANCHAL","CHAMPAWAT",5,0,1,6
"UTTARANCHAL","DEHRA DUN",65,3,11,79
"UTTARANCHAL","HARIDWAR",180,30,4,214
"UTTARANCHAL","NAINITAL",151,6,12,169
"UTTARANCHAL","PAURI",15,0,0,15
"UTTARANCHAL","UDHAM SINGH NAGAR",308,38,54,400
"WEST BENGAL","BANKURA",153,3,4,160
"WEST BENGAL","BIRBHUM",122,1,2,125
"WEST BENGAL","BURDWAN",603,14,9,626
"WEST BENGAL","COOCHBEHAR",52,13,1,66
"WEST BENGAL","DAKSHIN DINAJPUR",148,2,0,150
"WEST BENGAL","DARJEELING",35,3,0,38
"WEST BENGAL","HAORA",172,9,2,183
"WEST BENGAL","HOOGHLY",509,17,1,527
"WEST BENGAL","JALPAIGURI",201,26,8,235
"WEST BENGAL","MALDA",349,22,2,373
"WEST BENGAL","MIDNAPORE",734,30,9,773
"WEST BENGAL","MURSHIDABAD",469,104,15,588
"WEST BENGAL","NADIA",638,95,24,757
"WEST BENGAL","NORTH 24 PARGANAS",286,38,3,327
"WEST BENGAL","SOUTH 24 PARGANAS",25,2,2,29
"WEST BENGAL","UTTAR DINAJPUR",161,17,4,182
