-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.12.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.12.csv"
}
-----
State,District,Block,Total Number of Tubewells, Avg length of Pucca Channel,Avg length of Kuccha Channel,Avg length of Under gr. Channel
ANDHRA PRADESH,ANANTHAPUR,KADIRI,118,3,25,65
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,421,8,33,58
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,294,0,154,29
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,247,9,28,28
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,791,5,30,10
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,95,3,22,9
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,347,0,1,43
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,101,0,239,9
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,591,0,109,54
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,313,0,61,9
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,151,0,3,13
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,185,0,30,18
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,145,0,29,13
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,67,4,16,61
ANDHRA PRADESH,ANANTHAPUR,NARPALA,374,8,27,62
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,63,0,25,59
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,607,1,13,5
ANDHRA PRADESH,ANANTHAPUR,PARIGI,559,0,68,20
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1413,13,25,24
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,277,0,7,20
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,235,1,26,12
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,587,10,20,95
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,121,0,12,13
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,187,0,15,0
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,506,0,5,28
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,514,2,38,64
ANDHRA PRADESH,ANANTHAPUR,RODDAM,664,0,30,22
ANDHRA PRADESH,ANANTHAPUR,ROLLA,92,0,46,0
ANDHRA PRADESH,ANANTHAPUR,SETTUR,99,14,122,28
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,543,3,11,35
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,348,3,36,4
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,378,0,2,0
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,774,9,28,7
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,80,0,15,35
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,216,0,13,11
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,132,0,6,0
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,83,1,7,4
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,41,84,66,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,526,21,48,17
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,669,0,4,354
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,276,0,142,45
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,74,0,48,26
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,59,1,33,2
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,413,3,21,23
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,95,0,16,40
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,148,9,69,25
ANDHRA PRADESH,CHITTOOR,CHITTOOR,27,0,81,77
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,156,0,55,21
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,95,0,122,24
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,77,0,54,63
ANDHRA PRADESH,CHITTOOR,GUDIPALA,72,0,190,46
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,34,9,64,17
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,51,0,103,39
ANDHRA PRADESH,CHITTOOR,IRALA,117,0,43,10
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,82,0,48,80
ANDHRA PRADESH,CHITTOOR,KALAKADA,190,0,44,35
ANDHRA PRADESH,CHITTOOR,KALIKIRI,199,5,62,49
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,156,0,22,9
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,108,5,39,37
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,35,0,29,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,74,0,51,27
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,184,0,79,8
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,300,0,73,15
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,106,0,100,67
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,121,0,11,1
ANDHRA PRADESH,CHITTOOR,NAGARI,370,0,19,17
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,135,26,78,24
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,148,2,72,61
ANDHRA PRADESH,CHITTOOR,NINDRA,398,0,66,47
ANDHRA PRADESH,CHITTOOR,PAKALA,25,0,63,29
ANDHRA PRADESH,CHITTOOR,PALAMANERU,107,0,49,46
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,62,0,56,48
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,59,2,27,125
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,172,12,71,27
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,242,0,68,33
ANDHRA PRADESH,CHITTOOR,PENUMURU,97,0,33,16
ANDHRA PRADESH,CHITTOOR,PICHATURU,90,2,50,75
ANDHRA PRADESH,CHITTOOR,PILERU,26,0,87,25
ANDHRA PRADESH,CHITTOOR,PULICHERLA,204,46,30,40
ANDHRA PRADESH,CHITTOOR,PUNGANURU,197,0,178,69
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,129,4,22,24
ANDHRA PRADESH,CHITTOOR,PUTTURU,180,0,117,29
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,58,0,52,76
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,4,0,3,55
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,389,0,37,15
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,148,0,145,35
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,45,0,37,32
ANDHRA PRADESH,CHITTOOR,SODAM,27,0,49,88
ANDHRA PRADESH,CHITTOOR,SOMALA,59,7,61,52
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,256,0,42,37
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,209,0,93,21
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,11,1,0,79
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,579,0,114,65
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),360,0,47,71
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),23,0,104,1
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,291,0,70,47
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,364,1,35,2
ANDHRA PRADESH,CHITTOOR,VAYALPAD,101,1,40,7
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,63,0,155,34
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,84,11,85,0
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,135,0,107,31
ANDHRA PRADESH,CHITTOOR,YADAMARI,18,0,15,66
ANDHRA PRADESH,CHITTOOR,YERPEDU,985,0,38,38
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,39,0,125,61
ANDHRA PRADESH,CUDDAPAH,ATLUR,35,1,73,0
ANDHRA PRADESH,CUDDAPAH,B.KODUR,124,0,86,0
ANDHRA PRADESH,CUDDAPAH,BADVEL,83,1,112,9
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,33,0,240,0
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,393,0,38,20
ANDHRA PRADESH,CUDDAPAH,CHAPAD,908,7,53,20
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,11,0,31,23
ANDHRA PRADESH,CUDDAPAH,CHENNUR,223,23,23,42
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,22,0,149,0
ANDHRA PRADESH,CUDDAPAH,CHITVEL,762,0,52,0
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,0,50,0
ANDHRA PRADESH,CUDDAPAH,DUVVUR,178,5,59,4
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,18,0,22,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,157,29,54,40
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,954,18,161,2
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,475,31,30,39
ANDHRA PRADESH,CUDDAPAH,KODUR,63,18,117,59
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1205,2,123,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,6,0,27,33
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,97,5,64,0
ANDHRA PRADESH,CUDDAPAH,NANDALUR,229,0,54,33
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,9,0,0,183
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,340,4,161,5
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,1278,45,14,12
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,96,0,153,4
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,778,96,110,2
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,48,80,17,17
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,122,1,183,118
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,216,3,17,6
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,30,51,50,20
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,3,0,0,22
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,55,0,34,159
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,957,9,54,23
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,11,0,89,0
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,374,0,75,1
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,667,0,56,0
ANDHRA PRADESH,CUDDAPAH,THONDUR,29,9,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,399,0,33,0
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,267,2,47,20
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,278,9,122,18
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,580,19,24,8
ANDHRA PRADESH,CUDDAPAH,VEMULA,114,0,275,0
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,0,10,32
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,153,0,153,20
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,31,0,140,0
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,613,2,38,1
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,553,0,17,0
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,106,0,220,0
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,492,0,307,0
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,1281,0,162,5
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,222,3,41,0
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,1303,0,31,0
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,136,2,8,1
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,614,4,20,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,157,1,69,0
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,32,0,7,0
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,54,0,201,0
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,139,1,12,0
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1736,0,106,0
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,51,0,23,0
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,52,0,30,0
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,739,0,12,0
ANDHRA PRADESH,EAST GODAVARI,KARAPA,19,0,68,0
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,711,7,59,0
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,360,0,24,0
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,232,0,24,0
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,75,0,5,0
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,1256,0,98,0
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,301,0,12,0
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,430,0,280,0
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,730,8,16,0
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,564,9,40,22
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,789,0,160,0
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,301,0,20,0
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,259,0,10,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,331,0,41,0
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,605,0,6,0
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,303,0,76,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,208,0,204,0
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,2,0,53,0
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,575,1,91,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,17,0,8,0
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,1066,0,18,0
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,371,0,77,0
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,130,0,217,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,66,0,26,0
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,282,2,159,0
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,637,0,187,4
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,29,0,23,2
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,377,3,270,0
ANDHRA PRADESH,EAST GODAVARI,TUNI,457,0,33,8
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,42,0,107,0
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1011,3,179,2
ANDHRA PRADESH,GUNTUR,ACHAMPET,11,0,17,0
ANDHRA PRADESH,GUNTUR,AMARAVATHI,302,0,34,0
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,211,7,51,0
ANDHRA PRADESH,GUNTUR,BAPATLA,28,15,64,0
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,50,4,103,0
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,958,1,18,0
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,158,4,16,0
ANDHRA PRADESH,GUNTUR,CHEBROLE,31,0,11,0
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,99,0,139,0
ANDHRA PRADESH,GUNTUR,DACHEPALLE,45,0,129,0
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1461,0,59,0
ANDHRA PRADESH,GUNTUR,DURGI,31,0,0,132
ANDHRA PRADESH,GUNTUR,EDLAPADU,32,0,113,0
ANDHRA PRADESH,GUNTUR,GUNTUR,30,0,250,0
ANDHRA PRADESH,GUNTUR,GURAZALA,63,0,64,0
ANDHRA PRADESH,GUNTUR,IPUR,14,17,154,0
ANDHRA PRADESH,GUNTUR,KAREMPUDI,66,0,121,0
ANDHRA PRADESH,GUNTUR,KARLAPALEM,40,0,15,0
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1675,0,165,0
ANDHRA PRADESH,GUNTUR,KOLLUR,2533,0,82,0
ANDHRA PRADESH,GUNTUR,KROSURU,4,0,9,0
ANDHRA PRADESH,GUNTUR,MACHERLA,108,8,28,17
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,890,213,139,0
ANDHRA PRADESH,GUNTUR,NADENDLA,1,0,50,0
ANDHRA PRADESH,GUNTUR,NAGARAM,33,0,86,0
ANDHRA PRADESH,GUNTUR,NARASARAOPET,3,0,14,0
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,5,0,22,0
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,57,0,335,0
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,89,0,260,13
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,5,0,11,0
ANDHRA PRADESH,GUNTUR,PONNUR,961,0,13,0
ANDHRA PRADESH,GUNTUR,PRATHIPADU,21,0,60,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,25,0,57,2
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,29,0,73,0
ANDHRA PRADESH,GUNTUR,REPALLE,88,0,42,0
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,0,15,0
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,6,9,23,0
ANDHRA PRADESH,GUNTUR,TADEPALLE,1019,0,32,0
ANDHRA PRADESH,GUNTUR,TADIKONDA,327,0,87,149
ANDHRA PRADESH,GUNTUR,TENALI,859,1,151,1
ANDHRA PRADESH,GUNTUR,THULLUR,2055,0,205,0
ANDHRA PRADESH,GUNTUR,TSUNDUR,532,0,60,0
ANDHRA PRADESH,GUNTUR,VELDURTHY,413,0,40,0
ANDHRA PRADESH,GUNTUR,VEMURU,534,0,37,0
ANDHRA PRADESH,GUNTUR,VINUKONDA,17,5,19,0
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,57,0,34,49
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,14,3,156,0
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,10,0,10,1
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,19,5,9,0
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,42,7,13,69
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,1,0,200,0
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,64,2,28,0
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,7,0,12,71
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,7,0,16,0
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,8,0,111,0
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,4,0,1,133
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,3,0,163,0
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,11,0,8,3
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,98,0,91,37
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,5,0,27,0
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,53,0,27,0
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,3,0,20,0
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,74,0,25,203
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,19,0,32,0
ANDHRA PRADESH,KARIMNAGAR,METPALLE,7,0,143,0
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,3,7,13,7
ANDHRA PRADESH,KARIMNAGAR,SHANKARA PATNAM,1,0,0,1000
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,380,3,13,77
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,100,0,50,145
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,26,0,21,0
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,15,0,212,0
ANDHRA PRADESH,KHAMMAM,CHERLA,388,0,76,0
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,752,0,411,3
ANDHRA PRADESH,KHAMMAM,ENKURU,119,0,27,0
ANDHRA PRADESH,KHAMMAM,GUNDALA,1,0,150,0
ANDHRA PRADESH,KHAMMAM,KHAMMAM (RURAL),5,0,20,0
ANDHRA PRADESH,KHAMMAM,KHAMMAM (URBAN),14,0,23,77
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,35,0,271,0
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,8,0,21,0
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,389,1,15,8
ANDHRA PRADESH,KHAMMAM,MADHIRA,160,0,38,4
ANDHRA PRADESH,KHAMMAM,MANUGUR,70,0,50,0
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,24,0,27,9
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,37,139,145,0
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,4,0,50,0
ANDHRA PRADESH,KHAMMAM,PALWANCHA,46,0,23,0
ANDHRA PRADESH,KHAMMAM,PENUBALLI,42,0,106,13
ANDHRA PRADESH,KHAMMAM,PINAPAKA,727,0,62,0
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,205,0,16,0
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,21,0,65,0
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,215,3,14,20
ANDHRA PRADESH,KHAMMAM,VEMSOOR,239,0,94,10
ANDHRA PRADESH,KHAMMAM,WAZEED,65,0,131,0
ANDHRA PRADESH,KHAMMAM,WYRA,21,0,140,25
ANDHRA PRADESH,KHAMMAM,YELLANDU,4,25,6,30
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,202,0,38,5
ANDHRA PRADESH,KRISHNA,A.KONDURU,3,0,80,0
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,11,0,113,0
ANDHRA PRADESH,KRISHNA,AVANIGADDA,224,0,199,0
ANDHRA PRADESH,KRISHNA,BAPULAPADU,15,284,568,0
ANDHRA PRADESH,KRISHNA,CHALLAPALLE,408,0,42,0
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,114,0,129,0
ANDHRA PRADESH,KRISHNA,CHATRAI,70,0,95,1
ANDHRA PRADESH,KRISHNA,G.KONDURU,367,0,120,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,111,1,142,82
ANDHRA PRADESH,KRISHNA,GANNAVARAM,31,0,163,1
ANDHRA PRADESH,KRISHNA,GHANTASALA,249,0,84,0
