-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Deep Tubewells. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.11.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Deep Tubewells", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,2420,2113,1542,9,29,3693
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,214,207,166,8,0,380
ANDHRA PRADESH,CUDDAPAH,CHENNUR,69,67,5,0,0,72
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,374,331,250,0,0,581
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,2493,2271,1286,35,115,3708
ANDHRA PRADESH,CUDDAPAH,CHITVEL,1803,893,912,0,0,1805
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,454,445,297,0,0,742
ANDHRA PRADESH,CUDDAPAH,DUVVUR,1500,1417,1288,11,0,2716
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,618,595,364,11,2,973
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,247,238,234,10,0,482
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,57,49,16,9,0,73
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1781,1780,1546,0,0,3326
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,198,183,144,0,0,326
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1349,1218,754,0,0,1971
ANDHRA PRADESH,CUDDAPAH,KODUR,1271,725,536,10,0,1272
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,96,96,64,0,0,160
ANDHRA PRADESH,CUDDAPAH,LINGALA,2444,1760,1743,625,0,4128
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,2013,2010,724,0,0,2734
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,93,85,26,0,0,111
ANDHRA PRADESH,CUDDAPAH,NANDALUR,318,302,207,0,0,509
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,3494,1490,1604,400,0,3494
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,209,209,62,0,0,271
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,1448,1394,50,11,0,1456
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,667,633,391,121,0,1146
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,2656,2098,1692,174,17,3982
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,2032,2031,2027,1,0,4059
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,2869,2201,2209,897,3,5310
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2257,466,366,1778,0,2611
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,274,273,268,14,0,555
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,230,224,201,4,0,429
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,673,658,621,19,0,1299
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,316,229,229,0,0,458
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,2261,826,1052,1033,2,2913
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,293,181,183,54,4,422
ANDHRA PRADESH,CUDDAPAH,THANDUR,1119,1055,804,60,0,1919
ANDHRA PRADESH,CUDDAPAH,VALLUR,342,325,211,0,0,536
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,178,178,178,0,0,357
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,207,207,104,0,0,310
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,415,290,349,18,0,657
ANDHRA PRADESH,CUDDAPAH,VEMULA,1714,1576,1422,109,208,3315
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,955,633,486,254,41,1415
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,266,266,113,0,0,379
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,564,522,594,0,0,1116
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,1350,1082,1196,0,0,2279
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,3548,1584,811,1380,23,3798
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,35,35,1,13,2,50
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,1420,1286,315,176,11,1788
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,246,246,0,0,0,246
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,4,2,2,0,0,4
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,8,10,0,10,0,20
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,1230,634,196,432,0,1263
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,515,364,364,6,0,734
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,974,514,38,372,85,1009
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,17,16,4,1,1,21
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,189,189,0,0,0,189
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),911,744,772,245,0,1761
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,5017,3230,2684,1789,0,7703
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1864,1664,1134,196,1,2995
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,30,22,18,7,0,47
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,11,11,5,0,0,16
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,411,97,33,310,0,439
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,256,256,83,11,0,350
ANDHRA PRADESH,GUNTUR,DACHEPALLE,3,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,DURGI,5063,4948,123,0,0,5071
ANDHRA PRADESH,GUNTUR,MACHERLA,2287,2227,60,0,0,2287
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,3,3,0,0,0,3
ANDHRA PRADESH,GUNTUR,VELDURTHI,4595,4595,0,0,0,4595
ANDHRA PRADESH,KARIMNAGAR,KATARAM,958,641,398,11,0,1050
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,335,335,291,0,0,626
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,64,63,46,0,0,110
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,359,359,248,0,0,607
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,177,173,136,0,0,310
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,486,206,210,61,34,511
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,1,1,1,0,0,2
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,2,2,2,0,0,3
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,916,906,164,0,0,1070
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,115,115,3,0,0,118
ANDHRA PRADESH,KHAMMAM,DAMMAPETA,1094,1028,357,0,0,1386
ANDHRA PRADESH,KHAMMAM,JULURPAD,69,69,24,0,0,93
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,2,2,2,0,0,3
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,572,582,337,0,0,919
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,1,1,1,0,0,2
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,135,86,21,28,0,136
ANDHRA PRADESH,KRISHNA,BAPULAPADU,489,389,312,153,0,854
ANDHRA PRADESH,KRISHNA,CHATRAI,28,15,5,0,13,33
ANDHRA PRADESH,KRISHNA,G KONDURU,59,59,0,0,0,59
ANDHRA PRADESH,KRISHNA,MUSUNURU,709,228,438,43,0,709
ANDHRA PRADESH,KRISHNA,NUZVID,2231,1705,1551,458,343,4057
ANDHRA PRADESH,KRISHNA,TIRUVURU,9,9,9,0,0,19
ANDHRA PRADESH,KRISHNA,UNGUTURU,8,8,0,0,0,8
ANDHRA PRADESH,KRISHNA,VEERULLAPADU,19,19,0,0,0,20
ANDHRA PRADESH,KURNOOL,ADONI,18,17,9,0,0,26
ANDHRA PRADESH,KURNOOL,ALLAGADDA,1427,1436,776,0,3,2215
ANDHRA PRADESH,KURNOOL,ATMAKUR,7,7,0,0,0,7
ANDHRA PRADESH,KURNOOL,CHAGALAMARRI,2324,2627,2185,13,0,4825
ANDHRA PRADESH,KURNOOL,DEVANAKONDA,33,33,28,0,0,61
ANDHRA PRADESH,KURNOOL,KOTHAPALLE,64,64,31,0,0,95
ANDHRA PRADESH,KURNOOL,KURNOOL,199,121,76,50,0,246
ANDHRA PRADESH,KURNOOL,NANDI KOTKUR,125,85,71,0,0,156
ANDHRA PRADESH,KURNOOL,ORVAKAL,9,9,6,0,0,15
ANDHRA PRADESH,KURNOOL,PEAPALLY,2,2,2,0,0,4
ANDHRA PRADESH,KURNOOL,RUDRAVARAM,625,684,490,0,0,1174
ANDHRA PRADESH,KURNOOL,SIRVEL,9,9,9,0,0,17
ANDHRA PRADESH,KURNOOL,VELDURTHI,47,47,47,0,0,94
ANDHRA PRADESH,MEDAK,JAGDEVPUR,36,36,59,0,0,96
ANDHRA PRADESH,MEDAK,KOHIR,266,137,106,162,0,405
ANDHRA PRADESH,MEDAK,KONDAPAK,17,17,17,0,0,35
ANDHRA PRADESH,MEDAK,ZAHIRABAD,453,85,92,361,0,538
ANDHRA PRADESH,NALGONDA,DAMERACHERLA,68,47,32,37,1,116
ANDHRA PRADESH,NELLORE,ANANTHASAGARAM,125,99,80,0,0,179
ANDHRA PRADESH,NELLORE,ANUMASAMUDRAMPETA,325,204,189,0,0,393
ANDHRA PRADESH,NELLORE,CHEJERLA,245,7,21,109,112,250
ANDHRA PRADESH,NELLORE,JALADANKI,5,5,0,0,0,5
ANDHRA PRADESH,NELLORE,MANUBOLU,13,0,0,13,0,13
ANDHRA PRADESH,NIZAMABAD,TADWAI,11,9,1,2,0,12
ANDHRA PRADESH,PRAKASAM,ARDHAVEEDU,121,104,72,0,0,175
ANDHRA PRADESH,PRAKASAM,CHADRASEKARAPURAM,6,2,3,0,0,6
ANDHRA PRADESH,PRAKASAM,DORNALA,2423,2318,73,118,0,2509
ANDHRA PRADESH,PRAKASAM,JANAKAVARAMPANGULURU,80,80,0,0,0,80
ANDHRA PRADESH,PRAKASAM,PAMUR,14,4,9,0,0,14
ANDHRA PRADESH,PRAKASAM,PULLALACHERUVU,145,145,0,0,0,145
ANDHRA PRADESH,PRAKASAM,YERRAGONDAPALEM,80,80,0,0,0,80
ANDHRA PRADESH,RANGAREDDY,IBRAHIMPATAM,857,634,422,3,35,1094
ANDHRA PRADESH,RANGAREDDY,MARPALLE,3,2,1,1,0,3
ANDHRA PRADESH,RANGAREDDY,MEDCHAL,298,299,197,31,2,528
ANDHRA PRADESH,RANGAREDDY,MOINABAD,251,126,126,1,0,253
ANDHRA PRADESH,RANGAREDDY,NAWABPET,9,8,4,0,0,12
ANDHRA PRADESH,RANGAREDDY,RAJENDRANAGAR,15,14,9,2,0,25
ANDHRA PRADESH,RANGAREDDY,SHABAD,91,58,46,0,0,103
ANDHRA PRADESH,RANGAREDDY,SHAMIRPET,302,240,103,90,0,433
ANDHRA PRADESH,RANGAREDDY,YACHARAM,64,55,30,0,0,85
ANDHRA PRADESH,SRIKAKULAM,RANASTALAM,179,6,174,0,0,179
ANDHRA PRADESH,VISAKHAPATNAM,BHEEMUNIPATNAM,1,1,0,0,0,1
ANDHRA PRADESH,VISAKHAPATNAM,MADUGULA,2,2,0,0,0,3
ANDHRA PRADESH,VISAKHAPATNAM,PADMANABHAM,3,3,0,0,0,3
ANDHRA PRADESH,VISAKHAPATNAM,YELAMANCHILI,8,0,0,8,0,8
ANDHRA PRADESH,WARANGAL,ETURNAGARAM,92,92,0,0,0,92
ANDHRA PRADESH,WARANGAL,GHANAPUR,657,588,247,0,0,834
ANDHRA PRADESH,WARANGAL,GHANPUR(stn),27,13,9,0,6,28
ANDHRA PRADESH,WARANGAL,GOVINDARAOPET,18,18,13,0,0,32
ANDHRA PRADESH,WARANGAL,GUDUR,5,5,3,0,0,8
ANDHRA PRADESH,WARANGAL,HANAMKONDA,14,12,3,9,0,25
ANDHRA PRADESH,WARANGAL,KOTHAGUDEM,436,431,40,0,0,471
ANDHRA PRADESH,WARANGAL,MANGAPET,2,2,0,0,0,2
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,5,3,4,0,0,7
ANDHRA PRADESH,WARANGAL,TADVAI,108,106,14,0,0,120
ANDHRA PRADESH,WARANGAL,THORRUR,24,23,13,0,0,36
ANDHRA PRADESH,WARANGAL,VENKATAPUR,26,21,5,0,0,26
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,1433,1433,935,0,0,2368
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,1374,910,872,375,0,2157
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,2540,652,596,1862,16,3126
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,1871,1281,1207,363,0,2850
ANDHRA PRADESH,WEST GODAVARI,DENDULURU,3912,2936,2510,626,17,6088
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,6663,4100,3477,387,0,7965
ANDHRA PRADESH,WEST GODAVARI,DWARAKA TIRUMALA,6237,4022,3678,2202,316,10219
ANDHRA PRADESH,WEST GODAVARI,ELURU,507,310,285,136,0,731
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,1480,838,582,88,0,1507
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,2733,1617,1075,223,233,3148
ANDHRA PRADESH,WEST GODAVARI,JEELUGUMILLI,1051,525,748,85,0,1358
ANDHRA PRADESH,WEST GODAVARI,KAMAVARAPUKOTA,3804,676,904,2553,2,4135
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,903,744,439,0,0,1184
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,1718,28,1680,21,0,1729
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,9017,5858,2913,2732,1,11503
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,3835,2241,1923,1207,248,5619
ANDHRA PRADESH,WEST GODAVARI,PEDAPADU,1795,1789,1789,9,0,3588
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,4924,1669,1953,2450,2,6073
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,6,6,4,0,0,10
ANDHRA PRADESH,WEST GODAVARI,T NARASAPURAM,1805,1047,1340,57,0,2444
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,11099,6215,4283,3347,2,13847
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,47,43,40,0,0,84
ANDHRA PRADESH,WEST GODAVARI,UNGUTURU,5465,4686,4074,972,534,10266
ARUNACHAL PRADESH,PAPUMPARE,KIMIN-DOIMUKH,160,160,10,0,30,200
ASSAM,BARPETA,BARPETA,25,14,11,0,0,25
ASSAM,BARPETA,CHENGA,19,14,6,0,0,20
ASSAM,BARPETA,GOBARDHANA,10,4,3,2,2,10
ASSAM,BONGAIGAON,DANGTOLA,655,396,265,0,0,661
ASSAM,BONGAIGAON,SIDLI- CHIRANG PT,495,340,165,0,0,505
ASSAM,BONGAIGAON,TAPALARI,150,105,45,0,0,150
ASSAM,CACHAR,NARSINGPUR,32,20,12,0,0,32
ASSAM,CACHAR,SILCHAR,40,24,16,0,0,40
ASSAM,DARRANG,BECHIMARI,5,0,0,0,5,5
ASSAM,DARRANG,BHERGAON,336,317,37,13,23,390
ASSAM,DARRANG,DOLGAON-SIALMARI,259,248,109,14,12,383
ASSAM,DARRANG,KALAIGAON,76,62,33,28,32,155
ASSAM,DARRANG,MAZBAT,29,21,7,9,15,52
ASSAM,DARRANG,PACHIM-MANGALDAI,16,16,1,4,2,22
ASSAM,DARRANG,PUB-MANGALDAI,112,106,47,4,6,163
ASSAM,DARRANG,SIPAJHAR,81,32,80,0,3,115
ASSAM,DARRANG,UDALGURI,55,55,0,0,0,55
ASSAM,DHEMAJI,DHEMAJI,226,204,60,0,0,264
ASSAM,DHEMAJI,SISSIBOR GAON,265,170,95,0,0,265
ASSAM,DHUBRI,CHAPAR-SALKOCHS,120,90,30,0,0,120
ASSAM,DHUBRI,GAURIPUR,22,11,11,0,0,22
ASSAM,DHUBRI,GOLOKGANJ,80,40,50,0,15,105
ASSAM,DHUBRI,MANKACHAR,280,200,80,0,0,280
ASSAM,DHUBRI,SOUTH SALMARA,40,0,40,0,0,40
ASSAM,DIBRUGARH,KHOWANG,70,40,30,0,0,70
ASSAM,DIBRUGARH,LAHOWAL,4,4,4,0,0,8
ASSAM,DIBRUGARH,TENGAKHAT,141,79,71,0,0,150
ASSAM,GOALPARA,BALIJAN,60,40,20,0,0,60
ASSAM,GOALPARA,DUDHNAI,680,530,170,0,0,700
ASSAM,GOALPARA,JALESWAR,160,120,40,0,0,160
ASSAM,GOALPARA,KHARMUJA,300,244,197,0,5,446
ASSAM,GOALPARA,KRISHNAI,240,240,168,0,40,448
ASSAM,GOALPARA,KUSHDHAWA,80,80,20,0,0,100
ASSAM,GOALPARA,MATIA,120,115,82,0,0,197
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,10,5,5,0,0,10
ASSAM,GOLAGHAT,GOLAGHAT EAST,5,3,2,0,0,5
ASSAM,GOLAGHAT,GOLAGHAT NORTH,2,1,1,0,0,2
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,402,251,101,0,50,402
ASSAM,HAILAKANDI,ALGAPUR,156,156,0,0,0,156
ASSAM,HAILAKANDI,LALA,38,38,0,0,0,38
ASSAM,JORHAT,JORHAT,801,740,290,0,80,1110
ASSAM,JORHAT,JORHAT CENTRAL,516,417,189,0,7,613
ASSAM,JORHAT,JORHAT NORTH WEST,403,381,117,0,24,522
ASSAM,JORHAT,KALIAPANI,425,365,71,0,25,461
ASSAM,JORHAT,MAJULI,20,20,10,0,0,30
ASSAM,JORHAT,TITABAR,1,1,1,0,0,2
ASSAM,JORHAT,UJANI MAJULI,282,144,117,15,15,291
ASSAM,KAMRUP,BOKO BONGAON,109,60,49,0,0,109
ASSAM,KAMRUP,GAROI MARI,60,30,30,0,0,60
ASSAM,KAMRUP,GORESWAR,1,60,46,0,0,106
ASSAM,KAMRUP,HAJO,30,0,30,0,0,30
ASSAM,KAMRUP,KAMALPUR,7,3,3,0,2,7
ASSAM,KAMRUP,RANGIA,760,429,331,0,0,760
ASSAM,KAMRUP,RANI,30,20,10,0,0,30
ASSAM,KARBIANGLONG,HOWRAGHAT,22,11,11,0,0,22
ASSAM,KARIMGANJ,NORTH KARIMGANJ,34,32,0,2,0,34
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,172,113,40,12,7,172
ASSAM,KOKRAJHAR,GOSSAIGAON,120,60,60,0,0,120
ASSAM,KOKRAJHAR,KOKRAJHAR,74,110,25,0,0,135
ASSAM,LAKHIMPUR,BIHPURIA,66,66,12,2,6,86
ASSAM,LAKHIMPUR,BOGINODI,245,140,105,0,0,245
ASSAM,LAKHIMPUR,DHAKUAKHANA,2,1,1,0,0,2
ASSAM,LAKHIMPUR,GHILAMARI,62,36,26,0,0,62
ASSAM,LAKHIMPUR,KARUNABARI,792,792,360,0,0,1152
ASSAM,LAKHIMPUR,LAKHIMPUR,252,252,140,0,0,392
ASSAM,LAKHIMPUR,NARAYANPUR,1163,1264,805,3,2,2074
ASSAM,LAKHIMPUR,NOWBOICHA,540,540,396,0,0,936
ASSAM,MORIGAON,BHUR- BANDHA,185,70,35,0,80,185
ASSAM,MORIGAON,DULONGGHAT,30,150,15,0,0,165
ASSAM,MORIGAON,LAHORIGHAT,40,25,15,0,0,40
ASSAM,MORIGAON,MAIRABARI,35,20,15,0,0,35
ASSAM,MORIGAON,MAYONG,2,0,0,0,2,2
ASSAM,NAGOAN,BAJIAGAON,30,25,5,0,0,30
ASSAM,NAGOAN,BARHAMPUR,100,100,10,0,0,110
ASSAM,NAGOAN,JOGIJAN,30,10,20,0,0,30
ASSAM,NAGOAN,KALIABOR,505,30,90,385,0,505
ASSAM,NAGOAN,KATHITOLI,190,115,115,0,0,230
ASSAM,NAGOAN,UDALI,324,225,130,30,0,385
ASSAM,NALBARI,BARIGOG-BANBHAG,325,325,0,0,0,325
ASSAM,NALBARI,BARKHETRI,40,23,17,0,0,40
ASSAM,NALBARI,BASKA,100,100,40,0,0,140
ASSAM,NALBARI,DHAMDHAMA,120,80,40,0,0,120
ASSAM,NALBARI,MADHUPUR,70,40,30,0,0,70
ASSAM,NALBARI,PACHIM NALBARI,253,148,106,0,0,254
ASSAM,NALBARI,PUB-NALBARI,541,444,93,0,3,541
ASSAM,NALBARI,TIHU BARAMA,30,20,10,0,0,30
ASSAM,NC HILLS,DIYUNGBRA,34,34,0,0,0,34
ASSAM,SIBSAGAR,GOURISAGAR,48,60,30,0,0,90
ASSAM,SIBSAGAR,NAZIRA,30,20,10,0,0,30
ASSAM,SIBSAGAR,SEPEKHATI,120,80,40,0,0,120
ASSAM,SIBSAGAR,SIBSAGAR,420,434,248,0,0,682
ASSAM,SIBSAGAR,SONARI,4,4,2,1,1,8
ASSAM,SONITPUR,BAGHMARA,5,4,1,0,0,5
ASSAM,SONITPUR,BIHAGURI,1,1,0,0,0,1
