-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government Funds,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Others,Total
MAHARASHTRA,KOLHAPUR,PANHALA,66,3,0,2,0,71
MAHARASHTRA,KOLHAPUR,RADHANAGARI,1,0,0,0,0,1
MAHARASHTRA,KOLHAPUR,SHAHUWADI,16,3,1,0,0,20
MAHARASHTRA,KOLHAPUR,SHIROL,58,0,0,0,14,72
MAHARASHTRA,LATUR,AHMADPUR,10,0,0,0,0,10
MAHARASHTRA,LATUR,AUSA,1780,1051,5,2,1,2839
MAHARASHTRA,LATUR,CHAKUR,45,0,1,0,0,46
MAHARASHTRA,LATUR,DEONI,110,91,0,0,0,201
MAHARASHTRA,LATUR,JALKOT,10,13,0,0,0,23
MAHARASHTRA,LATUR,LATUR,835,321,169,2,0,1327
MAHARASHTRA,LATUR,NILANGA,768,1687,146,6,8,2615
MAHARASHTRA,LATUR,RENAPUR,789,375,6,4,4,1178
MAHARASHTRA,LATUR,SHIRUR ANANTPAL,151,955,726,0,0,1832
MAHARASHTRA,LATUR,UDGIR,241,106,1,0,0,348
MAHARASHTRA,NAGPUR,BHIWAPUR,7,5,1,1,0,14
MAHARASHTRA,NAGPUR,HINGNA,0,1,0,0,0,1
MAHARASHTRA,NAGPUR,KALAMESHWAR,1,0,0,0,0,1
MAHARASHTRA,NAGPUR,MOUDA,2,0,0,0,0,2
MAHARASHTRA,NAGPUR,NAGPUR RURAL,0,1,0,0,0,1
MAHARASHTRA,NAGPUR,NARKHED,15,0,0,3,0,18
MAHARASHTRA,NAGPUR,RAMTEK,0,1,0,0,0,1
MAHARASHTRA,NAGPUR,UMRED,1,0,0,0,0,1
MAHARASHTRA,NANDED,ARDHAPUR,80,52,24,6,0,162
MAHARASHTRA,NANDED,BHOKAR,48,0,0,0,0,48
MAHARASHTRA,NANDED,BILOLI,11,0,1,0,0,12
MAHARASHTRA,NANDED,DEGLUR,24,84,12,0,0,120
MAHARASHTRA,NANDED,KANDHAR,290,13,1,0,0,304
MAHARASHTRA,NANDED,KINWAT,7,0,0,0,3,10
MAHARASHTRA,NANDED,LOHA,203,74,1,1,0,279
MAHARASHTRA,NANDED,MAHOOR,4,0,0,0,0,4
MAHARASHTRA,NANDED,MUKHED,96,18,0,3,0,117
MAHARASHTRA,NANDED,NAIGAON (KHAIRGAON),1,7,6,0,0,14
MAHARASHTRA,NANDED,NANDED,31,178,1,1,2,213
MAHARASHTRA,NANDED,UMRI,3,33,2,0,0,38
