-----
{
 "description": "The table refers to block wise culturable command area and potential created through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.13.csv", 
 "title": "Download CSV for Block wise Culturable Command Area and Potential Created through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.13.csv"
}
-----
State,District,Block,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,57,49,20,0,0,69
ANDHRA PRADESH,ADILABAD,MUDHOLE,1025,1024,992,2,0,2018
ANDHRA PRADESH,ADILABAD,NARNOOR,3,0,3,0,0,3
ANDHRA PRADESH,ADILABAD,NENNAL,38,27,8,0,9,44
ANDHRA PRADESH,ADILABAD,NERADIGONDA,121,119,115,0,0,234
ANDHRA PRADESH,ADILABAD,NIRMAL,185,173,77,0,0,250
ANDHRA PRADESH,ADILABAD,SARANGAPUR,555,576,234,0,0,810
ANDHRA PRADESH,ADILABAD,SIRPUR (T),28,28,0,0,0,28
ANDHRA PRADESH,ADILABAD,TALAMADUGU,94,16,94,0,0,110
ANDHRA PRADESH,ADILABAD,TAMSI,78,22,58,0,0,80
ANDHRA PRADESH,ADILABAD,TANUR,229,204,99,0,0,303
ANDHRA PRADESH,ANANTHAPUR,AGALI,258,251,251,4,0,506
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,95,94,86,0,0,180
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,239,204,148,40,0,392
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,643,565,133,5,0,703
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,285,275,263,3,0,541
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,641,351,196,109,0,656
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,909,684,543,0,0,1227
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,728,628,373,79,0,1080
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,433,386,343,8,0,737
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1933,1266,863,142,1,2272
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,223,155,83,20,0,258
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,361,205,129,133,0,467
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,1826,1439,658,36,0,2133
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,376,221,119,40,1,381
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,30,29,29,1,0,59
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1593,919,581,593,0,2093
ANDHRA PRADESH,ANANTHAPUR,GOOTY,561,330,232,48,0,610
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,269,198,79,55,0,332
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,198,201,150,12,0,363
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,839,807,533,3,0,1343
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,313,310,164,0,0,474
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,1122,841,382,345,0,1568
ANDHRA PRADESH,ANANTHAPUR,KADIRI,177,127,145,2,0,274
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,716,603,439,25,0,1067
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,658,440,360,13,0,813
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,428,357,297,31,13,698
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,1712,1387,1264,18,0,2669
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,119,76,55,0,0,131
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,589,441,328,119,0,888
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,267,226,151,4,0,381
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,996,766,321,158,0,1245
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,507,268,180,86,5,539
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,164,121,94,9,0,224
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,254,213,154,0,0,367
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,218,169,142,22,10,343
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,98,75,75,0,0,150
ANDHRA PRADESH,ANANTHAPUR,NARPALA,734,478,258,227,0,963
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,160,113,101,8,0,222
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1082,885,655,187,0,1727
ANDHRA PRADESH,ANANTHAPUR,PARIGI,1130,807,541,207,3,1558
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,2566,1120,499,1386,51,3056
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,521,392,288,113,0,793
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,435,369,179,15,0,563
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1664,765,764,906,0,2435
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,139,91,86,38,0,215
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,276,169,163,12,0,344
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,806,486,323,127,6,942
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,1174,1075,801,15,0,1891
ANDHRA PRADESH,ANANTHAPUR,RODDAM,990,537,402,269,19,1227
ANDHRA PRADESH,ANANTHAPUR,ROLLA,104,73,41,7,0,121
ANDHRA PRADESH,ANANTHAPUR,SETTUR,159,153,118,0,0,271
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,851,514,367,307,0,1188
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,453,285,105,87,10,487
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,643,411,288,97,0,796
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,1050,532,352,504,0,1388
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,117,108,67,5,0,180
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,418,287,286,0,0,573
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,229,237,83,0,0,320
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,146,148,148,0,0,296
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,76,63,38,0,0,101
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1301,979,592,252,0,1823
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,1445,843,792,627,0,2262
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,418,319,347,0,0,666
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,94,94,61,0,0,155
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,89,87,58,0,0,145
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,734,404,575,4,0,983
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,103,85,46,1,0,132
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,205,157,147,0,0,304
ANDHRA PRADESH,CHITTOOR,CHITTOOR,53,31,29,0,0,60
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,174,120,129,0,0,249
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,82,55,53,0,0,108
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,105,95,79,0,0,174
ANDHRA PRADESH,CHITTOOR,GUDIPALA,91,69,31,0,0,100
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,35,32,13,0,0,45
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,54,49,42,0,0,91
ANDHRA PRADESH,CHITTOOR,IRALA,101,74,47,0,0,121
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,142,58,116,0,0,174
ANDHRA PRADESH,CHITTOOR,KALAKADA,251,221,139,0,0,360
ANDHRA PRADESH,CHITTOOR,KALIKIRI,243,119,137,1,0,257
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,282,281,279,0,0,560
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,139,100,80,1,0,181
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,53,50,38,0,0,88
ANDHRA PRADESH,CHITTOOR,KUPPAM,80,72,22,0,3,97
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,242,227,199,0,0,426
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,344,303,237,0,0,540
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,115,73,59,0,0,132
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,212,207,198,0,0,405
ANDHRA PRADESH,CHITTOOR,NAGARI,668,401,523,2,0,926
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,211,129,138,0,0,267
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,216,166,115,0,0,281
ANDHRA PRADESH,CHITTOOR,NINDRA,751,362,605,0,0,967
ANDHRA PRADESH,CHITTOOR,PAKALA,32,19,21,0,0,40
ANDHRA PRADESH,CHITTOOR,PALAMANERU,130,123,78,0,0,201
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,137,121,49,0,0,170
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,71,59,52,0,0,111
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,221,187,106,0,0,293
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,289,239,241,0,0,480
ANDHRA PRADESH,CHITTOOR,PENUMURU,96,76,60,0,0,136
ANDHRA PRADESH,CHITTOOR,PICHATURU,181,153,173,0,0,326
ANDHRA PRADESH,CHITTOOR,PILERU,30,22,17,0,0,39
ANDHRA PRADESH,CHITTOOR,PULICHERLA,255,211,175,0,0,386
ANDHRA PRADESH,CHITTOOR,PUNGANURU,387,296,250,0,0,546
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,162,107,85,19,9,220
ANDHRA PRADESH,CHITTOOR,PUTTURU,356,217,333,0,0,550
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,104,102,50,0,0,152
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,5,4,2,0,0,6
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,487,346,445,0,0,791
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,151,146,145,0,0,291
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,67,55,18,0,0,73
ANDHRA PRADESH,CHITTOOR,SODAM,23,18,12,0,0,30
ANDHRA PRADESH,CHITTOOR,SOMALA,78,48,59,0,0,107
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,434,117,382,0,0,499
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,354,227,187,2,0,416
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,15,12,9,0,0,21
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,834,628,777,0,0,1405
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),992,445,674,0,0,1119
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),23,16,17,0,0,33
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,489,480,466,0,0,946
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,676,547,248,4,0,799
ANDHRA PRADESH,CHITTOOR,VAYALPAD,126,90,48,2,0,140
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,48,22,41,0,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,382,276,111,0,0,387
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,313,177,267,0,0,444
ANDHRA PRADESH,CHITTOOR,YADAMARI,24,18,12,0,0,30
ANDHRA PRADESH,CHITTOOR,YERPEDU,1257,936,1058,0,0,1994
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,36,30,19,4,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,91,91,91,0,0,182
ANDHRA PRADESH,CUDDAPAH,B.KODUR,351,204,212,4,0,420
ANDHRA PRADESH,CUDDAPAH,BADVEL,270,172,168,0,0,340
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,77,64,56,0,4,124
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,472,467,432,3,0,902
ANDHRA PRADESH,CUDDAPAH,CHAPAD,2587,2405,1176,3,0,3584
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,16,14,14,1,0,29
ANDHRA PRADESH,CUDDAPAH,CHENNUR,396,396,0,0,0,396
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,83,64,73,6,3,146
ANDHRA PRADESH,CUDDAPAH,CHITVEL,1695,873,830,0,0,1703
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,2,0,2,0,0,2
ANDHRA PRADESH,CUDDAPAH,DUVVUR,390,390,75,0,0,465
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,18,14,7,4,0,25
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,245,242,159,0,0,401
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,1518,1518,1459,0,0,2977
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1410,1239,817,8,0,2064
ANDHRA PRADESH,CUDDAPAH,KODUR,250,253,253,0,0,506
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1832,1833,835,0,0,2668
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,16,9,6,7,0,22
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,244,245,215,1,0,461
ANDHRA PRADESH,CUDDAPAH,NANDALUR,243,237,151,1,0,389
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,21,9,16,0,0,25
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,511,220,187,121,1,529
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,2470,2434,1462,10,0,3906
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,312,263,216,0,0,479
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,1552,1563,808,0,0,2371
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,132,131,129,0,0,260
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,289,286,286,0,0,572
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,276,253,144,56,0,453
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,57,34,26,0,0,60
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,3,3,3,0,0,6
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,57,55,45,3,0,103
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,2305,2008,1591,2,0,3601
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,19,15,12,0,0,27
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,489,489,485,2,1,977
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,565,552,512,0,12,1076
ANDHRA PRADESH,CUDDAPAH,THONDUR,30,30,30,0,0,60
ANDHRA PRADESH,CUDDAPAH,VALLUR,655,653,477,0,0,1130
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,280,275,247,6,0,528
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,480,466,403,6,0,875
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,1041,942,883,92,0,1917
ANDHRA PRADESH,CUDDAPAH,VEMULA,194,193,193,0,0,386
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,32,18,24,0,5,47
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,213,213,209,0,0,422
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,51,45,37,6,0,88
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,1447,116,132,1283,80,1611
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,1356,1058,1049,150,10,2267
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,125,0,0,124,1,125
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,760,4,6,508,245,763
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,2304,42,62,2202,404,2710
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,419,418,418,0,0,836
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,3344,517,1892,947,0,3356
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,236,200,202,0,0,402
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,1782,1056,608,448,0,2112
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,312,291,17,19,0,327
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,79,78,20,1,0,99
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,124,0,19,108,0,127
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,434,417,74,13,0,504
ANDHRA PRADESH,EAST GODAVARI,KADIAM,3562,1286,1851,1612,0,4749
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,183,183,183,0,0,366
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,162,59,139,0,0,198
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,2688,1237,1564,376,0,3177
ANDHRA PRADESH,EAST GODAVARI,KARAPA,89,89,89,0,0,178
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,2566,1081,299,1567,0,2947
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,648,383,1,265,0,649
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,474,523,26,0,0,549
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,172,168,85,3,0,256
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,2678,1911,2485,0,0,4396
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,131,0,132,0,0,132
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,572,171,632,3,0,806
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,1913,1337,1392,11,19,2759
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,1169,48,1119,0,2,1169
ANDHRA PRADESH,EAST GODAVARI,P.GANNAVARAM,1506,69,258,1267,0,1594
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,884,422,524,71,0,1017
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,485,481,481,0,0,962
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,977,525,60,438,13,1036
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,1668,1686,483,0,0,2169
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,908,886,32,0,0,918
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY RURAL,740,720,694,356,0,1770
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,4,2,0,2,0,4
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,2399,2398,2398,0,0,4796
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,33,32,32,0,0,64
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,3275,1540,2907,1286,0,5733
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,1433,1401,1401,0,0,2802
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,386,240,316,1,4,561
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,377,329,174,54,9,566
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,824,384,64,441,0,889
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,1512,285,936,791,1,2013
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,87,27,2,0,70,99
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,1445,1443,507,103,0,2053
ANDHRA PRADESH,EAST GODAVARI,TUNI,777,544,272,172,3,991
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,42,10,10,31,0,51
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3626,1315,1057,1965,49,4386
ANDHRA PRADESH,GUNTUR,ACHAMPET,42,2,42,0,0,44
ANDHRA PRADESH,GUNTUR,AMARAVATHI,368,348,0,22,0,370
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,186,114,0,73,0,187
ANDHRA PRADESH,GUNTUR,BAPATLA,58,58,3,0,0,61
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,69,56,18,13,0,87
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1136,274,0,862,0,1136
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,296,297,0,0,0,297
ANDHRA PRADESH,GUNTUR,CHEBROLE,13,3,3,10,0,16
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,215,108,39,68,0,215
ANDHRA PRADESH,GUNTUR,DACHEPALLE,65,65,65,0,0,130
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1624,815,0,810,0,1625
ANDHRA PRADESH,GUNTUR,DURGI,97,99,71,0,0,170
ANDHRA PRADESH,GUNTUR,EDLAPADU,24,24,0,0,0,24
ANDHRA PRADESH,GUNTUR,GUNTUR,47,9,2,39,0,50
ANDHRA PRADESH,GUNTUR,GURAZALA,94,94,94,0,0,188
ANDHRA PRADESH,GUNTUR,IPUR,39,25,0,14,0,39
ANDHRA PRADESH,GUNTUR,KAREMPUDI,124,126,4,0,0,130
ANDHRA PRADESH,GUNTUR,KARLAPALEM,153,153,0,0,0,153
ANDHRA PRADESH,GUNTUR,KOLLIPARA,2156,1502,38,660,3,2203
ANDHRA PRADESH,GUNTUR,KOLLUR,3543,871,441,2356,32,3700
ANDHRA PRADESH,GUNTUR,KROSURU,4,6,2,0,0,8
ANDHRA PRADESH,GUNTUR,MACHERLA,383,263,175,0,0,438
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,1801,852,57,944,3,1856
ANDHRA PRADESH,GUNTUR,NADENDLA,2,0,0,2,0,2
ANDHRA PRADESH,GUNTUR,NAGARAM,49,6,0,43,0,49
ANDHRA PRADESH,GUNTUR,NARASARAOPET,6,4,4,0,2,10
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,3,3,3,0,0,6
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,69,59,52,0,0,111
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,145,0,0,145,0,145
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,4,4,0,1,0,5
ANDHRA PRADESH,GUNTUR,PONNUR,1034,760,0,304,0,1064
ANDHRA PRADESH,GUNTUR,PRATHIPADU,52,52,0,0,0,52
ANDHRA PRADESH,GUNTUR,RAJUPALEM,65,57,0,8,0,65
ANDHRA PRADESH,GUNTUR,RENTACHINTALA,57,40,21,0,0,61
ANDHRA PRADESH,GUNTUR,REPALLE,172,159,12,11,2,184
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,1,1,0,0,2
ANDHRA PRADESH,GUNTUR,SAV'PURAM KANUM'PUDI,8,0,0,8,0,8
ANDHRA PRADESH,GUNTUR,TADEPALLE,1274,708,648,549,0,1905
ANDHRA PRADESH,GUNTUR,TADIKONDA,792,771,4,17,1,793
ANDHRA PRADESH,GUNTUR,TENALI,1012,211,0,801,0,1012
ANDHRA PRADESH,GUNTUR,THULLUR,2459,45,619,2183,0,2847
ANDHRA PRADESH,GUNTUR,TSUNDUR,732,131,1,600,0,732
ANDHRA PRADESH,GUNTUR,VELDURTHY,544,485,60,0,0,545
ANDHRA PRADESH,GUNTUR,VEMURU,736,696,127,46,0,869
ANDHRA PRADESH,GUNTUR,VINUKONDA,24,22,0,2,0,24
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,116,116,100,0,0,216
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,17,17,17,0,0,34
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,11,11,11,0,0,22
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,34,20,21,0,0,41
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,55,49,36,0,0,85
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,2,2,2,0,0,4
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,90,87,57,0,0,144
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,11,11,8,0,0,19
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,7,7,7,0,0,14
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,7,7,6,0,0,13
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,6,6,5,0,0,11
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,14,14,14,0,0,28
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,13,13,10,0,0,23
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,105,105,90,0,0,195
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,15,15,15,0,0,30
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,77,77,72,0,0,149
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,6,6,5,0,0,11
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,108,76,41,0,0,117
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,45,45,28,0,0,73
ANDHRA PRADESH,KARIMNAGAR,METPALLE,19,5,3,14,0,22
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,6,4,3,0,0,7
ANDHRA PRADESH,KARIMNAGAR,SHANKARA PATNAM,10,10,10,0,0,20
