-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"HIMACHAL PRADESH","Kullu",0,2,2,0,4,4,0,4,4
"HIMACHAL PRADESH","Mandi",0,9,9,0,15,15,0,11,11
"HIMACHAL PRADESH","Sirmaur",7,387,394,69,1707,1776,64,1406,1470
"HIMACHAL PRADESH","Solan",12,730,742,249,2182,2431,174,1865,2040
"HIMACHAL PRADESH","Una",3,224,227,77,624,701,77,612,689
"JAMMU & KASHMIR","ANANTNAG",1,1,2,6,5,11,4,3,7
"JAMMU & KASHMIR","BADGAM",0,1,1,0,2,2,0,2,2
"JAMMU & KASHMIR","BARAMULLA",2,27,29,3,127,130,3,119,122
"JAMMU & KASHMIR","JAMMU",21,1292,1313,200,11093,11293,183,10073,10256
"JAMMU & KASHMIR","KATHUA",33,1050,1083,294,10436,10730,294,10196,10490
"JAMMU & KASHMIR","RAJOURI",0,1,1,0,28,28,0,28,28
"JAMMU & KASHMIR","SRINAGAR",0,21,21,0,150,150,0,145,145
"JAMMU & KASHMIR","UDHAMPUR",0,13,13,0,41,41,0,35,35
"JHARKHAND","BOKARO",163,13136,13299,89,4225,4315,74,3278,3353
"JHARKHAND","CHATRA",80,13865,13945,52,10891,10942,37,9261,9298
"JHARKHAND","DEOGHAR",765,11876,12641,396,10737,11133,325,7873,8198
"JHARKHAND","DHANBAD",28,5643,5671,23,2541,2564,5,1162,1166
"JHARKHAND","DUMKA",98,25712,25810,177,14133,14310,34,10560,10594
"JHARKHAND","EAST SINGHBHUM",10,1280,1290,11,972,983,9,750,759
"JHARKHAND","GARHWA",158,18744,18902,128,19356,19484,108,15420,15528
"JHARKHAND","GIRIDIH",1185,21502,22687,753,15017,15770,612,11289,11901
"JHARKHAND","GODDA",1377,15638,17015,1423,9616,11039,1277,8087,9364
"JHARKHAND","GUMLA",6,22935,22941,2,10057,10059,1,6219,6220
"JHARKHAND","HAZARIBAGH",836,38527,39363,478,17766,18244,294,13838,14132
"JHARKHAND","JAMTARA",47,8109,8156,23,4520,4543,17,3633,3651
"JHARKHAND","KODERMA",68,3766,3834,90,2627,2717,83,2237,2320
"JHARKHAND","LATEHAR",543,11323,11866,391,7869,8260,292,5865,6157
"JHARKHAND","LOHARDAGA",28,12941,12969,32,7946,7978,26,6338,6365
"JHARKHAND","PAKUR",59,130,189,181,198,379,134,106,240
"JHARKHAND","PALAMU",1385,17706,19091,1025,20135,21160,778,16675,17453
"JHARKHAND","RANCHI",271,37339,37610,97,22719,22817,73,17879,17952
"JHARKHAND","SAHEBGANJ",53,1308,1361,47,859,906,35,619,654
"JHARKHAND","SARAIKELA",113,1495,1608,47,1482,1529,32,1178,1210
