-----
{
 "description": "This table provides data related to Budget Support, Internal and Extra Budgetary Resources (IEBR) and Outlay for Central Ministry/Department - Tenth Plan (2002-07) realization and Eleventh Plan (2007-12) projections (in Rs. Crore) at 2006-07 prices. The allocation also includes funds for Central ...", 
 "file_name": "FR1011_Annex32_1.xls", 
 "title": "Download XLS for Budget Support, IEBR and Outlay for Central Ministry or Department - Tenth Plan Realization and Eleventh Plan Projections at 2006-07 Prices", 
 "url": "http://data.gov.in/sites/default/files/FR1011_Annex32_1.xls"
}
-----
"Sl. No.","Ministry / Department (all figures in Rs. Crore) (at 2006-07 Prices)","Budgetary Support - Tenth Plan Realization","Budgetary Support - Eleventh Plan Projection","Budgetary Support - % increase","IEBR - Tenth Plan Realization","IEBR - Eleventh Plan Projection","IEBR - % increase","Total Outlay - Tenth Plan Realization","Total Outlay - Eleventh Plan Projection","Total Outlay - % increase"
28.0,"Department of Health & Family Welfare",38344.0,120375.0,213.934383476,0.0,504.0,"NA",38344.0,120879.0,215.248800334
29.0,"Depratment of Ayush",1112.0,3526.0,217.086330935,0.0,0.0,"NA",1112.0,3526.0,217.086330935
30.0,"Department of Heavy Industry",1409.0,3619.0,156.848828957,2074.0,6373.0,207.280617165,3483.0,9992.0,186.879127189
31.0,"Department of Public Enterprises",101.0,48.0,-52.4752475248,0.0,0.0,"NA",101.0,48.0,-52.4752475248
32.0,"Ministry of Home Affairs",1438.0,6189.0,330.389429764,0.0,0.0,"NA",1438.0,6189.0,330.389429764
33.0,"Department of School Education & Literacy",50112.0,163506.0,226.281130268,0.0,0.0,"NA",50112.0,163506.0,226.281130268
34.0,"Department of Higher Education ",13112.0,75102.0,472.773032337,0.0,0.0,"NA",13112.0,75102.0,472.773032337
35.0,"Ministry of Information & Brodcasting",1611.0,4809.0,198.510242086,1371.0,127.0,-90.7366885485,2982.0,4936.0,65.5264922871
36.0,"Ministry of Labour & Employment",904.0,2210.0,144.469026549,0.0,0.0,"NA",904.0,2210.0,144.469026549
37.0,"Ministry of Law, Justice and Company Affairs",519.0,1300.0,150.481695568,0.0,0.0,"NA",519.0,1300.0,150.481695568
38.0,"Ministry of Mines",1118.0,1043.0,-6.7084078712,2293.0,6387.0,178.543392935,3411.0,7430.0,117.824684843
39.0,"Ministry of Minority Affairs",120.0,6189.0,5057.5,0.0,0.0,"NA",120.0,6189.0,5057.5
40.0,"Non-Conventional Energy Sources",1808.0,3537.0,95.6305309735,2367.0,6246.0,163.878326996,4175.0,9783.0,134.323353293
41.0,"Ministry of Panchayati Raj",136.0,775.0,469.852941176,0.0,0.0,"NA",136.0,775.0,469.852941176
42.0,"Parliamentary Affairs",0.0,0.0,0.0,0.0,0.0,"NA",0.0,0.0,"NA"
43.0,"Ministry of Personnel, Public Grievances & Pensions",188.0,491.0,161.170212766,0.0,0.0,"NA",188.0,491.0,161.170212766
44.0,"Ministry of Petroleum & Natural Gas",370.0,174.0,-52.972972973,148532.0,244973.0,64.9294428137,148902.0,245147.0,64.6364723106
45.0,"Ministry of Plannning ",207.0,22799.0,10914.0096618,0.0,0.0,"NA",207.0,22799.0,10914.0096618
46.0,"Ministry of Power",14444.0,26924.0,86.4026585433,72495.0,278781.0,284.552038072,86939.0,305705.0,251.631603768
47.0,"Railways",40119.0,40513.0,0.982078317007,51431.0,150000.0,191.652894169,91550.0,190513.0,108.097214637
48.0,"Revenue",0.0,0.0,0.0,0.0,0.0,"NA",0.0,0.0,"NA"
49.0,"Department of Rural Development",98432.0,172350.0,75.0954973992,0.0,0.0,"NA",98432.0,172350.0,75.0954973992
50.0,"Department of Land Resources",6224.0,17205.0,176.429948586,0.0,0.0,"NA",6224.0,17205.0,176.429948586
51.0,"Department of Drinking Water Supply",19893.0,41825.0,110.249836626,0.0,0.0,"NA",19893.0,41825.0,110.249836626
52.0,"Department of Science & Technology",4407.0,9750.0,121.238938053,0.0,25.0,"NA",4407.0,9775.0,121.806217381
53.0,"Department of Scientific & Industrial Research",3256.0,7957.0,144.37960688,0.0,0.0,"NA",3256.0,7957.0,144.37960688
54.0,"Department of Biotechnology",1795.0,5649.0,214.707520891,0.0,0.0,"NA",1795.0,5649.0,214.707520891
55.0,"Ministry of Shipping",1450.0,4465.0,207.931034483,8704.0,39409.0,352.768841912,10154.0,43874.0,332.085877487
56.0,"Department of Road Transport & Highways",40294.0,73530.0,82.4837444781,15323.0,34829.0,127.298831821,55617.0,108359.0,94.8307172267
57.0,"Ministry of Social Justice & Empowerment",7691.0,11532.0,49.9414900533,0.0,0.0,"NA",7691.0,11532.0,49.9414900533
59.0,"Department of Space",11945.0,27305.0,128.589367936,0.0,0.0,"NA",11945.0,27305.0,128.589367936
60.0,"Ministry of Stastistics & Programme Implementation",314.0,530.0,68.7898089172,0.0,0.0,"NA",314.0,530.0,68.7898089172
61.0,"Ministry of Steel",113.0,192.0,69.9115044248,7979.0,8254.0,3.44654718636,8092.0,8446.0,4.37469105289
62.0,"Ministry of Textiles",4909.0,12378.0,152.149113872,8.0,0.0,"NA",4917.0,12378.0,151.738865162
63.0,"Ministry of Tourism",2849.0,4558.0,59.985959986,0.0,0.0,"NA",2849.0,4558.0,59.985959986
64.0,"Ministry of Tribal Affairs",1481.0,3633.0,145.307224848,0.0,0.0,"NA",1481.0,3633.0,145.307224848
65.0,"Ministry of Urban Development",12805.0,11001.0,-14.0882467786,5066.0,13599.0,168.4366364,17871.0,24600.0,37.6531811314
66.0,"Ministry of Housing and Urban Poverty Alleviation",2850.0,3260.0,14.3859649123,25057.0,40220.0,60.5140280161,27907.0,43480.0,55.8032034973
67.0,"Ministry of Water Resources",2435.0,2870.0,17.864476386,0.0,0.0,"NA",2435.0,2870.0,17.864476386
68.0,"Ministry of Women & Child Development",16307.0,48420.0,196.927699761,0.0,0.0,"NA",16307.0,48420.0,196.927699761
69.0,"Ministry of Youth Affairs and Sports",1949.0,5305.0,172.190867111,0.0,0.0,"NA",1949.0,5305.0,172.190867111
70.0,"GRAND TOTAL",486796.0,1096860.0,125.322311605,458529.0,1059711.0,131.111009336,945325.0,2156571.0,128.130113982
