-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,KHAMMAM,VELAIRPAD,1,0,0,0,92,0,93
ANDHRA PRADESH,KHAMMAM,VEMSOOR,8,1,0,0,2,0,11
ANDHRA PRADESH,KHAMMAM,VENKATAPURAM,0,0,0,0,230,0,230
ANDHRA PRADESH,KHAMMAM,WAZEED,12,0,0,0,0,0,12
ANDHRA PRADESH,KHAMMAM,WYRA,1,0,0,2,128,0,131
ANDHRA PRADESH,KHAMMAM,YELLANDU,8,0,0,0,0,0,8
ANDHRA PRADESH,KHAMMAM,YERRUPALEM,0,0,0,0,36,0,36
ANDHRA PRADESH,KRISHNA,AGIRIPALLE,1,0,0,1,0,0,2
ANDHRA PRADESH,KRISHNA,BAPULAPADU,0,0,0,12,1,0,13
ANDHRA PRADESH,KRISHNA,CHANDARLAPADU,7,0,0,0,0,0,7
ANDHRA PRADESH,KRISHNA,CHATRAI,0,0,0,1,0,0,1
ANDHRA PRADESH,KRISHNA,G KONDURU,1,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,GAMPALAGUDEM,2,0,0,3,0,0,5
ANDHRA PRADESH,KRISHNA,GANNAVARAM,3,0,0,3,0,0,6
ANDHRA PRADESH,KRISHNA,IBRAHIMPATNAM,3,1,0,0,0,0,4
ANDHRA PRADESH,KRISHNA,JAGGAYYAPETA,9,0,0,0,3,1,13
ANDHRA PRADESH,KRISHNA,KAIKALUR,0,1,0,8,1,0,10
ANDHRA PRADESH,KRISHNA,KALIDINDI,0,2,0,5,0,0,7
ANDHRA PRADESH,KRISHNA,KANCHIKA CHERLA,0,1,0,0,2,0,3
ANDHRA PRADESH,KRISHNA,MUSUNURU,1,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,NAGAYALANKA,1,0,0,0,0,0,1
ANDHRA PRADESH,KRISHNA,NANDIGAMA,3,2,0,1,0,0,6
ANDHRA PRADESH,KRISHNA,NANDIVADA,0,0,0,0,1,0,1
ANDHRA PRADESH,KRISHNA,PEDANA,0,0,1,0,0,0,1
ANDHRA PRADESH,KRISHNA,PEDAPARUPUDI,2,0,0,0,0,0,2
