-----
{
 "description": "The table refers to block wise surface lift schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.16.csv", 
 "title": "Download CSV for Blockwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.16.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface lift schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.16.csv", 
 "title": "Download CSV for Blockwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.16.csv"
}
-----
"State","District","Block","Total No. of Schemes in Use","No. of scemes with no constraints","Constraints  in utilisation of irrigation potential - Power inadequate","Constraints  in utilisation of irrigation potential - Mechanical break down","Constraints  in utilisation of irrigation potential - Less water discharge","Constraints  in utilisation of irrigation potential - Storage siltation","Constraints  in utilisation of irrigation potential - Channel break down","Constraints  in utilisation of irrigation potential - Other reason","Total","Grand Total"
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",46,40,0,0,6,0,0,0,6,52
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",165,165,0,0,0,0,0,0,0,165
"ANDHRA PRADESH","NELLORE","VIDAVULUR",46,45,0,0,0,1,0,0,1,47
"ANDHRA PRADESH","NELLORE","VINJAMUR",39,19,0,0,9,11,0,0,20,59
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",149,44,0,0,100,5,0,0,105,254
"ANDHRA PRADESH","NIZAMABAD","BICHKUNDA",84,65,12,2,5,0,0,0,19,103
"ANDHRA PRADESH","NIZAMABAD","BIRKOOR",35,34,0,1,0,0,0,0,1,36
"ANDHRA PRADESH","NIZAMABAD","BODHAN",17,11,6,0,0,0,0,0,6,23
"ANDHRA PRADESH","NIZAMABAD","JUKKAL",17,5,3,3,6,0,0,0,12,29
"ANDHRA PRADESH","NIZAMABAD","KOTGIRI",67,64,3,0,0,0,0,0,3,70
"ANDHRA PRADESH","NIZAMABAD","LINGAMPET",126,123,3,0,0,0,0,0,3,129
"ANDHRA PRADESH","NIZAMABAD","MORTAD",111,102,7,0,0,2,0,0,9,120
"ANDHRA PRADESH","NIZAMABAD","NAGAREDDIPET",138,33,70,12,23,0,0,0,105,243
"ANDHRA PRADESH","NIZAMABAD","NIZAMSAGAR",229,94,9,1,117,8,0,0,135,364
"ANDHRA PRADESH","NIZAMABAD","PITLAM",115,45,57,0,13,0,0,0,70,185
"ANDHRA PRADESH","NIZAMABAD","YELLAREDDY",163,160,0,0,2,1,0,0,3,166
"ANDHRA PRADESH","PRAKASAM","ADDANKI",56,51,0,1,4,0,0,0,5,61
"ANDHRA PRADESH","PRAKASAM","ARDHAVEEDU",12,12,0,0,0,0,0,0,0,12
"ANDHRA PRADESH","PRAKASAM","BALLIKURAVA",2,0,0,0,2,0,0,0,2,4
"ANDHRA PRADESH","PRAKASAM","C.SEKHARA PURAM",84,69,0,0,12,3,0,0,15,99
"ANDHRA PRADESH","PRAKASAM","CHIMAKURTHI",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","PRAKASAM","CHINAGANJAM",5,4,0,0,1,0,0,0,1,6
"ANDHRA PRADESH","PRAKASAM","CHIRALA",7,3,0,0,4,0,0,0,4,11
"ANDHRA PRADESH","PRAKASAM","DONAKONDA",9,9,0,0,0,0,0,0,0,9
"ANDHRA PRADESH","PRAKASAM","INKOLLU",13,12,0,0,1,0,0,0,1,14
"ANDHRA PRADESH","PRAKASAM","JANAKAVARAMPANGULURU",15,15,0,0,0,0,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","KANDUKUR",5,0,0,1,0,4,0,0,5,10
"ANDHRA PRADESH","PRAKASAM","KANIGIRI",16,16,0,0,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KARAMCHEDU",36,36,0,0,0,0,0,0,0,36
"ANDHRA PRADESH","PRAKASAM","KONAKANAMITLA",16,16,0,0,0,0,0,0,0,16
"ANDHRA PRADESH","PRAKASAM","KONDAPI",35,35,0,0,0,0,0,0,0,35
"ANDHRA PRADESH","PRAKASAM","KORISAPADU",27,27,0,0,0,0,0,0,0,27
"ANDHRA PRADESH","PRAKASAM","KOTHA PATNAM",8,3,0,0,5,0,0,0,5,13
"ANDHRA PRADESH","PRAKASAM","KURICHEDU",2,0,0,0,2,0,0,0,2,4
"ANDHRA PRADESH","PRAKASAM","LINGASAMUDRAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","MADDIPADU",97,84,0,0,3,10,0,0,13,110
"ANDHRA PRADESH","PRAKASAM","MARKAPUR",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","PRAKASAM","MARTUR",15,15,0,0,0,0,0,0,0,15
"ANDHRA PRADESH","PRAKASAM","MUNDLAMURU",23,22,0,0,1,0,0,0,1,24
"ANDHRA PRADESH","PRAKASAM","NAGULUPPALA PADU",17,10,1,0,3,3,0,0,7,24
"ANDHRA PRADESH","PRAKASAM","ONGOLE",11,0,0,0,11,0,0,0,11,22
"ANDHRA PRADESH","PRAKASAM","PAMUR",38,30,0,0,1,7,0,0,8,46
"ANDHRA PRADESH","PRAKASAM","PARCHUR",31,19,0,0,12,0,0,0,12,43
"ANDHRA PRADESH","PRAKASAM","PEDACHERLO PALLE",77,75,0,0,2,0,0,0,2,79
"ANDHRA PRADESH","PRAKASAM","PODILI",16,15,0,0,1,0,0,0,1,17
"ANDHRA PRADESH","PRAKASAM","PONNALUR",12,6,1,1,2,2,0,0,6,18
"ANDHRA PRADESH","PRAKASAM","SANTHAMAGULURU",39,39,0,0,0,0,0,0,0,39
"ANDHRA PRADESH","PRAKASAM","SANTHANUTHALA PADU",26,8,0,0,18,0,0,0,18,44
"ANDHRA PRADESH","PRAKASAM","SINGARAYA KONDA",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","PRAKASAM","TANGUTUR",31,28,0,0,0,3,0,0,3,34
"ANDHRA PRADESH","PRAKASAM","THALLUR",2,1,0,0,1,0,0,0,1,3
"ANDHRA PRADESH","PRAKASAM","TRIPURANTHAKAM",4,1,0,0,3,0,0,0,3,7
"ANDHRA PRADESH","PRAKASAM","ULAVAPADU",126,125,0,0,1,0,0,0,1,127
"ANDHRA PRADESH","PRAKASAM","VETA PALEM",5,5,0,0,0,0,0,0,0,5
"ANDHRA PRADESH","PRAKASAM","VOLETIVARI PALEM",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","PRAKASAM","YADDANA PUDI",64,64,0,0,0,0,0,0,0,64
"ANDHRA PRADESH","PRAKASAM","ZARUGUMALLI",19,19,0,0,0,0,0,0,0,19
"ANDHRA PRADESH","RANGA REDDY","BASHEERABAD",2,0,0,0,2,0,0,0,2,4
"ANDHRA PRADESH","RANGA REDDY","DHARUR",12,12,0,0,0,0,0,0,0,12
"ANDHRA PRADESH","RANGA REDDY","GHATKESAR",102,83,0,0,19,0,0,0,19,121
"ANDHRA PRADESH","RANGA REDDY","HAYATHNAGAR",194,120,0,0,3,71,0,0,74,268
"ANDHRA PRADESH","RANGA REDDY","RAJENDRANAGAR",25,0,0,0,25,0,0,0,25,50
"ANDHRA PRADESH","RANGA REDDY","UPPAL",152,112,0,0,40,0,0,0,40,192
"ANDHRA PRADESH","SRIKAKULUM","BHAMINI",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","SRIKAKULUM","ETCHERLA",4,4,0,0,0,0,0,0,0,4
"ANDHRA PRADESH","SRIKAKULUM","GARA",17,17,0,0,0,0,0,0,0,17
"ANDHRA PRADESH","SRIKAKULUM","KOTTURU",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","SRIKAKULUM","MANDASA",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","SRIKAKULUM","PALAKONDA",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","SRIKAKULUM","SARAVAKOTA",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","SRIKAKULUM","SEETHAMPETA",8,5,0,0,3,0,0,0,3,11
"ANDHRA PRADESH","SRIKAKULUM","SOMPETA",3,2,1,0,0,0,0,0,1,4
"ANDHRA PRADESH","SRIKAKULUM","VANGARA",2,1,1,0,0,0,0,0,1,3
"ANDHRA PRADESH","VIJAYA NAGARAM","BOBBILI",10,10,0,0,0,0,0,0,0,10
"ANDHRA PRADESH","VIJAYA NAGARAM","DENKADA",2,0,1,0,0,1,0,0,2,4
"ANDHRA PRADESH","VIJAYA NAGARAM","GAJAPATHINAGARAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","GARIVIDI",2,1,1,0,0,0,0,0,1,3
"ANDHRA PRADESH","VIJAYA NAGARAM","GUMMALAKSHMIPURAM",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","VIJAYA NAGARAM","KURUPAM",1,0,1,0,0,0,0,0,1,2
"ANDHRA PRADESH","VIJAYA NAGARAM","MAKKUVA",6,5,1,0,0,0,0,0,1,7
"ANDHRA PRADESH","VIJAYA NAGARAM","MERAKAMUDIDAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","NELLIMARLA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VIJAYA NAGARAM","PUSAPATIREGA",6,0,0,0,4,2,0,0,6,12
"ANDHRA PRADESH","VIJAYA NAGARAM","RAMABHADRAPURAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","VIJAYA NAGARAM","SALUR",9,9,0,0,0,0,0,0,0,9
"ANDHRA PRADESH","VIJAYA NAGARAM","SEETHANAGARAM",97,88,1,1,3,4,0,0,9,106
"ANDHRA PRADESH","VIJAYA NAGARAM","SRUNGAVARAPUKOTA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","ANAKAPALLE",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","ARAKU VALLEY",3,0,1,0,0,2,0,0,3,6
"ANDHRA PRADESH","VISAKHAPATNAM","DEVARAPALLE",4,2,0,0,2,0,0,0,2,6
"ANDHRA PRADESH","VISAKHAPATNAM","DUMBRIGUDA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","VISAKHAPATNAM","HUKUMPETA",8,0,0,0,6,2,0,0,8,16
"ANDHRA PRADESH","VISAKHAPATNAM","MADUGULA",3,1,0,0,2,0,0,0,2,5
"ANDHRA PRADESH","VISAKHAPATNAM","MUNAGAPAKA",25,23,0,0,2,0,0,0,2,27
"ANDHRA PRADESH","VISAKHAPATNAM","PAYAKARAOPETA",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","WARANGAL","BHUPALPALLE",1,0,0,1,0,0,0,0,1,2
"ANDHRA PRADESH","WARANGAL","CHENNARAOPET",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","WARANGAL","DORNAKAL",15,0,0,0,15,0,0,0,15,30
"ANDHRA PRADESH","WARANGAL","GOVINDARAOPET",308,303,2,0,3,0,0,0,5,313
"ANDHRA PRADESH","WARANGAL","GUDUR",16,16,0,0,0,0,0,0,0,16
"ANDHRA PRADESH","WARANGAL","KODAKANDLA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","WARANGAL","KOTHAGUDEM",83,83,0,0,0,0,0,0,0,83
"ANDHRA PRADESH","WARANGAL","MANGAPET",10,10,0,0,0,0,0,0,0,10
"ANDHRA PRADESH","WARANGAL","MULUG",130,128,0,0,2,0,0,0,2,132
"ANDHRA PRADESH","WARANGAL","TADVAI",22,16,0,0,6,0,0,0,6,28
"ANDHRA PRADESH","WARANGAL","THORRUR",18,0,0,0,18,0,0,0,18,36
"ANDHRA PRADESH","WEST GODAVARI","CHAGALLU",64,64,0,0,0,0,0,0,0,64
"ANDHRA PRADESH","WEST GODAVARI","DENDULURU",2,0,0,0,2,0,0,0,2,4
"ANDHRA PRADESH","WEST GODAVARI","ELURU",19,19,0,0,0,0,0,0,0,19
"ANDHRA PRADESH","WEST GODAVARI","KOVVUR",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","WEST GODAVARI","NIDADAVOLE",7,6,0,0,0,1,0,0,1,8
"ANDHRA PRADESH","WEST GODAVARI","PEDAPADU",8,7,0,1,0,0,0,0,1,9
"ANDHRA PRADESH","WEST GODAVARI","PENTAPADU",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","PERAVALI",3,2,0,0,0,1,0,0,1,4
"ANDHRA PRADESH","WEST GODAVARI","POLAVARAM",25,11,0,0,0,14,0,0,14,39
"ANDHRA PRADESH","WEST GODAVARI","TADEPALLIGUDEM",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","WEST GODAVARI","THALLAPUDI",13,4,5,0,1,3,0,0,9,22
"ASSAM","BARPETA","BAJALI",28,0,0,4,17,0,5,2,28,56
"ASSAM","BARPETA","BARPETA",27,0,1,2,21,0,0,3,27,54
"ASSAM","BARPETA","BHAWANIPUR",10,0,1,0,9,0,0,0,10,20
"ASSAM","BARPETA","CHENGA",0,0,0,0,0,0,0,0,0,0
"ASSAM","BARPETA","GOBARDHANA",15,0,3,0,11,1,0,0,15,30
"ASSAM","BARPETA","JALAH",34,0,0,2,20,0,0,12,34,68
"ASSAM","BARPETA","MANDIA",46,0,1,1,18,2,0,24,46,92
"ASSAM","BARPETA","RUPSI",40,0,1,0,39,0,0,0,40,80
"ASSAM","BONGAIGAON","BOITAMARI",43,0,0,0,0,1,0,42,43,86
"ASSAM","BONGAIGAON","BOROBAZAR",22,0,0,0,0,1,0,21,22,44
"ASSAM","BONGAIGAON","MANIKPUR",9,0,0,0,1,1,1,6,9,18
"ASSAM","BONGAIGAON","SIDLI-CHIRANG",10,0,0,0,0,0,1,9,10,20
"ASSAM","BONGAIGAON","SRIJANGRAM",3,0,0,0,1,0,0,2,3,6
"ASSAM","CACHAR","KATIGORA",10,0,0,0,0,0,0,10,10,20
"ASSAM","CACHAR","RAJABAZAR",1,0,0,0,0,0,0,1,1,2
"ASSAM","CACHAR","SALCHAPRA",12,0,0,0,0,0,0,12,12,24
"ASSAM","CACHAR","SONAI",12,0,4,1,0,0,2,5,12,24
"ASSAM","CACHAR","UDARBOND",20,0,9,0,0,0,0,11,20,40
"ASSAM","DARRANG","DALGAON SIALMARI",84,0,0,20,51,0,0,13,84,168
"ASSAM","DARRANG","KALAIGAON",49,0,0,1,7,1,0,40,49,98
"ASSAM","DARRANG","KHAIRABARI",68,0,0,2,6,0,0,60,68,136
"ASSAM","DARRANG","MAZBAT",66,0,0,1,36,1,0,28,66,132
"ASSAM","DARRANG","SIPAJHAR",186,0,0,2,3,1,0,180,186,372
"ASSAM","DARRANG","UDALGURI",28,0,0,0,22,0,1,5,28,56
"ASSAM","DHEMAJI","BORDOLONI",62,0,0,1,2,0,0,59,62,124
"ASSAM","DHEMAJI","DHEMAJI",46,0,0,2,2,0,0,42,46,92
"ASSAM","DHEMAJI","MURKONGSELLECK",6,0,0,0,2,0,0,4,6,12
"ASSAM","DHUBRI","AGAMONI",4,0,0,0,2,0,0,2,4,8
"ASSAM","DHUBRI","BILASIPARA",20,0,3,0,16,0,0,1,20,40
"ASSAM","DHUBRI","CHAPAR SALKOCHA",2,0,0,0,1,0,0,1,2,4
"ASSAM","DHUBRI","GAURIPUR",15,0,13,0,2,0,0,0,15,30
"ASSAM","DHUBRI","GOLOKGANJ",16,0,2,1,13,0,0,0,16,32
"ASSAM","DHUBRI","MANKACHAR",0,0,0,0,0,0,0,0,0,0
"ASSAM","DHUBRI","SOUTH SALMARA",2,0,0,0,2,0,0,0,2,4
"ASSAM","DIBRUGARH","BARBARUAH",80,0,0,7,0,0,0,73,80,160
"ASSAM","DIBRUGARH","JOYPUR",45,0,0,0,0,0,1,44,45,90
"ASSAM","DIBRUGARH","KHOWANG",101,0,1,0,0,2,0,98,101,202
"ASSAM","DIBRUGARH","LAHOWAL",35,0,0,0,0,4,0,31,35,70
"ASSAM","DIBRUGARH","TENGAKHAT",54,0,0,0,1,3,0,50,54,108
"ASSAM","GOALPARA","BALIJANA",111,0,1,3,0,2,0,105,111,222
"ASSAM","GOALPARA","DUDHNOI",183,0,0,0,1,1,0,181,183,366
"ASSAM","GOALPARA","LAKHIPUR",55,0,0,4,37,0,0,14,55,110
"ASSAM","GOALPARA","MATIA",54,0,3,2,0,0,1,48,54,108
"ASSAM","GOLAGHAT","GOLAGHAT CENTRAL",66,0,0,0,0,0,0,66,66,132
"ASSAM","GOLAGHAT","GOLAGHAT EAST",21,0,0,0,1,0,0,20,21,42
"ASSAM","GOLAGHAT","GOLAGHAT NORTH",1,0,0,0,0,0,0,1,1,2
"ASSAM","GOLAGHAT","GOLAGHAT SOUTH",169,0,0,0,0,0,0,169,169,338
"ASSAM","GOLAGHAT","GOLAGHAT WEST",16,0,0,0,1,0,0,15,16,32
"ASSAM","GOLAGHAT","GOMARIGURI",41,0,0,0,0,0,0,41,41,82
"ASSAM","HAILAKANDI","HAILAKANDI",5,0,1,0,0,0,0,4,5,10
"ASSAM","HAILAKANDI","KATLICHARA",2,0,0,0,0,0,0,2,2,4
"ASSAM","HAILAKANDI","LALA",9,0,2,0,0,0,0,7,9,18
"ASSAM","JORHAT","JORHAT",156,0,0,30,53,0,0,73,156,312
"ASSAM","JORHAT","JORHAT CENTRAL",231,0,0,228,1,0,0,2,231,462
"ASSAM","JORHAT","JORHAT EAST",198,0,0,6,0,1,0,191,198,396
"ASSAM","JORHAT","MAJULI",348,0,0,227,60,31,5,25,348,696
"ASSAM","JORHAT","NORTH WEST JORHAT",87,0,0,1,0,1,1,84,87,174
"ASSAM","JORHAT","TITABOR",232,0,0,8,156,32,4,32,232,464
"ASSAM","KAMRUP","BOKO BANGAON",90,0,0,39,3,0,2,46,90,180
"ASSAM","KAMRUP","CHAMARIA",17,0,2,0,2,0,0,13,17,34
"ASSAM","KAMRUP","CHANDRAPUR",7,0,0,2,2,1,1,1,7,14
"ASSAM","KAMRUP","CHHAYGAON",24,0,0,1,4,0,0,19,24,48
"ASSAM","KAMRUP","DIMORIA",387,0,6,62,2,0,27,290,387,774
"ASSAM","KAMRUP","HAJO",11,0,0,5,3,0,0,3,11,22
"ASSAM","KAMRUP","KAMALPUR",32,0,2,0,13,3,0,14,32,64
"ASSAM","KAMRUP","KARARA",3,0,0,0,0,0,0,3,3,6
"ASSAM","KAMRUP","RAMPUR",21,0,0,1,0,0,10,10,21,42
"ASSAM","KAMRUP","RANGIA",28,0,0,3,11,2,3,9,28,56
"ASSAM","KAMRUP","RANI",3,0,0,0,0,0,0,3,3,6
"ASSAM","KARBI ANGLONG","BOKAJAN",5,0,0,0,0,0,0,5,5,10
"ASSAM","KARBI ANGLONG","HOWRAGHAT",1,0,0,0,0,0,0,1,1,2
"ASSAM","KARBI ANGLONG","LUMBAJONG",19,0,0,0,2,1,0,16,19,38
"ASSAM","KARBI ANGLONG","RONGKHONG",22,0,0,0,1,5,0,16,22,44
"ASSAM","KARIMGANJ","BADARPUR",1,0,1,0,0,0,0,0,1,2
"ASSAM","KARIMGANJ","NORTH KARIMGANJ",1,0,1,0,0,0,0,0,1,2
"ASSAM","KARIMGANJ","PATHARKANDI",4,0,1,2,1,0,0,0,4,8
"ASSAM","KARIMGANJ","RAMKRISHNA NAGAR",6,0,0,0,1,0,0,5,6,12
"ASSAM","KARIMGANJ","SOUTH KARIMGANJ",5,0,2,1,0,0,0,2,5,10
"ASSAM","KOKRAJHAR","DOTOMA",4,0,0,0,0,0,0,4,4,8
"ASSAM","KOKRAJHAR","GOSSAIGAON",0,0,0,0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR","KACHUGAON",34,0,0,0,0,4,0,30,34,68
"ASSAM","KOKRAJHAR","KOKRAJHAR",21,0,0,0,0,0,0,21,21,42
"ASSAM","KOKRAJHAR","SIDLI CHIRANG (PART)",1,0,0,0,0,0,0,1,1,2
"ASSAM","LAKHIMPUR","BIHPURIA",8,0,0,0,0,0,0,8,8,16
"ASSAM","LAKHIMPUR","BORDALANI",2,0,0,0,0,0,0,2,2,4
"ASSAM","LAKHIMPUR","DHAKUAKHANA",13,0,0,0,0,1,0,12,13,26
"ASSAM","LAKHIMPUR","LAKHIMPUR",51,0,0,0,0,0,0,51,51,102
"ASSAM","LAKHIMPUR","NARAYANPUR",16,0,0,0,0,0,0,16,16,32
"ASSAM","LAKHIMPUR","NOWBOICHA",25,0,0,0,0,0,0,25,25,50
"ASSAM","MARIGAON","BHURBANDHA",64,0,4,14,36,0,0,10,64,128
"ASSAM","MARIGAON","KAPILI",21,0,5,7,7,0,1,1,21,42
"ASSAM","MARIGAON","LAHARIGHAT",167,0,58,33,65,5,2,4,167,334
"ASSAM","MARIGAON","MAYONG",149,0,27,41,68,1,3,9,149,298
"ASSAM","NAGAON","BATADRAVA",49,0,0,0,4,0,0,45,49,98
"ASSAM","NAGAON","JUGIJAN",93,0,0,0,3,1,0,89,93,186
"ASSAM","NAGAON","JURIA",115,0,2,11,20,0,0,82,115,230
"ASSAM","NAGAON","KALIABOR",182,0,0,8,27,1,0,146,182,364
"ASSAM","NAGAON","KAPILI",79,0,0,0,2,0,0,77,79,158
"ASSAM","NAGAON","KAPILI PT.I",284,0,0,1,8,0,0,275,284,568
"ASSAM","NAGAON","KATHIATOLI",399,0,2,22,52,1,0,322,399,798
"ASSAM","NAGAON","KHAGARIJAN",114,0,2,16,49,0,1,46,114,228
"ASSAM","NAGAON","LANKA",177,0,1,13,30,2,0,131,177,354
"ASSAM","NAGAON","LAOKHOWA",69,0,0,2,5,1,0,61,69,138
"ASSAM","NAGAON","RUPAHI",51,0,0,1,6,0,0,44,51,102
"ASSAM","NALBARI","BARIGOG BANBHAG",39,0,7,0,16,0,14,2,39,78
"ASSAM","NALBARI","BARKHETRI",14,0,0,0,0,0,1,13,14,28
"ASSAM","NALBARI","BASKA",28,0,0,0,3,1,0,24,28,56
"ASSAM","NALBARI","PASCHIM NALBARI",15,0,0,0,1,1,1,12,15,30
"ASSAM","NALBARI","PUB NALBARI",49,0,2,21,11,1,3,11,49,98
"ASSAM","NALBARI","TAMULPUR",22,0,0,2,4,6,0,10,22,44
"ASSAM","NALBARI","TIHU BARAMA",27,0,2,4,5,3,1,12,27,54
"ASSAM","NORTH CACHAR HILLS","DIYANG VALLEY",5,0,0,0,0,0,0,5,5,10
"ASSAM","NORTH CACHAR HILLS","HARANGAJAW",1,0,0,0,0,0,0,1,1,2
"ASSAM","SIBSAGAR","AMGURI",4,0,0,2,1,0,0,1,4,8
"ASSAM","SIBSAGAR","DEMOW",96,0,2,3,88,1,0,2,96,192
"ASSAM","SIBSAGAR","NAZIRA",2,0,0,0,1,0,0,1,2,4
"ASSAM","SIBSAGAR","SAPEKHATI",219,0,6,63,0,2,0,148,219,438
"ASSAM","SIBSAGAR","SIBSAGAR",4,0,0,0,0,0,0,4,4,8
"ASSAM","SIBSAGAR","SONARI",210,0,2,30,15,4,0,159,210,420
"ASSAM","SONITPUR","BALIPARA",53,0,0,1,0,7,0,45,53,106
"ASSAM","SONITPUR","BEHALI",16,0,0,0,0,3,0,13,16,32
"ASSAM","SONITPUR","BISWANATH",48,0,0,0,11,1,0,36,48,96
"ASSAM","SONITPUR","CHAIDUAR",60,0,0,5,4,1,0,50,60,120
"ASSAM","SONITPUR","DHEKIAJULI",45,0,0,0,24,0,0,21,45,90
"ASSAM","SONITPUR","GABHORU",9,0,0,0,0,0,0,9,9,18
"ASSAM","SONITPUR","NADUAR",130,0,0,32,38,6,0,54,130,260
"ASSAM","TINSUKIA","HAPJAN",22,0,0,0,0,1,0,21,22,44
"ASSAM","TINSUKIA","KAKOPATHAR",46,0,0,1,0,0,0,45,46,92
"ASSAM","TINSUKIA","MARGHERITA",57,0,0,0,0,0,0,57,57,114
"ASSAM","TINSUKIA","SADIYA",172,0,0,0,0,0,1,171,172,344
"BIHAR","ARARIA","BHARGAMA",0,0,0,0,0,0,0,0,0,0
"BIHAR","ARARIA","FORBESGANJ",0,0,0,0,0,0,0,0,0,0
"BIHAR","ARARIA","JOKIHAT",0,0,0,0,0,0,0,0,0,0
"BIHAR","ARARIA","PALASI",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD","AURANGABAD",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD","BARUN",6,0,0,0,0,6,0,0,6,12
"BIHAR","AURANGABAD","GOH",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD","HASPURA",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD","KUTUMBA",0,0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD","NABINAGAR",3,0,0,0,0,0,3,0,3,6
"BIHAR","AURANGABAD","OBRA",18,0,1,0,1,16,0,0,18,36
"BIHAR","AURANGABAD","RAFIGANJ",16,0,0,0,0,0,0,16,16,32
"BIHAR","BANKA","AMARPUR",9,0,0,0,0,5,0,4,9,18
"BIHAR","BANKA","BANKA",1,0,0,0,0,0,0,1,1,2
"BIHAR","BANKA","BAUSI",23,0,0,0,15,6,0,2,23,46
"BIHAR","BANKA","CHANAN",35,0,0,0,3,2,0,30,35,70
"BIHAR","BANKA","DHURAIYA",10,0,1,0,8,1,0,0,10,20
"BIHAR","BANKA","KATORIA",66,0,1,0,16,0,0,49,66,132
"BIHAR","BANKA","SAMBHUGANJ",1,0,0,0,0,0,0,1,1,2
"BIHAR","BEGUSARAI","BACHHAWARA",2,0,0,1,0,0,1,0,2,4
"BIHAR","BEGUSARAI","BAKHARI",1,0,1,0,0,0,0,0,1,2
"BIHAR","BEGUSARAI","BEGUSARAI",10,0,9,0,0,0,0,1,10,20
"BIHAR","BEGUSARAI","BHAGAWANPUR",2,0,0,0,0,1,1,0,2,4
"BIHAR","BEGUSARAI","BIRPUR",4,0,2,0,0,2,0,0,4,8
"BIHAR","BEGUSARAI","CHERIA BARIARPUR",6,0,6,0,0,0,0,0,6,12
"BIHAR","BEGUSARAI","DANDARI",0,0,0,0,0,0,0,0,0,0
"BIHAR","BEGUSARAI","GARHPURA",6,0,0,5,0,0,0,1,6,12
"BIHAR","BEGUSARAI","KHUDABANDPUR",3,0,2,0,0,1,0,0,3,6
"BIHAR","BEGUSARAI","MANSURCHAK",1,0,0,1,0,0,0,0,1,2
"BIHAR","BEGUSARAI","NAOKHOTHI",3,0,0,0,0,0,0,3,3,6
"BIHAR","BHABUA","ADHAURA",0,0,0,0,0,0,0,0,0,0
"BIHAR","BHABUA","BHABUA",22,0,0,0,0,4,0,18,22,44
"BIHAR","BHABUA","BHAGWANPUR",1,0,1,0,0,0,0,0,1,2
"BIHAR","BHABUA","CHAINPUR",13,0,0,0,3,3,0,7,13,26
"BIHAR","BHABUA","CHAND",3,0,1,0,0,0,0,2,3,6
"BIHAR","BHABUA","DURGAWATI",3,0,0,0,0,0,0,3,3,6
"BIHAR","BHABUA","KUDRA",8,0,1,0,0,1,0,6,8,16
"BIHAR","BHABUA","MOHANIA",0,0,0,0,0,0,0,0,0,0
"BIHAR","BHABUA","RAMGAR",1,0,0,0,0,0,0,1,1,2
"BIHAR","BHAGALPUR","JAGDISHPUR",5,0,0,0,0,5,0,0,5,10
"BIHAR","BHAGALPUR","KAHALGAON",1,0,1,0,0,0,0,0,1,2
"BIHAR","BHAGALPUR","KHARIK",2,0,0,0,0,1,0,1,2,4
"BIHAR","BHAGALPUR","NATHNAGAR",4,0,0,0,0,4,0,0,4,8
