-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.15.csv"
}
-----
"State","District","No constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical break down","Constraints in utilisation - Less water discharge","Constraints in utilisation - Other reason","Total Constraints in utilisation","Total in use"
"KERALA","ERANAKULAM",13389,7,41,1673,2189,3910,17299
"KERALA","IDDUKKI",2798,233,95,1216,1334,2878,5676
"KERALA","KANNUR",10173,46,50,1892,2815,4803,14976
"KERALA","KASARAGODE",2757,664,355,2695,91,3805,6562
"KERALA","KOLLAM",4647,186,162,207,734,1289,5936
"KERALA","KOTTAYAM",5740,290,107,2149,2394,4940,10680
"KERALA","KOZHIKODE",9574,30,13,639,2276,2958,12532
"KERALA","MALAPPURAM",7903,423,202,2795,806,4226,12129
"KERALA","PALAKKAD",6483,26,8,232,2105,2371,8854
"KERALA","PATHANAMTHITTA",4084,4,19,445,2020,2488,6572
"KERALA","THIRUVANANTHAPURAM",4656,494,251,2958,4633,8336,12992
"KERALA","THRISSUR",33868,41,524,5868,4066,10499,44367
"KERALA","WAYANAD",523,1,0,120,30,151,674
"MADHYA PRADESH","BALAGHAT",10976,293,93,574,367,1327,12303
"MADHYA PRADESH","BARWANI",1,246,0,12724,35,13005,13006
"MADHYA PRADESH","BETUL",0,576,81,17871,17555,36083,36083
"MADHYA PRADESH","BHIND",10,3125,329,7377,1175,12006,12016
"MADHYA PRADESH","BHOPAL",2494,0,0,0,7514,7514,10008
"MADHYA PRADESH","CHHATARPUR",47935,170,139,3949,946,5204,53139
"MADHYA PRADESH","CHHINDWARA",27766,1776,233,39585,3646,45240,73006
"MADHYA PRADESH","DAMOH",11006,488,41,597,161,1287,12293
"MADHYA PRADESH","DATIA",6361,1165,828,9383,1080,12456,18817
"MADHYA PRADESH","DEWAS",5299,462,65,24314,300,25141,30440
"MADHYA PRADESH","DHAR",382,90,142,14532,47,14811,15193
"MADHYA PRADESH","DINDORI",165,0,1,14,22,37,202
"MADHYA PRADESH","GUNA",25361,131,23,1612,134,1900,27261
"MADHYA PRADESH","GWALIOR",10041,476,28,2884,1276,4664,14705
"MADHYA PRADESH","HARDA",5294,57,11,5904,65,6037,11331
"MADHYA PRADESH","HOSHANGABAD",14139,693,20,1496,3702,5911,20050
"MADHYA PRADESH","INDORE",1032,141,56,6456,1642,8295,9327
"MADHYA PRADESH","JABALPUR",4734,1502,138,563,2334,4537,9271
"MADHYA PRADESH","JHABUA",12,189,43,4608,609,5449,5461
"MADHYA PRADESH","KATNI",7515,698,16,3573,114,4401,11916
"MADHYA PRADESH","KHANDWA",12221,0,0,25626,0,25626,37847
"MADHYA PRADESH","KHARGONE",5224,309,242,39547,348,40446,45670
"MADHYA PRADESH","MANDLA",1,246,68,714,1125,2153,2154
"MADHYA PRADESH","MANDSAUR",13,14,67,75488,3684,79253,79266
"MADHYA PRADESH","MORENA",10127,1866,59,1975,322,4222,14349
"MADHYA PRADESH","NARSINGHPUR",5853,4377,81,556,574,5588,11441
"MADHYA PRADESH","NEEMUCH",5490,148,155,28630,611,29544,35034
"MADHYA PRADESH","PANNA",6062,42,28,544,16,630,6692
"MADHYA PRADESH","RAISEN",1673,51,25,8419,235,8730,10403
"MADHYA PRADESH","RAJGARH",2922,1991,26,57012,731,59760,62682
"MADHYA PRADESH","RATLAM",340,180,27,24314,406,24927,25267
"MADHYA PRADESH","REWA",2010,1937,35,1809,5937,9718,11728
"MADHYA PRADESH","SAGAR",42783,2,0,77,620,699,43482
"MADHYA PRADESH","SATNA",6022,3663,798,6573,1034,12068,18090
"MADHYA PRADESH","SEHORE",7638,2339,25,11248,3327,16939,24577
"MADHYA PRADESH","SEONI",14763,267,178,2207,996,3648,18411
"MADHYA PRADESH","SHAHDOL",2171,262,23,1042,672,1999,4170
"MADHYA PRADESH","SHAJAPUR",771,466,15,42435,1086,44002,44773
"MADHYA PRADESH","SHEOPUR",3292,5,11,441,43,500,3792
"MADHYA PRADESH","SHIVPURI",27199,105,50,11960,1183,13298,40497
"MADHYA PRADESH","SIDHI",7720,1708,35,1699,1098,4540,12260
"MADHYA PRADESH","TIKAMGARH",34060,759,140,22331,1284,24514,58574
"MADHYA PRADESH","UJJAIN",3807,413,4,16351,822,17590,21397
"MADHYA PRADESH","UMARIA",1236,365,89,273,380,1107,2343
"MADHYA PRADESH","VIDISHA",5331,0,11,10252,5,10268,15599
"MAHARASHTRA","AHMEDNAGAR",18628,9129,604,73915,40824,124472,143100
"MAHARASHTRA","AKOLA",1286,4351,44,12946,102,17443,18729
"MAHARASHTRA","AMRAVATI",8552,615,222,44762,9640,55239,63791
"MAHARASHTRA","AURANGABAD",0,9622,91,66755,2212,78680,78680
"MAHARASHTRA","BEED",1336,12631,127,14140,158,27056,28392
"MAHARASHTRA","BHANDARA",2410,4666,148,3916,3205,11935,14345
"MAHARASHTRA","BULDANA",1882,686,178,53324,6284,60472,62354
"MAHARASHTRA","CHANDRAPUR",2732,23,17,8892,488,9420,12152
"MAHARASHTRA","DHULE",7806,150,33,10530,570,11283,19089
"MAHARASHTRA","GADCHIROLI",3712,90,40,2735,3371,6236,9948
"MAHARASHTRA","GONDIYA",1212,954,91,3056,1618,5719,6931
"MAHARASHTRA","HINGOLI",3021,2506,94,13917,485,17002,20023
"MAHARASHTRA","JALGAON",21108,1205,172,56842,11071,69290,90398
"MAHARASHTRA","JALNA",153,5414,34,38927,1202,45577,45730
"MAHARASHTRA","KOLHAPUR",25081,3577,186,7417,742,11922,37003
"MAHARASHTRA","LATUR",2788,97,20,24960,78,25155,27943
"MAHARASHTRA","NAGPUR",5787,1646,106,50803,1065,53620,59407
"MAHARASHTRA","NANDED",4652,5449,219,14214,1705,21587,26239
"MAHARASHTRA","NANDURBAR",6301,711,2,4459,10,5182,11483
"MAHARASHTRA","NASHIK",32562,2996,126,116396,2181,121699,154261
"MAHARASHTRA","OSMANABAD",9670,1494,6,28411,260,30171,39841
"MAHARASHTRA","PARBHANI",5419,3962,71,12930,1488,18451,23870
"MAHARASHTRA","PUNE",65734,7913,1454,26666,7230,43263,108997
"MAHARASHTRA","RAIGHAR",1642,2,14,2110,830,2956,4598
"MAHARASHTRA","RATNAGIRI",665,122,19,1177,748,2066,2731
"MAHARASHTRA","SANGLI",8679,3733,134,55370,4929,64166,72845
"MAHARASHTRA","SATARA",3,83,136,72774,2486,75479,75482
"MAHARASHTRA","SINDHUDURGA",1379,144,160,1152,2033,3489,4868
"MAHARASHTRA","SOLAPUR",59302,1786,283,53096,4626,59791,119093
"MAHARASHTRA","THANE",1460,52,5,1672,2871,4600,6060
"MAHARASHTRA","WARDHA",4971,1566,72,17885,10743,30266,35237
"MAHARASHTRA","WASHIM",1050,1953,56,12273,3206,17488,18538
"MAHARASHTRA","YAVATMAL",10017,3425,80,17147,4128,24780,34797
"MANIPUR","IMPHAL WEST",0,0,0,3,0,3,3
"MEGHALAYA","JAINTIA HILLS",6,0,0,2,3,5,11
"NAGALAND","DIMAPUR",3,0,1,71,46,118,121
"NAGALAND","MOKOKCHUNG",0,0,0,2,2,4,4
"ORISSA","ANGUL",5425,37,64,15427,4263,19791,25216
"ORISSA","BALASORE",42,0,4,489,481,974,1016
"ORISSA","BARGARH",4648,44,16,9197,1528,10785,15433
"ORISSA","BHADRAK",27,0,0,3,75,78,105
"ORISSA","BOLANGIR",12694,102,631,18764,14046,33543,46237
"ORISSA","BOUDH",4550,6,85,994,2633,3718,8268
"ORISSA","CUTTACK",1292,22,61,3956,6372,10411,11703
"ORISSA","DEOGARH",108,0,10,561,5460,6031,6139
"ORISSA","DHENKANAL",2322,24,17,2908,3296,6245,8567
"ORISSA","GAJAPATI",314,2,2,185,1182,1371,1685
"ORISSA","GANJAM",8003,37,75,4888,11768,16768,24771
"ORISSA","JAGATSINGHPUR",175,1,1,43,349,394,569
"ORISSA","JAJAPUR",666,3,41,426,779,1249,1915
"ORISSA","JHARSUGUDA",1916,3,18,1623,2008,3652,5568
"ORISSA","KALAHANDI",2677,26,31,3636,6452,10145,12822
"ORISSA","KANDHAMAL",1344,10,30,879,2235,3154,4498
"ORISSA","KENDRAPARA",65,5,2,51,61,119,184
"ORISSA","KEONJHAR",1467,10,49,12290,3804,16153,17620
"ORISSA","KHURDA",3698,1,3,974,3980,4958,8656
"ORISSA","KORAPUT",1297,2,21,886,659,1568,2865
"ORISSA","MALKANAGIRI",54,1,3,311,214,529,583
"ORISSA","MAYURBHANJA",2376,9,31,2128,2337,4505,6881
"ORISSA","NAWARANGAPUR",1158,9,40,6020,1672,7741,8899
"ORISSA","NAYAGARH",2395,12,43,3319,5293,8667,11062
"ORISSA","NUAPADA",3460,5,2,1656,3392,5055,8515
"ORISSA","PURI",202,0,0,11,134,145,347
"ORISSA","RAYAGADA",316,10,32,132,326,500,816
"ORISSA","SAMBALPUR",1533,19,16,7667,4843,12545,14078
"ORISSA","SONEPUR",7279,19,31,1800,2319,4169,11448
"ORISSA","SUNDARGARH",4911,42,62,3759,8278,12141,17052
"PONDICHERRY","KARAIKAL",1,0,0,0,0,0,1
"PONDICHERRY","PONDICHERRY",75,0,0,0,1,1,76
"PUNJAB","BATHINDA",5,91,0,0,0,91,96
"PUNJAB","FATEHGARH SAHIB",69,0,0,0,0,0,69
"PUNJAB","GURDASPUR",115,0,0,0,0,0,115
"PUNJAB","HOSHIARPUR",475,12,1,5,27,45,520
"PUNJAB","LUDHIANA",92,0,0,0,0,0,92
"PUNJAB","MOGA",0,8,2,0,0,10,10
"PUNJAB","ROPAR",3,1700,0,31,7,1738,1741
"PUNJAB","SANGRUR",3,273,0,0,0,273,276
"RAJASTHAN","AJMER",1630,656,156,39470,943,41225,42855
"RAJASTHAN","ALWAR",40571,2214,484,14157,1558,18413,58984
"RAJASTHAN","BANSWARA",2979,32,26,2716,296,3070,6049
"RAJASTHAN","BARAN",8969,2578,69,6751,1294,10692,19661
"RAJASTHAN","BARMER",10414,1544,43,3524,3816,8927,19341
"RAJASTHAN","BHARATPUR",7312,91,49,255,29,424,7736
"RAJASTHAN","BHILWARA",8645,540,406,50985,1986,53917,62562
"RAJASTHAN","BIKANER",970,902,11,240,180,1333,2303
"RAJASTHAN","BUNDI",10826,544,182,7703,1019,9448,20274
"RAJASTHAN","CHITTORGARH",14185,580,217,40284,1315,42396,56581
"RAJASTHAN","CHURU",2376,2144,74,104,561,2883,5259
"RAJASTHAN","DAUSA",21169,225,96,13654,620,14595,35764
"RAJASTHAN","DHOLPUR",1579,3,92,1008,141,1244,2823
"RAJASTHAN","DUNGARPUR",1270,44,25,7935,455,8459,9729
"RAJASTHAN","GANGANAGAR",38,3,0,1,0,4,42
"RAJASTHAN","HANUMANGARH",137,1,2,77,119,199,336
"RAJASTHAN","JAIPUR",50707,11564,587,29421,3994,45566,96273
"RAJASTHAN","JAISALMER",4,10,0,127,5,142,146
"RAJASTHAN","JALORE",13038,2395,1261,22866,2272,28794,41832
"RAJASTHAN","JHALAWAR",23018,41,109,32483,116,32749,55767
"RAJASTHAN","JHUNJHUNU",17113,13610,154,3311,655,17730,34843
"RAJASTHAN","JODHPUR",1615,261,17,1802,194,2274,3889
"RAJASTHAN","KAROLI",7812,2343,172,13460,759,16734,24546
"RAJASTHAN","KOTA",10418,12,9,861,45,927,11345
"RAJASTHAN","NAGAUR",7645,8492,339,10505,462,19798,27443
"RAJASTHAN","PALI",2254,421,197,22038,1477,24133,26387
"RAJASTHAN","RAJSAMAND",465,7,47,12234,80,12368,12833
"RAJASTHAN","SAWAI MADHOPUR",25309,42,335,3960,1279,5616,30925
"RAJASTHAN","SIKAR",10963,13514,756,13873,7689,35832,46795
"RAJASTHAN","SIROHI",1732,575,32,11747,108,12462,14194
"RAJASTHAN","TONK",21720,34,136,15780,3250,19200,40920
"RAJASTHAN","UDAIPUR",2486,22,74,23253,341,23690,26176
"TAMIL NADU","COIMBATORE",6504,672,439,38398,32763,72272,78776
"TAMIL NADU","CUDDALORE",12,118,57,2442,7987,10604,10616
"TAMIL NADU","DHARMAPURI",256,2445,8469,43815,58163,112892,113148
"TAMIL NADU","DINDIGUL",9,399,132,63690,3026,67247,67256
"TAMIL NADU","ERODE",21167,1874,533,43324,8367,54098,75265
"TAMIL NADU","KANCHEEPURAM",23430,4887,1778,12334,5674,24673,48103
"TAMIL NADU","KANYAKUMARI",2903,103,83,12,94,292,3195
"TAMIL NADU","KARUR",9,3,28,47177,518,47726,47735
"TAMIL NADU","MADURAI",9,180,159,19071,16664,36074,36083
"TAMIL NADU","NAGAPATTINAM",1,0,1065,721,3010,4796,4797
"TAMIL NADU","NAMAKKAL",2,1155,896,26578,26494,55123,55125
"TAMIL NADU","NILGIRIS",866,0,0,0,0,0,866
"TAMIL NADU","PERAMBALUR",71,454,1043,12365,20483,34345,34416
"TAMIL NADU","PUDUKKOTTAI",30703,447,46,1631,746,2870,33573
"TAMIL NADU","RAMANATHAPURAM",5026,19,76,1826,72,1993,7019
"TAMIL NADU","SALEM",0,744,637,59160,30308,90849,90849
"TAMIL NADU","SIVAGANGA",3712,1075,400,8739,708,10922,14634
"TAMIL NADU","THANJAVUR",1,61,370,175,3243,3849,3850
"TAMIL NADU","THENI",0,483,190,24443,550,25666,25666
"TAMIL NADU","THIRUVALLUR",11,670,37,5152,10793,16652,16663
"TAMIL NADU","THIRUVARUR",0,18,0,68,150,236,236
"TAMIL NADU","TIRUCHIRAPPALLI",7920,207,264,45778,2294,48543,56463
"TAMIL NADU","TIRUNELVELI",30,811,884,35134,21144,57973,58003
"TAMIL NADU","TIRUVANNAMALAI",40305,1262,343,88882,1929,92416,132721
"TAMIL NADU","TUTICORIN DISTRICT",6,284,244,11212,7755,19495,19501
"TAMIL NADU","VELLORE",6100,3226,567,83294,12772,99859,105959
"TAMIL NADU","VILLUPPURAM",43134,881,2366,78990,2245,84482,127616
"TAMIL NADU","VIRUDHUNAGAR",2025,1072,395,10193,8326,19986,22011
"TRIPURA","DHALAI",4,0,0,0,0,0,4
"TRIPURA","SOUTH TRIPURA",84,0,0,115,0,115,199
"TRIPURA","WEST TRIPURA",17,3,0,18,1,22,39
"UTTAR PRADESH","AGRA",0,35,0,941,698,1674,1674
"UTTAR PRADESH","ALIGARH",1,28,0,0,0,28,29
"UTTAR PRADESH","ALLAHABAD",123,19,112,805,1451,2387,2510
"UTTAR PRADESH","AMBEDAKAR NAGAR",90,0,0,0,9,9,99
