-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.5.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.5.csv"
}
-----
"State","District","Tanks","Storage","Permanent Diversion","Temporary Diversion","Water Conversation","Total"
"CHHATTISGARH","SURGUJA",1246,124,104,220,67,1761
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",36,8,2,0,0,46
"DELHI","ALIPUR",54,0,1,0,0,55
"GOA","NORTH GOA",568,1717,73,341,117,2816
"GOA","SOUTH GOA",23,480,155,321,66,1045
"GUJARAT","AHMEDABAD",114,749,1054,15,562,2494
"GUJARAT","AMRELI",185,0,0,0,161,346
"GUJARAT","BANASKANTHA",58,1,3,0,302,364
"GUJARAT","BHARUCH",4,50,4,1,135,194
"GUJARAT","BHAVNAGAR",42,0,0,0,783,825
"GUJARAT","DAHOD",209,12,40,0,489,750
"GUJARAT","DANG",0,0,0,0,225,225
"GUJARAT","GANDHINAGAR",2,0,0,0,0,2
"GUJARAT","JAMNAGAR",145,0,0,0,871,1016
"GUJARAT","JUNAGADH",23,0,0,0,1893,1916
"GUJARAT","KACHCHH",270,2,0,2,478,752
"GUJARAT","KHEDA",12,0,0,0,14,26
"GUJARAT","MEHSANA",9,0,0,0,192,201
"GUJARAT","NARMADA",5,0,0,0,96,101
"GUJARAT","NAVSARI",0,0,0,0,131,131
"GUJARAT","PANCHMAHAL",2,85,0,1,286,374
"GUJARAT","PATAN",7,10,0,0,247,264
"GUJARAT","PORBANDAR",6,0,0,1,505,512
"GUJARAT","RAJKOT",149,90,275,288,2707,3509
"GUJARAT","SABARKANTHA",253,0,0,0,566,819
"GUJARAT","SURAT",37,28,0,0,256,321
"GUJARAT","SURENDRANAGAR",371,761,1330,121,441,3024
"GUJARAT","VADODARA",64,9,2,3,298,376
"GUJARAT","VALSAD",6,0,0,0,178,184
"HARYANA","AMBALA",0,0,0,7,0,7
"HARYANA","BHIWANI",88,0,0,1,0,89
"HARYANA","GURGAON",7,0,0,0,0,7
"HARYANA","KARNAL",94,0,291,0,0,385
"HARYANA","PANCHKULA",121,55,46,20,21,263
"HARYANA","REWARI",20,0,0,0,0,20
"HIMACHAL PRADESH","Bilaspur",7,16,359,507,0,889
"HIMACHAL PRADESH","Chamba",4,6,364,243,0,617
"HIMACHAL PRADESH","Hamirpur",8,29,14,153,0,204
"HIMACHAL PRADESH","Kangra",12,10,1020,831,0,1873
"HIMACHAL PRADESH","Kinnaur",0,0,67,168,0,235
"HIMACHAL PRADESH","Kullu",11,3,65,40,0,119
"HIMACHAL PRADESH","Lahul & Spiti",1,0,359,214,0,574
"HIMACHAL PRADESH","Mandi",16,57,811,3153,0,4037
"HIMACHAL PRADESH","Shimla",18,51,306,976,0,1351
"HIMACHAL PRADESH","Sirmaur",38,25,268,1612,0,1943
"HIMACHAL PRADESH","Solan",233,143,922,678,0,1976
"HIMACHAL PRADESH","Una",0,2,14,95,0,111
"JAMMU & KASHMIR","ANANTNAG",26,1,632,74,4,737
"JAMMU & KASHMIR","BADGAM",5,15,399,4,5,428
"JAMMU & KASHMIR","BARAMULLA",14,6,509,101,0,630
"JAMMU & KASHMIR","DODA",20,34,144,127,0,325
"JAMMU & KASHMIR","JAMMU",0,0,1,5,0,6
"JAMMU & KASHMIR","KARGIL",2,0,353,0,1,356
"JAMMU & KASHMIR","KATHUA",6,31,275,164,2,478
"JAMMU & KASHMIR","KUPWARA",31,0,588,13,4,636
"JAMMU & KASHMIR","LEH",2,0,111,7,0,120
"JAMMU & KASHMIR","POONCH",19,24,51,80,3,177
"JAMMU & KASHMIR","PULWAMA",4,444,197,0,10,655
"JAMMU & KASHMIR","RAJOURI",7,3,168,244,3,425
"JAMMU & KASHMIR","SRINAGAR",4,4,267,2,0,277
"JAMMU & KASHMIR","UDHAMPUR",6,50,190,307,60,613
"JHARKHAND","BOKARO",101,1168,5,77,49,1400
"JHARKHAND","CHATRA",170,1529,36,146,391,2272
"JHARKHAND","DEOGHAR",737,3790,58,196,558,5339
"JHARKHAND","DHANBAD",175,784,30,32,363,1384
"JHARKHAND","DUMKA",340,2484,99,267,209,3399
"JHARKHAND","GARHWA",53,2474,29,54,130,2740
"JHARKHAND","GIRIDIH",153,1377,55,67,306,1958
"JHARKHAND","GODDA",103,762,8,96,10,979
"JHARKHAND","GUMLA",106,160,461,113,9,849
"JHARKHAND","HAZARIBAGH",86,786,33,45,70,1020
"JHARKHAND","JAMTARA",444,2564,16,135,295,3454
"JHARKHAND","KODERMA",66,273,7,24,26,396
"JHARKHAND","LATEHAR",71,1776,48,200,306,2401
"JHARKHAND","LOHARDAGA",1,1,0,2,0,4
"JHARKHAND","PAKUR",118,1343,92,89,93,1735
"JHARKHAND","PALAMU",396,3341,412,721,1094,5964
"JHARKHAND","RANCHI",88,111,30,61,2,292
"JHARKHAND","SAHEBGANJ",143,1143,36,42,182,1546
"JHARKHAND","SARAIKELA",448,1453,45,63,812,2821
"JHARKHAND","SIMDEGA",13,240,202,14,0,469
"JHARKHAND","WEST SINGHBHUM",355,1968,49,106,328,2806
"KARNATAKA","Bagalkote",52,13,11,1,0,77
"KARNATAKA","Bangalore",430,24,6,55,2,517
"KARNATAKA","Bangalore Rural",879,51,149,51,10,1140
"KARNATAKA","Belgaum",274,25,8,22,25,354
"KARNATAKA","Bellary",69,8,2,25,0,104
"KARNATAKA","Bidar",956,14,310,276,0,1556
"KARNATAKA","Bijapur",194,68,0,0,0,262
"KARNATAKA","Chamaraja Nagara",78,1,10,6,1,96
"KARNATAKA","Chikmagalur",1351,287,67,163,70,1938
"KARNATAKA","Chitradurga",127,14,6,9,1,157
"KARNATAKA","Dakshina Kannada",171,110,417,622,54,1374
"KARNATAKA","Davanagere",187,28,315,130,0,660
"KARNATAKA","Dharwar",766,19,2,62,0,849
"KARNATAKA","Gadag",15,7,12,3,0,37
"KARNATAKA","Gulbarga",359,77,13,87,2,538
"KARNATAKA","Hassan",3171,561,53,436,192,4413
"KARNATAKA","Haveri",892,57,594,140,16,1699
"KARNATAKA","Kodagu",442,143,109,164,5,863
"KARNATAKA","Kolar",2956,391,10,179,2,3538
"KARNATAKA","Koppal",44,1,6,7,0,58
"KARNATAKA","Mandya",246,72,8,37,0,363
"KARNATAKA","Mysore",275,147,3,74,1,500
"KARNATAKA","Raichur",256,253,11,9,0,529
"KARNATAKA","Shimoga",4100,300,68,236,13,4717
"KARNATAKA","Tumkur",1072,118,10,47,14,1261
"KARNATAKA","Udupi",300,149,491,498,121,1559
"KARNATAKA","Uttara Kannada",696,392,204,277,45,1614
"KERALA","ALAPPUZHA",109,134,44,2,0,289
"KERALA","ERANAKULAM",113,307,53,92,2,567
"KERALA","IDDUKKI",48,149,84,108,31,420
"KERALA","KANNUR",144,98,607,6,3,858
"KERALA","KASARAGODE",119,230,280,6,62,697
"KERALA","KOLLAM",182,141,122,73,0,518
"KERALA","KOTTAYAM",110,50,182,184,7,533
"KERALA","KOZHIKODE",38,23,248,64,4,377
"KERALA","MALAPPURAM",127,338,415,88,61,1029
"KERALA","PALAKKAD",964,1079,155,73,28,2299
"KERALA","PATHANAMTHITTA",18,61,146,22,2,249
"KERALA","THIRUVANANTHAPURAM",180,185,956,353,7,1681
"KERALA","THRISSUR",306,319,125,133,39,922
"KERALA","WAYANAD",206,67,201,13,31,518
"MADHYA PRADESH","BALAGHAT",6223,89,484,185,46,7027
"MADHYA PRADESH","BARWANI",1090,80,86,176,33,1465
"MADHYA PRADESH","BETUL",2623,194,1440,843,142,5242
"MADHYA PRADESH","BHIND",11,10,6,17,0,44
"MADHYA PRADESH","BHOPAL",227,39,134,304,0,704
"MADHYA PRADESH","CHHATARPUR",1065,46,451,1182,224,2968
"MADHYA PRADESH","CHHINDWARA",729,34,106,283,4,1156
"MADHYA PRADESH","DAMOH",1095,55,322,773,9,2254
"MADHYA PRADESH","DATIA",5,0,2,0,0,7
"MADHYA PRADESH","DEWAS",148,7,11,497,2,665
"MADHYA PRADESH","DHAR",718,205,182,183,9,1297
"MADHYA PRADESH","GUNA",1564,86,895,1206,79,3830
"MADHYA PRADESH","GWALIOR",87,6,308,74,1,476
"MADHYA PRADESH","HARDA",48,0,0,105,0,153
"MADHYA PRADESH","HOSHANGABAD",145,0,385,146,32,708
"MADHYA PRADESH","INDORE",167,47,224,1,0,439
"MADHYA PRADESH","JABALPUR",104,9,342,18,48,521
"MADHYA PRADESH","JHABUA",331,41,127,844,0,1343
"MADHYA PRADESH","KATNI",1882,131,100,356,244,2713
"MADHYA PRADESH","KHANDWA",243,1,69,127,0,440
"MADHYA PRADESH","KHARGONE",560,215,119,116,6,1016
"MADHYA PRADESH","MANDLA",50,3,20,50,2,125
"MADHYA PRADESH","MANDSAUR",51,4,3,20,0,78
"MADHYA PRADESH","MORENA",126,0,0,0,0,126
"MADHYA PRADESH","NARSINGHPUR",176,4,375,242,16,813
"MADHYA PRADESH","NEEMUCH",13,0,9,18,0,40
"MADHYA PRADESH","PANNA",996,127,500,626,1397,3646
"MADHYA PRADESH","RAISEN",4,2,1,1,0,8
"MADHYA PRADESH","RAJGARH",373,2,230,496,9,1110
"MADHYA PRADESH","RATLAM",612,1198,62,519,1,2392
"MADHYA PRADESH","REWA",61,4,64,240,0,369
"MADHYA PRADESH","SAGAR",687,3,112,881,13,1696
"MADHYA PRADESH","SATNA",28,6,83,61,26,204
"MADHYA PRADESH","SEHORE",295,12,33,52,0,392
"MADHYA PRADESH","SEONI",532,42,54,175,11,814
"MADHYA PRADESH","SHAHDOL",627,77,587,409,562,2262
"MADHYA PRADESH","SHAJAPUR",280,21,70,141,0,512
"MADHYA PRADESH","SHEOPUR",404,1,1,238,0,644
"MADHYA PRADESH","SHIVPURI",1222,168,836,890,35,3151
"MADHYA PRADESH","SIDHI",27,5,35,66,8,141
"MADHYA PRADESH","TIKAMGARH",1007,2,320,241,52,1622
"MADHYA PRADESH","UJJAIN",34,41,86,123,34,318
"MADHYA PRADESH","UMARIA",154,0,86,37,1,278
"MADHYA PRADESH","VIDISHA",894,21,8,554,38,1515
"MAHARASHTRA","AHMEDNAGAR",3932,158,39,115,0,4244
"MAHARASHTRA","AKOLA",11908,564,749,6,6,13233
"MAHARASHTRA","AMRAVATI",338,51,8,13,4,414
"MAHARASHTRA","AURANGABAD",266,0,0,0,0,266
"MAHARASHTRA","BEED",1119,9,0,6,0,1134
"MAHARASHTRA","BHANDARA",444,95,10,4,1,554
"MAHARASHTRA","BULDANA",591,546,12,30,4,1183
"MAHARASHTRA","CHANDRAPUR",910,165,244,14,4,1337
"MAHARASHTRA","DHULE",573,296,26,11,10,916
"MAHARASHTRA","GADCHIROLI",4176,1060,35,42,4,5317
"MAHARASHTRA","GONDIYA",605,65,5,0,1,676
"MAHARASHTRA","HINGOLI",28,1,1,1,0,31
"MAHARASHTRA","JALGAON",186,0,0,0,0,186
"MAHARASHTRA","JALNA",30,0,0,0,0,30
"MAHARASHTRA","KOLHAPUR",122,2,1,78,0,203
"MAHARASHTRA","LATUR",1035,77,23,55,0,1190
"MAHARASHTRA","NAGPUR",287,21,0,5,0,313
"MAHARASHTRA","NANDED",231,8,9,2,0,250
"MAHARASHTRA","NANDURBAR",933,582,0,61,2,1578
"MAHARASHTRA","NASHIK",3366,1147,738,7,12,5270
"MAHARASHTRA","OSMANABAD",1136,106,23,30,2,1297
"MAHARASHTRA","PARBHANI",21,0,0,1,0,22
"MAHARASHTRA","PUNE",5271,387,2978,1269,4,9909
"MAHARASHTRA","RAIGHAR",201,23,53,4,0,281
"MAHARASHTRA","RATNAGIRI",246,48,545,384,40,1263
"MAHARASHTRA","SANGLI",2814,56,711,2,0,3583
"MAHARASHTRA","SATARA",5532,590,1217,957,0,8296
"MAHARASHTRA","SINDHUDURGA",355,62,216,29,4,666
"MAHARASHTRA","SOLAPUR",37,4,1,5,0,47
"MAHARASHTRA","THANE",53,101,25,0,0,179
"MAHARASHTRA","WARDHA",215,37,20,21,25,318
"MAHARASHTRA","WASHIM",2950,416,6,15,34,3421
"MAHARASHTRA","YAVATMAL",89,4,1,0,0,94
"MANIPUR","BISHNUPUR",0,0,21,0,0,21
"MANIPUR","CHANDEL",0,0,12,10,0,22
"MANIPUR","CHURACHANDPUR",0,1,58,21,0,80
"MANIPUR","IMPHAL EAST",0,0,16,12,0,28
"MANIPUR","IMPHAL WEST",0,0,20,17,0,37
"MANIPUR","SENAPATI",0,1,24,1,0,26
"MANIPUR","TAMENGLONG",0,0,28,11,0,39
"MANIPUR","THOUBAL",0,0,23,0,0,23
"MANIPUR","UKHRUL",0,0,36,0,0,36
"MEGHALAYA","EAST GARO HILLS",0,4,180,9,1,194
"MEGHALAYA","EAST KHASI HILLS",29,43,54,4027,0,4153
"MEGHALAYA","JAINTIA HILLS",7,59,192,1191,2,1451
"MEGHALAYA","RI BHOI",6,5,85,4654,0,4750
"MEGHALAYA","SOUTH GARO HILLS",0,64,2,29,1,96
"MEGHALAYA","WEST GARO HILLS",1,32,204,247,6,490
"MEGHALAYA","WEST KHASI HILLS",1,15,94,1163,7,1280
"MIZORAM","AIZAWL",0,4,39,1170,0,1213
"MIZORAM","CHAMPHAI",4,198,543,1921,1,2667
"MIZORAM","KOLASIB",64,191,24,151,1,431
"MIZORAM","LAWNGTLAI",2,2,0,951,0,955
"MIZORAM","LUNGLEI",20,2,5,654,0,681
"MIZORAM","MAMIT",1,2,28,256,0,287
"MIZORAM","SAIHA",1,117,0,301,0,419
"MIZORAM","SERCHHIP",0,2,516,530,1,1049
"NAGALAND","DIMAPUR",1,27,16,958,1,1003
"NAGALAND","KOHIMA",2,14,69,2709,0,2794
"NAGALAND","MOKOKCHUNG",2,0,4,1175,0,1181
"NAGALAND","MON",0,0,1,1054,0,1055
"NAGALAND","PHEK",5,3,11,3667,0,3686
"NAGALAND","TUENSANG",11,1,2,5573,3,5590
"NAGALAND","WOKHA",0,0,0,1551,0,1551
"NAGALAND","ZUNHEBOTO",32,41,2385,626,2,3086
"ORISSA","ANGUL",424,84,52,35,0,595
"ORISSA","BALASORE",19,36,49,21,4,129
"ORISSA","BARGARH",2452,389,19,24,89,2973
"ORISSA","BHADRAK",13,13,119,87,0,232
"ORISSA","BOLANGIR",843,746,124,21,351,2085
"ORISSA","BOUDH",159,159,3,4,1,326
"ORISSA","CUTTACK",201,138,77,52,0,468
"ORISSA","DEOGARH",118,84,40,63,1,306
"ORISSA","DHENKANAL",863,220,54,54,16,1207
"ORISSA","GAJAPATI",492,145,547,86,43,1313
"ORISSA","GANJAM",3448,691,328,112,7,4586
"ORISSA","JAGATSINGHPUR",3,0,3,1,0,7
"ORISSA","JAJAPUR",120,57,26,4,11,218
"ORISSA","JHARSUGUDA",194,299,17,25,0,535
"ORISSA","KALAHANDI",483,296,180,60,8,1027
"ORISSA","KANDHAMAL",138,150,168,135,9,600
"ORISSA","KENDRAPARA",0,0,2,5,0,7
"ORISSA","KEONJHAR",221,339,70,98,9,737
"ORISSA","KHURDA",337,154,36,33,6,566
"ORISSA","KORAPUT",192,194,736,468,37,1627
"ORISSA","MALKANAGIRI",420,88,45,20,1,574
"ORISSA","MAYURBHANJA",205,426,145,152,26,954
"ORISSA","NAWARANGAPUR",41,81,34,12,17,185
"ORISSA","NAYAGARH",232,250,30,10,1,523
"ORISSA","NUAPADA",343,464,15,19,7,848
"ORISSA","PURI",95,97,79,472,2,745
"ORISSA","RAYAGADA",1640,608,881,237,45,3411
"ORISSA","SAMBALPUR",291,460,45,42,5,843
"ORISSA","SONEPUR",236,157,36,0,1,430
"ORISSA","SUNDARGARH",116,69,27,24,10,246
"PONDICHERRY","KARAIKAL",15,13742,3034,0,0,16791
"PONDICHERRY","PONDICHERRY",996,1,1765,0,0,2762
"PONDICHERRY","YANAM",2,0,585,2,0,589
"PUNJAB","GURDASPUR",0,0,14,3,9,26
"PUNJAB","HOSHIARPUR",9,20,11,0,0,40
"PUNJAB","MOGA",9,11,0,0,0,20
"PUNJAB","PATIALA",20,14,0,0,0,34
"PUNJAB","ROPAR",190,2,1259,212,203,1866
"RAJASTHAN","AJMER",659,288,3,0,1,951
"RAJASTHAN","ALWAR",0,5,0,0,0,5
"RAJASTHAN","BANSWARA",65,1,29,48,0,143
"RAJASTHAN","BARAN",33,9,69,5,0,116
"RAJASTHAN","BHARATPUR",0,3,1,0,0,4
"RAJASTHAN","BHILWARA",430,41,15,4,1,491
"RAJASTHAN","BUNDI",80,2,1,1,0,84
"RAJASTHAN","CHITTORGARH",47,2,13,25,0,87
"RAJASTHAN","DAUSA",9,0,0,0,0,9
"RAJASTHAN","DHOLPUR",16,37,17,3,2,75
"RAJASTHAN","DUNGARPUR",35,0,3,2,0,40
"RAJASTHAN","JAIPUR",6,8,2,0,2,18
"RAJASTHAN","JAISALMER",0,0,1,0,0,1
"RAJASTHAN","JALORE",0,10,0,0,0,10
"RAJASTHAN","JHALAWAR",15,16,5,0,1,37
"RAJASTHAN","JHUNJHUNU",0,0,4,0,0,4
"RAJASTHAN","KAROLI",131,10,1,21,17,180
"RAJASTHAN","KOTA",17,3,5,6,1,32
"RAJASTHAN","NAGAUR",0,1,2,2,0,5
"RAJASTHAN","PALI",25,16,1,0,0,42
"RAJASTHAN","RAJSAMAND",70,2,1,0,2,75
"RAJASTHAN","SAWAI MADHOPUR",40,26,1,4,1,72
"RAJASTHAN","SIROHI",13,13,3,2,0,31
"RAJASTHAN","TONK",244,175,4,3,14,440
"RAJASTHAN","UDAIPUR",60,9,43,37,4,153
"SIKKIM","EAST",31,289,116,0,0,436
"SIKKIM","NORTH",0,49,34,0,0,83
"SIKKIM","SOUTH",0,44,233,0,0,277
"SIKKIM","WEST",3,12,265,0,0,280
"TAMIL NADU","COIMBATORE",32,7,189,100,0,328
"TAMIL NADU","CUDDALORE",856,6,44,2,0,908
"TAMIL NADU","DHARMAPURI",2051,27,191,321,9,2599
"TAMIL NADU","DINDIGUL",766,2238,512,41,0,3557
"TAMIL NADU","ERODE",155,147,339,1,204,846
"TAMIL NADU","KANCHEEPURAM",2492,48,38,0,0,2578
"TAMIL NADU","KANYAKUMARI",61,2940,193,107,0,3301
"TAMIL NADU","KARUR",303,275,493,1,0,1072
"TAMIL NADU","MADURAI",1382,385,451,271,30,2519
"TAMIL NADU","NAGAPATTINAM",1,0,0,0,0,1
"TAMIL NADU","NAMAKKAL",297,217,42,1,0,557
"TAMIL NADU","NILGIRIS",230,6,122,55,107,520
"TAMIL NADU","PERAMBALUR",1044,19,74,2,0,1139
"TAMIL NADU","PUDUKKOTTAI",1911,2812,178,1,1,4903
"TAMIL NADU","RAMANATHAPURAM",1158,505,12,8,11,1694
"TAMIL NADU","SALEM",209,57,89,0,0,355
"TAMIL NADU","SIVAGANGA",1793,2358,126,8,0,4285
"TAMIL NADU","THANJAVUR",74,44,189,1,1,309
"TAMIL NADU","THENI",114,31,154,0,0,299
"TAMIL NADU","THIRUVALLUR",2139,69,5,3,6,2222
"TAMIL NADU","THIRUVARUR",0,0,19,0,0,19
"TAMIL NADU","TIRUCHIRAPPALLI",630,253,124,14,0,1021
"TAMIL NADU","TIRUNELVELI",159,1941,312,30,15,2457
"TAMIL NADU","TIRUVANNAMALAI",2488,35,111,1,498,3133
"TAMIL NADU","TUTICORIN DISTRICT",47,340,1189,1,9,1586
"TAMIL NADU","VELLORE",1141,53,44,58,0,1296
"TAMIL NADU","VILLUPPURAM",968,295,63,87,27,1440
"TAMIL NADU","VIRUDHUNAGAR",210,433,9,0,3,655
"TRIPURA","DHALAI",2,5,1,5,0,13
"TRIPURA","NORTH TRIPURA",8,23,41,63,9,144
"TRIPURA","SOUTH TRIPURA",106,30,82,94,177,489
"TRIPURA","WEST TRIPURA",105,31,96,48,10,290
"UTTAR PRADESH","ALIGARH",0,0,39,0,0,39
"UTTAR PRADESH","ALLAHABAD",105,227,147,14,0,493
"UTTAR PRADESH","BAGHPAT",2,0,0,0,0,2
"UTTAR PRADESH","BAHARAICH",1,2,0,0,0,3
"UTTAR PRADESH","BANDA",55,64,105,0,14,238
"UTTAR PRADESH","BAREILLY",45,11,184,166,9,415
"UTTAR PRADESH","BASTI",0,5,0,0,0,5
"UTTAR PRADESH","BULAND SAHAR",0,0,14,0,0,14
"UTTAR PRADESH","CHANDAULI",20,91,0,1,0,112
"UTTAR PRADESH","CHITRAKOOT",84,59,159,131,39,472
"UTTAR PRADESH","DEORIA",9,0,1,0,0,10
"UTTAR PRADESH","FATEHPUR",0,0,31,0,0,31
"UTTAR PRADESH","GHAZIABAD",3,0,65,35,0,103
"UTTAR PRADESH","GORAKHPUR",0,0,1,0,0,1
"UTTAR PRADESH","HAMIRPUR",24,82,255,14,2,377
"UTTAR PRADESH","JALAUN",15,338,238,11,0,602
"UTTAR PRADESH","JAUNPUR",3,0,2,1,0,6
"UTTAR PRADESH","JHANSI",297,352,74,41,55,819
"UTTAR PRADESH","KANNAUJ",1,2,13,0,0,16
"UTTAR PRADESH","KANPUR DEHAT",26,1,0,0,0,27
