-----
{
 "description": "Data covers industry-wise and year-wise details of Industrial Entrepreneurs Memorandum (IEM) filed and Letters of Intent (LOI)/Direct Industrial Licenses (DIL) issued by DIPP.", 
 "file_name": "Industrywise_Investment_Intentions_1.xls", 
 "title": "Download XLS for Industry-wise Investment Proposals Received from Industrial Undertakings during August 1991 to June 2013", 
 "url": "http://data.gov.in/sites/default/files/Industrywise_Investment_Intentions_1.xls"
}
-----
"Scheduled Industries ","IEMs Filed, LOIs/DILs issued during August 1991 to December 2006 (in Nos)","%age of Total Proposals during August 1991 to December 2006","Proposed Investment during Augsut 1991 to Dec 2006 (in Rs.Cr)","%age of Total Proposed Investment during August 1991 to December 2006","IEMs Filed, LOIs/DILs issued during January 2007 to December 2007 (in Nos)","%age of Total Proposals during January 2007 to December 2007","Proposed Investment during January 2007 to December 2007 
(in Rs.Cr)","%age of Total Proposed Investment during January 2007 to December 2007","IEMs Filed, LOIs/DILs issued during January 2008 to December 2008 (in Nos)","%age of Total Proposals during January 2008 to December 2008","Proposed Investment during January 2008 to December 2008 
(in Rs.Cr)","%age of Total Proposed Investment during January 2008 to December 2008","IEMs Filed, LOIs/DILs issued during January 2009 to December 2009 (in Nos)","%age of Total Proposals during January 2009 to December 2009","Proposed Investment during January 2009 to December 2009 
(in Rs.Cr)","%age of Total Proposed Investment during January 2009 to December 2009","IEMs Filed, LOIs/DILs issued during January 2010 to December 2010 (in Nos)","%age of Total Proposals during January 2010 to December 2010","Proposed Investment during January 2010 to December 2010 
(in Rs.Cr)","%age of Total Proposed Investment during January 2010 to December 2010","IEMs Filed, LOIs/DILs issued during January 2011 to December 2011 (in Nos)","%age of Total Proposals during January 2011 to December 2011","Proposed Investment during January 2011 to December 2011 
(in Rs.Cr)","%age of Total Proposed Investment during January 2011 to December 2011","IEMs Filed, LOIs/DILs issued during January 2012 to December 2012 (in Nos)","%age of Total Proposals during January 2012 to December 2012","Proposed Investment during January 2012 to December 2012 
(in Rs.Cr)","%age of Total Proposed Investment during January 2012 to December 2012","IEMs Filed, LOIs/DILs issued during January 2013 to June 2013 (in Nos)","%age of Total Proposals during January 2013 to June 2013","Proposed Investment during January 2013 to June 2013 (in Rs.Cr)","%age of Total Proposed Investment during January 2013 to June 2013"
"21 Dye Stuffs",69.0,0.0945166636988,921.0,0.0370239051416,4.0,0.104766893662,24.0,0.00287683892938,6.0,0.146878824969,310.0,0.0203431829338,4.0,0.115107913669,231.0,0.0222060083114,9.0,0.207564575646,535.0,0.0308122571735,5.0,0.128205128205,1177.0,0.0764420728856,2.0,0.0707213578501,36.0,0.00633950143343,0.0,0.0,0.0,0.0
"22 Drugs and Pharmaceuticals",2694.0,3.69025930441,26829.0,1.07851721069,110.0,2.88108957569,3070.0,0.367995646384,108.0,2.64381884945,2878.0,0.18886348543,104.0,2.9928057554,2776.0,0.266856619361,134.0,3.09040590406,16897.0,0.973148989646,133.0,3.41025641026,6741.0,0.437804599254,105.0,3.71287128713,8291.0,1.46002239957,53.0,4.00604686319,2559.0,1.09745428346
"23 Textiles",10783.0,14.7706258647,185493.0,7.45675921437,500.0,13.0958617077,24136.0,2.89314101665,343.0,8.39657282742,11244.0,0.737866931959,326.0,9.38129496403,9200.0,0.884395136211,427.0,9.84778597786,26566.0,1.53001574593,370.0,9.48717948718,26174.0,1.69991063357,327.0,11.5629420085,14839.0,2.61310727141,163.0,12.3204837491,9080.0,3.8940542766
"24 Paper and Pulp",2164.0,2.96426174267,70392.0,2.82973586398,70.0,1.83342063908,4673.0,0.560144513209,84.0,2.05630354957,5849.0,0.383829925741,79.0,2.27338129496,6037.0,0.580336243186,77.0,1.7758302583,6272.0,0.361223321481,64.0,1.64102564103,5315.0,0.345190838901,67.0,2.36916548798,7428.0,1.30805046243,22.0,1.66288737717,1535.0,0.658301025835
"25 Sugar",3138.0,4.29845348821,154106.0,6.19501186293,80.0,2.09533787323,6942.0,0.832125660324,80.0,1.95838433293,9047.0,0.593692825812,73.0,2.10071942446,4947.0,0.475554645526,96.0,2.21402214022,7469.0,0.430162147344,126.0,3.23076923077,16735.0,1.08688028015,62.0,2.19236209335,5618.0,0.989314418139,13.0,0.98261526833,926.0,0.397124918516
"26 Fermentation Industries",1406.0,1.9259482487,26057.0,1.04748305784,117.0,3.0644316396,5171.0,0.619838920994,123.0,3.01101591187,8230.0,0.540078695306,75.0,2.15827338129,4566.0,0.438929151298,69.0,1.59132841328,3139.0,0.180784439753,112.0,2.87179487179,6644.0,0.431504785261,48.0,1.6973125884,4365.0,0.768664548804,25.0,1.88964474679,3088.0,1.32432154253
"27 Food Processing Industry",3530.0,4.83541772256,44107.0,1.77308727913,87.0,2.27867993714,2170.0,0.260114186532,123.0,3.01101591187,3967.0,0.260327118382,157.0,4.51798561151,6996.0,0.672524823145,204.0,4.70479704797,8392.0,0.483320490093,147.0,3.76923076923,10638.0,0.690901250091,143.0,5.05657708628,7022.0,1.23655497404,85.0,6.42479213908,4286.0,1.8380965451
"28 Vegetable Oil & Vanaspathi",2743.0,3.75737983371,23854.0,0.958923163136,56.0,1.46673651126,1419.0,0.1700931017,132.0,3.23133414933,2927.0,0.192079020797,114.0,3.28057553957,3694.0,0.35510387317,93.0,2.14483394834,3802.0,0.218968601446,78.0,2.0,3475.0,0.22568921264,36.0,1.2729844413,1064.0,0.18736748681,18.0,1.36054421769,1139.0,0.488472226987
"29 Soaps, Cosmetics & Toiletries",560.0,0.767091763352,8241.0,0.331285561642,24.0,0.62860136197,657.0,0.0787534656919,21.0,0.514075887393,629.0,0.0412769744043,28.0,0.805755395683,1626.0,0.156307227335,27.0,0.622693726937,2886.0,0.166213409725,21.0,0.538461538462,2380.0,0.154572755708,19.0,0.671852899576,2106.0,0.370860833856,6.0,0.453514739229,615.0,0.263749270937
"30 Rubber Goods",757.0,1.03694368725,16415.0,0.659877744734,37.0,0.96909376637,1197.0,0.143482341603,32.0,0.78335373317,3048.0,0.200019424459,28.0,0.805755395683,2118.0,0.203603141141,37.0,0.85332103321,5819.0,0.33513369064,41.0,1.05128205128,8292.0,0.538536676608,28.0,0.990099009901,1987.0,0.349905259673,19.0,1.43613000756,4839.0,2.07525645864
"31 Leather",523.0,0.716408914702,4723.0,0.18986308793,19.0,0.497642744893,266.0,0.0318849648007,6.0,0.146878824969,106.0,0.00695605609994,7.0,0.201438848921,106.0,0.0101897700477,12.0,0.276752767528,161.0,0.00927247365408,10.0,0.25641025641,474.0,0.0307846580695,4.0,0.1414427157,26.0,0.00457852881303,5.0,0.377928949358,168.0,0.0720485813291
"32 Glue and Gelatin",74.0,0.1013656973,865.0,0.03477272307,1.0,0.0261917234154,0.0,0.0,3.0,0.0734394124847,27.0,0.00177182561036,2.0,0.0575539568345,27.0,0.00259550746497,4.0,0.0922509225092,19.0,0.00109426707719,1.0,0.025641025641,16.0,0.00103914457618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"33 Glass",358.0,0.490390805857,12001.0,0.482436357877,12.0,0.314300680985,957.0,0.114713952309,22.0,0.538555691554,2702.0,0.177313807378,27.0,0.776978417266,558.0,0.0536404876093,21.0,0.484317343173,1670.0,0.0961803167846,26.0,0.666666666667,5610.0,0.364350067025,11.0,0.388967468175,211.0,0.0371565222904,5.0,0.377928949358,360.0,0.154389817134
"34 Ceramics",537.0,0.735586208786,7560.0,0.303909579664,47.0,1.23101100052,3106.0,0.372310904778,43.0,1.05263157895,2375.0,0.155855030541,17.0,0.489208633094,818.0,0.0786342631979,65.0,1.49907749077,1238.0,0.0713001390295,53.0,1.35897435897,2115.0,0.137361923664,21.0,0.742574257426,1628.0,0.286686342601,6.0,0.453514739229,177.0,0.0759083267575
"35 Cement and Gypsum",1516.0,2.07662698793,125673.0,5.05201436576,214.0,5.6050288109,72883.0,8.7363604871,204.0,4.99388004896,120877.0,7.93233201125,143.0,4.11510791367,52366.0,5.03393866335,158.0,3.64391143911,98410.0,5.6677275298,135.0,3.46153846154,73681.0,4.78532571987,94.0,3.32390381895,38268.0,6.73889002374,33.0,2.49433106576,17797.0,7.63243215425
"36 Timber Products",155.0,0.212320041642,2895.0,0.116378073165,4.0,0.104766893662,105.0,0.0125861703161,8.0,0.195838433293,622.0,0.0408176122091,2.0,0.0575539568345,96.0,0.00922847098655,4.0,0.0922509225092,122.0,0.00702634649564,3.0,0.0769230769231,488.0,0.0316939095736,4.0,0.1414427157,469.0,0.0825896158967,2.0,0.151171579743,1182.0,0.506913232923
"37 Defence Industries",50.0,0.0684903360136,3603.0,0.144839446499,38.0,0.995285489785,1047.0,0.125502098294,54.0,1.32190942472,353.0,0.0231649792762,6.0,0.172661870504,396.0,0.0380674428195,31.0,0.714944649446,4520.0,0.260320378363,26.0,0.666666666667,1970.0,0.127944675943,1.0,0.035360678925,37.0,0.00651559869547,13.0,0.98261526833,218.0,0.0934916114866
"38 Misc.Industry",777.0,1.06433982165,7293.0,0.293176265144,58.0,1.51911995809,1541.0,0.184717032924,41.0,1.00367197062,1017.0,0.0667387646569,36.0,1.03597122302,424.0,0.0407590801906,40.0,0.922509225092,573.0,0.0330007913279,44.0,1.12820512821,3503.0,0.227507715648,32.0,1.1315417256,487.0,0.0857593666134,17.0,1.28495842782,236.0,0.101211102343
"Others",6219.0,8.51882799337,197914.0,7.95607943778,371.0,9.71712938711,68109.0,8.16410927673,529.0,12.9498164015,206860.0,13.5748091022,442.0,12.7194244604,95534.0,9.18367445031,599.0,13.8145756458,79795.0,4.59563375918,651.0,16.6923076923,215274.0,13.9813005934,591.0,20.8981612447,50355.0,8.86737763001,294.0,22.2222222222,23188.0,9.94441966583
"Total",73003.0,100.0,2487582.0,100.0,3818.0,100.0,834249.0,100.0,4085.0,100.0,1523852.0,100.0,3475.0,100.0,1040259.0,100.0,4336.0,100.0,1736322.0,100.0,3900.0,100.0,1539728.0,100.0,2828.0,100.0,567868.0,100.0,1323.0,100.0,233176.0,100.0
