-----
{
 "description": "This dataset contains the list of certified varieties of horticulture crops  released during 2002-2009. The crops include  vegetable crops, fruits, floriculture crops, tuber crops, medicinal crops, aromatic crops, seed spices, spices and plantation crops.", 
"Nutmeg","IISR Viswashree","NA","NA","IISR Viswashree","NA","NA","NA","NA"
"Ajowan","NA","NA","Ajmer Ajowan-1","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","(AA-1)","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","Ajmer Ajowan-2","NA","NA","NA","NA","NA"
"Ajowan","NA","NA","(AA-2)","NA","NA","NA","NA","NA"
"Dill","NA","NA","Ajmer Dill-1 (AD-1)","NRCSS AD -1","NA","NA","NA","NA"
"Dill","NA","NA","Ajmer Dill-2(AD-2)","NRCSS AD- 2","NA","NA","NA","NA"
"Dill","NA","NA","NA","NA","NA","NA","NA","NA"
"Nigella","NA","NA","Ajmer Nigella-1(AN-1)","NRCSS AA-1","NA","NA","NA","NA"
"Nigella","NA","NA","NA","NRCSS AA-2","NA","NA","NA","NA"
"Nigella","NA","NA","NA","NRCSS AN-1","NA","NA","NA","NA"
"Fennel","NA","NA","Hisar Swarup","NRCSS AF 1","RF-178 (UfF-178)","RF-178","NA","NA"
"Fennel","NA","NA","Gujrat fennel-11","NA","NA","RF-143","NA","NA"
"Fenugreek","NA","NA","NA","NA","RMt-351","NA","NA","NA"
"Fenugreek","NA","NA","RMt. 305","NRCSS AM 1","(UM-351)","RMt-351","NA","NA"
"Fenugreek","NA","NA","NA","NRCSS AM 2","Gujarat Methi-2","RMt-3005","NA","NA"
"Fenugreek","NA","NA","NA","NA","(J.Fenu-244)","NA","NA","NA"
"Coriander","NA","NA","Hisar Surabhi","NRCSS ACr 1","RCr-480","Hisar Surabhi","Hisar Bhoomit","NA"
"Coriander","NA","NA","NA","NA","(UD-480)","RCr-480","NA","NA"
"Coriander","NA","NA","NA","NA","Hisar Surabhi","NA","NA","NA"
"Coriander","NA","NA","NA","NA","(DH-246)","NA","NA","NA"
"Coriander","NA","NA","NA","NA","Sudha (LCC-128)","NA","NA","NA"
"Cumin","NA","NA","NA","NA","RZ-341 (UC-341)","Sudha","NA","NA"
"Cumin","NA","NA","RZ-223","NA","Gujarat Cumin-4","RZ-341","NA","NA"
"Cumin","NA","NA","NA","NA","(JC-2000-72)","RZ-223","NA","NA"
"Black pepper","NA","NA","IISR Thevam","NA","IISR Thevam","NA","NA","NA"
"Black pepper","NA","NA","IISR Girimunda","NA","IISR Girimunda","NA","NA","NA"
"Black pepper","NA","NA","P-24","NA","IISR Malabar","NA","NA","NA"
"Black pepper","NA","NA","IISR Malabar Excel","NA","Excel","NA","NA","NA"
"Anise","NA","NA","NA","NA","NRCSS Aani-1","NA","NA","NA"
"Celery","NA","NA","NA","NA","NRCSS Acel-1","NA","NA","NA"
"Cardamom (Small)","NA","NA","NA","NA","IISR Shakthi","ICRI-5","NA","NA"
"Cardamom (Small)","NA","NA","NA","NA","ICRI-6 (MCC-73)","ICRI-6","NA","NA"
"Apple","NA","NA","NA","NA","NA","Sweet Red","Shalimar","NA"
"Apple","NA","NA","NA","NA","NA","Satai Gold","Apple-1","NA"
"Apple","NA","NA","NA","NA","NA","NA","Apple-2","NA"
"Apple","NA","NA","NA","NA","NA","NA","Shalimar","NA"
"Mango","Pusa Arunima","NA","NA","NA","NA","NA","NA","NA"
"Mango","Pusa Surya","NA","NA","NA","NA","NA","NA","NA"
"Guava","NA","NA","NA","Shweta","NA","NA","NA","NA"
"Banana","NA","NA","NA","Udhayam","NA","NA","NA","NA"
"Grapes","NA","NA","NA","NA","NA","NA","Red Globe","NA"
"Grapes","NA","NA","NA","NA","Clonal sélection A- 17/3","NA","Manjari Naveen","NA"
"Ber","NA","NA","NA","NA","Thar sevika","Thar Bhubhraj","NA","NA"
"Anola","NA","NA","NA","NA","Goma Aishwarya","NA","NA","NA"
"Citrus-Acid-Lime","NA","NA","NA","NA","Khagzi lime","NA","NA","NA"
"Citrus-Acid-Lime","NA","NA","NA","NA","Clone-PDKV","NA","NA","NA"
"Walnut","NA","NA","NA","NA","Balaji","KN-5","NA","NA"
"Walnut","NA","NA","NA","NA","NA","SH-23","NA","NA"
"Walnut","NA","NA","NA","NA","NA","Sarwari","NA","NA"
"Walnut","NA","NA","NA","NA","NA","SR-11","NA","NA"
"Walnut","NA","NA","NA","NA","NA","K-12","NA","NA"
"Apricot","NA","NA","NA","NA","NA","EMA Selection","NA","NA"
"Nectarine","NA","NA","NA","NA","NA","Silver King","NA","NA"
"Betel -Vine","Ghanagatte, DPB-6","NA","NA","NA","NA","NA","NA","NA"
"Safed musli","NA","NA","Jawahar","INGR No. 04113","NA","NA","NA","NA"
"Safed musli","NA","NA","NA","INGR No.4114","NA","NA","NA","NA"
"Safed musli","NA","NA","NA","NA","NA","NA","NA","NA"
"Catharanthus","Roaseus","NA","NA","NA","NA","NA","NA","NA"
"Catharanthus","Periwinkle Prabhat","NA","NA","NA","NA","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06023","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06024","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","Gilo (Tinospora cordifolia)","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","INGR No. 06025","NA","NA","NA"
"Aloe vera","NA","NA","NA","NA","Isabgol GI-3","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Goutam","ISGP-4","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sourin","IGSP-17","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Kishan","RNSP-3","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Bidhan","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Jagannath (90/101)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Bisra","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sakarkand – 1(90-704)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Indira","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sakarkand – 1","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","(IB-90-15-9)","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","NDSP-10","NA","NA","NA","NA"
"Sweet Potato","NA","NA","NA","Sree kanaka (80/168)","NA","NA","NA","NA"
"Elephant foot yam","NA","NA","NA","NA","NDA-9","NA","NA","NA"
"Yams","NA","NA","NA","Orissa Elite","NA","NA","NA","NA"
"Cassava","NA","NA","NA","NA","Sree Prakash","NA","NA","NA"
"Cassava","NA","NA","NA","NA","Sree Vijaya","NA","NA","NA"
"Greater Yam","NA","NA","NA","Sree Karthika - (DA-199)","NA","NA","NA","NA"
"Greater Yam","NA","NA","NA","Orissa Elite","NA","NA","NA","NA"
"Aroids","NA","NA","NA","Pani saru-1","Sree Athira","NA","NA","NA"
"Aroids","NA","NA","NA","Pani saru-2","NA","NA","NA","NA"
"Arvi","NA","NA","NA","Ahinakatchu","PKS-1","NA","NA","NA"
"Arvi","NA","NA","NA","Indira Arvi-1 - (BKCOL-2)","RNCA-1","NA","NA","NA"
"Arvi","NA","NA","NA","NA","BKCOL-2","NA","NA","NA"
"Arvi","NA","NA","NA","Kadma Arvi","Sonajuli and Jhankri","NA","NA","NA"
"Arvi","NA","NA","NA","Sree Kiran (H-4)","NA","NA","NA","NA"
"Bunda","NA","NA","NA","NDB-3","NA","NA","NA","NA"
"Bunda","NA","NA","NA","NDB-21","NA","NA","NA","NA"
"Carnation","NA","NA","NA","NA","NA","NA","Arka Flame","NA"
"Tuberose","NA","NA","NA","Phule Rajani","NA","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Anmol","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Royal Purple","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Yellow Delight","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Garden Beauty","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Winter Queen","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Autumm Joy","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Mini Queen","NA","NA","NA"
"Chrysanthemum","NA","NA","NA","NA","Rangoli","NA","NA","NA"
"Gladiolus","NA","NA","NA","NA","Urvashi","NA","NA","NA"
"Gladiolus","NA","NA","NA","NA","Neelima","NA","NA","NA"
"Arecanut","NA","NA","NA","NA","VTL AH-1","NA","NA","NA"
"Cocoa","NA","NA","NA","NA","VTL CH-4","NA","NA","NA"
