-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Social status. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.4.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Social status", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.4.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,TANDUR,76,27,115,218
ANDHRA PRADESH,ADILABAD,TIRYANI,24,149,11,184
ANDHRA PRADESH,ADILABAD,UTNUR,138,431,199,768
ANDHRA PRADESH,ADILABAD,VEMANPALLE,62,45,127,234
ANDHRA PRADESH,ADILABAD,WANKDI,47,48,45,140
ANDHRA PRADESH,ANANTHAPUR,AGALI,82,9,864,955
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,14,12,922,948
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,30,8,477,515
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,15,3,598,616
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,133,50,533,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,30,24,555,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,31,17,398,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,3,0,226,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,24,25,626,675
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,11,30,863,904
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,136,74,1606,1816
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,47,13,721,781
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,75,36,1172,1283
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,22,0,589,611
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,84,45,1522,1651
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,34,35,722,791
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,41,5,674,720
ANDHRA PRADESH,ANANTHAPUR,GOOTY,33,23,429,485
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,17,56,1145,1218
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,54,9,581,644
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,37,2,668,707
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,7,13,513,533
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,49,5,889,943
ANDHRA PRADESH,ANANTHAPUR,KADIRI,23,39,566,628
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,108,52,837,997
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,85,54,664,803
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,52,12,830,894
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,2,0,184,186
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,44,28,1364,1436
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,55,29,723,807
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,35,32,639,706
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,80,0,511,591
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,123,11,1344,1478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,50,30,1189,1269
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,29,4,506,539
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,58,41,921,1020
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,13,25,895,933
ANDHRA PRADESH,ANANTHAPUR,NARPALA,103,5,1722,1830
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,31,15,1096,1142
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,12,7,348,367
ANDHRA PRADESH,ANANTHAPUR,PARIGI,99,5,621,725
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,5,0,372,377
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,1,0,28,29
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,81,45,1112,1238
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,53,0,1623,1676
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,33,36,752,821
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,28,4,502,534
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,34,2,588,624
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,31,43,645,719
ANDHRA PRADESH,ANANTHAPUR,RODDAM,48,11,750,809
ANDHRA PRADESH,ANANTHAPUR,ROLLA,38,9,791,838
ANDHRA PRADESH,ANANTHAPUR,SETTUR,57,2,653,712
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,87,29,1003,1119
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,81,21,625,727
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,54,6,1024,1084
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,25,27,734,786
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,31,48,1137,1216
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,73,43,995,1111
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,9,5,551,565
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,8,35,265,308
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,7,3,187,197
ANDHRA PRADESH,ANANTHAPUR,YADIKI,47,0,480,527
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,54,0,997,1051
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,22,5,546,573
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,347,70,2612,3029
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,341,47,2991,3379
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,89,13,490,592
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,89,51,2620,2760
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,195,12,1261,1468
ANDHRA PRADESH,CHITTOOR,CHITTOOR,273,21,2274,2568
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,179,4,1470,1653
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,577,35,3480,4092
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,207,44,1923,2174
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,36,0,880,916
ANDHRA PRADESH,CHITTOOR,GUDIPALA,243,14,2335,2592
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,57,17,1589,1663
ANDHRA PRADESH,CHITTOOR,IRALA,164,124,2467,2755
ANDHRA PRADESH,CHITTOOR,K V P PURAM,115,25,1083,1223
ANDHRA PRADESH,CHITTOOR,KALAKADA,97,18,1763,1878
ANDHRA PRADESH,CHITTOOR,KALIKIRI,63,28,1268,1359
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,140,37,2477,2654
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,237,20,1973,2230
ANDHRA PRADESH,CHITTOOR,KUPPAM,179,1,2353,2533
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,20,9,944,973
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,53,26,994,1073
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,49,12,804,865
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,86,27,852,965
ANDHRA PRADESH,CHITTOOR,NAGARI,38,39,1560,1637
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,74,6,722,802
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,65,16,938,1019
ANDHRA PRADESH,CHITTOOR,NINDRA,71,8,1261,1340
ANDHRA PRADESH,CHITTOOR,PAKALA,109,21,2139,2269
ANDHRA PRADESH,CHITTOOR,PALAMANER,167,66,1774,2007
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,258,5,1465,1728
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,176,21,1568,1765
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,29,15,959,1003
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,97,13,1123,1233
ANDHRA PRADESH,CHITTOOR,PENUMURU,139,36,2371,2546
ANDHRA PRADESH,CHITTOOR,PICHATUR,79,1,1021,1101
ANDHRA PRADESH,CHITTOOR,PILERU,57,14,1591,1662
ANDHRA PRADESH,CHITTOOR,PULICHERLA,57,9,1423,1489
ANDHRA PRADESH,CHITTOOR,PUNGANUR,172,54,1428,1654
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,124,9,2860,2993
ANDHRA PRADESH,CHITTOOR,PUTTUR,255,47,1482,1784
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,153,223,1478,1854
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,39,5,1958,2002
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,137,6,1381,1524
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,62,25,1135,1222
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,63,18,863,944
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,30,14,1044,1088
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,255,6,1198,1459
ANDHRA PRADESH,CHITTOOR,SODAM,163,17,2355,2535
ANDHRA PRADESH,CHITTOOR,SOMALA,97,19,1965,2081
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,188,61,1360,1609
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,226,29,1783,2038
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,28,23,999,1050
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,205,6,2935,3146
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,229,11,1173,1413
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,89,1,1841,1931
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,3,4,189,196
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,95,7,1769,1871
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,155,25,607,787
ANDHRA PRADESH,CHITTOOR,VAYALPAD,157,17,1104,1278
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,379,17,2793,3189
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,212,40,2397,2649
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,66,1,1460,1527
ANDHRA PRADESH,CHITTOOR,YADAMARI,159,7,2227,2393
ANDHRA PRADESH,CHITTOOR,YERPEDU,183,49,1334,1566
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,63,19,617,699
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,101,9,601,711
ANDHRA PRADESH,CUDDAPAH,ATLUR,100,14,1016,1130
ANDHRA PRADESH,CUDDAPAH,B KODUR,48,1,651,700
ANDHRA PRADESH,CUDDAPAH,BADVEL,66,1,581,648
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,99,2,730,831
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,73,24,1072,1169
ANDHRA PRADESH,CUDDAPAH,CHAPAD,14,3,267,284
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,127,127
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,62,8,1499,1569
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,99,9,913,1021
ANDHRA PRADESH,CUDDAPAH,CHITVEL,31,2,528,561
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,3,1,207,211
ANDHRA PRADESH,CUDDAPAH,DUVVUR,30,13,881,924
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,48,60,2167,2275
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,42,5,473,520
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,24,7,268,299
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,62,0,538,600
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,20,4,487,511
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,71,10,500,581
ANDHRA PRADESH,CUDDAPAH,KODUR,46,33,1167,1246
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,2,0,63,65
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,26,51,1509,1586
ANDHRA PRADESH,CUDDAPAH,LINGALA,7,3,720,730
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,22,9,407,438
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,56,15,495,566
ANDHRA PRADESH,CUDDAPAH,NANDALUR,24,6,568,598
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,56,6,1216,1278
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,1,1,129,131
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,11,8,245,264
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,44,0,316,360
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,200,10,1492,1702
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,6,1,88,95
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,11,6,564,581
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,75,4,1190,1269
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,51,36,1316,1403
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,13,1,63,77
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,70,14,852,936
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,97,20,1776,1893
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,64,18,1183,1265
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,124,31,1637,1792
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,46,6,647,699
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,5,7,646,658
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,114,63,1339,1516
ANDHRA PRADESH,CUDDAPAH,THANDUR,37,17,515,569
ANDHRA PRADESH,CUDDAPAH,VALLUR,39,7,474,520
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,52,31,991,1074
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,33,6,453,492
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,18,8,584,610
ANDHRA PRADESH,CUDDAPAH,VEMULA,22,1,671,694
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,103,10,1460,1573
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,220,220
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,0,1
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,0,0,7,7
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,0,16,16
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,76,1,21,98
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,21,0,99,120
ANDHRA PRADESH,EAST GODAVARI,KARAPA,1,0,1,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,17,9,105,131
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,21,1,160,182
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,0,0,26,26
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,31,1,74,106
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,8,0,161,169
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,1,0,10,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,0,0,16,16
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,232,232
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,10,3,325,338
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,0,0,19,19
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,5,0,68,73
ANDHRA PRADESH,EAST GODAVARI,TUNI,29,17,562,608
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,3,0,0,3
ANDHRA PRADESH,GUNTUR,ACHAMPETA,62,19,467,548
ANDHRA PRADESH,GUNTUR,AMARAVATHI,249,8,490,747
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,0,4,4
ANDHRA PRADESH,GUNTUR,BAPATLA,41,4,3061,3106
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,80,96,98,274
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,0,2,30,32
ANDHRA PRADESH,GUNTUR,CHEBROLE,108,0,679,787
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,17,3,1094,1114
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,47,25,396,468
ANDHRA PRADESH,GUNTUR,DACHEPALLE,10,2,28,40
ANDHRA PRADESH,GUNTUR,EDLAPADU,25,5,244,274
ANDHRA PRADESH,GUNTUR,GUNTUR,15,0,27,42
ANDHRA PRADESH,GUNTUR,GURAZALA,0,0,13,13
ANDHRA PRADESH,GUNTUR,IPURU,35,11,104,150
ANDHRA PRADESH,GUNTUR,KAREMPUDI,7,0,19,26
ANDHRA PRADESH,GUNTUR,KARLAPALEM,70,8,1411,1489
ANDHRA PRADESH,GUNTUR,KROSURU,44,4,281,329
ANDHRA PRADESH,GUNTUR,MACHAVARAM,3,3,52,58
ANDHRA PRADESH,GUNTUR,MACHERLA,28,68,63,159
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,62,2,185,249
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,0,2,51,53
ANDHRA PRADESH,GUNTUR,MUPPALLA,23,0,173,196
ANDHRA PRADESH,GUNTUR,NADENDLA,36,0,98,134
ANDHRA PRADESH,GUNTUR,NAGARAM,13,0,295,308
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,20,11,29,60
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,121,1,194,316
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,3,2,128,133
ANDHRA PRADESH,GUNTUR,NUZENDLA,34,4,38,76
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,2,0,68,70
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,15,1,280,296
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,16,0,53,69
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,25,3,27,55
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,30,1,719,750
ANDHRA PRADESH,GUNTUR,PRATHIPADU,2,1,11,14
ANDHRA PRADESH,GUNTUR,RAJUPALEM,61,11,42,114
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,1,0,22,23
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,34,2,135,171
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,13,0,45,58
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,0,0,15,15
ANDHRA PRADESH,GUNTUR,TADIKONDA,9,0,31,40
ANDHRA PRADESH,GUNTUR,THADEPALLE,0,1,115,116
ANDHRA PRADESH,GUNTUR,THULLUR,17,1,45,63
ANDHRA PRADESH,GUNTUR,VELDURTHI,33,124,94,251
ANDHRA PRADESH,GUNTUR,VINUKONDA,25,1,9,35
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,671,66,5137,5874
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,771,807,4087,5665
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,611,22,3150,3783
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,531,104,3752,4387
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,360,100,3793,4253
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,586,9,3229,3824
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,397,41,3483,3921
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,447,252,2096,2795
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,163,15,1189,1367
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,570,50,2693,3313
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,540,29,4119,4688
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,140,30,862,1032
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,498,16,4662,5176
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,349,97,2896,3342
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,711,965,5472,7148
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,488,11,4530,5029
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,316,48,3256,3620
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,376,14,4961,5351
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,689,45,5973,6707
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,74,3,851,928
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,318,21,3908,4247
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,359,13,1567,1939
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,617,148,3973,4738
ANDHRA PRADESH,KARIMNAGAR,KATARAM,161,17,454,632
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,355,67,3896,4318
ANDHRA PRADESH,KARIMNAGAR,KESAVAPATNAM,368,26,3870,4264
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,772,24,3794,4590
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,468,102,3345,3915
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,571,116,2523,3210
ANDHRA PRADESH,KARIMNAGAR,KORATLA,331,13,2945,3289
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,37,24,369,430
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,123,61,561,745
ANDHRA PRADESH,KARIMNAGAR,MALLAPUR,459,174,3444,4077
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,611,16,4623,5250
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,559,181,5402,6142
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,148,21,926,1095
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,547,43,4706,5296
ANDHRA PRADESH,KARIMNAGAR,METPALLE,531,211,2684,3426
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,463,288,2448,3199
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,48,42,276,366
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,95,16,1694,1805
ANDHRA PRADESH,KARIMNAGAR,ODELA,238,19,3373,3630
ANDHRA PRADESH,KARIMNAGAR,PEDDAPALLE,328,62,3257,3647
ANDHRA PRADESH,KARIMNAGAR,PEGADAPALLE,202,40,3363,3605
ANDHRA PRADESH,KARIMNAGAR,RAIKAL,286,255,3311,3852
ANDHRA PRADESH,KARIMNAGAR,RAMADUGU,516,13,4035,4564
ANDHRA PRADESH,KARIMNAGAR,RAMAGUNDAM,185,26,1221,1432
ANDHRA PRADESH,KARIMNAGAR,SAIDAPUR,523,140,4120,4783
ANDHRA PRADESH,KARIMNAGAR,SARANGAPUR,412,274,2466,3152
ANDHRA PRADESH,KARIMNAGAR,SIRSILLA,603,20,3263,3886
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,157,10,2099,2266
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,290,18,3816,4124
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,615,34,5870,6519
ANDHRA PRADESH,KARIMNAGAR,VEENAVANKA,445,19,3872,4336
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,585,5,3019,3609
