-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.13.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.13.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. of constraints in utilisation,Constraints in utilisation - Non-filling up of storage,Constraints in utilisation - Siltation of storage,Constraints in utilisation - Breakdown of channel,Constraints in utilisation - Other reason,Total
ANDHRA PRADESH,ANANTHAPUR,YADIKI,1,1,0,0,0,2
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,0,0,0,4,0,4
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,0,4,0,0,0,4
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,4,136,0,8,3,151
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,0,37,0,0,0,37
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,82,0,0,0,0,82
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,0,6,0,0,0,6
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,2,0,0,0,2
ANDHRA PRADESH,CHITTOOR,CHITTOOR,5,58,0,0,0,63
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,3,112,0,0,0,115
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,7,179,0,0,0,186
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,0,0,1,171,0,172
ANDHRA PRADESH,CHITTOOR,GUDIPALA,0,6,0,0,0,6
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,IRALA,3,73,0,0,0,76
ANDHRA PRADESH,CHITTOOR,K V P PURAM,1,86,2,3,0,92
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,12,0,0,0,12
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KUPPAM,38,0,0,108,0,146
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,142,0,0,0,142
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,2,0,4,146,152
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,4,0,1,0,5
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,30,0,0,0,30
ANDHRA PRADESH,CHITTOOR,NAGARI,20,6,0,1,0,27
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,23,0,0,0,23
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,25,135,0,0,0,160
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,116,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PALAMANER,47,0,0,59,0,106
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,1,30,4,3,38
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,1,9,0,250,0,260
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,124,0,0,0,124
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,3,0,0,0,3
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,0,2,0,2
ANDHRA PRADESH,CHITTOOR,PICHATUR,5,0,0,27,0,32
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,0,0,37,37
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,201,0,0,0,201
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,208,2,2,1,213
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,58,0,0,38,96
ANDHRA PRADESH,CHITTOOR,PUTTUR,1,27,0,1,0,29
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,16,41,0,63,0,120
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,33,8,0,0,0,41
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,206,0,0,1,0,207
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,39,4,0,3,0,46
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,0,3,0,3
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,0,0,0,0,1,1
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,59,37,0,16,0,112
ANDHRA PRADESH,CHITTOOR,SODAM,0,282,5,3,0,290
ANDHRA PRADESH,CHITTOOR,SOMALA,0,184,0,0,0,184
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,24,77,1,2,1,105
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,0,44,0,44
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,8,110,6,12,0,136
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,12,81,0,2,0,95
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,3,0,0,0,3
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,1,9,0,0,0,10
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,36,19,0,1,1,57
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,19,53,0,1,0,73
ANDHRA PRADESH,CHITTOOR,VAYALPAD,58,71,0,0,0,129
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,111,0,0,0,111
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,0,2,0,0,0,2
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,YADAMARI,3,55,1,0,0,59
ANDHRA PRADESH,CHITTOOR,YERPEDU,0,88,0,1,0,89
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,0,48,0,2,0,50
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,0,1,0,0,1,2
ANDHRA PRADESH,CUDDAPAH,ATLUR,4,5,0,23,0,32
ANDHRA PRADESH,CUDDAPAH,B KODUR,0,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,0,10,3,14,0,27
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,11,0,0,4,0,15
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,1,0,0,11,24,36
ANDHRA PRADESH,CUDDAPAH,CHENNUR,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,1,28,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,6,5,2,0,0,13
ANDHRA PRADESH,CUDDAPAH,CHITVEL,0,0,0,1,1,2
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,0,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,2,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,4,0,2,20,4,30
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,7,2,6,12,1,28
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,59,3,3,1,0,66
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,0,15,0,0,0,15
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,4,0,0,0,0,4
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,0,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,KODUR,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,21,43,0,6,0,70
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,2,17,0,0,0,19
ANDHRA PRADESH,CUDDAPAH,NANDALUR,0,5,1,13,0,19
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,1,2,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,20,46,0,5,0,71
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,0,37,0,0,0,37
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,0,0,0,0,33,33
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,93,15,0,1,0,109
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,14,27,40,39,0,120
ANDHRA PRADESH,CUDDAPAH,THANDUR,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VALLUR,0,0,1,1,0,2
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,0,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,0,0,0,1,0,1
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,3,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,VEMULA,52,0,1,5,1,59
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,2,0,0,2,5,9
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,0,0,0,2,0,2
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,21,13,0,0,0,34
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,18,0,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,25,4,0,0,0,29
ANDHRA PRADESH,EAST GODAVARI,DEVIPATNAM,53,0,0,0,0,53
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,0,18,0,0,0,18
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,40,0,38,0,0,78
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,95,10,11,0,0,116
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,22,1,0,27,0,50
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,102,0,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,KADIAM,8,0,0,0,0,8
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,6,0,0,0,0,6
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,10,95,5,0,0,110
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,90,0,0,0,0,90
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,30,0,0,0,0,30
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,52,0,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,61,22,6,0,0,89
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),17,0,0,0,0,17
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,200,0,2,0,0,202
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,35,50,0,0,0,85
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,3,0,0,0,24,27
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,44,97,1,0,1,143
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,14,0,3,0,9,26
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,80,3,7,0,0,90
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,3,18,1,0,0,22
ANDHRA PRADESH,EAST GODAVARI,TUNI,101,1,0,0,0,102
ANDHRA PRADESH,EAST GODAVARI,Y RAMAVARAM,28,0,0,1,11,40
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,24,0,0,0,0,24
ANDHRA PRADESH,GUNTUR,ACHAMPETA,1,0,1,0,2,4
ANDHRA PRADESH,GUNTUR,AMARAVATHI,4,0,1,1,0,6
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,5,0,1,0,0,6
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,9,0,7,0,0,16
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,DURGI,1,0,2,0,0,3
ANDHRA PRADESH,GUNTUR,EDLAPADU,2,0,1,0,2,5
ANDHRA PRADESH,GUNTUR,GUNTUR,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,IPURU,3,0,7,0,4,14
ANDHRA PRADESH,GUNTUR,KAREMPUDI,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,KROSURU,2,1,3,0,0,6
ANDHRA PRADESH,GUNTUR,MACHAVARAM,4,4,1,4,1,14
ANDHRA PRADESH,GUNTUR,MACHERLA,0,0,0,2,0,2
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,MUPPALLA,1,0,1,0,0,2
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,6,0,0,0,0,6
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,11,0,0,0,0,11
ANDHRA PRADESH,GUNTUR,NUZENDLA,2,0,0,9,0,11
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,2,0,1,1,0,4
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,0,0,1,0,0,1
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,2,1,0,0,1,4
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,7,0,0,0,0,7
ANDHRA PRADESH,GUNTUR,PRATHIPADU,6,0,0,0,1,7
ANDHRA PRADESH,GUNTUR,RAJUPALEM,0,0,0,0,1,1
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,10,0,0,0,0,10
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,0,1,1,0,0,2
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,10,0,0,0,0,10
ANDHRA PRADESH,GUNTUR,TADIKONDA,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,THADEPALLE,0,0,0,0,0,0
ANDHRA PRADESH,GUNTUR,THULLUR,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,1,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,VELDURTHI,0,0,2,0,0,2
ANDHRA PRADESH,GUNTUR,VINUKONDA,8,0,0,0,0,8
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,0,1,0,1,0,2
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,4,0,0,0,4
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,0,13,0,0,0,13
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,51,27,0,0,0,78
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,64,40,0,0,0,104
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,50,5,0,0,0,55
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,0,4,0,0,0,4
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,0,8,0,0,0,8
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,2,2,0,0,0,4
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,0,5,0,0,0,5
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,17,1,0,0,5,23
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,1,28,0,0,0,29
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,0,19,5,0,0,24
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,106,41,0,2,0,149
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,24,0,0,0,0,24
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,14,69,0,0,0,83
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,4,8,0,24,10,46
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,0,0,0,2,0,2
ANDHRA PRADESH,KARIMNAGAR,KATARAM,32,42,2,0,0,76
ANDHRA PRADESH,KARIMNAGAR,KATHLAPUR,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,KESAVAPATNAM,47,34,0,0,14,95
ANDHRA PRADESH,KARIMNAGAR,KODIMIAL,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,KOHEDA,0,1,0,0,0,1
ANDHRA PRADESH,KARIMNAGAR,KONARAOPETA,0,1,0,0,3,4
ANDHRA PRADESH,KARIMNAGAR,KORATLA,1,16,0,10,1,28
ANDHRA PRADESH,KARIMNAGAR,MAHADEVPUR,23,3,0,0,0,26
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,30,17,3,0,4,54
ANDHRA PRADESH,KARIMNAGAR,MALLAPUR,4,44,1,1,0,50
ANDHRA PRADESH,KARIMNAGAR,MALLIAL,4,3,0,0,0,7
ANDHRA PRADESH,KARIMNAGAR,MANAKONDUR,23,3,0,0,1,27
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,11,10,18,65,12,116
ANDHRA PRADESH,KARIMNAGAR,MEDIPALLE,0,4,0,0,1,5
ANDHRA PRADESH,KARIMNAGAR,METPALLE,1,10,0,0,1,12
ANDHRA PRADESH,KARIMNAGAR,MUSTABAD,0,0,0,0,0,0
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MAHADEVPUR,1,43,0,0,0,44
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,59,5,5,4,1,74
ANDHRA PRADESH,KARIMNAGAR,ODELA,124,25,0,0,0,149
