-----
{
 "description": "The dataset comprises latest quarterly estimates of  Gross Domestic Product, Final Consumption Expenditure and other macro economic aggregates at current prices. ", 
 "file_name": "qtr_curr_31may13_1.xls", 
 "title": "Download XLS for Quarterly Estimates of GDP at Current Prices, Base 2004-05", 
 "url": "http://data.gov.in/sites/default/files/qtr_curr_31may13_1.xls"
}
-----
"Industry","2004-05:Q1","2004-05:Q2","2004-05:Q3","2004-05:Q4","2005-06:Q1","2005-06:Q2","2005-06:Q3","2005-06:Q4","2006-07:Q1","2006-07:Q2","2006-07:Q3","2006-07:Q4","2007-08:Q1","2007-08:Q2","2007-08:Q3","2007-08:Q4","2008-09:Q1","2008-09:Q2","2008-09:Q3","2008-09:Q4","2009-10:Q1","2009-10:Q2","2009-10:Q3","2009-10:Q4","2010-11:Q1","2010-11:Q2","2010-11:Q3","2010-11:Q4","2011-12:Q1","2011-12:Q2","2011-12:Q3","2011-12:Q4","2012-13:Q1","2012-13:Q2","2012-13:Q3","2012-13:Q4"
"Indirect taxes",72708.4400909,88452.825265,91682.4352578,111123.299386,83511.6033237,101888.977203,105780.579881,132339.839592,95793.4301519,122807.127916,128104.202772,161385.23916,111595.248126,131909.260488,149052.013053,186770.478334,122497.404902,147965.698727,154563.196645,175585.699727,110949.055527,138559.876303,153425.617214,217435.450956,151333.48072,183220.317911,203947.732083,283070.469286,191675.819889,218328.143765,234981.980995,325348.055351,220480.059523,254282.299718,276336.366023,383761.38948
"Subsidies",18897.1270967,21199.4709475,21849.3406247,31276.0613311,22899.573362,29211.0918157,31675.4228348,36868.9119876,42744.0889179,33501.1594243,40427.1811734,49988.5704844,40626.7762747,35963.7434512,39817.5303667,57914.9499074,56062.2598351,52063.674777,86118.670805,79871.3945829,52046.7308751,64505.1455897,67787.7427021,67106.3808331,62029.9567002,72946.9141251,67072.5061879,91175.6229868,70444.0667711,92177.7851715,80488.3942542,105771.753803,117166.323229,165455.067051,111602.316255,181029.04583
"GDP at market prices",735363.336805,759934.919426,857556.324785,889354.133288,836989.888867,855336.821339,976226.004798,1024816.07727,952259.283714,1004154.81665,1139313.44706,1198977.37927,1126480.87718,1150803.75301,1321648.3863,1388156.55119,1333463.91329,1366183.47789,1465284.00158,1465130.70463,1432647.56583,1497639.04715,1700480.72694,1847060.10678,1747324.88203,1790164.01552,2048727.87871,2209097.04505,2067323.51009,2078194.44275,2345625.50084,2483803.29832,2315032.38591,2317115.86283,2637519.45424,2750952.23751
"GFCE",71864.7068724,80620.3904804,83091.8081524,118941.094495,76224.8042274,97233.6785372,105436.588981,122723.928254,113740.671553,89145.5278891,107575.45317,133015.347388,119561.901707,105838.906106,117180.344798,170439.847389,125848.02978,116872.043921,193318.37639,179294.549909,158918.17721,164218.087105,229502.714669,218512.021016,192012.511174,192591.168636,255781.775841,250648.54435,225611.041036,228088.0,298362.06947,290614.457334,264592.07116,266356.450389,333186.965809,322625.290708
"PFCE",442534.602151,447764.456531,528132.924292,499076.276503,500091.709202,501606.527712,591691.465989,559311.95608,566925.155396,590531.939095,675741.096928,643467.57516,651873.498197,674228.465053,775527.050267,739098.329507,751955.029762,774705.481595,888701.390248,833922.430114,837129.060977,876438.618596,1018050.20359,975947.922374,997628.991153,1038211.04107,1177940.15597,1136108.91171,1155088.0,1200757.51468,1371972.46359,1328400.80029,1305650.60653,1348750.36059,1546217.43621,1493792.54889
"GFCF",206942.019995,222721.933978,235390.622387,265972.988384,247653.976937,265351.05365,285948.461531,321338.66095,293092.860458,312335.648892,346756.949717,391588.166072,370401.949883,393346.572378,417273.52677,460651.328801,451253.192365,470906.807193,457966.504022,440971.307432,457112.17494,502207.615012,514610.377041,581841.798433,557848.149185,599199.151672,637520.287094,679896.232697,669937.951565,665952.841772,675030.427238,738150.789309,692120.875151,715648.742825,743038.880712,813868.434133
"CIS",18204.9827618,19519.709785,20522.6618282,21902.645625,24514.7404354,25145.848052,26314.3957631,28414.0157496,33436.7170813,35393.8993298,37228.4770892,41041.9064996,46909.3444303,48234.2849902,50508.4130743,55881.9575053,26967.8317201,27252.000661,26457.4594886,26113.7081303,40869.8081212,43507.5250712,45063.9372968,49729.7268602,56856.756848,58484.059414,61472.6691867,68299.2793805,46037.6169493,45645.0,46885.5510779,50816.0,84253.5789758,85221.4974554,89010.2186143,95668.6139381
"Valuables",9197.20864682,10049.4422234,10390.3858537,11417.2778672,8669.16273022,10625.5378377,10831.3690851,11265.925737,11878.3225886,12534.5529666,12835.5005893,12460.0311644,11554.3160168,13197.8596929,15324.767065,13514.6646122,20537.8450321,19804.9429987,18184.8528653,13684.8807598,27906.9384805,31546.3546677,29461.9140374,27396.5250921,41692.007012,43354.5670635,41169.0871018,36620.2414001,65602.2574485,50677.618128,60267.8974492,66420.1395356,61922.4436936,62568.4539204,64396.1901719,61224.0814047
"Exports of goods and services",120171.947647,125538.170483,144881.094955,178459.786916,153604.636824,158004.001073,184263.971115,216214.390988,205307.324882,224999.931194,218976.763707,255587.980218,226288.171665,238062.844964,261917.552372,292638.430999,333417.383117,357170.010164,325685.439018,312492.167702,296350.216684,309127.722318,329307.989231,363994.071766,366588.982801,380413.279826,462084.481397,501106.255977,487945.157115,497295.964851,552541.261135,605864.616899,591880.111164,565573.107531,575532.173462,654755.360729
"Less Imports of goods and services",121808.442583,153572.943418,174788.888265,175774.725734,188794.284515,192456.693065,211328.6433,220886.379121,245228.084314,266399.797961,262598.366161,266308.751564,268135.64926,284314.607816,309982.723278,356675.929646,389603.90157,457709.943342,415339.430788,351386.7243,357599.782896,384499.766565,443909.730496,461129.720042,484511.248853,488282.227768,531499.630864,545888.892515,628650.091299,636579.988024,721219.088264,736004.832412,759388.993693,762160.442409,817208.98245,821400.786087
"Discrepancies ",-11743.6886866,7293.75936416,9935.71558149,-30641.2107675,15025.1430257,-10173.1324578,-16931.6043657,-13566.4213672,-26893.6839318,5613.11524255,2797.57201811,-11874.875668,-31972.6554642,-37790.5723581,-6100.54476858,12607.9220236,13088.5030869,57182.1346965,-29690.5896626,10037.3848858,-28039.0276881,-44907.109054,-21606.6784382,90767.761276,19208.7327093,-33807.0243855,-55740.9470148,82306.4720459,45751.7594089,26357.7084119,61784.9191358,139539.529433,74001.6929294,35157.6925272,103346.571715,130418.693793
"Expenditure on GDP",735363.336805,759934.919426,857556.324785,889354.133288,836989.888867,855336.821339,976226.004798,1024816.07727,952259.283714,1004154.81665,1139313.44706,1198977.37927,1126480.87718,1150803.75301,1321648.3863,1388156.55119,1333463.91329,1366183.47789,1465284.00158,1465129.70463,1432647.56583,1497639.04715,1700480.72694,1847060.10678,1747324.88203,1790164.01552,2048727.87871,2209097.04505,2067323.51009,2078195.0,2345626.0,2483801.0,2315032.38591,2317115.86283,2637519.45424,2750952.23751
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Figures are in Rs. Crore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
