-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
MAHARASHTRA,NANDURBAR,TALODA,0,0,0,0,0,0,81,81
MAHARASHTRA,NASHIK,BAGLAN,0,0,0,0,0,0,26,26
MAHARASHTRA,NASHIK,CHANDWAD,0,0,0,0,0,0,35,35
MAHARASHTRA,NASHIK,DINDORI,3,15,2,0,0,0,0,20
MAHARASHTRA,NASHIK,IGATPURI,1,31,96,23,6,5,110,272
MAHARASHTRA,NASHIK,KALWAN,0,0,0,0,0,0,97,97
MAHARASHTRA,NASHIK,MALEGAON,0,0,0,0,0,0,114,114
MAHARASHTRA,NASHIK,NANDGAON,0,0,0,0,0,0,83,83
MAHARASHTRA,NASHIK,NASHIK,0,0,0,0,0,0,22,22
MAHARASHTRA,NASHIK,NIPHAD,299,1217,1,0,65,66,16,1664
MAHARASHTRA,NASHIK,PEINT,0,0,0,0,0,0,43,43
MAHARASHTRA,NASHIK,SINNAR,1,55,0,0,0,1,25,82
MAHARASHTRA,NASHIK,TRIMBAKESHWAR,0,0,0,0,0,0,106,106
MAHARASHTRA,NASHIK,YEOLA,0,0,0,0,0,0,70,70
MAHARASHTRA,OSMANABAD,BHOOM,8,157,161,16,73,1,5,421
MAHARASHTRA,OSMANABAD,KALAMB,2,0,144,0,202,0,1,349
MAHARASHTRA,OSMANABAD,LOHARA,0,10,227,243,14,8,1,503
MAHARASHTRA,OSMANABAD,OMARGA,0,36,238,154,88,3,60,579
MAHARASHTRA,OSMANABAD,OSMANABAD,0,71,167,19,8,8,15,288
MAHARASHTRA,OSMANABAD,PARANDA,0,149,286,67,30,1,2,535
MAHARASHTRA,OSMANABAD,TULJAPUR,23,64,199,32,22,0,90,430
MAHARASHTRA,PARBHANI,GANGAKHED,4,31,115,38,4,0,0,192
MAHARASHTRA,PARBHANI,JINTUR,2,157,397,202,150,0,0,908
MAHARASHTRA,PARBHANI,MANWAT,1,67,113,0,24,0,2,207
MAHARASHTRA,PARBHANI,PARBHANI,3,99,203,85,23,0,1,414
MAHARASHTRA,PARBHANI,SAILU,0,92,104,2,1,1,0,200
MAHARASHTRA,PUNE,AMBEGAON,0,1,0,0,0,0,0,1
MAHARASHTRA,PUNE,HAVELI,0,0,0,0,0,2,0,2
MAHARASHTRA,PUNE,INDAPUR,0,0,84,0,1,0,12,97
MAHARASHTRA,PUNE,JUNNAR,0,2,1,0,0,0,0,3
MAHARASHTRA,PUNE,MAWAL,0,1,0,0,0,0,0,1
MAHARASHTRA,RAIGHAR,KHALAPUR,73,16,50,0,0,1,9,149
MAHARASHTRA,RAIGHAR,MAHAD,3,13,11,2,0,5,0,34
MAHARASHTRA,RAIGHAR,MANGOAN,0,0,2,1,0,1,0,4
MAHARASHTRA,RAIGHAR,MHASLA,0,5,0,0,0,0,0,5
MAHARASHTRA,RAIGHAR,MURUD,0,0,27,0,0,0,0,27
MAHARASHTRA,RAIGHAR,PANVEL,18,37,3,0,0,0,0,58
MAHARASHTRA,RAIGHAR,PEN,40,0,0,0,0,0,0,40
MAHARASHTRA,RAIGHAR,SHRIVARDHAN,661,0,0,0,0,2,2,665
MAHARASHTRA,RAIGHAR,SUDHAGAD,0,0,61,0,10,0,16,87
MAHARASHTRA,RAIGHAR,URAN,1,1,0,0,0,0,0,2
MAHARASHTRA,RATNAGIRI,CHIPLUN,49,5,2,0,0,2,0,58
MAHARASHTRA,RATNAGIRI,DAPOLI,0,11,4,0,0,0,0,15
MAHARASHTRA,RATNAGIRI,GUHAGAR,30,25,16,1,2,0,1,75
MAHARASHTRA,RATNAGIRI,KHED,4,6,10,0,12,0,6,38
MAHARASHTRA,RATNAGIRI,LANJA,2,3,6,2,1,1,0,15
MAHARASHTRA,RATNAGIRI,RAJAPUR,2,10,2,0,0,0,6,20
MAHARASHTRA,RATNAGIRI,RATNAGIRI,16,13,1,0,0,0,1,31
MAHARASHTRA,RATNAGIRI,SANGAMESHWAR,5,2,3,1,4,0,0,15
MAHARASHTRA,SANGLI,JAT,61,0,37,17,10,0,37,162
MAHARASHTRA,SANGLI,KAVATHE-MAHANKLA,2,2,61,2,0,32,0,99
MAHARASHTRA,SANGLI,KHANAPUR,3,15,97,42,16,3,0,176
MAHARASHTRA,SANGLI,MIRAJ,7,10,68,68,58,82,10,303
MAHARASHTRA,SANGLI,PALUS,26,24,1160,115,143,1052,91,2611
MAHARASHTRA,SANGLI,SHIRALA,60,3,41,13,35,8,13,173
MAHARASHTRA,SANGLI,TASGAON,30,137,274,164,27,94,0,726
