-----
{
 "description": "The table refers to block wise shallow tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.8.csv", 
 "title": "Download CSV for Block wise Shallow Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.8.csv"
}
-----
State,District,Block,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,0,0,23,11,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,0,33,9,9,51
ANDHRA PRADESH,CHITTOOR,IRALA,0,0,93,24,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,0,0,54,28,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,0,0,93,97,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,0,199,0,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,0,1,128,11,16,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,0,1,76,31,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,0,0,35,0,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,48,26,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,2,178,4,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,0,0,208,80,12,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,0,68,38,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,1,0,120,0,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,1,3,287,79,0,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,1,0,121,13,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,1,97,50,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,0,1,271,126,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,11,14,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,0,0,76,31,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,1,3,50,8,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,33,26,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,0,1,126,45,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,0,0,78,164,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,0,0,89,8,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,0,0,53,37,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,0,0,17,7,2,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,3,142,59,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,0,1,158,37,1,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,112,17,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,0,0,180,0,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,0,0,38,20,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,0,0,1,3,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,0,0,355,32,2,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,1,147,0,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,0,0,38,7,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,0,0,21,6,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,0,0,18,30,11,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,12,4,192,48,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,0,0,160,49,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,0,0,0,11,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,30,1,432,116,0,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),0,0,228,132,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),0,1,22,0,0,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,2,1,288,0,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,1,0,359,1,3,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,0,0,83,18,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,0,0,55,8,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,1,1,79,0,3,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,0,14,119,2,0,135
