-----
{
 "description": "The table refers to district wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.6.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.6.csv"
}
-----
"State","District","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Schemes not in use - Total","Grand total"
"BIHAR","VAISHALI",8,12,0,0,2,8,22,30
"GOA","NORTH GOA",302,0,0,0,0,0,0,302
"GOA","SOUTH GOA",444,6,0,0,0,0,6,450
"HARYANA","AMBALA",32,0,0,0,0,0,0,32
"HARYANA","KAITHAL",148,0,0,0,0,0,0,148
"HARYANA","KURUKSHETRA",2,0,0,0,0,0,0,2
"HIMACHAL PRADESH","Bilaspur",81,0,0,0,0,0,0,81
"HIMACHAL PRADESH","Chamba",4,3,0,0,0,0,3,7
"HIMACHAL PRADESH","Hamirpur",50,0,0,0,0,0,0,50
"HIMACHAL PRADESH","Kangra",120,12,0,0,3,0,15,135
"HIMACHAL PRADESH","Kullu",11,0,0,0,0,0,0,11
"HIMACHAL PRADESH","Mandi",54,0,0,1,0,0,1,55
"HIMACHAL PRADESH","Shimla",10,0,0,0,0,0,0,10
"HIMACHAL PRADESH","Sirmaur",62,0,0,0,0,0,0,62
"HIMACHAL PRADESH","Solan",105,2,0,0,0,0,2,107
"HIMACHAL PRADESH","Una",39,0,0,0,0,0,0,39
"JAMMU & KASHMIR","Anantnagh",12,0,0,0,0,0,0,12
"JAMMU & KASHMIR","Baramulla",90,16,0,0,0,0,16,106
"JAMMU & KASHMIR","Jammu",45,2,0,0,0,0,2,47
"JAMMU & KASHMIR","Kathua",12,5,0,0,0,0,5,17
"JAMMU & KASHMIR","Kupwara",7,0,0,0,0,0,0,7
"JAMMU & KASHMIR","Poonch",3,0,0,0,0,0,0,3
"JAMMU & KASHMIR","Pulwama",50,0,0,0,0,0,0,50
"JAMMU & KASHMIR","Rajouri",46,3,0,0,0,0,3,49
"JAMMU & KASHMIR","Srinagar",49,0,0,0,0,0,0,49
"JAMMU & KASHMIR","Udhampur",11,0,0,0,0,0,0,11
"KARNATAKA","BANGALORE RURAL",191,7,18,2,0,0,27,218
"KARNATAKA","BANGALORE URBAN",68,7,2,0,0,0,9,77
"KARNATAKA","BELGAUM",11720,148,34,2,92,10,286,12006
"KARNATAKA","BELLARY",1946,1212,22,48,1,54,1337,3283
"KARNATAKA","BIDAR",450,6,2,0,0,2,10,460
"KARNATAKA","BIJAPUR",5511,158,7,2,3,636,806,6317
"KARNATAKA","CHIKKAMAGALORE",285,9,0,0,1,1,11,296
"KARNATAKA","CHITRADURGA",1256,37,0,0,1,1,39,1295
"KARNATAKA","DAKSHINA KANNADA",503,25,1,0,0,2,28,531
"KARNATAKA","DHARWAR",2685,11,13,1,26,0,51,2736
"KARNATAKA","GULBARGA",295,50,0,13,1,0,64,359
"KARNATAKA","HASSAN",118,1,2,0,0,0,3,121
"KARNATAKA","KODAGU",25,0,0,0,0,0,0,25
"KARNATAKA","KOLAR",28,3,2,0,0,0,5,33
"KARNATAKA","MANDYA",101,43,1,0,0,0,44,145
"KARNATAKA","MYSORE",153,0,0,0,0,0,0,153
"KARNATAKA","RAICHUR",1553,71,11,0,0,1,83,1636
"KARNATAKA","SHIMOGA",2350,21,1,0,0,1,23,2373
"KARNATAKA","TUMKUR",130,5,0,0,0,0,5,135
"KARNATAKA","UTTARA KANNADA",138,6,5,0,0,0,11,149
"KERALA","ALAPUZHA",276,0,0,0,0,0,0,276
"KERALA","ERANAKULAM",1040,0,0,2,0,1,3,1043
"KERALA","IDUKKI",202,0,0,0,0,0,0,202
"KERALA","KANNUR",713,0,0,0,0,0,0,713
"KERALA","KASARAGODE",78,2,0,0,0,0,2,80
"KERALA","KOLLAM",18,1,0,0,0,0,1,19
"KERALA","KOTTAYAM",1184,2,0,0,0,0,2,1186
"KERALA","KOZHIKODE",497,0,0,0,0,0,0,497
"KERALA","MALAPPURAM",2112,0,0,0,0,0,0,2112
"KERALA","PALAKKAD",2268,0,0,0,0,0,0,2268
"KERALA","PATHANAMTHITTA",80,0,0,0,0,0,0,80
"KERALA","THIRUVANANTHAPURAM",14,0,0,0,0,0,0,14
"KERALA","THRISSUR",2058,2,0,1,0,0,3,2061
"KERALA","WAYANAD",713,0,0,0,0,0,0,713
"MADHYA PRADESH","BALAGHAT",698,0,0,3,1,1,5,703
"MADHYA PRADESH","BASTAR",1908,12,9,2,2,0,25,1933
"MADHYA PRADESH","BETUL",7330,4,9,2,0,2,17,7347
"MADHYA PRADESH","BHIND",160,0,0,0,0,0,0,160
"MADHYA PRADESH","BHOPAL",2700,0,0,0,0,0,0,2700
"MADHYA PRADESH","BILASPUR",270,2,4,3,0,0,9,279
"MADHYA PRADESH","CHHATARPUR",4497,14,47,10,1,46,118,4615
"MADHYA PRADESH","CHHINDWARA",1688,0,0,0,0,0,0,1688
"MADHYA PRADESH","DAMOH",11991,35,12,6,1,16,70,12061
"MADHYA PRADESH","DATIA",51,0,0,0,0,0,0,51
"MADHYA PRADESH","DEWAS",3117,0,1,54,0,32,87,3204
"MADHYA PRADESH","DHAR",4335,7,1,47,3,105,163,4498
"MADHYA PRADESH","DURG",791,23,3,15,0,1,42,833
"MADHYA PRADESH","GUNA",8394,0,0,0,0,0,0,8394
"MADHYA PRADESH","GWALIOR",1731,0,0,0,0,0,0,1731
"MADHYA PRADESH","HOSHANGABAD",8456,14,2,2,0,9,27,8483
"MADHYA PRADESH","INDORE",1160,0,0,1,1,20,22,1182
"MADHYA PRADESH","JABALPUR",3151,0,0,0,0,0,0,3151
"MADHYA PRADESH","JHABUA",11035,1,6,2,183,15,207,11242
"MADHYA PRADESH","KHANDWA",4791,24,10,0,0,37,71,4862
"MADHYA PRADESH","KHARGONE",9067,35,8,5,0,64,112,9179
"MADHYA PRADESH","MANDLA",982,6,0,0,0,0,6,988
"MADHYA PRADESH","MANDSAUR",1967,0,2,88,0,17,107,2074
"MADHYA PRADESH","MORENA",1486,0,0,0,0,0,0,1486
"MADHYA PRADESH","NARSIMHAPUR",1482,0,0,0,69,0,69,1551
"MADHYA PRADESH","PANNA",7024,62,6,9,0,1,78,7102
"MADHYA PRADESH","RAIGARH",2294,130,29,35,0,0,194,2488
"MADHYA PRADESH","RAIPUR",2151,34,35,23,1,12,105,2256
"MADHYA PRADESH","RAISEN",7023,2,0,0,0,3,5,7028
"MADHYA PRADESH","RAJGARH",3909,7,1,2,0,3,13,3922
"MADHYA PRADESH","RAJNANDGAON",39,0,0,0,0,0,0,39
"MADHYA PRADESH","RATLAM",3399,2,3,0,0,13,18,3417
"MADHYA PRADESH","REWA",2681,25,12,22,0,0,59,2740
"MADHYA PRADESH","SAGAR",16142,0,0,0,0,0,0,16142
"MADHYA PRADESH","SATNA",4052,1,0,0,0,0,1,4053
"MADHYA PRADESH","SEHORE",4545,2,0,1,0,0,3,4548
"MADHYA PRADESH","SEONI",2697,0,0,0,7,0,7,2704
"MADHYA PRADESH","SHAHDOL",3667,22,1,0,0,109,132,3799
"MADHYA PRADESH","SHAJAPUR",3489,0,3,2,0,23,28,3517
"MADHYA PRADESH","SHIVPURI",4414,0,0,0,0,0,0,4414
"MADHYA PRADESH","SIDHI",1588,1,2,0,0,3,6,1594
"MADHYA PRADESH","SURGUJA",4638,49,0,0,0,0,49,4687
"MADHYA PRADESH","TIKAMGARH",1748,0,0,0,0,0,0,1748
"MADHYA PRADESH","UJJAIN",5103,0,2,0,0,4,6,5109
"MADHYA PRADESH","VIDISHA",13087,69,1,9,2,5,86,13173
"MANIPUR","BISHNUPUR",4,0,0,0,0,0,0,4
"MANIPUR","IMPHAL",11,0,0,0,0,0,0,11
"MANIPUR","THOUBAL",5,0,0,0,0,0,0,5
"MEGHALAYA","JAINTIA HILLS",2,3,1,0,0,0,4,6
"MEGHALAYA","RI BHOI DISTRICT",1,0,0,0,0,0,0,1
"MEGHALAYA","SOUTH GARO HILLS",0,0,0,0,2,0,2,2
"MEGHALAYA","WEST GARO HILLS",4,0,0,0,0,0,0,4
"MEGHALAYA","WEST KHASI HILLS",1,1,0,0,0,0,1,2
"MIZORAM","AIZAWL",12,0,0,0,0,0,0,12
"NAGALAND","KOHIMA",19,0,0,0,0,0,0,19
"ORISSA","ANGUL",340,40,4,1,1,8,54,394
"ORISSA","BALASORE",291,51,2,4,9,18,84,375
"ORISSA","BARAGARH",738,57,0,2,1,10,70,808
"ORISSA","BHADRAK",377,22,2,0,0,8,32,409
"ORISSA","BOLANGIR",1434,40,6,2,2,5,55,1489
"ORISSA","BOUDH",128,39,0,1,1,7,48,176
"ORISSA","CUTTACK",449,50,4,4,1,4,63,512
"ORISSA","DEOGARH",504,102,1,4,0,0,107,611
"ORISSA","DHENKANAL",231,48,1,3,5,24,81,312
"ORISSA","GAJAPATI",119,12,12,0,2,5,31,150
"ORISSA","GANJAM",974,68,4,3,6,22,103,1077
"ORISSA","JAGATSINGHPUR",107,25,2,1,1,21,50,157
"ORISSA","JAJPUR",577,81,3,3,3,15,105,682
"ORISSA","JHARSUGUDA",378,22,1,0,1,8,32,410
"ORISSA","KALAHANDI",392,61,0,0,0,0,61,453
"ORISSA","KENDRAPARA",1809,126,13,2,7,8,156,1965
"ORISSA","KEONJHAR",486,141,0,0,0,0,141,627
"ORISSA","KHURDA",179,62,0,0,0,0,62,241
"ORISSA","KORAPUT",1048,120,0,0,0,0,120,1168
"ORISSA","MALKANGIRI",27,4,0,0,0,0,4,31
"ORISSA","MAYURBHANJ",419,102,11,1,2,17,133,552
"ORISSA","NAYAGARH",153,41,0,0,0,0,41,194
"ORISSA","NOWRANGPUR",1230,91,0,0,0,0,91,1321
"ORISSA","NUAPADA",140,60,0,0,0,0,60,200
"ORISSA","PHULBANI",189,38,0,0,2,8,48,237
"ORISSA","PURI",3710,99,0,0,0,0,99,3809
"ORISSA","RAYAGADA",242,91,0,0,0,0,91,333
"ORISSA","SAMBALPUR",668,44,2,7,1,16,70,738
"ORISSA","SONEPUR",202,27,2,4,4,6,43,245
"ORISSA","SUNDARGARH",656,272,0,0,0,0,272,928
"PUNJAB","AMRITSAR",295,0,0,0,0,0,0,295
"PUNJAB","FARIDKOT",30,0,0,0,0,0,0,30
"PUNJAB","GURDASPUR",10,0,0,0,0,0,0,10
"PUNJAB","HOSHIARPUR",1,0,0,0,0,0,0,1
"PUNJAB","JALANDHAR",5,0,0,0,0,0,0,5
"PUNJAB","KAPURTHALA",45,0,0,0,0,0,0,45
"PUNJAB","PATIALA",197,0,0,0,0,0,0,197
"PUNJAB","ROPAR",115,0,0,0,0,0,0,115
"PUNJAB","SANGRUR",66,0,0,0,0,0,0,66
"RAJASTHAN","AJMER",1,0,0,0,0,0,0,1
"RAJASTHAN","BARAN",76,0,0,0,0,0,0,76
"RAJASTHAN","BHILWARA",28,0,4,0,0,0,4,32
"RAJASTHAN","BUNDI",2,0,0,0,0,0,0,2
"RAJASTHAN","CHITTORGARH",35,0,0,0,0,0,0,35
"RAJASTHAN","CHURU",1,0,0,0,0,1,1,2
"RAJASTHAN","DHOLPUR",1,0,0,0,0,0,0,1
"RAJASTHAN","DUNGARPUR",74,0,0,0,0,0,0,74
"RAJASTHAN","JHALAWAR",34,0,4,0,0,0,4,38
"RAJASTHAN","KOTA",6,0,0,0,0,0,0,6
"RAJASTHAN","NAGAUR",2,0,0,0,0,0,0,2
"RAJASTHAN","RAJSAMAND",1,0,0,0,0,0,0,1
"RAJASTHAN","SIROHI",2,0,0,0,0,0,0,2
"RAJASTHAN","TONK",2,0,0,0,0,0,0,2
"RAJASTHAN","UDAIPUR",15,0,0,0,0,0,0,15
"TAMIL NADU","COIMBATORE",102,376,3,0,0,0,379,481
"TAMIL NADU","CUDDALORE",667,14,0,0,1,10,25,692
"TAMIL NADU","DHARMAPURI",10,0,0,0,0,0,0,10
"TAMIL NADU","DINDIGUL",268,1223,0,0,0,0,1223,1491
"TAMIL NADU","ERODE",3844,323,397,4,1,18,743,4587
"TAMIL NADU","KANCHIPURAM",23,8,0,0,0,2,10,33
"TAMIL NADU","KARUR",7,0,10,0,0,0,10,17
"TAMIL NADU","NAGAPATTINAM",5,0,0,0,0,1,1,6
"TAMIL NADU","NAMAKKAL",3052,0,0,78,0,163,241,3293
"TAMIL NADU","PERAMBALUR",266,96,1,0,0,10,107,373
"TAMIL NADU","PUDUKOTTAI",9,0,0,0,0,0,0,9
"TAMIL NADU","RAMNATHAPURAM",11,0,1,0,0,0,1,12
"TAMIL NADU","SALEM",69,0,0,0,1,0,1,70
"TAMIL NADU","SIVAGANGA",25,16,1,0,0,0,17,42
"TAMIL NADU","THANJAVUR",5,0,0,0,0,0,0,5
"TAMIL NADU","THENI",36,0,0,0,33,0,33,69
"TAMIL NADU","TIRUVALLUR",98,8,1,0,0,2,11,109
"TAMIL NADU","TIRUVARUR",19,0,0,0,0,0,0,19
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0,20,20,20
"TAMIL NADU","VILLUPURAM",227,2,1,1,1,7,12,239
"TRIPURA","DHALAI",99,9,1,0,0,0,10,109
"TRIPURA","NORTH",142,3,1,0,0,0,4,146
"TRIPURA","SOUTH",398,1,1,0,0,1,3,401
"TRIPURA","WEST",161,7,4,0,0,1,12,173
"UTTAR PRADESH","AGRA",46,0,0,0,0,0,0,46
"UTTAR PRADESH","ALLAHABAD",422,0,0,0,0,0,0,422
"UTTAR PRADESH","ALMORA",85,9,2,2,0,1,14,99
"UTTAR PRADESH","AZAMGARH",45,0,0,0,0,1,1,46
"UTTAR PRADESH","BALLIA",208,0,0,0,0,0,0,208
"UTTAR PRADESH","BANDA",504,0,0,0,0,0,0,504
"UTTAR PRADESH","BIJNOR",1,0,0,0,0,0,0,1
"UTTAR PRADESH","DEHRADUN",237,40,9,0,0,0,49,286
"UTTAR PRADESH","DEORIA",3,0,0,0,0,0,0,3
"UTTAR PRADESH","ETAWAH",18,0,0,0,0,0,0,18
"UTTAR PRADESH","FARUKHABAD",17,0,0,0,0,0,0,17
"UTTAR PRADESH","FATEHPUR",22,0,0,0,0,0,0,22
"UTTAR PRADESH","GONDA",246,86,8,4,7,5,110,356
"UTTAR PRADESH","HAMIRPUR",7,0,0,0,0,0,0,7
"UTTAR PRADESH","JALAUN",312,14,11,0,0,0,25,337
"UTTAR PRADESH","JAUNPUR",26,0,0,0,0,0,0,26
"UTTAR PRADESH","JHANSI",159,0,0,0,0,0,0,159
"UTTAR PRADESH","KANPUR DEHAT",171,0,2,0,0,0,2,173
"UTTAR PRADESH","KUSHI NAGAR",1,0,0,0,0,0,0,1
"UTTAR PRADESH","LALITPUR",0,0,1,0,0,0,1,1
"UTTAR PRADESH","LUCKNOW",1,0,0,0,0,0,0,1
"UTTAR PRADESH","MAHRAJGANJ",12,0,0,0,0,0,0,12
"UTTAR PRADESH","MIRZAPUR",373,5,3,0,0,0,8,381
"UTTAR PRADESH","NAINITAL",18,5,2,0,0,0,7,25
"UTTAR PRADESH","PAURI GARHWAL",45,16,5,1,0,0,22,67
"UTTAR PRADESH","RAEBARELY",1,0,0,0,0,0,0,1
"UTTAR PRADESH","SANT RAVIDAS NAGAR",39,0,1,0,0,0,1,40
"UTTAR PRADESH","TEHRI GARHWAL",22,10,3,0,0,0,13,35
"UTTAR PRADESH","UDHAMSINGH NAGAR",50,8,1,1,1,0,11,61
"UTTAR PRADESH","UTTARKASHI",15,3,3,2,5,1,14,29
"UTTAR PRADESH","VARANASI",82,0,0,0,0,0,0,82
"WEST BENGAL","BANKURA",2799,184,5,6,7,17,219,3018
"WEST BENGAL","BIRBHUM",16155,510,62,55,46,518,1191,17346
"WEST BENGAL","BURDWAN",6294,208,15,19,9,51,302,6596
"WEST BENGAL","COOCHBEHAR",1495,942,0,0,0,0,942,2437
"WEST BENGAL","DAKSHIN DINAJPUR",1704,25,1,3,0,0,29,1733
"WEST BENGAL","DARJEELING",56,5,0,2,0,0,7,63
"WEST BENGAL","HOOGLY",4004,216,6,83,45,25,375,4379
"WEST BENGAL","HOWRAH",8504,81,6,44,0,29,160,8664
"WEST BENGAL","JALPAIGURI",613,14,1,0,0,3,18,631
"WEST BENGAL","MALDA",1710,53,6,11,0,9,79,1789
"WEST BENGAL","MIDNAPORE",14167,421,74,207,40,135,877,15044
"WEST BENGAL","MURSHIDABAD",2804,95,8,207,8,30,348,3152
"WEST BENGAL","NADIA",268,12,0,1,0,20,33,301
"WEST BENGAL","NORTH 24 PARGANAS",820,136,2,3,0,199,340,1160
"WEST BENGAL","PURULIA",416,16,0,4,0,4,24,440
"WEST BENGAL","SOUTH 24 PARGANAS",14215,1739,100,159,156,231,2385,16600
"WEST BENGAL","UTTAR DINAJPUR",277,9,0,0,0,6,15,292
"ANDAMAN & NICOBARS","ANDAMAN",904,114,5,10,1,137,267,1171
"ANDAMAN & NICOBARS","NICOBARS",38,1,0,0,0,0,1,39
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",53,0,1,0,0,0,1,54
"PONDICHERRY","KARAIKAL",6,0,0,0,0,0,0,6
"PONDICHERRY","YANAM",399,0,1,0,0,0,1,400
