-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.9.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.9.csv"
}
-----
State,District,Block,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,216,0,0,0,0,0,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,127,1,0,0,4,0,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,83,0,0,0,0,0,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,41,0,0,0,0,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,525,1,0,0,0,0,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,667,1,0,1,0,0,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,276,0,0,0,0,0,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,74,0,0,0,0,0,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,59,0,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,406,6,0,1,0,0,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,95,0,0,0,0,0,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,148,0,0,0,0,0,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,27,0,0,0,0,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,155,0,0,0,1,0,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,94,1,0,0,0,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,77,0,0,0,0,0,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,72,0,0,0,0,0,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,34,0,0,0,0,0,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,51,0,0,0,0,0,51
ANDHRA PRADESH,CHITTOOR,IRALA,117,0,0,0,0,0,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,82,0,0,0,0,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,190,0,0,0,0,0,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,199,0,0,0,0,0,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,156,0,0,0,0,0,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,106,2,0,0,0,0,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,35,0,0,0,0,0,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,74,0,0,0,0,0,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,184,0,0,0,0,0,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,293,7,0,0,0,0,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,106,0,0,0,0,0,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,121,0,0,0,0,0,121
ANDHRA PRADESH,CHITTOOR,NAGARI,370,0,0,0,0,0,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,135,0,0,0,0,0,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,148,0,0,0,0,0,148
ANDHRA PRADESH,CHITTOOR,NINDRA,397,1,0,0,0,0,398
ANDHRA PRADESH,CHITTOOR,PAKALA,25,0,0,0,0,0,25
ANDHRA PRADESH,CHITTOOR,PALAMANERU,107,0,0,0,0,0,107
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,61,1,0,0,0,0,62
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,59,0,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,172,0,0,0,0,0,172
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,242,0,0,0,0,0,242
ANDHRA PRADESH,CHITTOOR,PENUMURU,97,0,0,0,0,0,97
ANDHRA PRADESH,CHITTOOR,PICHATURU,86,4,0,0,0,0,90
ANDHRA PRADESH,CHITTOOR,PILERU,25,0,0,1,0,0,26
ANDHRA PRADESH,CHITTOOR,PULICHERLA,203,1,0,0,0,0,204
ANDHRA PRADESH,CHITTOOR,PUNGANURU,197,0,0,0,0,0,197
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,129,0,0,0,0,0,129
ANDHRA PRADESH,CHITTOOR,PUTTURU,180,0,0,0,0,0,180
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,57,1,0,0,0,0,58
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,388,1,0,0,0,0,389
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,148,0,0,0,0,0,148
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,44,0,0,0,1,0,45
ANDHRA PRADESH,CHITTOOR,SODAM,27,0,0,0,0,0,27
ANDHRA PRADESH,CHITTOOR,SOMALA,59,0,0,0,0,0,59
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,255,1,0,0,0,0,256
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,209,0,0,0,0,0,209
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,11,0,0,0,0,0,11
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,576,3,0,0,0,0,579
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),360,0,0,0,0,0,360
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),23,0,0,0,0,0,23
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,290,1,0,0,0,0,291
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,357,7,0,0,0,0,364
ANDHRA PRADESH,CHITTOOR,VAYALPAD,101,0,0,0,0,0,101
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,63,0,0,0,0,0,63
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,84,0,0,0,0,0,84
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,135,0,0,0,0,0,135
ANDHRA PRADESH,CHITTOOR,YADAMARI,18,0,0,0,0,0,18
ANDHRA PRADESH,CHITTOOR,YERPEDU,985,0,0,0,0,0,985
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,39,0,0,0,0,0,39
ANDHRA PRADESH,CUDDAPAH,ATLUR,32,3,0,0,0,0,35
ANDHRA PRADESH,CUDDAPAH,B.KODUR,121,3,0,0,0,0,124
ANDHRA PRADESH,CUDDAPAH,BADVEL,82,1,0,0,0,0,83
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,33,0,0,0,0,0,33
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,391,2,0,0,0,0,393
ANDHRA PRADESH,CUDDAPAH,CHAPAD,908,0,0,0,0,0,908
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,9,2,0,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNUR,222,1,0,0,0,0,223
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,22,0,0,0,0,0,22
ANDHRA PRADESH,CUDDAPAH,CHITVEL,756,0,0,0,0,6,762
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,DUVVUR,178,0,0,0,0,0,178
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,18,0,0,0,0,0,18
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,153,4,0,0,0,0,157
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,954,0,0,0,0,0,954
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,464,11,0,0,0,0,475
ANDHRA PRADESH,CUDDAPAH,KODUR,63,0,0,0,0,0,63
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1205,0,0,0,0,0,1205
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,6,0,0,0,0,0,6
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,96,1,0,0,0,0,97
ANDHRA PRADESH,CUDDAPAH,NANDALUR,226,3,0,0,0,0,229
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,7,2,0,0,0,0,9
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,340,0,0,0,0,0,340
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,1244,1,0,0,33,0,1278
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,95,1,0,0,0,0,96
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,774,2,0,2,0,0,778
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,48,0,0,0,0,0,48
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,122,0,0,0,0,0,122
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,214,2,0,0,0,0,216
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,15,15,0,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,3,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,53,1,0,0,1,0,55
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,768,188,0,0,0,1,957
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,11,0,0,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,374,0,0,0,0,0,374
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,665,2,0,0,0,0,667
ANDHRA PRADESH,CUDDAPAH,THONDUR,29,0,0,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,397,0,0,0,2,0,399
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,258,9,0,0,0,0,267
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,278,0,0,0,0,0,278
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,576,0,0,1,0,3,580
ANDHRA PRADESH,CUDDAPAH,VEMULA,113,0,0,1,0,0,114
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,0,0,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,153,0,0,0,0,0,153
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,27,4,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,182,430,1,0,0,0,613
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,529,12,0,12,0,0,553
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,8,98,0,0,0,0,106
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,133,359,0,0,0,0,492
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,355,925,0,0,0,1,1281
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHY,204,6,6,0,0,6,222
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,768,535,0,0,0,0,1303
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,113,23,0,0,0,0,136
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,612,2,0,0,0,0,614
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,149,7,0,1,0,0,157
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,32,0,0,0,0,0,32
ANDHRA PRADESH,EAST GODAVARI,I. POLAVARAM,1,53,0,0,0,0,54
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,139,0,0,0,0,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1735,0,0,1,0,0,1736
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,24,27,0,0,0,0,51
ANDHRA PRADESH,EAST GODAVARI,KAKINADA RURAL,50,2,0,0,0,0,52
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,499,238,0,0,2,0,739
ANDHRA PRADESH,EAST GODAVARI,KARAPA,9,10,0,0,0,0,19
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,708,3,0,0,0,0,711
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,322,38,0,0,0,0,360
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,167,63,2,0,0,0,232
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLE,71,4,0,0,0,0,75
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,464,791,0,1,0,0,1256
