-----
{
 "description": "CAG Local Bodies Audit reports are prepared by the concerned state Accountant Generals (AGs). On being approved by the CAG, the Local Bodies Audit reports are categorized into two types as 'Tabled in the Legislature' and 'Issued to State Government'.\r\rDuring the period 2003-04 to 2010-11, five ...", 
"2009-10","Himachal Pradesh","State Finance",1.0
"2009-10","Jammu & Kashmir","Civil",1.0
"2009-10","Jammu & Kashmir","Distric Rajouri",1.0
"2009-10","Jammu & Kashmir","State Finance",1.0
"2009-10","Jharkhand","Civil & Commercial",1.0
"2009-10","Jharkhand","Revenue",1.0
"2009-10","Jharkhand","State Finance",1.0
"2009-10","Karnataka","Civil",1.0
"2009-10","Karnataka","Commercial",1.0
"2009-10","Karnataka","Revenue",1.0
"2009-10","Karnataka","State Finance",1.0
"2009-10","Kerala","Civil",1.0
"2009-10","Kerala","Commercial",1.0
"2009-10","Kerala","Revenue",1.0
"2009-10","Kerala","State Finance",1.0
"2009-10","Madhya Pradesh","Civil",1.0
"2009-10","Madhya Pradesh","Commercial",1.0
"2009-10","Madhya Pradesh","Revenue",1.0
"2009-10","Madhya Pradesh","State Finance",1.0
"2009-10","Maharashtra","Civil",1.0
"2009-10","Maharashtra","Commercial",1.0
"2009-10","Maharashtra","Revenue",1.0
"2009-10","Maharashtra","State Finance",1.0
"2009-10","Manipur","Civil",1.0
"2009-10","Manipur","State Finance",1.0
"2009-10","Meghalaya","Civil",1.0
"2009-10","Meghalaya","Commercial",1.0
"2009-10","Meghalaya","Revenue",1.0
"2009-10","Meghalaya","State Finance",1.0
"2009-10","Mizoram","Civil",1.0
"2009-10","Mizoram","State Finance",1.0
"2009-10","Mumbai","Adarsh Co-operative Housing Society",1.0
"2009-10","Nagaland","Civil",1.0
"2009-10","Nagaland","State Finance",1.0
"2009-10","Orissa","Civil",1.0
"2009-10","Orissa","Commercial",1.0
"2009-10","Orissa","Revenue",1.0
"2009-10","Orissa","State Finance",1.0
"2009-10","Puducherry","Civil",1.0
"2009-10","Puducherry","Union Territory Finances",1.0
"2009-10","Punjab","Civil",1.0
"2009-10","Punjab","Commercial",1.0
"2009-10","Punjab","Revenue",1.0
"2009-10","Punjab","State Finance",1.0
"2009-10","Rajasthan","Commercial",1.0
"2009-10","Rajasthan","Revenue Receipts",2.0
"2009-10","Rajasthan","State Finance",1.0
"2009-10","Sikkim","Civil",1.0
"2009-10","Sikkim","State Finances",1.0
"2009-10","Tamil Nadu","Civil",1.0
"2009-10","Tamil Nadu","Commercial",1.0
"2009-10","Tamil Nadu","Revenue",1.0
"2009-10","Tamil Nadu","Revenue Receipts",1.0
"2009-10","Tamil Nadu","State Finance",1.0
"2009-10","Tripura","Civil",1.0
"2009-10","Tripura","State Finance",1.0
"2009-10","Uttar Pradesh","Civil",1.0
"2009-10","Uttar Pradesh","Commercial",1.0
"2009-10","Uttar Pradesh","Revenue",1.0
"2009-10","Uttar Pradesh","State Finance",1.0
"2009-10","Uttarakhand","Civil",1.0
"2009-10","Uttarakhand","State Finance",1.0
"2009-10","West Bengal","Civil",1.0
"2009-10","West Bengal","Collection of Vehicle,Fee and Fines",1.0
"2009-10","West Bengal","Commercial",1.0
"2009-10","West Bengal","Revenue",1.0
"2009-10","West Bengal","State Finance",1.0
"2009-10","","Infrastructure Development for Commonwealth Youth Games",1.0
"2008-09","Andhra Pradesh","Civil",1.0
"2008-09","Andhra Pradesh","Commercial",1.0
"2008-09","Andhra Pradesh","Revenue",1.0
"2008-09","Andhra Pradesh","State Finance",1.0
"2008-09","Arunachal Pradesh","Civil",1.0
"2008-09","Arunachal Pradesh","State Finance",1.0
"2008-09","Assam","Civil",1.0
"2008-09","Assam","Commercial",1.0
"2008-09","Assam","Revenue",1.0
"2008-09","Assam","State Finance",1.0
"2008-09","Bihar","Civil",1.0
"2008-09","Bihar","Commercial",1.0
"2008-09","Bihar","Revenue",1.0
"2008-09","Bihar","State Finance",1.0
"2008-09","Chattisgarh","Civil & Commercial",1.0
"2008-09","Chattisgarh","Revenue",1.0
"2008-09","Chattisgarh","State Finance",1.0
"2008-09","Delhi","Civil & Commercial",1.0
"2008-09","Delhi","Revenue",1.0
"2008-09","Delhi","State Finance",1.0
"2008-09","Goa","Civil & Commercial",1.0
"2008-09","Goa","State Finance",1.0
"2008-09","Gujarat","Civil",1.0
"2008-09","Gujarat","Commercial",1.0
"2008-09","Gujarat","Revenue",1.0
"2008-09","Gujarat","State Finance",1.0
"2008-09","Haryana","Civil",1.0
"2008-09","Haryana","Commercial",1.0
"2008-09","Haryana","Revenue",1.0
"2008-09","Haryana","State Finance",1.0
"2008-09","Himachal Pradesh","Civil",1.0
"2008-09","Himachal Pradesh","Commercial",1.0
"2008-09","Himachal Pradesh","District Sirmour",1.0
"2008-09","Himachal Pradesh","Revenue",1.0
"2008-09","Himachal Pradesh","State Finance",1.0
"2008-09","Jammu & Kashmir","Civil",1.0
"2008-09","Jammu & Kashmir","State Finance",1.0
"2008-09","Jharkhand","Civil",1.0
"2008-09","Jharkhand","Revenue",1.0
"2008-09","Jharkhand","State Finance",1.0
"2008-09","Karnataka","Civil",1.0
"2008-09","Karnataka","Commercial",1.0
"2008-09","Karnataka","Revenue",1.0
"2008-09","Karnataka","State Finance",1.0
"2008-09","Kerala","Civil",1.0
"2008-09","Kerala","Commercial",1.0
"2008-09","Kerala","Revenue",1.0
"2008-09","Kerala","State Finance",1.0
"2008-09","Madhya Pradesh","Civil",1.0
"2008-09","Madhya Pradesh","Commercial",1.0
"2008-09","Madhya Pradesh","Revenue",1.0
"2008-09","Madhya Pradesh","State Finance",1.0
"2008-09","Maharashtra","Civil",1.0
"2008-09","Maharashtra","Commercial",1.0
"2008-09","Maharashtra","Revenue",1.0
"2008-09","Maharashtra","State Finance",1.0
"2008-09","Manipur","Civil",1.0
"2008-09","Manipur","State Finance",1.0
"2008-09","Meghalaya","Civil & Commercial",1.0
"2008-09","Meghalaya","Revenue",1.0
"2008-09","Meghalaya","State Finance",1.0
"2008-09","Mizoram","Civil",1.0
"2008-09","Mizoram","State Finance",1.0
"2008-09","Nagaland","Civil",1.0
"2008-09","Nagaland","State Finance",1.0
"2008-09","Orissa","Civil",1.0
"2008-09","Orissa","Commercial",1.0
"2008-09","Orissa","Revenue",1.0
"2008-09","Orissa","State Finance",1.0
"2008-09","Puducherry","Civil",1.0
"2008-09","Puducherry","Union Territory Finances",1.0
"2008-09","Punjab","Civil",1.0
"2008-09","Punjab","Commercial",1.0
"2008-09","Punjab","Revenue",1.0
"2008-09","Punjab","State Finance",1.0
"2008-09","Rajasthan","Civil",1.0
"2008-09","Rajasthan","Commercial",1.0
"2008-09","Rajasthan","Revenue",1.0
"2008-09","Rajasthan","State Finance",1.0
"2008-09","Sikkim","Civil",1.0
"2008-09","Sikkim","State Finance",1.0
"2008-09","Tamil Nadu","Civil",1.0
"2008-09","Tamil Nadu","Commercial",1.0
"2008-09","Tamil Nadu","Revenue",1.0
"2008-09","Tamil Nadu","State Finance",1.0
"2008-09","Tripura","Civil",1.0
"2008-09","Tripura","State Finance",1.0
"2008-09","Tripura","West Tripura District",1.0
"2008-09","Uttar Pradesh","Civil",1.0
"2008-09","Uttar Pradesh","Commercial",1.0
"2008-09","Uttar Pradesh","Performance Revenue",1.0
"2008-09","Uttar Pradesh","Revenue",1.0
"2008-09","Uttar Pradesh","State Finance",1.0
"2008-09","Uttarakhand","Civil",1.0
"2008-09","Uttarakhand","Performance Audit",1.0
"2008-09","Uttarakhand","State Finance",1.0
"2008-09","West Bengal","Civil",1.0
"2008-09","West Bengal","Commercial",1.0
"2008-09","West Bengal","Revenue",1.0
"2008-09","West Bengal","State Finance",1.0
"Total","Total","",392.0
