-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total
ANDHRA PRADESH,EAST GODAVARI,TUNI,417,1,72,0,0,490
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,42,0,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,789,255,0,0,0,1044
ANDHRA PRADESH,GUNTUR,ACHAMPETA,54,11,10,1,20,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,203,19,0,57,0,279
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,166,159,0,0,0,325
ANDHRA PRADESH,GUNTUR,BAPATLA,27,0,0,0,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,52,54,4,11,0,121
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1045,3,0,0,0,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1620,1,0,0,0,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,28,0,0,0,0,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,43,0,0,0,10,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,81,0,0,0,3,84
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1665,13,1,0,0,1679
ANDHRA PRADESH,GUNTUR,EDLAPADU,31,5,0,0,0,36
ANDHRA PRADESH,GUNTUR,GUNTUR,36,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,GURAZALA,71,0,0,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,31,0,0,9,8,48
ANDHRA PRADESH,GUNTUR,KAREMPUDI,298,0,0,0,0,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,40,0,0,0,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1724,2,6,0,0,1732
ANDHRA PRADESH,GUNTUR,KOLLUR,2640,0,0,0,0,2640
ANDHRA PRADESH,GUNTUR,KROSURU,9,11,0,0,0,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,146,1,0,45,0,192
ANDHRA PRADESH,GUNTUR,MACHERLA,47,2,0,8,0,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,841,56,0,0,0,897
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,36,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,26,48,8,0,0,82
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,3,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,1,4,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,63,2,3,6,11,85
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,85,0,1,1,0,87
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,59,0,0,0,0,59
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,2,0,0,0,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,919,88,0,1,0,1008
ANDHRA PRADESH,GUNTUR,PRATHIPADU,18,0,0,0,0,18
ANDHRA PRADESH,GUNTUR,RAJUPALEM,18,0,0,0,0,18
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,31,1,0,0,0,32
ANDHRA PRADESH,GUNTUR,REPALLE,92,0,0,0,0,92
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,20,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,TADIKONDA,317,8,0,0,0,325
ANDHRA PRADESH,GUNTUR,TENALI,1289,0,0,0,0,1289
ANDHRA PRADESH,GUNTUR,THADEPALLE,1035,4,1,0,0,1040
ANDHRA PRADESH,GUNTUR,THULLUR,2142,15,0,0,0,2157
ANDHRA PRADESH,GUNTUR,TSUNDUR,638,0,0,0,0,638
ANDHRA PRADESH,GUNTUR,VEMURU,315,16,15,0,305,651
ANDHRA PRADESH,GUNTUR,VINUKONDA,17,0,0,0,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,442,0,0,468,71,981
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,12,0,0,51,2,65
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,59,17,0,271,16,363
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,62,2,0,210,19,293
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,65,16,10,231,13,335
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,0,0,0,12,1,13
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,56,0,0,175,18,249
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,359,0,0,458,0,817
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,903,0,0,123,1,1027
