-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.15.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.15.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No constraints in utilisation,Constraints in utilisation - Inadequate power supply,Constraints in utilisation - Mechanical break down,Constraints in utilisation - Less water discharge,Constraints in utilisation - Other reason,Total
MAHARASHTRA,AHMEDNAGAR,NEVASA,150,0,0,253,2234,2637
MAHARASHTRA,AHMEDNAGAR,PARNER,116,65,3,394,1,579
MAHARASHTRA,AHMEDNAGAR,PATHARDI,12,0,0,70,1,83
MAHARASHTRA,AHMEDNAGAR,RAHATA,271,184,7,308,1,771
MAHARASHTRA,AHMEDNAGAR,RAHURI,5,0,3,566,2103,2677
MAHARASHTRA,AHMEDNAGAR,SANGAMNER,1,0,2,1698,0,1701
MAHARASHTRA,AHMEDNAGAR,SHEVGAON,0,122,0,439,0,561
MAHARASHTRA,AHMEDNAGAR,SHRIGONDA,13,0,0,66,0,79
MAHARASHTRA,AHMEDNAGAR,SHRIRAMPUR,197,184,1,624,7,1013
MAHARASHTRA,AKOLA,AKOLA,0,0,0,6,0,6
MAHARASHTRA,AKOLA,BALAPUR,0,0,0,174,0,174
MAHARASHTRA,AKOLA,BARSHI TAKLI,4,0,0,0,0,4
MAHARASHTRA,AKOLA,MURTIJAPUR,0,0,0,12,0,12
MAHARASHTRA,AKOLA,TELHARA,0,0,0,13,4,17
MAHARASHTRA,AMRAVATI,ACHALPUR,5,0,0,0,0,5
MAHARASHTRA,AMRAVATI,AMRAVATI,1,0,0,1,3,5
MAHARASHTRA,AMRAVATI,ANJANGAON SURJI,0,0,0,1,0,1
MAHARASHTRA,AMRAVATI,CHANDUR BAZAR,4,0,0,9,0,13
MAHARASHTRA,AMRAVATI,CHANDUR RAILWAY,0,0,0,2,0,2
MAHARASHTRA,AMRAVATI,DARYAPUR,0,0,0,1,0,1
MAHARASHTRA,AMRAVATI,DHAMANGAON RAILWAY,0,1,0,3,6,10
MAHARASHTRA,AMRAVATI,DHARNI,2,0,1,3,0,6
MAHARASHTRA,AMRAVATI,WARUD,16,0,0,70,0,86
MAHARASHTRA,AURANGABAD,AURANGABAD,0,0,0,10,0,10
MAHARASHTRA,AURANGABAD,GANAGAPUR,0,50,0,274,0,324
MAHARASHTRA,AURANGABAD,KHULDABAD,0,0,0,33,0,33
MAHARASHTRA,AURANGABAD,PAITHAN,0,671,0,137,0,808
MAHARASHTRA,AURANGABAD,SOEGAON,0,23,0,0,0,23
MAHARASHTRA,AURANGABAD,VAIJAPUR,0,89,0,1,0,90
MAHARASHTRA,BEED,BEED,0,6,0,0,0,6
MAHARASHTRA,BEED,PARLI,76,100,0,61,9,246
MAHARASHTRA,BEED,PATODA,51,3,0,68,0,122
MAHARASHTRA,BEED,SHIRUR (KASAR),0,3,0,0,0,3
MAHARASHTRA,BEED,WADWANI,42,0,0,42,0,84
MAHARASHTRA,BHANDARA,BHANDARA,4,0,0,9,5,18
MAHARASHTRA,BHANDARA,LAKHANDUR,1,3,0,0,6,10
MAHARASHTRA,BHANDARA,LAKHANI,2,0,0,0,2,4
MAHARASHTRA,BHANDARA,PAVANI,0,6,0,0,11,17
MAHARASHTRA,BHANDARA,SAKOLI,0,1,0,0,5,6
MAHARASHTRA,BULDANA,BULDANA,0,0,0,91,4,95
MAHARASHTRA,BULDANA,CHIKHLI,8,3,0,225,0,236
MAHARASHTRA,BULDANA,LONAR,0,0,0,29,41,70
MAHARASHTRA,BULDANA,MEHKAR,29,1,0,11,2,43
MAHARASHTRA,BULDANA,MOTALA,0,0,0,9,0,9
MAHARASHTRA,BULDANA,NANDURA,0,0,0,2,0,2
MAHARASHTRA,BULDANA,SANGRAMPUR,0,0,0,2,0,2
MAHARASHTRA,BULDANA,SHEGAON,0,1,0,0,0,1
MAHARASHTRA,CHANDRAPUR,BALLARPUR,0,0,0,3,0,3
MAHARASHTRA,CHANDRAPUR,BHADRAVATI,0,0,0,1,0,1
MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,0,0,0,8,0,8
MAHARASHTRA,CHANDRAPUR,CHIMUR,0,0,0,5,0,5
MAHARASHTRA,CHANDRAPUR,KORPANA,0,0,0,61,0,61
MAHARASHTRA,CHANDRAPUR,RAJURA,0,0,0,26,0,26
MAHARASHTRA,CHANDRAPUR,SAWALI,1,0,0,0,0,1
MAHARASHTRA,CHANDRAPUR,SINDEWAHI,7,10,1,7,7,32
MAHARASHTRA,CHANDRAPUR,WARORA,0,0,0,0,1,1
MAHARASHTRA,DHULE,DHULE,0,0,0,188,0,188
MAHARASHTRA,DHULE,SAKRI,36,0,0,34,0,70
MAHARASHTRA,DHULE,SHIRPUR,61,0,0,0,1,62
MAHARASHTRA,DHULE,SINDKHEDA,0,0,0,0,0,0
MAHARASHTRA,GADCHIROLI,CHAMORSHI,0,0,0,0,0,0
MAHARASHTRA,GADCHIROLI,KURKHEDA,4,0,0,1,1,6
MAHARASHTRA,GADCHIROLI,SIRONCHA,120,0,0,0,11,131
MAHARASHTRA,GONDIYA,A / MORGAON,0,0,0,0,0,0
MAHARASHTRA,GONDIYA,AMGAON,2,0,0,8,9,19
MAHARASHTRA,GONDIYA,DEVRI,0,1,0,0,0,1
MAHARASHTRA,GONDIYA,GONDIYA,15,38,0,3,1,57
MAHARASHTRA,GONDIYA,GOREGAON,0,2,1,81,25,109
MAHARASHTRA,GONDIYA,SADAK ARJUNI,1,0,0,0,15,16
MAHARASHTRA,GONDIYA,SALEKASA,0,0,0,0,2,2
MAHARASHTRA,HINGOLI,AUNDHA (NAGNATH),96,84,2,503,10,695
MAHARASHTRA,HINGOLI,BASMATH,353,0,23,160,0,536
MAHARASHTRA,HINGOLI,HINGOLI,425,13,0,653,0,1091
MAHARASHTRA,HINGOLI,KALAMNURI,16,23,0,427,1,467
MAHARASHTRA,HINGOLI,SENGAON,0,41,0,376,12,429
MAHARASHTRA,JALGAON,AMALNER,0,0,0,85,3,88
MAHARASHTRA,JALGAON,BHUSAWAL,51,4,0,173,17,245
MAHARASHTRA,JALGAON,BODWAD,18,0,0,0,0,18
MAHARASHTRA,JALGAON,CHOPDA,72,0,0,0,1,73
MAHARASHTRA,JALGAON,DHARANGAON,3,0,4,163,0,170
MAHARASHTRA,JALGAON,ERANDOL,0,0,0,32,0,32
MAHARASHTRA,JALGAON,JALGAON,0,0,0,5,0,5
MAHARASHTRA,JALGAON,JAMNER,15,0,0,1,0,16
MAHARASHTRA,JALGAON,RAVER,109,108,0,317,0,534
MAHARASHTRA,JALGAON,YAWAL,2,0,0,16,0,18
MAHARASHTRA,JALNA,AMBAD,0,0,0,2,0,2
MAHARASHTRA,JALNA,BADNAPUR,0,0,0,2,0,2
MAHARASHTRA,JALNA,BHOKARDAN,0,0,0,5,0,5
MAHARASHTRA,JALNA,GHANSAWANGI,0,9,0,86,0,95
MAHARASHTRA,JALNA,JALNA,0,49,0,1,0,50
MAHARASHTRA,JALNA,MANTHA,0,2,0,0,0,2
MAHARASHTRA,JALNA,PARTUR,0,0,0,7,0,7
MAHARASHTRA,KOLHAPUR,AJRA,12,36,0,11,2,61
MAHARASHTRA,KOLHAPUR,BHUDARGAD,25,21,0,3,4,53
MAHARASHTRA,KOLHAPUR,CHANDGAD,25,4,0,9,0,38
MAHARASHTRA,KOLHAPUR,GADHINGLAJ,73,0,0,94,0,167
MAHARASHTRA,KOLHAPUR,HATKANANGALE,719,0,0,88,0,807
MAHARASHTRA,KOLHAPUR,KAGAL,32,27,0,1,0,60
MAHARASHTRA,KOLHAPUR,KARVIR,151,50,1,68,14,284
MAHARASHTRA,KOLHAPUR,PANHALA,33,3,7,1,2,46
MAHARASHTRA,KOLHAPUR,RADHANAGARI,4,2,0,11,2,19
MAHARASHTRA,KOLHAPUR,SHAHUWADI,23,4,0,6,0,33
MAHARASHTRA,KOLHAPUR,SHIROL,495,92,0,0,184,771
MAHARASHTRA,LATUR,AHMADPUR,0,0,0,138,0,138
MAHARASHTRA,LATUR,CHAKUR,0,0,0,547,0,547
MAHARASHTRA,LATUR,DEONI,22,0,0,3,0,25
MAHARASHTRA,LATUR,NILANGA,4,0,0,109,0,113
MAHARASHTRA,LATUR,RENAPUR,0,0,0,2,0,2
MAHARASHTRA,LATUR,SHIRUR ANANTPAL,27,2,2,73,0,104
MAHARASHTRA,LATUR,UDGIR,84,0,0,23,0,107
MAHARASHTRA,NAGPUR,BHIWAPUR,5,3,0,220,3,231
MAHARASHTRA,NAGPUR,HINGNA,0,0,0,5,0,5
MAHARASHTRA,NAGPUR,KALAMESHWAR,0,0,0,5,0,5
MAHARASHTRA,NAGPUR,KAMPTEE,1,0,0,6,0,7
MAHARASHTRA,NAGPUR,KUHI,10,0,0,12,0,22
MAHARASHTRA,NAGPUR,MOUDA,11,0,0,31,0,42
MAHARASHTRA,NAGPUR,NAGPUR RURAL,0,0,0,52,0,52
MAHARASHTRA,NAGPUR,NARKHED,0,18,0,52,0,70
MAHARASHTRA,NAGPUR,PARSEONI,0,0,0,6,0,6
MAHARASHTRA,NAGPUR,RAMTEK,8,0,0,0,0,8
MAHARASHTRA,NAGPUR,SAVNER,0,0,0,3,0,3
MAHARASHTRA,NAGPUR,UMRED,0,2,0,11,32,45
MAHARASHTRA,NANDED,ARDHAPUR,0,204,1,56,3,264
MAHARASHTRA,NANDED,BHOKAR,253,0,0,53,0,306
MAHARASHTRA,NANDED,BILOLI,25,937,0,177,194,1333
MAHARASHTRA,NANDED,DEGLUR,16,16,30,932,16,1010
MAHARASHTRA,NANDED,DHARMABAD,98,2,0,313,0,413
MAHARASHTRA,NANDED,HADGAON,697,0,13,27,1,738
MAHARASHTRA,NANDED,HIMAYATNAGAR,504,0,0,6,11,521
MAHARASHTRA,NANDED,KANDHAR,16,0,0,55,4,75
MAHARASHTRA,NANDED,KINWAT,1,9,0,182,103,295
MAHARASHTRA,NANDED,LOHA,61,11,0,39,0,111
MAHARASHTRA,NANDED,MAHOOR,8,27,0,3,0,38
MAHARASHTRA,NANDED,MUDKHED,19,148,0,79,1,247
MAHARASHTRA,NANDED,MUKHED,5,19,0,180,0,204
MAHARASHTRA,NANDED,NAIGAON (KHAIRGAON),77,32,1,204,33,347
MAHARASHTRA,NANDED,NANDED,0,148,17,403,55,623
MAHARASHTRA,NANDED,UMRI,7,0,1,200,28,236
MAHARASHTRA,NANDURBAR,AKKALKUWA,0,0,0,0,0,0
MAHARASHTRA,NANDURBAR,AKRANI,0,0,0,4,0,4
MAHARASHTRA,NANDURBAR,NANDURBAR,51,0,0,0,0,51
MAHARASHTRA,NANDURBAR,NAWAPUR,25,0,0,0,0,25
MAHARASHTRA,NANDURBAR,SHAHADE,0,0,0,186,0,186
MAHARASHTRA,NANDURBAR,TALODA,1,0,1,1375,0,1377
MAHARASHTRA,NASHIK,BAGLAN,0,0,0,0,0,0
MAHARASHTRA,NASHIK,CHANDWAD,1,0,0,29,0,30
MAHARASHTRA,NASHIK,DEOLA,7,0,1,0,0,8
MAHARASHTRA,NASHIK,DINDORI,1,1,0,579,109,690
MAHARASHTRA,NASHIK,IGATPURI,0,0,0,12,0,12
MAHARASHTRA,NASHIK,KALWAN,22,0,0,331,0,353
MAHARASHTRA,NASHIK,MALEGAON,1,0,0,247,0,248
MAHARASHTRA,NASHIK,NANDGAON,0,0,0,20,0,20
MAHARASHTRA,NASHIK,NASHIK,41,0,0,107,0,148
MAHARASHTRA,NASHIK,NIPHAD,35,0,0,937,0,972
MAHARASHTRA,NASHIK,PEINT,0,0,0,0,0,0
MAHARASHTRA,NASHIK,SINNAR,0,0,0,88,0,88
MAHARASHTRA,NASHIK,TRIMBAKESHWAR,0,0,0,0,1,1
MAHARASHTRA,NASHIK,YEOLA,0,0,0,0,0,0
MAHARASHTRA,OSMANABAD,BHOOM,24,0,0,62,0,86
MAHARASHTRA,OSMANABAD,KALAMB,5,0,0,120,0,125
MAHARASHTRA,OSMANABAD,LOHARA,6,0,0,7,0,13
MAHARASHTRA,OSMANABAD,OMARGA,34,0,0,51,0,85
MAHARASHTRA,OSMANABAD,OSMANABAD,195,0,1,371,0,567
MAHARASHTRA,OSMANABAD,PARANDA,1,0,0,73,0,74
MAHARASHTRA,OSMANABAD,TULJAPUR,85,5,0,95,3,188
MAHARASHTRA,OSMANABAD,WASHI,0,0,0,58,0,58
MAHARASHTRA,PARBHANI,GANGAKHED,190,0,0,156,3,349
MAHARASHTRA,PARBHANI,JINTUR,0,0,0,166,35,201
MAHARASHTRA,PARBHANI,MANWAT,27,0,0,97,0,124
MAHARASHTRA,PARBHANI,PALAM,0,260,0,1,0,261
MAHARASHTRA,PARBHANI,PARBHANI,269,1,0,173,23,466
MAHARASHTRA,PARBHANI,PURNA,3,27,0,1,0,31
MAHARASHTRA,PARBHANI,SAILU,0,70,0,159,37,266
MAHARASHTRA,PARBHANI,SONPETH,1,335,20,7,3,366
MAHARASHTRA,PUNE,AMBEGAON,63,0,0,18,22,103
MAHARASHTRA,PUNE,BARAMATI,345,64,12,133,3,557
MAHARASHTRA,PUNE,DAUND,162,0,0,0,0,162
MAHARASHTRA,PUNE,HAVELI,71,5,0,102,6,184
MAHARASHTRA,PUNE,INDAPUR,79,0,0,4,0,83
MAHARASHTRA,PUNE,JUNNAR,1,59,3,719,32,814
MAHARASHTRA,PUNE,KHED,4,0,0,18,7,29
MAHARASHTRA,PUNE,MAWAL,289,1,0,0,4,294
MAHARASHTRA,PUNE,MULSHI,60,0,0,0,1,61
MAHARASHTRA,PUNE,PURANDHAR,165,9,1,171,2,348
MAHARASHTRA,PUNE,SHIRUR,878,26,0,119,15,1038
MAHARASHTRA,PUNE,VELHE,2,0,0,0,0,2
MAHARASHTRA,RAIGHAR,ALIBAG,152,0,1,34,57,244
MAHARASHTRA,RAIGHAR,MAHAD,1,0,0,1,17,19
MAHARASHTRA,RAIGHAR,MANGOAN,18,0,0,0,0,18
MAHARASHTRA,RAIGHAR,MHASLA,3,0,0,1,1,5
MAHARASHTRA,RAIGHAR,MURUD,0,0,0,27,0,27
MAHARASHTRA,RAIGHAR,SHRIVARDHAN,0,0,0,37,0,37
MAHARASHTRA,RAIGHAR,SUDHAGAD,7,0,0,0,0,7
MAHARASHTRA,RATNAGIRI,CHIPLUN,1,0,0,0,1,2
MAHARASHTRA,RATNAGIRI,DAPOLI,4,0,0,0,0,4
MAHARASHTRA,SANGLI,ATPADI,3,0,0,122,0,125
MAHARASHTRA,SANGLI,JAT,0,16,0,465,1,482
MAHARASHTRA,SANGLI,KAVATHE-MAHANKLA,50,4,0,505,8,567
MAHARASHTRA,SANGLI,KHANAPUR,84,0,0,284,13,381
MAHARASHTRA,SANGLI,MIRAJ,80,20,0,100,551,751
MAHARASHTRA,SANGLI,PALUS,38,45,0,359,6,448
MAHARASHTRA,SANGLI,SHIRALA,23,9,0,172,25,229
MAHARASHTRA,SANGLI,TASGAON,47,7,0,817,2,873
MAHARASHTRA,SANGLI,WALWA,116,150,0,528,105,899
MAHARASHTRA,SATARA,KARAD,0,1,0,255,336,592
MAHARASHTRA,SATARA,KHANDALA,0,0,0,94,0,94
MAHARASHTRA,SATARA,KHATAV,0,0,0,43,0,43
MAHARASHTRA,SATARA,KOREGAON,0,0,1,84,0,85
MAHARASHTRA,SATARA,MAHABALESHWAR,0,0,0,43,0,43
MAHARASHTRA,SATARA,MAN,0,0,0,109,0,109
MAHARASHTRA,SATARA,PATAN,0,0,1,0,9,10
MAHARASHTRA,SATARA,PHALTAN,0,24,0,262,83,369
MAHARASHTRA,SATARA,SATARA,0,0,0,177,0,177
MAHARASHTRA,SINDHUDURGA,DEVGAD,2,0,0,7,0,9
MAHARASHTRA,SINDHUDURGA,KANKAVLI,0,0,0,3,1,4
MAHARASHTRA,SINDHUDURGA,MALWAN,0,0,0,0,2,2
MAHARASHTRA,SINDHUDURGA,VENGURLA,0,0,0,0,2,2
MAHARASHTRA,SOLAPUR,AKKALKOT,816,0,0,151,5,972
MAHARASHTRA,SOLAPUR,BARSHI,134,4,1,157,7,303
MAHARASHTRA,SOLAPUR,KARMALA,89,45,4,122,0,260
MAHARASHTRA,SOLAPUR,MADHA,28,20,0,67,3,118
MAHARASHTRA,SOLAPUR,MALSHIRAS,394,16,2,364,10,786
MAHARASHTRA,SOLAPUR,MANGALVEDHA,28,0,0,19,0,47
MAHARASHTRA,SOLAPUR,MOHOL,126,0,0,160,14,300
MAHARASHTRA,SOLAPUR,NORTH  SOLAPUR,0,0,0,125,25,150
MAHARASHTRA,SOLAPUR,PANDHARPUR,230,3,0,177,14,424
MAHARASHTRA,SOLAPUR,SANGOLA,118,0,0,13,0,131
MAHARASHTRA,SOLAPUR,SOUTH  SOLAPUR,549,252,19,309,10,1139
MAHARASHTRA,THANE,DHANU,676,0,1,0,3,680
MAHARASHTRA,THANE,MURBAD,1,0,0,1,1,3
MAHARASHTRA,THANE,PALGHAR,140,1,0,409,400,950
MAHARASHTRA,THANE,SHAHAPUR,0,0,0,2,0,2
MAHARASHTRA,THANE,TALASARI,3,0,0,306,0,309
MAHARASHTRA,THANE,VIKRAMGAD,8,0,0,0,44,52
MAHARASHTRA,THANE,WADA,0,0,0,0,15,15
MAHARASHTRA,WARDHA,ARVI,1,0,1,0,0,2
MAHARASHTRA,WARDHA,ASHTI,0,0,0,0,0,0
MAHARASHTRA,WARDHA,DEOLI,0,1,1,0,0,2
MAHARASHTRA,WARDHA,KARANJA,3,0,0,5,0,8
MAHARASHTRA,WARDHA,SAMUDRAPUR,1,0,0,52,0,53
MAHARASHTRA,WARDHA,SELOO,1,0,0,0,0,1
MAHARASHTRA,WARDHA,WARDHA,0,0,0,2,1,3
MAHARASHTRA,WASHIM,KARANJA,0,7,0,3,5,15
MAHARASHTRA,WASHIM,MALEGAON,0,0,0,9,0,9
MAHARASHTRA,WASHIM,MANGRULPIR,0,0,0,3,0,3
MAHARASHTRA,WASHIM,MANORA,0,0,0,4,0,4
MAHARASHTRA,WASHIM,RISOD,1,5,0,38,2,46
MAHARASHTRA,WASHIM,WASHIM,1,0,0,0,29,30
MAHARASHTRA,YAVATMAL,BABULGAON,0,0,0,54,38,92
MAHARASHTRA,YAVATMAL,DARWHA,1,0,0,0,0,1
MAHARASHTRA,YAVATMAL,GHATANJI,35,0,0,1,0,36
MAHARASHTRA,YAVATMAL,KALAMB,0,0,0,0,0,0
MAHARASHTRA,YAVATMAL,KELAPUR,1,5,0,9,0,15
MAHARASHTRA,YAVATMAL,MAREGAON,5,1,0,29,0,35
MAHARASHTRA,YAVATMAL,PUSAD,0,0,0,19,0,19
MAHARASHTRA,YAVATMAL,RALEGAON,0,1,0,5,4,10
MAHARASHTRA,YAVATMAL,WANI,21,82,1,108,47,259
MAHARASHTRA,YAVATMAL,YAVATMAL,3,0,0,8,2,13
MAHARASHTRA,YAVATMAL,ZARI JAMANI,109,66,0,24,0,199
MANIPUR,IMPHAL EAST,IRILBUNG,0,0,0,1,0,1
MANIPUR,IMPHAL EAST,SAWOMBUNG,0,0,0,2,0,2
MEGHALAYA,WEST GARO HILLS,BETASING,0,0,0,0,6,6
MEGHALAYA,WEST GARO HILLS,SELSELLA,12,0,18,0,10,40
MEGHALAYA,WEST GARO HILLS,ZIKZAK,0,0,0,0,6,6
NAGALAND,DIMAPUR,MEDZIPHEMA,0,0,0,0,0,0
ORISSA,ANGUL,ANUGUL,0,0,0,1,1,2
ORISSA,ANGUL,KISHOR NAGAR,0,0,0,0,1,1
ORISSA,ANGUL,PALALAHADA,0,1,0,6,0,7
ORISSA,BALASORE,BAHANAGA,0,2,2,10,893,907
ORISSA,BALASORE,BALASORE,27,0,7,52,246,332
ORISSA,BALASORE,BALIAPAL,645,44,37,12,690,1428
ORISSA,BALASORE,BASTA,1175,84,15,114,400,1788
ORISSA,BALASORE,BHOGRAI,399,14,44,60,1459,1976
ORISSA,BALASORE,JALESWAR,341,20,146,11,550,1068
ORISSA,BALASORE,KHAIRA,30,1,47,230,515,823
ORISSA,BALASORE,NILAGIRI,12,0,19,2,102,135
ORISSA,BALASORE,OUPADA,2,15,0,36,69,122
ORISSA,BALASORE,REMUNA,298,0,10,60,307,675
ORISSA,BALASORE,SIMULIA,0,22,11,4,422,459
ORISSA,BALASORE,SORO,21,7,1,28,567,624
ORISSA,BARGARH,AMBABHANA,7,105,1,29,6,148
ORISSA,BARGARH,ATABIRA,8,1,1,1,1,12
ORISSA,BARGARH,BARAPALI,22,17,0,3,11,53
ORISSA,BARGARH,BARGARH,65,3,0,44,14,126
ORISSA,BARGARH,BHATALI,11,408,0,49,6,474
ORISSA,BARGARH,BHEDEN,1,0,0,0,0,1
ORISSA,BARGARH,BIJEPUR,26,10,0,15,3,54
ORISSA,BARGARH,GAISILAT,6,2,2,11,42,63
ORISSA,BARGARH,JHARABANDH,83,9,0,11,4,107
ORISSA,BARGARH,PADMAPUR (RAJABUDASA,6,3,0,24,5,38
ORISSA,BARGARH,PAIKMAL,6,12,0,7,8,33
ORISSA,BARGARH,SOHELA,50,110,0,92,31,283
ORISSA,BHADRAK,BANTA,157,1,1,6,743,908
ORISSA,BHADRAK,BASUDEBPUR,7,7,0,17,382,413
ORISSA,BHADRAK,BHADRAK,181,27,38,6,407,659
ORISSA,BHADRAK,BHANDARI POKHARI,88,2,9,6,243,348
ORISSA,BHADRAK,DHAMNAGAR,227,2,3,18,226,476
ORISSA,BHADRAK,TIHIDI,28,5,7,21,202,263
ORISSA,BOLANGIR,AGALPUR,1,0,0,0,0,1
ORISSA,BOLANGIR,BALANGIR,0,0,0,2,1,3
ORISSA,BOLANGIR,BANGOMUNDA,0,0,0,0,1,1
ORISSA,BOLANGIR,DEOGAON,2,0,0,12,0,14
ORISSA,BOLANGIR,GUDVELA,3,0,0,0,4,7
ORISSA,BOLANGIR,LOISINGHA,0,2,0,0,0,2
ORISSA,BOLANGIR,MURIBAHAL,0,0,0,0,0,0
ORISSA,BOLANGIR,PATNAGARH,0,0,0,1,0,1
ORISSA,BOLANGIR,SAINTALA,0,0,0,0,0,0
ORISSA,BOLANGIR,TUREIKELA,1,0,0,0,0,1
ORISSA,CUTTACK,ATHAGARH,0,0,0,0,1,1
ORISSA,CUTTACK,BADAMBA,1,0,0,0,0,1
ORISSA,CUTTACK,BARANGA,104,0,0,0,171,275
ORISSA,CUTTACK,CUTTACKSADAR,53,0,0,39,308,400
ORISSA,CUTTACK,DAMPADA,0,0,0,1,1,2
ORISSA,CUTTACK,KANTAPADA,190,12,1,0,194,397
ORISSA,CUTTACK,MAHANGA,125,1,0,8,285,419
ORISSA,CUTTACK,NIALI,346,6,37,16,239,644
ORISSA,CUTTACK,NISCHINTAKOILI,70,17,22,18,679,806
ORISSA,CUTTACK,SALIPUR,174,4,4,29,266,477
ORISSA,CUTTACK,TANGI CHOUDWAR,3,0,0,0,1,4
ORISSA,DEOGARH,RIAMAL,0,0,0,0,1,1
ORISSA,DHENKANAL,BHUBAN,1,0,0,0,0,1
ORISSA,DHENKANAL,KAMAKHYANAGAR,0,0,0,0,1,1
ORISSA,DHENKANAL,KANKADAHAD,1,0,0,2,0,3
ORISSA,DHENKANAL,SADAR,3,0,0,2,0,5
ORISSA,GAJAPATI,GUMMA,0,0,0,0,0,0
ORISSA,GAJAPATI,KASINAGAR,1,0,0,4,35,40
ORISSA,GAJAPATI,PARALAKHEMUNDI,54,1,0,0,17,72
ORISSA,GAJAPATI,RAYAGADA,0,0,0,0,0,0
ORISSA,GANJAM,ASKA,3,0,9,25,85,122
ORISSA,GANJAM,BELLAGUNTHA,6,0,0,2,19,27
ORISSA,GANJAM,BHANJANAGAR,1,0,0,0,2,3
ORISSA,GANJAM,CHHATRAPUR,7,5,0,37,131,180
ORISSA,GANJAM,CHIKETI,29,0,0,65,61,155
ORISSA,GANJAM,DHARAKOTE,3,9,12,0,24,48
ORISSA,GANJAM,DIGAPAHANDI,4,0,9,7,153,173
ORISSA,GANJAM,GANJAM,7,14,5,125,12,163
ORISSA,GANJAM,HINJILICUT,27,0,0,3,59,89
ORISSA,GANJAM,JAGANNATHPRASAD,0,0,0,7,4,11
ORISSA,GANJAM,KABISURYANAGAR,0,0,1,0,18,19
ORISSA,GANJAM,KUKUDAHANDI,1,0,0,0,1,2
ORISSA,GANJAM,PATRAPUR,32,0,4,31,16,83
ORISSA,GANJAM,POLASARA,1,11,0,4,0,16
ORISSA,GANJAM,PURUSOTTAMPUR,3,4,8,90,276,381
ORISSA,GANJAM,RANGEILUNDA,3,1,0,0,0,4
ORISSA,GANJAM,SANAKHEMUNDI,3,2,2,0,36,43
ORISSA,GANJAM,SHERAGAD,17,0,0,15,31,63
ORISSA,GANJAM,SORADA,2,0,0,0,7,9
ORISSA,JAGATSINGHPUR,BALIKUDA,306,0,2,3,147,458
ORISSA,JAGATSINGHPUR,BIRIDI,34,0,0,0,214,248
ORISSA,JAGATSINGHPUR,ERASAMA,245,0,0,1,73,319
ORISSA,JAGATSINGHPUR,JAGATSINGHPUR,162,4,5,16,393,580
ORISSA,JAGATSINGHPUR,KUJANG,159,4,0,9,134,306
ORISSA,JAGATSINGHPUR,NAUGAON,155,0,1,1,208,365
ORISSA,JAGATSINGHPUR,RAGHUNATHPUR,72,7,0,4,187,270
ORISSA,JAGATSINGHPUR,TIRTOL,68,11,1,2,208,290
ORISSA,JAJAPUR,BADACHANA,68,2,0,2,4,76
ORISSA,JAJAPUR,BARI,0,0,9,7,284,300
ORISSA,JAJAPUR,BINJHARPUR,167,1,1,5,319,493
ORISSA,JAJAPUR,DANAGADI,3,0,0,4,2,9
ORISSA,JAJAPUR,DASARATHPUR,97,3,8,12,258,378
ORISSA,JAJAPUR,DHARMASALA,14,0,1,6,77,98
ORISSA,JAJAPUR,JAJPUR,64,10,35,55,427,591
ORISSA,JAJAPUR,KOREI,251,2,12,28,105,398
ORISSA,JAJAPUR,RASULPUR,4,0,70,4,289,367
ORISSA,JAJAPUR,SUKINDA,1,0,0,0,0,1
ORISSA,JHARSUGUDA,JHARSUGUDA,0,0,0,0,1,1
ORISSA,JHARSUGUDA,LAIKERA,0,0,0,9,0,9
ORISSA,KALAHANDI,BHAWANIPATANA,0,0,0,1,6,7
ORISSA,KALAHANDI,JAIPATNA,1,0,0,0,0,1
ORISSA,KALAHANDI,JUNAGAD,4,0,0,0,0,4
ORISSA,KALAHANDI,KALAMPUR,0,0,0,0,3,3
ORISSA,KALAHANDI,KESINGA,0,0,0,0,1,1
ORISSA,KALAHANDI,KOKASARA,4,0,0,1,0,5
ORISSA,KALAHANDI,MADANPUR RAMAPUR,1,0,0,0,0,1
ORISSA,KALAHANDI,NARLA,0,1,2,6,0,9
ORISSA,KANDHAMAL,TUMUDIBANDHA,0,0,0,0,0,0
ORISSA,KENDRAPARA,AUL,29,0,0,0,14,43
ORISSA,KENDRAPARA,DERABISHI,271,3,26,11,69,380
ORISSA,KENDRAPARA,GARADPUR,22,12,9,20,73,136
ORISSA,KENDRAPARA,KENDRAPADA,15,0,6,9,31,61
ORISSA,KENDRAPARA,MAHAKALPADA,5,0,0,12,4,21
ORISSA,KENDRAPARA,MARSHAGHAI,38,1,0,0,34,73
ORISSA,KENDRAPARA,PATTAMUNDAI,93,113,2,0,3,211
ORISSA,KENDRAPARA,RAJKANIKA,0,0,0,1,0,1
ORISSA,KEONJHAR,ANANDPUR,26,0,0,6,49,81
ORISSA,KEONJHAR,GHASIPURA,6,3,0,47,23,79
ORISSA,KEONJHAR,GHATAGAON,0,0,0,0,1,1
