-----
{
 "description": "The dataset comprises latest quarterly estimates of Gross Domestic Product, Final Consumption Expenditure and other macro economic aggregates at constant(2004-05) prices.", 
 "file_name": "qtr_const_31may13_1.xls", 
 "title": "Download XLS for Quarterly Estimates of GDP at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/qtr_const_31may13_1.xls"
}
-----
"Industry","2004-05:Q1","2004-05:Q2","2004-05:Q3","2004-05:Q4","2005-06:Q1","2005-06:Q2","2005-06:Q3","2005-06:Q4","2006-07:Q1","2006-07:Q2","2006-07:Q3","2006-07:Q4","2007-08:Q1","2007-08:Q2","2007-08:Q3","2007-08:Q4","2008-09:Q1","2008-09:Q2","2008-09:Q3","2008-09:Q4","2009-10:Q1","2009-10:Q2","2009-10:Q3","2009-10:Q4","2010-11:Q1","2010-11:Q2","2010-11:Q3","2010-11:Q4","2011-12:Q1","2011-12:Q2","2011-12:Q3","2011-12:Q4","2012-13:Q1","2012-13:Q2","2012-13:Q3","2012-13:Q4"
"GFCF",210317.980533,223044.953403,234205.891172,263458.98929,242624.2456,256998.073035,274886.373501,307283.641441,273193.456467,286222.354652,315959.292687,355889.786808,325658.377545,344174.418663,363740.994312,397189.751071,370960.590245,380646.754654,371371.126914,357965.391666,360677.365702,393308.99697,397265.842486,443222.777844,415565.886749,446241.712887,468665.858661,487110.542346,473501.477567,463216.783263,460716.728341,499873.789935,462929.46653,468381.432836,481637.920539,517038.798161
"CIS",18428.4991293,19561.4443911,20464.0499455,21695.933439,23838.7577908,24547.1629949,25664.3618075,27460.7174068,30894.3554521,32218.7911907,33664.9241867,36777.9291705,41465.3539385,42420.8448979,44060.8021191,47463.9990445,21662.4248246,21526.1465795,21136.593673,20964.8349229,33305.735561,35093.3665813,35860.7604334,38792.35142,43818.2367451,44889.2892173,46600.4493027,50200.8324705,31787.4817634,31244.0669534,31680.5040532,33942.6221872,53966.04459,53636.5199808,55698.3326722,59731.4942284
"Valuables",9393.64324267,10041.9126713,10300.2809219,11318.0952422,8443.35931928,10186.767625,10292.0300133,11492.0212396,10920.3053026,11244.5619774,11412.1861907,12356.1028669,10078.9574964,11390.1286953,13146.3106833,12647.6122655,16585.9946729,15740.5579732,14439.0765807,13221.7880546,22531.9899883,25116.9515143,22542.309196,24332.69173,31672.8566314,32478.3492522,29980.5831436,31059.4998651,36768.9785885,28172.4743773,32499.7943051,36012.6666882,29082.4006831,29385.8048633,30244.21669,28754.4089132
"Exports of goods and services",122481.622626,125100.035379,143685.342406,177783.999588,158197.801562,159412.592771,183690.543848,216123.061819,201056.851368,214870.094572,206375.550562,241156.749293,206558.928222,215439.974199,234140.446708,258488.691248,265882.836381,278278.789563,256234.962794,247743.204366,238672.028829,242961.54997,247484.120919,269912.300283,268863.268892,271452.759494,317096.020233,338351.951382,321392.432459,324920.885083,349317.070838,383593.61162,360707.07054,341222.944808,336949.368999,381215.070501
"Less Imports of goods and services",124081.616303,152935.605388,173390.373738,175537.404572,197042.581046,196466.354225,213000.934217,223415.881383,244123.426082,258406.247733,251026.980488,254641.634674,248727.332533,261496.295945,280983.022863,319756.36416,333406.809871,382968.017574,350420.291903,296507.204423,304470.69514,319921.243566,350759.039686,359029.021608,375971.282198,375467.149295,392969.690945,400754.877562,444397.879968,447372.556493,487476.855343,497949.708197,492000.322106,489899.48578,507885.067719,514287.82466
"Discrepancies ",-12928.1578983,5740.22661171,8699.21274258,-26665.8873984,10504.6001406,-14719.8755047,-19754.51712,-13317.4649123,-31365.8015392,-3021.9686307,-4899.4285868,-15709.9083161,-46512.4697925,-41007.1321596,-21086.0393603,-7865.6421053,-30820.1156465,17098.9576239,-35188.0512839,20130.9452481,-44707.3096805,-53433.6544034,-42347.4418183,37428.3334854,-43332.5793799,-63908.3382542,-80236.2715092,31465.6744203,-37357.5413224,-27242.0973644,-6386.0302866,71458.530433,-32526.1218755,-35022.5651217,1821.98628526,66923.3350938
"Expenditure on GDP",750042.955585,758081.980365,850387.297399,883696.83409,819225.898288,822092.264325,926696.218782,975230.574012,879898.694194,906265.498396,1014523.48914,1070801.5257,975012.435724,989101.97798,1121528.42923,1165304.59997,1053832.65407,1055721.61217,1138740.31706,1168055.18413,1106460.4279,1129179.18626,1232237.45144,1322970.07609,1223543.07991,1241761.00696,1368162.66228,1462640.15464,1325206.77959,1320653.85789,1447326.78563,1538191.0,1370213.75424,1353630.3014,1506208.88049,1583610.90358
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Figures are in Rs. Crore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
