-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Temporary Diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,CHITTOOR,KUPPAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NAGARI,6,0,6,125,0,125,125,0,125
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,NINDRA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PAKALA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PALAMANER,1,0,1,4,0,4,1,0,1
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PENUMURU,1,0,1,7,0,7,0,0,0
ANDHRA PRADESH,CHITTOOR,PICHATUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PILERU,4,0,4,92,0,92,9,0,9
ANDHRA PRADESH,CHITTOOR,PULICHERLA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUNGANUR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,0,0,0,0,0,0,0,0,0
