-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.11.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
TAMIL NADU,THIRUVARUR,MANNARGUDI,56,46,5,0,0,0,107
TAMIL NADU,THIRUVARUR,MUTHUPETTAI,10,10,2,2,0,0,24
TAMIL NADU,THIRUVARUR,NEEDAMANGALAM,25,47,5,0,0,0,77
TAMIL NADU,THIRUVARUR,THIRUTHURAIPOONDI,1,1,0,0,0,0,2
TAMIL NADU,THIRUVARUR,VALANGAIMAN,4,33,11,0,0,0,48
TAMIL NADU,TIRUCHIRAPPALLI,ANDANALLUR,768,68,1,0,0,0,837
TAMIL NADU,TIRUCHIRAPPALLI,LALGUDI,400,34,1,0,0,0,435
TAMIL NADU,TIRUCHIRAPPALLI,MANAPPARAI,6408,234,15,1,0,0,6658
TAMIL NADU,TIRUCHIRAPPALLI,MANIKANDAM,1193,726,60,1,0,0,1980
TAMIL NADU,TIRUCHIRAPPALLI,MANNACHANALLUR,6658,422,28,3,0,1,7112
TAMIL NADU,TIRUCHIRAPPALLI,MARUNGAPURI,7342,349,5,6,0,2,7704
TAMIL NADU,TIRUCHIRAPPALLI,MUSIRI,6523,811,98,37,18,13,7500
TAMIL NADU,TIRUCHIRAPPALLI,PULLAMBADI,2759,473,108,26,2,6,3374
TAMIL NADU,TIRUCHIRAPPALLI,THATHAYANGARPETTAI,7194,1213,597,108,52,6,9170
TAMIL NADU,TIRUCHIRAPPALLI,THIRUVERUMBUR,482,135,8,0,0,0,625
TAMIL NADU,TIRUCHIRAPPALLI,THOTTIYAM,4785,375,100,4,0,1,5265
TAMIL NADU,TIRUCHIRAPPALLI,THURAIYUR,10134,749,33,7,0,3,10926
TAMIL NADU,TIRUCHIRAPPALLI,UPPILIAPURAM,6363,2793,605,7,3,2,9773
TAMIL NADU,TIRUCHIRAPPALLI,VAIYAMPATTY,6038,243,8,5,0,0,6294
TAMIL NADU,TIRUNELVELI,ALANGULAM,5669,2206,354,1,4,0,8234
TAMIL NADU,TIRUNELVELI,AMBASAMUDRAM,211,91,0,0,0,0,302
TAMIL NADU,TIRUNELVELI,CHERANMAHADEVI,1214,136,2,0,0,0,1352
TAMIL NADU,TIRUNELVELI,KADAYAM,2009,688,46,2,0,0,2745
TAMIL NADU,TIRUNELVELI,KADAYANALLUR,3741,1286,122,15,22,2,5188
TAMIL NADU,TIRUNELVELI,KALAKAD,2229,401,14,7,0,5,2656
