-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.7.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government Funds,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Others,Total
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,2493,86,36,47,3,2665
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,1542,0,19,3,0,1564
ANDHRA PRADESH,CHITTOOR,YADAMARI,2437,2,3,4,0,2446
ANDHRA PRADESH,CHITTOOR,YERPEDU,1369,44,99,58,0,1570
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,601,31,10,56,1,699
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,571,43,17,72,12,715
ANDHRA PRADESH,CUDDAPAH,ATLUR,938,56,125,8,10,1137
ANDHRA PRADESH,CUDDAPAH,B KODUR,650,1,18,25,6,700
ANDHRA PRADESH,CUDDAPAH,BADVEL,557,36,9,46,25,673
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,667,70,33,56,10,836
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,1101,12,25,31,0,1169
ANDHRA PRADESH,CUDDAPAH,CHAPAD,268,4,10,8,1,291
ANDHRA PRADESH,CUDDAPAH,CHENNUR,103,19,5,0,0,127
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,1476,31,30,32,0,1569
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,953,24,30,13,5,1025
ANDHRA PRADESH,CUDDAPAH,CHITVEL,550,0,9,2,0,561
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,200,0,11,0,0,211
ANDHRA PRADESH,CUDDAPAH,DUVVUR,667,168,82,9,0,926
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,2135,48,73,20,0,2276
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,392,23,48,44,23,530
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,296,1,1,6,0,304
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,568,0,15,33,0,616
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,464,2,41,2,3,512
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,391,39,59,22,76,587
ANDHRA PRADESH,CUDDAPAH,KODUR,1172,66,9,0,0,1247
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,63,0,2,0,0,65
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,1553,13,13,9,1,1589
ANDHRA PRADESH,CUDDAPAH,LINGALA,633,78,18,1,0,730
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,390,32,10,7,0,439
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,453,12,1,99,8,573
ANDHRA PRADESH,CUDDAPAH,NANDALUR,581,2,14,1,0,598
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1284,0,4,24,0,1312
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,132,0,0,2,0,134
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,249,9,2,4,0,264
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,286,54,13,7,0,360
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1568,47,33,47,13,1708
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,96,0,1,0,0,97
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,452,125,4,0,1,582
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1149,72,22,25,15,1283
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,1319,59,24,2,0,1404
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,69,4,2,2,0,77
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,872,3,1,64,0,940
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,1724,80,34,55,1,1894
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,1108,84,49,14,26,1281
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,1666,25,72,29,2,1794
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,686,2,10,2,0,700
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,639,5,13,1,0,658
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,1485,7,16,9,0,1517
ANDHRA PRADESH,CUDDAPAH,THANDUR,480,0,1,23,68,572
ANDHRA PRADESH,CUDDAPAH,VALLUR,464,10,4,43,0,521
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,666,40,380,0,0,1086
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,7,470,3,14,2,496
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,583,5,3,15,4,610
ANDHRA PRADESH,CUDDAPAH,VEMULA,655,14,5,19,1,694
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,1354,166,39,13,1,1573
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,218,0,1,1,0,220
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,0,1,0,0,0,1
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,7,0,0,0,0,7
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,1,15,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,41,13,42,2,98
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,29,37,8,46,0,120
ANDHRA PRADESH,EAST GODAVARI,KARAPA,2,0,0,0,0,2
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,104,9,15,3,0,131
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,137,38,0,6,1,182
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,0,0,40,0,0,40
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,0,0,2,2
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,26,0,0,0,0,26
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,74,10,6,16,0,106
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,63,99,6,1,0,169
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,8,0,3,0,0,11
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,16,0,0,0,0,16
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,209,15,7,0,2,233
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,306,26,2,4,0,338
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,19,0,0,0,0,19
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,60,3,10,2,0,75
ANDHRA PRADESH,EAST GODAVARI,TUNI,309,253,26,22,2,612
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,0,0,0,3,0,3
ANDHRA PRADESH,GUNTUR,ACHAMPETA,223,174,6,145,0,548
ANDHRA PRADESH,GUNTUR,AMARAVATHI,507,3,45,193,0,748
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,0,0,4,0,0,4
ANDHRA PRADESH,GUNTUR,BAPATLA,3098,2,0,0,6,3106
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,72,34,47,121,0,274
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,32,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,CHEBROLE,786,1,0,0,0,787
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,724,388,0,0,2,1114
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,457,1,3,7,0,468
ANDHRA PRADESH,GUNTUR,DACHEPALLE,28,12,0,0,0,40
ANDHRA PRADESH,GUNTUR,EDLAPADU,215,17,27,15,0,274
ANDHRA PRADESH,GUNTUR,GUNTUR,26,7,4,5,0,42
ANDHRA PRADESH,GUNTUR,GURAZALA,13,0,0,0,0,13
ANDHRA PRADESH,GUNTUR,IPURU,107,0,15,28,0,150
ANDHRA PRADESH,GUNTUR,KAREMPUDI,26,0,0,0,0,26
ANDHRA PRADESH,GUNTUR,KARLAPALEM,1481,0,0,0,8,1489
ANDHRA PRADESH,GUNTUR,KROSURU,254,20,5,50,0,329
ANDHRA PRADESH,GUNTUR,MACHAVARAM,46,5,4,3,0,58
ANDHRA PRADESH,GUNTUR,MACHERLA,38,0,0,121,0,159
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,169,0,80,0,0,249
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,51,0,1,0,1,53
ANDHRA PRADESH,GUNTUR,MUPPALLA,172,4,15,4,1,196
ANDHRA PRADESH,GUNTUR,NADENDLA,92,39,3,0,0,134
ANDHRA PRADESH,GUNTUR,NAGARAM,308,0,0,0,0,308
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,6,1,0,53,0,60
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,86,89,72,69,0,316
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,129,0,0,0,4,133
ANDHRA PRADESH,GUNTUR,NUZENDLA,38,0,11,27,0,76
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,71,0,0,0,0,71
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,266,4,18,9,0,297
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,48,0,19,2,1,70
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,18,0,1,36,0,55
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,749,0,0,0,1,750
ANDHRA PRADESH,GUNTUR,PRATHIPADU,12,0,0,2,0,14
ANDHRA PRADESH,GUNTUR,RAJUPALEM,52,3,14,107,0,176
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,22,1,0,0,0,23
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,45,95,20,11,0,171
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,41,8,0,9,0,58
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,15,0,0,0,0,15
ANDHRA PRADESH,GUNTUR,TADIKONDA,25,5,0,8,2,40
ANDHRA PRADESH,GUNTUR,THADEPALLE,116,0,0,0,0,116
ANDHRA PRADESH,GUNTUR,THULLUR,11,43,0,1,8,63
ANDHRA PRADESH,GUNTUR,VELDURTHI,46,39,2,163,1,251
ANDHRA PRADESH,GUNTUR,VINUKONDA,10,0,19,6,0,35
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,5433,111,325,0,7,5876
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,5108,473,83,0,1,5665
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,3617,116,32,21,1,3787
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,4311,41,35,0,0,4387
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,4135,11,73,34,1,4254
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,3688,132,4,0,0,3824
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,3849,15,56,0,1,3921
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,2692,89,0,14,1,2796
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,1305,41,14,8,1,1369
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,3179,64,52,0,18,3313
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,4625,44,0,17,4,4690
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,992,22,9,9,0,1032
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,4812,16,298,161,0,5287
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,3225,58,59,0,0,3342
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,6886,60,40,0,162,7148
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,4919,65,47,0,0,5031
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,3389,176,36,48,2,3651
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,5331,19,20,0,15,5385
ANDHRA PRADESH,KARIMNAGAR,JAMMIKUNTA,6600,26,71,10,0,6707
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,779,5,4,17,123,928
ANDHRA PRADESH,KARIMNAGAR,KAMALAPUR,4070,68,90,0,19,4247
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,1886,0,24,0,29,1939
ANDHRA PRADESH,KARIMNAGAR,KARIMNAGAR,4493,175,61,6,4,4739
