-----
{
 "description": "This data provides summary of net exported power (RPSSGP Projects Phase-I (IREDA)) for the month of April 2013.", 
 "file_name": "April_13_RPSSGP_Projects_Power_Generation_Data.xls", 
 "title": "Download XLS for Summary of Net Exported Power For The Month of April 2013 - RPSSGP Scheme", 
 "url": "http://data.gov.in/sites/default/files/April_13_RPSSGP_Projects_Power_Generation_Data.xls"
}
-----
"Sr. No.","Project Code","Company Name","State","Capacity (MW)","  Net Exported Power (kwh)*","CUF"
22.0,"Nil","M/s RL Clean Power Pvt Ltd.","TAMIL NADU",1.0,164248.0,"22.88 %"
23.0,"RPSSGPGBI/033","MGM Minerals Ltd.","ORISSA",1.0,125060.0,"17.60 %"
24.0,"RPSSGP_GBI/029","NAVBHARAT BUILDCON PVT LTD.","RAJASTHAN",1.0,169710.0,"24.60 %"
25.0,"RPSSGP_GBI/004","New ERA Enviro Ventures Pvt. Ltd.","JHARKHAND",2.0,260300.0,"18.74 %"
26.0,"077-RPSSGP/ireda/jharkhan/2010","PCS PREMIER ENERGY PVT LTD","JHARKHAND",2.0,243900.0,"17.76 %"
27.0,"1946","Photon Energy systems Limited","ANDHRA PRADESH",1.0,953.5,"20.40 %"
28.0,"RPSSGP_GBI/002","Premier Solar Systems Pvt. Ltd.","JHARKHAND",2.0,246400.0,"16.95 %"
29.0,"RPSSGP_GBI032","Priapus Infrastructure Limited","UTTAR PRADESH",2.0,138300.0,"10.11 %"
30.0,"RPSSGP-GBI/051","RAAJRATNA ENERGY HOLDINGS PRIVATE LIMITED","ORISSA",1.0,125805.0,"17.82 %"
31.0,"RPSSGP_GBI/066","RAMAKRISHNA INDUSTRIES","ANDHRA PRADESH",1.0,144920.0,"20.34 %"
32.0,"019-RPSSGP/IREDA/Uttarakhand/2010","RV Akash Ganga Infrastructure Ltd.","UTTARAKHAND",2.0,330533.0,"22.95 %"
33.0,"RPSSGP_GBI/046","SDS SOLAR PVT. LTD.","HARYANA",1.0,139868.5,"19.48 %"
34.0,"RPSSGP_GBI/062","Sepset Constructions Limited","MAHARASHTRA",2.0,275428.0,"19.68 %"
35.0,"RPSSGP_GBI/008","Singhal Forestry Private Limited","CHHATTISGARH",2.0,291110.0,"20.31 %"
36.0,"RPSSGP_GBI/055","SOMA ENTERPRISE LIMITED","PUNJAB",1.0,131689.0,"19.09 %"
37.0,"018-RPSSGP/IREDA/AP/2010","SriPower Generation (India) Pvt Ltd","ANDHRA PRADESH",1.0,123000.0,"17.82 %"
38.0,"RPSSGP_GBI/036","SunEdison Energy India Pvt. Ltd.","RAJASTHAN",1.0,158475.0,"22.27 %"
39.0,"015","Tayal & Co","HARYANA",1.0,128812.0,"18.07 %"
40.0,"046/RPSSGP/IREDA/UP/2010","Technical Associates Limited","UTTAR PRADESH",2.0,297203.0,"21.01 %"
41.0,"RPSSGP_GBI/022","ZAMIL NEW DELHI INFRASTRUCTURE PVT. LTD.","RAJASTHAN",1.0,108845.0,"15.25 %"
42.0,"RPSSGP_GBI/023","ZAMIL NEW DELHI INFRASTRUCTURE PVT. LTD.","HARYANA",1.0,119607.0,"16.69 %"
