-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.14.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.14.csv"
}
-----
"State","District","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"JAMMU & KASHMIR","Kupwara",1170,0,0,0,1170
"JAMMU & KASHMIR","Poonch",9,0,0,0,9
"JAMMU & KASHMIR","Pulwama",4280,722,0,0,5002
"JAMMU & KASHMIR","Rajouri",212,160,0,0,372
"JAMMU & KASHMIR","Srinagar",2000,705,0,0,2705
"JAMMU & KASHMIR","Udhampur",70,45,0,0,115
"KARNATAKA","BANGALORE RURAL",76.4,40.72,71.02,17.95,206.09
"KARNATAKA","BANGALORE URBAN",13.6,13.6,84.29,0,111.49
"KARNATAKA","BELGAUM",20477.96,5721.98,6246.53,622.82,33069.29
"KARNATAKA","BELLARY",8208.41,3237.22,3194.17,820.62,15460.42
"KARNATAKA","BIDAR",446.59,319.97,199.29,5.3,971.15
"KARNATAKA","BIJAPUR",6301.79,3244.35,3136.7,822.05,13504.89
"KARNATAKA","CHIKKAMAGALORE",431.63,101,316.5,424.97,1274.1
"KARNATAKA","CHITRADURGA",3056.68,236.66,649.34,1265.82,5208.5
"KARNATAKA","DAKSHINA KANNADA",45.75,294.1,408.99,57.5,806.34
"KARNATAKA","DHARWAR",4346.39,2358.77,223.64,771.52,7700.32
"KARNATAKA","GULBARGA",899.68,64.82,58.03,0,1022.53
"KARNATAKA","HASSAN",174.38,5,253.06,0,432.44
"KARNATAKA","KODAGU",31.24,4,5.25,0.5,40.99
"KARNATAKA","KOLAR",207.87,27.8,8.4,0,244.07
"KARNATAKA","MANDYA",16.34,17.41,5.54,74.98,114.27
"KARNATAKA","MYSORE",553.64,66.29,53.97,135.68,809.58
"KARNATAKA","RAICHUR",5153.8,3031.62,464.75,546.74,9196.91
"KARNATAKA","SHIMOGA",3596.26,991.04,2145.23,800.03,7532.56
"KARNATAKA","TUMKUR",67.25,0,34.05,20,121.3
"KARNATAKA","UTTARA KANNADA",364.4,170.17,12.91,3.09,550.57
"KERALA","ALAPUZHA",66,1772,227,46,2111
"KERALA","ERANAKULAM",8522,8119,6156,2551,25348
"KERALA","IDUKKI",60,51,277,69,457
"KERALA","KANNUR",123,127,767,263,1280
"KERALA","KASARAGODE",100,222,103,27,452
"KERALA","KOLLAM",236,232,63,12,543
"KERALA","KOTTAYAM",1962,1825,840,66,4693
"KERALA","KOZHIKODE",292,319,599,353,1563
"KERALA","MALAPPURAM",4042,2626,3207,818,10693
"KERALA","PALAKKAD",5594,5562,626,1307,13089
"KERALA","PATHANAMTHITTA",848,1445,345,147,2785
"KERALA","THIRUVANANTHAPURAM",36,28,58,12,134
"KERALA","THRISSUR",5885,12647,2750,3518,24800
"KERALA","WAYANAD",1849,1398,1254,163,4664
"MADHYA PRADESH","BALAGHAT",2191,259,0,0,2450
"MADHYA PRADESH","BASTAR",982,1520,2,3,2507
"MADHYA PRADESH","BETUL",333,11631,8,0,11972
"MADHYA PRADESH","BHIND",10,255,0,0,265
"MADHYA PRADESH","BHOPAL",0,8270,58,0,8328
"MADHYA PRADESH","BILASPUR",798,379,0,3,1180
"MADHYA PRADESH","CHHATARPUR",10,11512,2,0,11524
"MADHYA PRADESH","CHHINDWARA",134,3464,6,9,3613
"MADHYA PRADESH","DAMOH",130,22397,4,0,22531
"MADHYA PRADESH","DATIA",0,50,0,0,50
"MADHYA PRADESH","DEWAS",176,7254,20,12,7462
"MADHYA PRADESH","DHAR",2822,5883,273,30,9008
"MADHYA PRADESH","DURG",2475,1586,400,14,4475
"MADHYA PRADESH","GUNA",41,22921,0,0,22962
"MADHYA PRADESH","GWALIOR",51,8777,0,0,8828
"MADHYA PRADESH","HOSHANGABAD",24,20116,8,7,20155
"MADHYA PRADESH","INDORE",12,3711,0,0,3723
"MADHYA PRADESH","JABALPUR",204,7664,0,1,7869
"MADHYA PRADESH","JHABUA",2241,21865,9,17,24132
"MADHYA PRADESH","KHANDWA",2220,8285,860,47,11412
"MADHYA PRADESH","KHARGONE",18151,14394,1747,21,34313
