-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to ownership . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.2.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to ownership for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.2.csv"
}
-----
State,District,Block,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,WARANGAL,MAHABUBABAD,0,0,0,0,16,0,16
ANDHRA PRADESH,WARANGAL,MANGAPET,26,0,0,16,349,0,391
ANDHRA PRADESH,WARANGAL,MULUG,0,0,0,12,41,0,53
ANDHRA PRADESH,WARANGAL,NALLA BELLI,0,0,0,0,6,0,6
ANDHRA PRADESH,WARANGAL,NARSIMHULAPET,1,0,0,0,33,0,34
ANDHRA PRADESH,WARANGAL,NEKKONDA,3,0,0,0,3,0,6
ANDHRA PRADESH,WARANGAL,PALAKURTHI,0,0,0,4,222,0,226
ANDHRA PRADESH,WARANGAL,PARKAL,0,0,0,0,8,0,8
ANDHRA PRADESH,WARANGAL,RAGHUNATHPALLE,4,0,0,0,0,0,4
ANDHRA PRADESH,WARANGAL,TADVAI,0,0,0,2,224,0,226
ANDHRA PRADESH,WARANGAL,THORRUR,0,0,0,1,52,0,53
ANDHRA PRADESH,WARANGAL,VENKATAPUR,0,0,0,0,31,0,31
ANDHRA PRADESH,WARANGAL,WARDHANNA PET,0,0,0,0,484,0,484
ANDHRA PRADESH,WEST GODAVARI,ACHANTA,0,0,0,0,732,0,732
ANDHRA PRADESH,WEST GODAVARI,ATTILI,0,0,0,0,67,0,67
ANDHRA PRADESH,WEST GODAVARI,BHIMADOLE,0,0,0,0,132,0,132
ANDHRA PRADESH,WEST GODAVARI,BUTTAYAGUDEM,0,0,0,2,910,0,912
ANDHRA PRADESH,WEST GODAVARI,CHAGALLU,0,0,0,47,677,0,724
ANDHRA PRADESH,WEST GODAVARI,CHINTALAPUDI,4,0,0,1,1173,1,1179
ANDHRA PRADESH,WEST GODAVARI,DEVARAPALLE,0,0,0,0,156,0,156
ANDHRA PRADESH,WEST GODAVARI,GOPALAPURAM,0,0,0,1,51,0,52
ANDHRA PRADESH,WEST GODAVARI,IRAGAVARAM,0,0,0,0,594,0,594
ANDHRA PRADESH,WEST GODAVARI,JANGAREDDIGUDEM,0,0,0,72,966,0,1038
ANDHRA PRADESH,WEST GODAVARI,JEELUGU MILLI,0,0,0,1,607,0,608
ANDHRA PRADESH,WEST GODAVARI,KOVVUR,0,0,0,0,1538,0,1538
ANDHRA PRADESH,WEST GODAVARI,KOYYALAGUDEM,0,0,0,1,373,0,374
ANDHRA PRADESH,WEST GODAVARI,LINGAPALEM,0,0,0,1,74,0,75
ANDHRA PRADESH,WEST GODAVARI,NALLAJERLA,0,0,0,9,278,0,287
ANDHRA PRADESH,WEST GODAVARI,NIDADAVOLE,0,0,0,6,790,0,796
ANDHRA PRADESH,WEST GODAVARI,PALACOLE,0,0,0,0,75,0,75
ANDHRA PRADESH,WEST GODAVARI,PEDAVEGI,0,0,0,0,9,0,9
ANDHRA PRADESH,WEST GODAVARI,PENTAPADU,0,0,0,0,3,0,3
ANDHRA PRADESH,WEST GODAVARI,PENUGONDA,0,0,0,0,527,0,527
ANDHRA PRADESH,WEST GODAVARI,PENUMANTRA,0,0,0,0,243,0,243
ANDHRA PRADESH,WEST GODAVARI,PERAVALI,0,0,0,0,923,0,923
ANDHRA PRADESH,WEST GODAVARI,PODURU,0,0,0,0,394,0,394
ANDHRA PRADESH,WEST GODAVARI,POLAVARAM,0,0,0,0,439,0,439
ANDHRA PRADESH,WEST GODAVARI,T.NARASAPURAM,0,0,0,1,111,0,112
ANDHRA PRADESH,WEST GODAVARI,TADEPALLIGUDEM,0,0,0,0,8,0,8
ANDHRA PRADESH,WEST GODAVARI,TANUKU,0,0,0,0,243,0,243
ANDHRA PRADESH,WEST GODAVARI,THALLAPUDI,0,0,0,6,495,1,502
ANDHRA PRADESH,WEST GODAVARI,UNDRAJAVARAM,0,0,0,0,851,0,851
ANDHRA PRADESH,WEST GODAVARI,VEERAVASARAM,0,0,0,0,170,0,170
ANDHRA PRADESH,WEST GODAVARI,YELAMANCHILI,0,0,0,0,313,0,313
ASSAM,BARPETA,BAJALI,49,0,0,6,383,0,438
ASSAM,BARPETA,BARPETA,0,0,0,0,404,0,404
ASSAM,BARPETA,BHAWANIPUR,0,0,0,0,211,0,211
ASSAM,BARPETA,CHENGA,0,6,0,0,310,0,316
ASSAM,BARPETA,GOBARDHANA,24,0,0,0,289,0,313
ASSAM,BARPETA,JALAH,0,0,0,0,328,0,328
ASSAM,BARPETA,MANDIA,26,0,0,0,267,0,293
ASSAM,BARPETA,RUPSI,0,0,0,0,60,0,60
ASSAM,BONGAIGAON,BOITAMARI,17,0,0,0,168,0,185
ASSAM,BONGAIGAON,BOROBAZAR,0,0,0,0,192,0,192
ASSAM,BONGAIGAON,MANIKPUR,0,0,0,0,186,0,186
ASSAM,BONGAIGAON,SIDLI-CHIRANG,1,0,0,0,72,0,73
ASSAM,BONGAIGAON,SRIJANGRAM,8,0,0,2,206,0,216
ASSAM,CACHAR,SONAI,1,0,0,0,0,0,1
ASSAM,DARRANG,DALGAON SIALMARI,113,0,0,136,498,0,747
ASSAM,DARRANG,KALAIGAON,121,0,0,1,220,0,342
ASSAM,DARRANG,KHAIRABARI,100,0,0,8,124,0,232
ASSAM,DARRANG,MAZBAT,1,0,0,7,640,1,649
ASSAM,DARRANG,SIPAJHAR,0,0,0,1,211,0,212
ASSAM,DARRANG,UDALGURI,0,0,0,0,69,0,69
ASSAM,DHEMAJI,BORDOLONI,7,0,0,0,212,0,219
ASSAM,DHEMAJI,DHEMAJI,1,0,0,67,354,0,422
ASSAM,DHEMAJI,MURKONGSELLECK,0,0,0,0,76,0,76
ASSAM,DHUBRI,AGAMONI,1,0,0,0,605,0,606
ASSAM,DHUBRI,BILASIPARA,1,0,0,1,603,0,605
ASSAM,DHUBRI,CHAPAR SALKOCHA,1,0,0,3,113,0,117
ASSAM,DHUBRI,GAURIPUR,51,5,0,23,471,0,550
ASSAM,DHUBRI,GOLOKGANJ,6,0,0,0,94,0,100
ASSAM,DHUBRI,MANKACHAR,17,0,0,0,114,0,131
ASSAM,DHUBRI,SOUTH SALMARA,13,0,0,0,366,0,379
ASSAM,DIBRUGARH,BARBARUAH,62,0,0,1,141,0,204
ASSAM,DIBRUGARH,JOYPUR,1,0,0,0,181,0,182
ASSAM,DIBRUGARH,KHOWANG,17,0,0,0,246,0,263
ASSAM,DIBRUGARH,LAHOWAL,73,0,0,0,204,0,277
ASSAM,DIBRUGARH,PANITOLA,47,0,0,0,256,0,303
ASSAM,DIBRUGARH,TENGAKHAT,65,0,0,2,165,0,232
ASSAM,GOALPARA,BALIJANA,16,0,0,0,72,0,88
ASSAM,GOALPARA,DUDHNOI,0,0,0,0,27,0,27
ASSAM,GOALPARA,LAKHIPUR,14,0,0,16,119,0,149
ASSAM,GOALPARA,MATIA,0,0,0,0,117,0,117
ASSAM,GOLAGHAT,GOLAGHAT CENTRAL,0,0,0,0,26,0,26
ASSAM,GOLAGHAT,GOLAGHAT EAST,0,0,0,0,32,0,32
ASSAM,GOLAGHAT,GOLAGHAT NORTH,0,0,0,2,108,0,110
ASSAM,GOLAGHAT,GOLAGHAT SOUTH,33,0,0,0,120,0,153
ASSAM,GOLAGHAT,GOLAGHAT WEST,7,0,0,1,162,0,170
ASSAM,GOLAGHAT,GOMARIGURI,0,0,0,0,4,0,4
ASSAM,HAILAKANDI,HAILAKANDI,76,0,0,0,0,0,76
ASSAM,HAILAKANDI,LALA,4,0,0,0,0,0,4
ASSAM,JORHAT,JORHAT,0,0,0,0,23,0,23
ASSAM,JORHAT,JORHAT CENTRAL,5,0,0,0,88,0,93
ASSAM,JORHAT,JORHAT EAST,3,0,0,0,153,0,156
ASSAM,JORHAT,MAJULI,368,0,0,6,696,0,1070
ASSAM,JORHAT,NORTH WEST JORHAT,16,0,0,0,128,0,144
ASSAM,JORHAT,TITABOR,0,0,0,0,4,0,4
ASSAM,KAMRUP,BOKO BANGAON,0,0,0,0,24,0,24
ASSAM,KAMRUP,CHAMARIA,0,0,0,0,46,0,46
ASSAM,KAMRUP,CHHAYGAON,32,0,0,0,17,0,49
ASSAM,KAMRUP,DIMORIA,0,0,0,0,32,0,32
ASSAM,KAMRUP,HAJO,14,0,0,0,185,0,199
ASSAM,KAMRUP,KAMALPUR,0,0,0,42,99,0,141
ASSAM,KAMRUP,KARARA,8,27,0,131,153,0,319
ASSAM,KAMRUP,RAMPUR,1,0,0,10,51,0,62
ASSAM,KAMRUP,RANGIA,38,0,0,78,194,0,310
ASSAM,KAMRUP,RANI,0,0,0,40,46,0,86
ASSAM,KARBI ANGLONG,AMRI,0,0,0,1,0,0,1
ASSAM,KARBI ANGLONG,BOKAJAN,4,0,0,0,0,0,4
ASSAM,KARBI ANGLONG,HOWRAGHAT,18,0,0,0,2,0,20
ASSAM,KARBI ANGLONG,LUMBAJONG,2,0,0,0,0,0,2
ASSAM,KARBI ANGLONG,RONGKHONG,0,0,0,0,52,0,52
ASSAM,KARBI ANGLONG,SAMILONGSO,2,0,0,0,0,0,2
ASSAM,KARIMGANJ,BADARPUR,1,0,0,0,0,0,1
ASSAM,KARIMGANJ,NORTH KARIMGANJ,14,0,0,0,0,0,14
ASSAM,KARIMGANJ,PATHARKANDI,23,0,0,0,0,0,23
ASSAM,KARIMGANJ,RAMKRISHNA NAGAR,18,0,0,0,0,0,18
ASSAM,KARIMGANJ,SOUTH KARIMGANJ,28,0,0,0,0,0,28
ASSAM,KOKRAJHAR,DOTOMA,0,0,0,0,249,0,249
ASSAM,KOKRAJHAR,GOSSAIGAON,0,0,0,15,47,0,62
ASSAM,KOKRAJHAR,KACHUGAON,0,0,0,5,276,0,281
ASSAM,KOKRAJHAR,KOKRAJHAR,0,0,0,2,111,0,113
ASSAM,KOKRAJHAR,SIDLI CHIRANG (PART),0,0,0,0,53,0,53
ASSAM,LAKHIMPUR,BIHPURIA,33,0,0,0,297,0,330
ASSAM,LAKHIMPUR,BORDALANI,0,0,0,0,51,0,51
ASSAM,LAKHIMPUR,DHAKUAKHANA,7,0,0,0,148,0,155
ASSAM,LAKHIMPUR,LAKHIMPUR,72,0,0,0,165,0,237
ASSAM,LAKHIMPUR,NARAYANPUR,26,0,0,0,171,0,197
ASSAM,LAKHIMPUR,NOWBOICHA,16,0,0,0,180,0,196
ASSAM,MARIGAON,BHURBANDHA,151,0,0,0,265,0,416
ASSAM,MARIGAON,KAPILI,0,0,0,0,10,0,10
ASSAM,MARIGAON,LAHARIGHAT,0,0,0,0,402,0,402
ASSAM,MARIGAON,MAYONG,27,0,0,0,540,0,567
ASSAM,NAGAON,BATADRAVA,0,0,0,0,218,0,218
ASSAM,NAGAON,JUGIJAN,32,0,0,0,303,0,335
ASSAM,NAGAON,JURIA,0,0,0,0,119,0,119
ASSAM,NAGAON,KALIABOR,0,0,0,0,434,0,434
ASSAM,NAGAON,KAPILI,0,0,0,0,10,0,10
ASSAM,NAGAON,KAPILI PT.I,73,0,0,0,264,0,337
ASSAM,NAGAON,KATHIATOLI,17,0,0,0,971,0,988
ASSAM,NAGAON,KHAGARIJAN,14,0,0,0,154,0,168
ASSAM,NAGAON,LANKA,0,0,0,0,369,0,369
ASSAM,NAGAON,LAOKHOWA,8,0,0,0,136,0,144
ASSAM,NAGAON,RUPAHI,0,0,0,0,135,0,135
ASSAM,NALBARI,BARIGOG BANBHAG,0,0,0,0,100,0,100
ASSAM,NALBARI,BARKHETRI,116,0,0,2,173,0,291
ASSAM,NALBARI,BASKA,0,0,0,0,245,0,245
ASSAM,NALBARI,PASCHIM NALBARI,16,0,0,0,166,0,182
ASSAM,NALBARI,PUB NALBARI,16,0,0,0,252,0,268
ASSAM,NALBARI,TAMULPUR,0,0,0,2,166,0,168
ASSAM,NALBARI,TIHU BARAMA,0,0,0,18,145,0,163
ASSAM,SIBSAGAR,AMGURI,1,0,0,1,107,0,109
ASSAM,SIBSAGAR,DEMOW,0,0,0,0,264,0,264
ASSAM,SIBSAGAR,NAZIRA,0,0,0,0,102,0,102
ASSAM,SIBSAGAR,SAPEKHATI,0,0,0,0,47,0,47
ASSAM,SIBSAGAR,SONARI,0,0,0,0,266,0,266
ASSAM,SONITPUR,BALIPARA,0,0,0,21,504,0,525
ASSAM,SONITPUR,BEHALI,80,0,0,1,144,0,225
ASSAM,SONITPUR,BISWANATH,19,0,0,0,41,0,60
ASSAM,SONITPUR,CHAIDUAR,84,0,0,45,629,0,758
ASSAM,SONITPUR,DHEKIAJULI,0,0,0,18,477,0,495
ASSAM,SONITPUR,GABHORU,0,0,0,0,409,1,410
ASSAM,SONITPUR,NADUAR,0,0,0,0,394,0,394
ASSAM,TINSUKIA,HAPJAN,16,0,0,7,435,0,458
ASSAM,TINSUKIA,KAKOPATHAR,49,0,0,0,652,0,701
ASSAM,TINSUKIA,MARGHERITA,1,0,0,0,92,0,93
ASSAM,TINSUKIA,SADIYA,0,0,0,0,160,0,160
BIHAR,ARARIA,ARARIA,50,0,0,95,1577,16,1738
BIHAR,ARARIA,BHARGAMA,2,0,0,0,1206,0,1208
BIHAR,ARARIA,FORBESGANJ,0,0,0,0,2942,0,2942
BIHAR,ARARIA,JOKIHAT,0,0,0,0,1503,0,1503
BIHAR,ARARIA,KURSAKATTA,0,1,1,1,1020,0,1023
BIHAR,ARARIA,NARPAIGANJ,0,0,0,1,916,0,917
BIHAR,ARARIA,PALASI,0,0,0,0,1913,0,1913
BIHAR,ARARIA,RANIGANJ,20,0,0,0,718,0,738
BIHAR,ARARIA,SIKTI,0,0,0,1,1108,0,1109
BIHAR,AURANGABAD,AURANGABAD,14,0,0,11,638,0,663
BIHAR,AURANGABAD,BARUN,0,1,0,1,1066,0,1068
BIHAR,AURANGABAD,DAUDNAGAR,0,0,0,0,323,0,323
BIHAR,AURANGABAD,DEO,0,0,0,0,460,0,460
BIHAR,AURANGABAD,GOH,21,0,0,0,1196,0,1217
BIHAR,AURANGABAD,HASPURA,0,0,0,2,932,0,934
BIHAR,AURANGABAD,KUTUMBA,4,0,0,0,793,0,797
BIHAR,AURANGABAD,MADANPUR,0,0,0,0,642,0,642
BIHAR,AURANGABAD,NABINAGAR,6,0,0,3,508,0,517
BIHAR,AURANGABAD,OBRA,0,0,0,5,714,0,719
BIHAR,AURANGABAD,RAFIGANJ,0,0,0,1,1436,0,1437
BIHAR,BANKA,AMARPUR,0,0,0,0,1276,0,1276
BIHAR,BANKA,BANKA,0,0,0,0,227,0,227
BIHAR,BANKA,BARAHAT,0,0,0,0,438,0,438
BIHAR,BANKA,BELHAR,0,0,0,0,403,0,403
BIHAR,BANKA,DHURAIYA,0,0,0,0,1228,0,1228
BIHAR,BANKA,KATORIA,0,0,0,0,13,0,13
BIHAR,BANKA,PHULLIDUMAR,0,0,0,0,329,0,329
BIHAR,BANKA,RAJAN,1,0,0,0,1012,0,1013
BIHAR,BANKA,SAMBHUGANJ,2,0,0,0,996,0,998
BIHAR,BEGUSARAI,BACHHAWARA,0,0,0,0,2057,0,2057
BIHAR,BEGUSARAI,BAKHARI,179,0,0,0,551,0,730
BIHAR,BEGUSARAI,BALIA,0,0,0,0,1377,0,1377
BIHAR,BEGUSARAI,BARAUNI,1,0,0,0,1420,0,1421
BIHAR,BEGUSARAI,BEGUSARAI,0,0,0,0,2370,0,2370
BIHAR,BEGUSARAI,BHAGAWANPUR,5,0,0,0,1666,35,1706
BIHAR,BEGUSARAI,BIRPUR,0,0,0,0,795,0,795
BIHAR,BEGUSARAI,CHERIA BARIARPUR,0,0,0,0,1430,9,1439
BIHAR,BEGUSARAI,CHHAURAHI,97,1,0,0,1351,1,1450
BIHAR,BEGUSARAI,DANDARI,24,10,0,0,1094,0,1128
BIHAR,BEGUSARAI,GARHPURA,0,0,0,0,867,0,867
BIHAR,BEGUSARAI,KHUDABANDPUR,0,0,0,0,715,0,715
BIHAR,BEGUSARAI,MANSURCHAK,0,0,0,0,369,0,369
BIHAR,BEGUSARAI,MATIHANI,0,0,0,0,1620,0,1620
BIHAR,BEGUSARAI,NAOKHOTHI,0,0,0,0,1226,0,1226
BIHAR,BEGUSARAI,SAHEBPUR KAMAL,1,0,1,0,886,15,903
BIHAR,BEGUSARAI,TEGHRA,0,0,0,0,1350,0,1350
BIHAR,BHABUA,BHABUA,11,0,0,14,1306,4,1335
BIHAR,BHABUA,BHAGWANPUR,12,2,0,0,218,0,232
BIHAR,BHABUA,CHAINPUR,15,0,0,0,813,0,828
BIHAR,BHABUA,CHAND,66,0,0,1,464,0,531
BIHAR,BHABUA,DURGAWATI,136,0,0,0,1485,0,1621
BIHAR,BHABUA,KUDRA,43,11,41,1,1720,1,1817
BIHAR,BHABUA,MOHANIA,27,0,37,0,2342,13,2419
BIHAR,BHABUA,NUAWN,20,0,0,0,1177,0,1197
BIHAR,BHABUA,RAMGAR,0,0,0,0,1548,0,1548
BIHAR,BHABUA,RAMPUR,17,5,0,0,91,0,113
BIHAR,BHAGALPUR,BIHPUR,0,0,0,0,846,0,846
BIHAR,BHAGALPUR,GAURIDIH,0,0,0,0,209,0,209
BIHAR,BHAGALPUR,GOPALPUR,0,0,0,1,691,0,692
BIHAR,BHAGALPUR,ISMAILPUR,0,0,0,0,323,0,323
BIHAR,BHAGALPUR,JAGDISHPUR,0,0,0,0,56,0,56
BIHAR,BHAGALPUR,KAHALGAON,0,0,0,1,551,0,552
BIHAR,BHAGALPUR,KHARIK,0,0,0,0,1104,0,1104
BIHAR,BHAGALPUR,NARAINPUR,0,0,0,6,369,0,375
BIHAR,BHAGALPUR,NATHNAGAR,3,0,0,0,682,0,685
BIHAR,BHAGALPUR,NAUGACHHIA,0,0,0,0,986,0,986
BIHAR,BHAGALPUR,PIRPAINTI,0,0,0,0,1161,0,1161
BIHAR,BHAGALPUR,RANGRACHOWK,0,0,0,0,499,0,499
BIHAR,BHAGALPUR,SABOUR,0,0,0,0,279,0,279
BIHAR,BHAGALPUR,SHAHKUND,0,0,0,0,1330,0,1330
BIHAR,BHAGALPUR,SONHAULLA,0,0,1,0,607,0,608
BIHAR,BHAGALPUR,SULTANGANJ,0,0,0,1,892,0,893
BIHAR,BHOJPUR,AGIAON,0,0,0,0,467,0,467
BIHAR,BHOJPUR,ARRAHSADAR,2,2,0,0,1313,0,1317
BIHAR,BHOJPUR,BARBARA,1,1,0,0,894,0,896
BIHAR,BHOJPUR,BEHIA,0,0,0,0,1378,0,1378
BIHAR,BHOJPUR,CHARPOKHARI,2,0,0,0,720,0,722
BIHAR,BHOJPUR,GARHANI,2,0,0,0,605,0,607
BIHAR,BHOJPUR,JAGDISHPUR,25,3,6,1,2819,0,2854
BIHAR,BHOJPUR,KOILWAR,0,0,0,0,1397,0,1397
BIHAR,BHOJPUR,PIRO,21,0,0,0,1281,0,1302
BIHAR,BHOJPUR,SAHAR,0,0,0,0,303,0,303
BIHAR,BHOJPUR,SAHPUR,5,1,0,0,641,0,647
BIHAR,BHOJPUR,SANDISH,0,0,0,0,1155,0,1155
BIHAR,BHOJPUR,TARARI,3,1,0,0,868,0,872
BIHAR,BHOJPUR,UDWABTNAGAR,0,0,0,0,888,0,888
BIHAR,BUXAR,BRAHAMPUR,0,0,0,0,578,0,578
BIHAR,BUXAR,BUXAR,19,12,17,0,1233,0,1281
BIHAR,BUXAR,CHANGAIN,0,0,0,0,564,0,564
BIHAR,BUXAR,CHARKKI,0,0,0,0,195,0,195
BIHAR,BUXAR,CHAUSA,0,0,0,0,780,0,780
BIHAR,BUXAR,DUMRAIN,1,0,0,0,1111,0,1112
BIHAR,BUXAR,ITARHI,0,0,0,0,2815,0,2815
BIHAR,BUXAR,KESATH,0,0,0,0,218,0,218
BIHAR,BUXAR,NAWANAGAR,6,0,0,0,1588,0,1594
BIHAR,BUXAR,RAJPUR,0,0,0,0,2624,0,2624
BIHAR,BUXAR,SIMRI,0,0,0,0,1265,0,1265
BIHAR,CHAMPARAN EAST,ADAPUR,0,0,0,1,815,0,816
BIHAR,CHAMPARAN EAST,ARERAJ,0,0,0,0,772,0,772
BIHAR,CHAMPARAN EAST,BANJARIA,0,0,0,1,691,0,692
BIHAR,CHAMPARAN EAST,CHAKIYA,0,0,0,0,1766,0,1766
BIHAR,CHAMPARAN EAST,CHAURADANO,2,0,0,0,1020,0,1022
BIHAR,CHAMPARAN EAST,CHIRAIYA,0,0,0,0,1165,0,1165
BIHAR,CHAMPARAN EAST,DHAKA,0,0,0,0,921,0,921
BIHAR,CHAMPARAN EAST,FENHARA,0,0,0,0,928,0,928
BIHAR,CHAMPARAN EAST,GHORASAHAN,0,0,1,0,1307,0,1308
BIHAR,CHAMPARAN EAST,HARSIDHI,0,0,0,1,2093,0,2094
BIHAR,CHAMPARAN EAST,KALYANPUR,0,0,0,0,1631,0,1631
BIHAR,CHAMPARAN EAST,KESARIA,0,0,0,0,1391,0,1391
BIHAR,CHAMPARAN EAST,KOTWA,0,0,0,0,928,0,928
BIHAR,CHAMPARAN EAST,MADHUBAN,0,0,0,0,1153,0,1153
BIHAR,CHAMPARAN EAST,MEHSHI,0,0,0,0,1558,0,1558
BIHAR,CHAMPARAN EAST,MOTIHARI,0,0,0,0,1979,0,1979
BIHAR,CHAMPARAN EAST,PAHARPUR,0,0,0,0,1228,0,1228
BIHAR,CHAMPARAN EAST,PAKARIDAYAL,0,0,0,3,1751,0,1754
BIHAR,CHAMPARAN EAST,PATAHI,0,0,0,0,1189,0,1189
BIHAR,CHAMPARAN EAST,PIPRAKOTHI,0,0,0,0,884,0,884
BIHAR,CHAMPARAN EAST,RAMGARHWA,0,0,0,0,626,1,627
BIHAR,CHAMPARAN EAST,RAXAUL,0,0,0,0,678,0,678
BIHAR,CHAMPARAN EAST,SANGRAMPUR,0,0,0,0,638,0,638
BIHAR,CHAMPARAN EAST,SUGAULI,0,0,0,0,1720,0,1720
BIHAR,CHAMPARAN EAST,TETARIA,0,0,0,0,781,0,781
BIHAR,CHAMPARAN EAST,TURKAULIA,0,0,0,0,984,0,984
BIHAR,CHAMPARAN WEST,BAGAHA,0,0,0,0,1016,0,1016
BIHAR,CHAMPARAN WEST,BAIRIA,0,0,0,1,1629,6,1636
BIHAR,CHAMPARAN WEST,BETTIAN,0,0,0,0,900,0,900
BIHAR,CHAMPARAN WEST,BHITAHA,0,0,0,0,820,0,820
BIHAR,CHAMPARAN WEST,CHANPATIYA,0,0,0,1,1355,0,1356
BIHAR,CHAMPARAN WEST,GAUNAHA,0,0,0,0,357,1,358
BIHAR,CHAMPARAN WEST,LAURIYA,0,0,0,0,1537,0,1537
BIHAR,CHAMPARAN WEST,MADHUBANI,0,0,0,0,941,0,941
BIHAR,CHAMPARAN WEST,MAINATANR,0,0,0,0,1033,0,1033
BIHAR,CHAMPARAN WEST,MAJHAWALIA,0,0,0,0,2974,0,2974
BIHAR,CHAMPARAN WEST,NARKATIYAGANJ,0,0,0,0,1206,0,1206
BIHAR,CHAMPARAN WEST,NAUTAN,0,0,0,0,1531,0,1531
BIHAR,CHAMPARAN WEST,PIPRASI,0,0,0,0,357,0,357
BIHAR,CHAMPARAN WEST,RAMNAGAR,0,0,0,0,1376,0,1376
BIHAR,CHAMPARAN WEST,SIDHAW,1,0,0,0,1083,0,1084
BIHAR,CHAMPARAN WEST,SIKTA,0,0,0,1,782,0,783
BIHAR,CHAMPARAN WEST,THAKRAHA,0,0,0,0,761,0,761
BIHAR,CHAMPARAN WEST,YOGAPATTI,41,0,0,0,1448,0,1489
BIHAR,CHATRA,CHATRA,0,0,0,0,10,0,10
BIHAR,CHATRA,HUNTERGANJ,0,0,0,0,43,0,43
BIHAR,CHATRA,PRATAP PUR,0,0,0,0,89,0,89
BIHAR,DARBHANGA,AUNAGAR,0,0,0,0,847,0,847
BIHAR,DARBHANGA,BAHADURPUR,0,0,0,0,784,0,784
BIHAR,DARBHANGA,BAHERI,0,0,0,0,1681,0,1681
BIHAR,DARBHANGA,BENIPUR,0,0,0,0,724,0,724
BIHAR,DARBHANGA,BIRAUL,0,0,0,0,999,0,999
BIHAR,DARBHANGA,DARBHANGA,39,1,0,0,535,4,579
BIHAR,DARBHANGA,GHANSHYAMPUR,1,0,3,7,465,0,476
BIHAR,DARBHANGA,GORA BOURAM,0,0,0,0,518,0,518
BIHAR,DARBHANGA,HAYAGHAT,0,0,0,0,655,0,655
BIHAR,DARBHANGA,JALE,0,0,0,0,801,0,801
BIHAR,DARBHANGA,KEOTI(RANWAY),0,0,0,2,1027,0,1029
BIHAR,DARBHANGA,KIRATPUR,0,0,0,0,219,0,219
BIHAR,DARBHANGA,KUSHESHWAR ASTHAN-EA,0,0,0,0,142,0,142
BIHAR,DARBHANGA,KVSHESHWAR ASTHAN,0,0,0,0,329,0,329
BIHAR,DARBHANGA,MANIGACHHI,0,0,0,0,1132,0,1132
BIHAR,DARBHANGA,SINGHWARA,0,0,0,0,969,0,969
BIHAR,DEOGHAR,DEOGHAR,0,0,0,0,1,0,1
BIHAR,DHANBAD,BAGHMARA,1,0,0,0,0,0,1
BIHAR,DHANBAD,TOPCHACHI,0,0,0,0,4,0,4
BIHAR,GAYA,AMAS,1,0,0,0,161,0,162
BIHAR,GAYA,ATARI,1,0,1,0,895,0,897
BIHAR,GAYA,BANROYBAZAR,0,0,0,0,426,0,426
BIHAR,GAYA,BARACHATTI,0,0,0,0,189,0,189
BIHAR,GAYA,BELAGANJ,1,0,0,0,2190,0,2191
BIHAR,GAYA,BODHGAYA,49,0,0,0,2518,0,2567
BIHAR,GAYA,DOBBI,28,1,0,23,300,0,352
BIHAR,GAYA,DUMARIA,21,0,0,0,283,0,304
BIHAR,GAYA,FETHPUR,3,0,0,0,767,0,770
BIHAR,GAYA,GARARU,27,0,34,0,1198,0,1259
BIHAR,GAYA,GAYA SADAR,47,0,0,0,995,0,1042
BIHAR,GAYA,GURUA,8,0,0,0,1091,0,1099
BIHAR,GAYA,IMAMGANJ,39,0,0,0,518,0,557
BIHAR,GAYA,KHIZIRSORAI,5,0,0,0,2850,0,2855
BIHAR,GAYA,KONCH,83,4,32,2,1718,1,1840
BIHAR,GAYA,MANPUR,0,0,0,0,672,0,672
BIHAR,GAYA,MOHANPUR,13,0,1,0,223,0,237
BIHAR,GAYA,NIMCHAK BATHANI,56,0,0,0,912,0,968
BIHAR,GAYA,PARAIYA,48,0,3,0,661,0,712
BIHAR,GAYA,SHERGHATI,40,0,1,0,1077,1,1119
BIHAR,GAYA,TANKUPPA,58,0,0,15,655,0,728
BIHAR,GAYA,TEKARI,43,1,0,8,2441,0,2493
BIHAR,GAYA,WAZGANJ,0,0,1,1,1256,0,1258
BIHAR,GIRIDIH,BIRNI,0,0,0,0,2,0,2
BIHAR,GIRIDIH,GANDEY,2,0,0,0,0,0,2
BIHAR,GIRIDIH,GAWAN,7,0,0,0,310,1,318
BIHAR,GIRIDIH,TISRI,0,0,0,1,46,0,47
BIHAR,GODDA,BOARIJORE,0,0,0,0,6,0,6
BIHAR,GODDA,GODDA,1,0,0,0,208,0,209
BIHAR,GODDA,MAHAGAMA,0,0,0,0,85,0,85
BIHAR,GODDA,PATHARGAMA,29,0,1,2,282,0,314
BIHAR,GOPALGANJ,BAIKUNTHPUR,1,0,0,2,1735,0,1738
BIHAR,GOPALGANJ,BARAULI,19,0,13,0,1471,0,1503
BIHAR,GOPALGANJ,BHOREY,40,0,0,0,1688,2,1730
BIHAR,GOPALGANJ,BIJAIPUR,0,0,0,0,1160,0,1160
