-----
{
 "description": "The table provides India's Share in World Exports by Commodity Divisions and Groups (in US $ Mn) for the years 1970, 1975, 1980, 1985, 1990, 2000, 2010 and 2011. It gives details regarding World exports, India's exports and the percentage share of India's exports.", 
 "file_name": "tab75.xls", 
 "title": "Download XLS for India&#039;s Share in World Exports by Commodity Divisions and Groups(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab75.xls"
}
-----
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"7.5 INDIA’S SHARE IN WORLD EXPORTS BY COMMODITY DIVISIONS AND GROUPS","","","","","","","",""
"","","","","","","","",""
"","","","","","","","(US $ million)",""
"Div.","Code","Commodity","","","","","",""
"Sl. No.","Group","Division/Group",1970.0,"","",1975.0,"",""
"","","","World","India","India’s","World","India","India’s"
"","","","","","share","","","share"
"","","","","","(%)","","","(%)"
"07","","Coffee, tea, cocoa, spices and manufactures",21131.0,842.0,4.0,27953.0,956.0,3.4
"","071","Coffee and coffee substitutes",8659.0,148.0,1.7,11559.0,264.0,2.3
"","074","Tea and mate",2650.0,585.0,22.1,3087.0,431.0,14.0
"","075","Spices",1415.0,109.0,7.7,2541.0,261.0,10.3
"08","","Feeding stuff for animals",15603.0,336.0,2.2,20295.0,469.0,2.3
12.0,"","Tobacco and tobacco manufactures",17860.0,145.0,0.8,21628.0,147.0,0.7
"",121.0,"Unmanufactured tobacco and refuse",5187.0,107.0,2.1,5525.0,147.0,2.7
"",122.0,"Manufactured tobacco",12674.0,39.0,0.3,16103.0,0.0,0.0
22.0,"","Oilseeds and oleaginous fruit",10477.0,83.0,0.8,14388.0,244.0,1.7
28.0,"","Metalliferous ores and metal scrap",35734.0,753.0,2.1,49515.0,510.0,1.0
"",281.0,"Iron ore and concentrates",7653.0,578.0,7.6,9229.0,363.0,3.9
51.0,"","Organic chemicals",70721.0,232.0,0.3,134109.0,1491.0,1.1
52.0,"","Inorganic chemicals",26079.0,59.0,0.2,33117.0,99.0,0.3
53.0,"","Dyeing, tanning and colouring materials",19952.0,233.0,1.2,34105.0,481.0,1.4
54.0,541.0,"Medicinal and pharmaceutical products",37753.0,453.0,1.2,107482.0,1255.0,1.2
55.0,"","Essential oils and perfume materials",21027.0,240.0,1.1,44279.0,216.0,0.5
"","","soap, cleansing etc.","","","","","",""
58.0,"","Artificial resins, plastic materials,",65712.0,29.0,0.0,123353.0,174.0,0.1
"","","cellulose esters & ethers","","","","","",""
59.0,"","Chemical materials and products n.e.s.",33418.0,76.0,0.2,63411.0,437.0,0.7
61.0,"","Leather, leather manufactures & dressed fur skins",13226.0,832.0,6.3,24440.0,808.0,3.3
"",611.0,"Leather",9295.0,447.0,4.8,16551.0,388.0,2.3
"",612.0,"Manufactures of leather or of composition leather",2868.0,385.0,13.4,6831.0,421.0,6.2
"",613.0,"Fur skins,tanned or dressed etc.",1063.0,0.0,0.0,1058.0,0.0,0.0
65.0,"","Textile yarn, fabrics, made-up articles",105147.0,2180.0,2.1,167528.0,6000.0,3.6
"",652.0,"Woven cotton fabrics",15559.0,571.0,3.7,22387.0,1103.0,4.9
"",653.0,"Woven fabrics of man made fibres",22021.0,156.0,0.7,32151.0,506.0,1.6
"",654.0,"Woven fabrics other than of cotton or",8466.0,195.0,2.3,9432.0,370.0,3.9
"","","man-made fibres","","","","","",""
66.0,667.0,"Pearls, precious and semi-precious stones",27577.0,2710.0,9.8,54105.0,6477.0,12.0
67.0,"","Iron and steel",106342.0,283.0,0.3,146147.0,1481.0,1.0
69.0,"","Manufactures of metals n.e.s.",66088.0,341.0,0.5,125259.0,1167.0,0.9
71.0,"","Power-generating machinery & equipment",81675.0,126.0,0.2,158329.0,218.0,0.1
72.0,"","Machinery specialized for particular industries",118617.0,236.0,0.2,167582.0,346.0,0.2
73.0,"","Metal-working machinery",31051.0,58.0,0.2,41413.0,117.0,0.3
74.0,"","General industrial machinery & equipment","","","","","",""
"","","& machine parts thereof",130836.0,132.0,0.1,225981.0,78.0,0.0
75.0,"","Office machinery and ADP equipment",126743.0,112.0,0.1,378980.0,0.0,0.0
76.0,"","Telecommunication and sound recording and","","","","","",""
"","","reproducing apparatus and equipment",100965.0,31.0,0.0,299356.0,0.0,0.0
77.0,"","Electrical machinery, apparatus and","","","","","",""
"","","appliances",185364.0,241.0,0.1,640575.0,92.0,0.0
78.0,"","Road vehicles (including air cushion vehicles)",312550.0,344.0,0.1,549596.0,370.0,0.1
79.0,"","Other transport equipment",96250.0,15.0,0.0,157654.0,53.0,0.0
84.0,"","Articles of apparel and clothing accessories",94577.0,2211.0,2.3,201379.0,7093.0,3.5
"","","Total exports",3303563.0,18143.0,0.5,6254511.0,41543.0,0.7
"","","","","","","","",""
"","","","","","","","","Contd…"
"","","","","","","","",""
"7.5 INDIA’S SHARE IN WORLD EXPORTS BY COMMODITY DIVISIONS AND GROUPS","","","","","","","",""
"","","","","","","","(US$ million)",""
"Div.","Code","Commodity",2010.0,"","",2011.0,"",""
"Sl.","Group","Division/Group","World","India","India’s","World","India","India’s"
"No.","","","","","share","","","share"
"","","","","","(%)","","","(%)"
1.0,2.0,3.0,22.0,23.0,24.0,25.0,26.0,27.0
"01","","Meat and meat preparations",111800.0,1820.620104,1.62846163148,133737.1,2722.23318,2.03551084927
"03","","Fish, crustaceans and molluscs & preparations",101700.0,2403.424119,2.36324888791,121189.8,3345.070451,2.76019141132
"04","","Cereals and cereal preparations",94500.0,3136.029704,3.31854995132,120680.5,5704.262658,4.72674761705
"","042","Rice",20500.0,2295.812635,11.1990860244,24263.7,4073.331054,16.7877572423
"05","","Vegetables and fruits",180400.0,2338.169262,1.29610269512,208166.5,2837.681206,1.36317861231
"06","","Sugar, sugar preparations and honey",46400.0,1096.446702,2.36303168534,57694.2,2152.13084,3.73023777087
"07","","Coffee, tea, cocoa, spices and manufactures",80400.0,2232.849237,2.77717566791,100841.7,3276.179843,3.24883440382
"","071","Coffee and coffee substitutes",29200.0,558.261348,1.91185393151,41510.1,920.714049,2.21804825573
"","074","Tea and mate",7200.0,720.036041,10.0005005694,8175.3,900.201387,11.0112336795
"","075","Spices",6000.0,926.877634,15.4479605667,7882.3,1425.661243,18.0868685917
"08","","Feeding stuff for animals",57500.0,2066.734538,3.59432093565,67129.5,2754.335736,4.10301839877
12.0,"","Tobacco and tobacco manufactures",35800.0,878.687171,2.45443343855,41887.8,797.926763,1.90491446913
"",121.0,"Unmanufactured tobacco and refuse",10800.0,713.312755,6.60474773148,11432.9,570.949732,4.99391870829
"",122.0,"Manufactured tobacco",25000.0,165.374416,0.661497664,30454.9,226.97703,0.745289033949
22.0,"","Oilseeds and oleaginous fruit",56200.0,911.075919,1.62113152847,67926.9,1629.353768,2.39868707095
28.0,"","Metalliferous ores and metal scrap",298600.0,8474.893991,2.838209642,379365.2,5636.857511,1.48586573334
"",281.0,"Iron ore and concentrates",103600.0,6146.912073,5.93331281178,144719.8,4159.27698,2.87402067996
51.0,"","Organic chemicals",334700.0,7735.32654,2.31112236032,404621.8,10154.259455,2.50956805961
52.0,"","Inorganic chemicals",92300.0,971.785596,1.05285546696,115745.7,1105.815821,0.955383933053
53.0,"","Dyeing, tanning and colouring materials",66800.0,1603.648068,2.40067076048,78772.8,1908.842231,2.42322506119
54.0,541.0,"Medicinal and pharmaceutical products",136000.0,1356.857292,0.997689185294,153968.0,1828.553763,1.18761935142
55.0,"","Essential oils and perfume materials",122700.0,1158.89221,0.944492428688,141849.3,1605.199707,1.13162328401
"","","soap, cleansing etc.","","","","","",""
58.0,"","Artificial resins, plastic materials,",108300.0,910.325065,0.840558693444,125829.2,1402.809713,1.11485228627
"","","cellulose esters & ethers","","","","","",""
59.0,"","Chemical materials and products n.e.s.",174100.0,2135.875555,1.22680962378,207175.4,2526.601184,1.2195469076
61.0,"","Leather, leather manufactures & dressed fur skins",28100.0,915.331328,3.25740686121,29711.3,1178.155935,3.96534629922
"",611.0,"Leather",23400.0,784.912515,3.35432698718,24154.5,1010.190036,4.18220222319
"",612.0,"Manufactures of leather or of composition leather",3100.0,130.417864,4.20702787097,3573.8,167.560931,4.68859284235
"",613.0,"Fur skins,tanned or dressed etc.",1600.0,0.000949,5.93125e-05,1983.0,0.404968,0.0204219868886
65.0,"","Textile yarn, fabrics, made-up articles",259200.0,12833.359088,4.95114162346,301356.6,15340.340319,5.09042785823
"",652.0,"Woven cotton fabrics",28400.0,1049.662617,3.69599513028,33412.8,1526.348063,4.56815371055
"",653.0,"Woven fabrics of man made fibres",36200.0,1986.704864,5.48813498343,43970.8,2264.375752,5.14972607276
"",654.0,"Woven fabrics other than of cotton or",9900.0,517.85465,5.23085505051,11246.9,478.096942,4.25092196072
"","","man-made fibres","","","","","",""
66.0,667.0,"Pearls, precious and semi-precious stones",129700.0,22588.957343,17.4163125235,166133.2,32592.438422,19.6182571708
67.0,"","Iron and steel",417300.0,10611.801176,2.54296697244,517589.1,10471.029584,2.02303904468
69.0,"","Manufactures of metals n.e.s.",301600.0,4169.118019,1.38233356068,360679.9,6063.259282,1.68106381365
71.0,"","Power-generating machinery & equipment",330700.0,2335.127804,0.706116662836,388608.6,2855.290063,0.73474700843
72.0,"","Machinery specialized for particular industries",365200.0,2230.479079,0.610755498083,447753.5,3342.282032,0.746455813746
73.0,"","Metal-working machinery",69400.0,380.682531,0.54853390634,90353.9,474.806293,0.525496180021
