-----
{
 "description": "The table refers to block wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.8.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.8.csv"
}
-----
"State","District","Block","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",0,0,21,0,0,21
"ANDHRA PRADESH","KRISHNA","MUSUNURU",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",0,0,2,0,0,2
"ANDHRA PRADESH","KRISHNA","NANDIVADA",0,0,2,0,0,2
"ANDHRA PRADESH","KRISHNA","PAMARRU",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","PEDANA",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","PENAMALURU",0,0,4,0,0,4
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","TIRUVURU",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","UNGUTURU",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","VATSAVAI",0,0,2,0,0,2
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",0,0,3,0,0,3
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,1,0,0,1
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",0,0,1,0,0,1
"ANDHRA PRADESH","KURNOOL","ADONI",0,0,59,0,0,59
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",0,0,1,0,0,1
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",0,0,142,0,0,142
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",0,0,5,148,0,153
"ANDHRA PRADESH","KURNOOL","DORNIPADU",0,0,2,9,0,11
"ANDHRA PRADESH","KURNOOL","GOSPADU",0,0,0,0,48,48
"ANDHRA PRADESH","KURNOOL","HALAHARVI",0,0,2,1,41,44
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",0,0,40,11,0,51
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",0,0,129,108,19,256
"ANDHRA PRADESH","KURNOOL","KOSIGI",1,0,36,28,0,65
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",0,0,16,0,0,16
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",0,0,22,34,12,68
"ANDHRA PRADESH","KURNOOL","MAHANANDI",0,0,8,0,0,8
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",2,0,60,32,0,94
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",0,1,30,171,0,202
"ANDHRA PRADESH","KURNOOL","NANDYAL",0,0,59,0,21,80
"ANDHRA PRADESH","KURNOOL","PANYAM",0,0,27,17,0,44
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",0,0,22,159,60,241
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",0,0,24,69,1,94
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",0,0,7,0,0,7
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",0,3,13,187,0,203
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",0,0,3,124,0,127
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",0,0,5,0,0,5
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",0,0,54,2,2,58
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",0,0,3,6,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",0,0,43,142,0,185
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",0,0,0,9,0,9
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",0,0,1,0,0,1
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",0,1,49,203,25,278
"ANDHRA PRADESH","MEDAK","ANDOLE",0,0,0,24,0,24
"ANDHRA PRADESH","MEDAK","PAPANNAPET",0,0,10,105,0,115
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",0,0,24,65,1,90
"ANDHRA PRADESH","NALGONDA","ANUMULA",0,0,7,0,0,7
"ANDHRA PRADESH","NALGONDA","CHILKUR",0,0,16,73,0,89
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",0,0,2,21,0,23
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",0,0,9,0,0,9
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",0,0,88,111,0,199
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",0,0,0,220,0,220
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",0,0,0,1,0,1
"ANDHRA PRADESH","NALGONDA","KODAD",1,0,3,193,0,197
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",0,0,119,0,0,119
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",1,0,127,0,0,128
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",1,1,35,126,0,163
"ANDHRA PRADESH","NALGONDA","MOTHEY",0,0,0,1,0,1
"ANDHRA PRADESH","NALGONDA","MUNAGALA",0,0,2,0,0,2
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",1,0,123,14,0,138
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",0,0,9,64,0,73
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",0,0,451,0,0,451
"ANDHRA PRADESH","NALGONDA","PENPAHAD",0,1,6,10,0,17
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",0,0,37,0,0,37
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",5,0,7,0,0,12
"ANDHRA PRADESH","NELLORE","ALLUR",0,0,67,4,0,71
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",0,0,15,1,0,16
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",0,0,42,0,0,42
"ANDHRA PRADESH","NELLORE","ATMAKUR",0,0,66,0,0,66
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",0,0,189,76,0,265
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",0,0,20,0,0,20
"ANDHRA PRADESH","NELLORE","CHEJERLA",0,0,60,12,8,80
"ANDHRA PRADESH","NELLORE","CHILLAKUR",0,0,131,7,0,138
"ANDHRA PRADESH","NELLORE","DAGADARTHI",0,0,4,0,0,4
"ANDHRA PRADESH","NELLORE","DAKKILI",0,0,138,67,0,205
"ANDHRA PRADESH","NELLORE","DUTTALUR",0,0,31,5,0,36
"ANDHRA PRADESH","NELLORE","GUDUR",0,0,0,6,0,6
"ANDHRA PRADESH","NELLORE","KALIGIRI",0,0,1,0,0,1
"ANDHRA PRADESH","NELLORE","KALUVOYA",0,0,54,0,0,54
"ANDHRA PRADESH","NELLORE","KAVALI",0,0,33,0,0,33
"ANDHRA PRADESH","NELLORE","KODAVALUR",0,0,46,0,0,46
"ANDHRA PRADESH","NELLORE","KONDAPURAM",0,0,44,10,0,54
"ANDHRA PRADESH","NELLORE","KOTA",0,0,14,0,0,14
"ANDHRA PRADESH","NELLORE","MANUBOLU",0,0,4,0,0,4
"ANDHRA PRADESH","NELLORE","MARRIPADU",0,1,97,3,0,101
"ANDHRA PRADESH","NELLORE","NELLORE",29,0,139,0,0,168
"ANDHRA PRADESH","NELLORE","PODALAKUR",0,0,233,74,0,307
"ANDHRA PRADESH","NELLORE","RAPUR",0,0,31,0,0,31
"ANDHRA PRADESH","NELLORE","SANGAM",0,2,120,0,0,122
"ANDHRA PRADESH","NELLORE","SULLURPETA",0,0,54,0,0,54
"ANDHRA PRADESH","NELLORE","SYDAPURAM",0,0,110,7,0,117
"ANDHRA PRADESH","NELLORE","TADA",0,1,143,0,0,144
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",0,0,4,0,0,4
"ANDHRA PRADESH","NELLORE","VENKATACHALAM",0,0,16,17,13,46
"ANDHRA PRADESH","NELLORE","VENKATAGIRI",0,0,152,13,0,165
"ANDHRA PRADESH","NELLORE","VIDAVULUR",0,0,34,0,12,46
"ANDHRA PRADESH","NELLORE","VINJAMUR",0,0,28,12,0,40
"ANDHRA PRADESH","NIZAMABAD","BANSWADA",0,0,130,21,0,151
