-----
{
 "description": "The table refers to district wise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Districtshtbwl2.11.csv", 
 "title": "Download CSV for District wise Distribution of Shallow Tubewells according to major/medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Districtshtbwl2.11.csv"
}
-----
State,District,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
BIHAR,HAZARIBAG,2,1,3,0,3,0,0,0,0,3
BIHAR,JAMUI,344,2809,3153,1333,1716,60,19,20,5,3153
BIHAR,JEHANABAD,1113,16712,17825,2774,13937,971,128,15,0,17825
BIHAR,KATIHAR,441,24077,24518,4706,17428,1988,251,27,118,24518
BIHAR,KHAGARIA,32,10676,10708,1249,8810,648,1,0,0,10708
BIHAR,KISHANGANJ,5,8942,8947,2335,6337,265,6,0,4,8947
BIHAR,KODARMA,0,214,214,100,102,9,3,0,0,214
BIHAR,LAKHISARAI,535,3901,4436,541,3692,190,12,1,0,4436
BIHAR,MADHEPURA,441,13733,14174,1112,12412,650,0,0,0,14174
BIHAR,MADHUBANI,894,13500,14394,2045,10951,1047,235,93,23,14394
BIHAR,MUNGER,900,2201,3101,226,2323,541,8,3,0,3101
BIHAR,MUZAFFARPUR,212,30684,30896,8167,20919,1213,371,136,90,30896
BIHAR,NALANDA,60,16549,16609,2833,12636,1073,37,28,2,16609
BIHAR,NAWADA,246,15655,15901,3405,11309,858,137,191,1,15901
BIHAR,PAKUR,0,201,201,72,125,4,0,0,0,201
BIHAR,PATNA,1695,21754,23449,3374,19007,980,52,23,13,23449
BIHAR,PURNIA,841,23243,24084,1634,20307,1997,117,28,1,24084
BIHAR,RANCHI,0,90,90,18,72,0,0,0,0,90
BIHAR,ROHTAS,8664,8645,17309,6725,9762,503,23,5,291,17309
BIHAR,SAHARSA,448,9363,9811,2964,5202,1625,20,0,0,9811
BIHAR,SAHEBGANJ,0,1764,1764,268,1445,51,0,0,0,1764
BIHAR,SAMASTIPUR,812,29028,29840,4895,24148,785,10,2,0,29840
BIHAR,SARAN,584,23807,24391,932,18770,4451,230,4,4,24391
BIHAR,SHEIKHPURA,185,5161,5346,3297,1721,323,1,4,0,5346
BIHAR,SHEOHAR,2,4454,4456,523,3838,95,0,0,0,4456
BIHAR,SINGHBHUM EAST,8,1270,1278,672,529,54,19,4,0,1278
BIHAR,SINGHBHUM WEST,0,15,15,15,0,0,0,0,0,15
BIHAR,SITAMARHI,74,14838,14912,2027,11766,1081,29,9,0,14912
BIHAR,SIWAN,661,26216,26877,2208,19975,3785,823,85,1,26877
BIHAR,SUPAUL,106,13232,13338,484,12435,419,0,0,0,13338
BIHAR,VAISHALI,84,21352,21436,3278,17409,737,9,3,0,21436
GOA,NORTH GOA,0,20,20,15,5,0,0,0,0,20
GOA,SOUTH GOA,0,8,8,4,2,2,0,0,0,8
HARYANA,AMBALA,574,14170,14744,2817,9801,2014,102,10,0,14744
HARYANA,BHIWANI,5823,12649,18472,3362,12089,2982,24,12,3,18472
HARYANA,FARIDABAD,4966,20639,25605,2926,10528,10159,1706,272,14,25605
HARYANA,GURGAON,2187,26553,28740,3086,24050,1489,79,24,12,28740
HARYANA,HISAR,25136,20236,45372,10181,25913,8488,659,122,9,45372
HARYANA,JIND,12489,17230,29719,3790,16433,8612,543,209,132,29719
HARYANA,KAITHAL,3326,27639,30965,3230,19160,6378,706,381,1110,30965
HARYANA,KARNAL,10674,41628,52302,4419,27694,17386,1801,263,739,52302
HARYANA,KURUKSHETRA,2760,33147,35907,4234,19224,10857,581,279,732,35907
HARYANA,MEHANDERGARH,1859,22371,24230,3244,15243,4468,345,195,735,24230
HARYANA,PANCHKULA,3,1180,1183,195,895,91,1,1,0,1183
HARYANA,PANIPAT,3778,22572,26350,3242,16914,4909,357,198,730,26350
HARYANA,RIWARI,1704,21554,23258,1400,12999,6833,560,441,1025,23258
HARYANA,ROHTAK,12601,38054,50655,5843,26625,14660,1017,648,1862,50655
HARYANA,SIRSA,12917,11805,24722,4454,12587,6174,487,308,712,24722
HARYANA,SONIPAT,7625,28505,36130,3017,19252,10545,885,657,1774,36130
HARYANA,YAMUNA NAGAR,2120,23820,25940,1993,16688,6034,319,195,711,25940
HIMACHAL PRADESH,Bilaspur,0,22,22,2,20,0,0,0,0,22
HIMACHAL PRADESH,Hamirpur,2,10,12,10,2,0,0,0,0,12
HIMACHAL PRADESH,Kangra,19,290,309,88,116,76,14,15,0,309
HIMACHAL PRADESH,Mandi,2,77,79,32,29,11,4,3,0,79
HIMACHAL PRADESH,Sirmaur,39,138,177,16,97,60,4,0,0,177
HIMACHAL PRADESH,Solan,0,85,85,16,15,35,16,3,0,85
HIMACHAL PRADESH,Una,1,939,940,198,425,292,23,2,0,940
JAMMU & KASHMIR,Budgam,0,1,1,1,0,0,0,0,0,1
JAMMU & KASHMIR,Jammu,20,1048,1068,800,268,0,0,0,0,1068
JAMMU & KASHMIR,Kathua,12,215,227,140,87,0,0,0,0,227
JAMMU & KASHMIR,Kupwara,0,11,11,3,8,0,0,0,0,11
JAMMU & KASHMIR,Srinagar,2,4,6,1,5,0,0,0,0,6
KARNATAKA,BANGALORE RURAL,519,7060,7579,1405,4893,937,153,63,128,7579
KARNATAKA,BANGALORE URBAN,105,2233,2338,984,1033,229,73,17,2,2338
KARNATAKA,BELGAUM,1277,3813,5090,1450,2643,785,82,52,78,5090
KARNATAKA,BELLARY,127,1378,1505,513,835,68,67,20,2,1505
KARNATAKA,BIDAR,27,277,304,96,147,57,0,2,2,304
KARNATAKA,BIJAPUR,286,1968,2254,906,1127,73,129,1,18,2254
KARNATAKA,CHIKKAMAGALORE,132,2809,2941,432,2411,50,0,0,48,2941
KARNATAKA,CHITRADURGA,1752,7858,9610,1224,6042,1671,322,341,10,9610
KARNATAKA,DAKSHINA KANNADA,69,461,530,289,221,15,4,1,0,530
KARNATAKA,DHARWAR,785,6848,7633,2009,4577,809,61,27,150,7633
KARNATAKA,GULBARGA,158,549,707,532,120,20,7,18,10,707
KARNATAKA,HASSAN,1857,8766,10623,3424,5207,1877,45,63,7,10623
KARNATAKA,KODAGU,3,8,11,2,9,0,0,0,0,11
KARNATAKA,KOLAR,861,6041,6902,1375,4459,901,127,11,29,6902
KARNATAKA,MANDYA,195,916,1111,438,525,108,25,15,0,1111
KARNATAKA,MYSORE,640,2065,2705,771,1440,399,56,19,20,2705
KARNATAKA,RAICHUR,489,3227,3716,1221,1982,333,89,57,34,3716
KARNATAKA,SHIMOGA,474,3311,3785,610,2202,783,112,30,48,3785
KARNATAKA,TUMKUR,402,9711,10113,2574,6541,578,110,164,146,10113
KARNATAKA,UTTARA KANNADA,12,127,139,56,53,27,2,0,1,139
KERALA,ALAPUZHA,9,472,481,321,121,34,4,0,1,481
KERALA,ERANAKULAM,29,99,128,106,22,0,0,0,0,128
KERALA,IDUKKI,0,2,2,2,0,0,0,0,0,2
KERALA,KANNUR,0,3,3,3,0,0,0,0,0,3
KERALA,KASARAGODE,0,50,50,28,17,5,0,0,0,50
KERALA,KOLLAM,0,67,67,58,8,1,0,0,0,67
KERALA,KOTTAYAM,0,14,14,13,0,1,0,0,0,14
KERALA,KOZHIKODE,0,1,1,1,0,0,0,0,0,1
KERALA,MALAPPURAM,0,184,184,109,75,0,0,0,0,184
KERALA,PALAKKAD,72,117,189,63,79,21,22,4,0,189
KERALA,PATHANAMTHITTA,1,43,44,40,4,0,0,0,0,44
KERALA,THIRUVANANTHAPURAM,5,188,193,165,28,0,0,0,0,193
KERALA,THRISSUR,2,1006,1008,988,19,0,0,0,1,1008
MADHYA PRADESH,BALAGHAT,0,77,77,54,23,0,0,0,0,77
MADHYA PRADESH,BASTAR,0,33,33,23,3,1,0,6,0,33
MADHYA PRADESH,BETUL,2,570,572,143,335,91,3,0,0,572
MADHYA PRADESH,BHIND,0,465,465,465,0,0,0,0,0,465
MADHYA PRADESH,BHOPAL,44,2908,2952,15,1239,1005,211,472,10,2952
MADHYA PRADESH,BILASPUR,556,1284,1840,489,1058,183,15,23,72,1840
MADHYA PRADESH,CHHATARPUR,1,281,282,152,126,4,0,0,0,282
MADHYA PRADESH,CHHINDWARA,1,585,586,244,313,8,11,10,0,586
MADHYA PRADESH,DAMOH,11,2699,2710,86,1789,662,94,79,0,2710
MADHYA PRADESH,DEWAS,174,6388,6562,94,4611,1349,454,54,0,6562
MADHYA PRADESH,DHAR,39,14757,14796,293,9867,3818,816,2,0,14796
MADHYA PRADESH,DURG,699,4830,5529,326,1320,1669,1502,699,13,5529
MADHYA PRADESH,GUNA,0,1940,1940,730,1064,129,17,0,0,1940
MADHYA PRADESH,GWALIOR,0,662,662,148,400,54,60,0,0,662
MADHYA PRADESH,HOSHANGABAD,39,2490,2529,36,908,1355,141,88,1,2529
MADHYA PRADESH,INDORE,533,17033,17566,133,1481,5730,7294,2927,1,17566
MADHYA PRADESH,JABALPUR,36,1225,1261,39,223,281,643,75,0,1261
MADHYA PRADESH,JHABUA,0,78,78,2,71,5,0,0,0,78
MADHYA PRADESH,KHANDWA,0,62,62,0,23,16,6,17,0,62
MADHYA PRADESH,KHARGONE,8,821,829,28,511,265,20,5,0,829
MADHYA PRADESH,MANDLA,0,51,51,0,47,4,0,0,0,51
MADHYA PRADESH,MANDSAUR,9,393,402,17,191,145,36,13,0,402
MADHYA PRADESH,MORENA,0,1913,1913,1878,0,0,0,0,35,1913
MADHYA PRADESH,NARSIMHAPUR,11,5667,5678,400,944,1073,2815,446,0,5678
MADHYA PRADESH,PANNA,0,146,146,15,55,29,47,0,0,146
MADHYA PRADESH,RAIGARH,65,1662,1727,685,303,563,54,95,27,1727
MADHYA PRADESH,RAIPUR,954,2966,3920,559,1218,536,1086,389,132,3920
MADHYA PRADESH,RAISEN,49,5516,5565,184,3905,1267,135,74,0,5565
MADHYA PRADESH,RAJGARH,5,1140,1145,28,323,688,106,0,0,1145
MADHYA PRADESH,RAJNANDGAON,1,229,230,65,27,37,87,14,0,230
MADHYA PRADESH,RATLAM,22,4045,4067,49,424,1650,1727,215,2,4067
MADHYA PRADESH,REWA,4,1166,1170,14,559,288,114,195,0,1170
MADHYA PRADESH,SAGAR,0,1554,1554,70,523,485,460,12,4,1554
MADHYA PRADESH,SATNA,68,2529,2597,233,1399,771,138,56,0,2597
MADHYA PRADESH,SEHORE,85,5559,5644,254,3112,2039,170,69,0,5644
MADHYA PRADESH,SEONI,0,40,40,1,13,22,1,2,1,40
MADHYA PRADESH,SHAHDOL,0,65,65,8,26,8,8,10,5,65
MADHYA PRADESH,SHAJAPUR,47,3060,3107,164,1107,1159,677,0,0,3107
MADHYA PRADESH,SHIVPURI,0,237,237,94,113,14,0,16,0,237
MADHYA PRADESH,SIDHI,1,333,334,13,139,147,32,3,0,334
MADHYA PRADESH,SURGUJA,0,18,18,0,17,0,0,1,0,18
MADHYA PRADESH,TIKAMGARH,0,897,897,574,313,10,0,0,0,897
MADHYA PRADESH,UJJAIN,223,16869,17092,240,5180,8420,3252,0,0,17092
MADHYA PRADESH,VIDISHA,97,2477,2574,192,939,1000,410,33,0,2574
MANIPUR,BISHNUPUR,0,3,3,0,3,0,0,0,0,3
MANIPUR,CHURACHANDPUR,0,2,2,0,2,0,0,0,0,2
MANIPUR,IMPHAL,0,9,9,0,9,0,0,0,0,9
MANIPUR,SENAPATI,0,3,3,0,3,0,0,0,0,3
MANIPUR,THOUBAL,0,19,19,0,19,0,0,0,0,19
MEGHALAYA,WEST GARO HILLS,97,12,109,44,65,0,0,0,0,109
MEGHALAYA,WEST KHASI HILLS,0,1,1,1,0,0,0,0,0,1
NAGALAND,KOHIMA,0,6,6,0,6,0,0,0,0,6
ORISSA,ANGUL,0,2,2,1,1,0,0,0,0,2
ORISSA,BALASORE,289,6600,6889,2550,2895,1197,185,62,0,6889
ORISSA,BARAGARH,11,179,190,32,57,58,20,17,6,190
ORISSA,BHADRAK,362,894,1256,508,622,117,4,5,0,1256
ORISSA,BOLANGIR,0,17,17,10,4,3,0,0,0,17
ORISSA,CUTTACK,588,1125,1713,896,752,63,2,0,0,1713
ORISSA,GAJAPATI,0,87,87,10,42,12,20,0,3,87
ORISSA,GANJAM,232,667,899,406,357,111,8,11,6,899
ORISSA,JAGATSINGHPUR,503,1073,1576,956,588,30,2,0,0,1576
ORISSA,JAJPUR,295,1030,1325,346,819,159,1,0,0,1325
ORISSA,JHARSUGUDA,0,9,9,9,0,0,0,0,0,9
ORISSA,KALAHANDI,1,9,10,8,2,0,0,0,0,10
ORISSA,KENDRAPARA,163,422,585,335,236,13,1,0,0,585
ORISSA,KEONJHAR,5,117,122,37,70,10,5,0,0,122
ORISSA,KHURDA,51,304,355,126,205,20,2,1,1,355
ORISSA,KORAPUT,0,2,2,2,0,0,0,0,0,2
ORISSA,MAYURBHANJ,1,256,257,94,122,35,5,1,0,257
ORISSA,NAYAGARH,45,202,247,66,116,62,3,0,0,247
ORISSA,NUAPADA,0,4,4,2,2,0,0,0,0,4
ORISSA,PURI,363,1861,2224,1223,835,143,19,3,1,2224
ORISSA,RAYAGADA,1,318,319,58,119,12,130,0,0,319
ORISSA,SAMBALPUR,0,2,2,2,0,0,0,0,0,2
ORISSA,SONEPUR,1,1,2,1,1,0,0,0,0,2
ORISSA,SUNDARGARH,0,3,3,3,0,0,0,0,0,3
PUNJAB,AMRITSAR,44452,51177,95629,2487,22546,67687,2166,191,552,95629
PUNJAB,BATHINDA,30346,1866,32212,3270,18721,9724,449,46,2,32212
PUNJAB,FARIDKOT,92790,10528,103318,10420,88601,4276,7,7,7,103318
PUNJAB,FATEHGARH SAHIB,23395,1353,24748,1671,7931,15000,109,34,3,24748
PUNJAB,FEROZEPUR,62865,34940,97805,2349,39648,53885,1605,277,41,97805
PUNJAB,GURDASPUR,27938,32116,60054,2463,22787,31283,1718,557,1246,60054
PUNJAB,HOSHIARPUR,7441,43869,51310,2221,30234,18579,200,52,24,51310
PUNJAB,JALANDHAR,19897,69124,89021,3232,26016,59523,122,114,14,89021
PUNJAB,KAPURTHALA,11639,28431,40070,1856,24438,13411,208,132,25,40070
PUNJAB,LUDHIANA,9833,95145,104978,6931,67644,27665,1431,1133,174,104978
PUNJAB,MANSA,24094,9317,33411,3009,15649,12500,746,555,952,33411
PUNJAB,PATIALA,17576,58672,76248,4692,15454,53842,1330,37,893,76248
PUNJAB,ROPAR,13847,10047,23894,2137,8954,12537,207,52,7,23894
PUNJAB,SANGRUR,40712,70799,111511,5496,37945,67509,416,109,36,111511
RAJASTHAN,AJMER,0,1,1,1,0,0,0,0,0,1
RAJASTHAN,ALWAR,219,17590,17809,3802,11197,2629,122,32,27,17809
RAJASTHAN,BANSWARA,7,6,13,5,6,0,2,0,0,13
RAJASTHAN,BARAN,12,2057,2069,532,1052,368,92,22,3,2069
RAJASTHAN,BHARATPUR,212,29377,29589,6906,16737,5648,170,48,80,29589
RAJASTHAN,BHILWARA,0,15,15,9,4,2,0,0,0,15
RAJASTHAN,BIKANER,0,20,20,0,12,2,5,1,0,20
RAJASTHAN,BUNDI,0,92,92,84,0,8,0,0,0,92
RAJASTHAN,CHITTORGARH,2,421,423,71,256,80,13,1,2,423
RAJASTHAN,CHURU,0,90,90,6,83,1,0,0,0,90
RAJASTHAN,DAUSA,0,3390,3390,976,1807,492,23,3,89,3390
RAJASTHAN,DHOLPUR,564,3538,4102,748,2738,586,21,8,1,4102
RAJASTHAN,DUNGARPUR,0,21,21,9,8,2,0,2,0,21
RAJASTHAN,JAIPUR,0,23,23,3,17,3,0,0,0,23
RAJASTHAN,JAISALMER,0,18,18,6,12,0,0,0,0,18
RAJASTHAN,JALORE,0,74,74,16,39,18,0,1,0,74
RAJASTHAN,JHALAWAR,0,69,69,0,49,14,4,2,0,69
RAJASTHAN,JODHPUR,3,265,268,124,135,5,2,2,0,268
RAJASTHAN,KOTA,232,1684,1916,521,1100,272,2,18,3,1916
RAJASTHAN,NAGAUR,3,521,524,95,392,33,2,2,0,524
RAJASTHAN,PALI,0,136,136,75,54,4,2,0,1,136
RAJASTHAN,RAJSAMAND,0,7,7,0,3,4,0,0,0,7
RAJASTHAN,SAWAI-MADHOPUR,0,2398,2398,640,1051,695,10,2,0,2398
RAJASTHAN,SIROHI,0,1,1,0,1,0,0,0,0,1
RAJASTHAN,TONK,0,5,5,5,0,0,0,0,0,5
RAJASTHAN,UDAIPUR,3,23,26,16,6,3,1,0,0,26
TAMIL NADU,COIMBATORE,35,738,773,442,236,73,21,1,0,773
TAMIL NADU,CUDDALORE,8392,13210,21602,2371,6836,5746,5455,1023,171,21602
TAMIL NADU,DHARMAPURI,0,77,77,72,3,2,0,0,0,77
TAMIL NADU,DINDIGUL,23,319,342,237,90,15,0,0,0,342
TAMIL NADU,ERODE,69,111,180,109,66,3,2,0,0,180
TAMIL NADU,KANCHIPURAM,1763,2075,3838,1948,1199,620,40,31,0,3838
TAMIL NADU,KANNIYAKUMARI,0,55,55,55,0,0,0,0,0,55
TAMIL NADU,KARUR,0,301,301,133,168,0,0,0,0,301
TAMIL NADU,MADURAI,17,32,49,38,5,6,0,0,0,49
TAMIL NADU,NAGAPATTINAM,392,1853,2245,140,1465,365,81,191,3,2245
TAMIL NADU,NAMAKKAL,0,36,36,36,0,0,0,0,0,36
TAMIL NADU,PERAMBALUR,21,3288,3309,1415,1639,235,6,13,1,3309
TAMIL NADU,PUDUKOTTAI,29,567,596,186,325,85,0,0,0,596
TAMIL NADU,RAMNATHAPURAM,67,224,291,83,138,47,7,5,11,291
TAMIL NADU,SALEM,0,147,147,124,22,0,0,0,1,147
TAMIL NADU,SIVAGANGA,7,31,38,15,15,8,0,0,0,38
TAMIL NADU,THANJAVUR,17351,1552,18903,2489,9420,5466,803,505,220,18903
TAMIL NADU,THENI,131,264,395,240,79,9,1,0,66,395
TAMIL NADU,TIRUNELVELI,0,38,38,31,7,0,0,0,0,38
TAMIL NADU,TIRUVALLUR,1139,4040,5179,492,2587,1288,631,127,54,5179
TAMIL NADU,TIRUVARUR,9893,1420,11313,1369,5081,2917,637,1173,136,11313
TAMIL NADU,TRICHIRAPPALLI,118,631,749,341,338,70,0,0,0,749
TAMIL NADU,VILLUPURAM,1414,4451,5865,2378,2657,615,80,31,104,5865
TRIPURA,DHALAI,0,58,58,40,17,1,0,0,0,58
TRIPURA,NORTH,0,5,5,0,0,0,0,0,5,5
TRIPURA,SOUTH,0,59,59,57,2,0,0,0,0,59
TRIPURA,WEST,0,14,14,1,12,0,0,0,1,14
UTTAR PRADESH,AGRA,1669,33680,35349,2065,23739,8457,988,96,4,35349
UTTAR PRADESH,ALIGARH,3488,45637,49125,3533,32714,12432,378,41,27,49125
UTTAR PRADESH,ALLAHABAD,6092,21633,27725,2121,19107,5941,506,48,2,27725
UTTAR PRADESH,AMBEDKAR NAGAR,7534,28097,35631,9494,19684,6004,326,65,58,35631
UTTAR PRADESH,AZAMGARH,4582,23961,28543,2767,18302,5947,773,697,57,28543
UTTAR PRADESH,BADAUN,2281,51845,54126,9270,31309,10842,2502,123,80,54126
UTTAR PRADESH,BAHRAICH,2587,50395,52982,6532,36938,8541,880,83,8,52982
UTTAR PRADESH,BALLIA,4404,19097,23501,2224,14435,5659,930,245,8,23501
UTTAR PRADESH,BANDA,2293,3869,6162,1263,3813,940,76,63,7,6162
UTTAR PRADESH,BARABANKI,16657,16586,33243,11647,18079,3298,156,48,15,33243
UTTAR PRADESH,BAREILLY,8695,39919,48614,2335,34606,11145,407,72,49,48614
UTTAR PRADESH,BASTI,3778,42473,46251,9117,31198,4964,508,342,122,46251
UTTAR PRADESH,BIJNOR,9205,51706,60911,8035,41590,9784,1144,314,44,60911
UTTAR PRADESH,BULANDSHAHR,4520,40515,45035,4009,26042,13767,812,397,8,45035
UTTAR PRADESH,DEHRADUN,139,319,458,246,190,22,0,0,0,458
UTTAR PRADESH,DEORIA,4100,31010,35110,4790,21669,7801,792,58,0,35110
UTTAR PRADESH,ETAH,1828,40169,41997,6218,26809,8383,541,28,18,41997
UTTAR PRADESH,ETAWAH,7661,22072,29733,7913,17942,3360,242,228,48,29733
UTTAR PRADESH,FAIZABAD,2197,28484,30681,3470,21270,5730,161,50,0,30681
UTTAR PRADESH,FARUKHABAD,5134,44825,49959,11572,33251,4296,732,74,34,49959
UTTAR PRADESH,FATEHPUR,2337,10177,12514,1288,7561,3084,412,160,9,12514
UTTAR PRADESH,FIROZABAD,2970,17420,20390,2477,12074,5524,301,14,0,20390
UTTAR PRADESH,GHAZIABAD,3250,27937,31187,3764,18338,8119,659,299,8,31187
UTTAR PRADESH,GHAZIPUR,4765,15360,20125,1138,11609,5678,1289,350,61,20125
UTTAR PRADESH,GONDA,1184,50306,51490,15599,30698,4664,470,59,0,51490
UTTAR PRADESH,GORAKHPUR,0,46284,46284,6572,27743,10311,1178,434,46,46284
UTTAR PRADESH,HAMIRPUR,460,7012,7472,736,4704,1906,75,49,2,7472
UTTAR PRADESH,HARDOI,0,43460,43460,7844,26315,9019,239,15,28,43460
UTTAR PRADESH,HARDWAR,3440,19890,23330,4578,14147,3840,663,80,22,23330
UTTAR PRADESH,JALAUN,1696,3587,5283,445,3458,1171,152,43,14,5283
UTTAR PRADESH,JAUNPUR,13680,42345,56025,5915,36217,12223,1581,68,21,56025
UTTAR PRADESH,JHANSI,208,889,1097,432,590,61,2,0,12,1097
UTTAR PRADESH,KANPUR DEHAT,6465,26975,33440,7272,20512,5011,389,88,168,33440
UTTAR PRADESH,KANPUR NAGAR,1118,6656,7774,949,4075,2420,238,92,0,7774
UTTAR PRADESH,KHIRI,5359,53452,58811,16878,30792,8260,1667,1170,44,58811
UTTAR PRADESH,KUSHI NAGAR,8074,19775,27849,5459,19115,3141,95,29,10,27849
UTTAR PRADESH,LALITPUR,1,285,286,244,42,0,0,0,0,286
