-----
{
 "description": "This data provides year-on-year details of disinvestment proceeds from sale of minority shareholdings in CPSEs as on 23rd July 2013 (in Rs. Crore).", 
 "file_name": "Disinvestment_Proceeds_From_Sale_of_Minority_Shareholding_In_CPSEs_as_on_23rd_July_2013.xls", 
 "title": "Download XLS for Disinvestment Proceeds From Sale of Minority Shareholding In CPSEs as on 23rd July 2013", 
 "url": "http://data.gov.in/sites/default/files/Disinvestment_Proceeds_From_Sale_of_Minority_Shareholding_In_CPSEs_as_on_23rd_July_2013.xls"
}
-----
"S.No.","CPSE","1991-92","1992-93","1994-95","1995-96","1996-97","1997-98","1998-99","1999-00","2003-04","2004-05","2007-08","2009-10","2010-11","2011-12","2012-13","2013-14"
30.0,"MMTC ","NA","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",571.7138939
31.0,"MOIL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",618.7567472,"NULL","NULL","NULL"
32.0,"MTNL","NA","NULL",1322.17,135.9,"NULL",910.0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
33.0,"NALCO","NA",244.2,0.1,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",627.8413076,"NULL"
34.0,"NBCC","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",124.9711269,"NULL"
35.0,"NFL","NA",0.72,0.28,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
36.0,"NHPC","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",2012.8488192,"NULL","NULL","NULL","NULL"
37.0,"NLC","NA",70.43,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
38.0,"NMDC","NULL",17.88,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",9930.42462,"NULL","NULL",5973.2722793,"NULL"
39.0,"NTPC","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",2684.07,"NULL",8480.0982152,"NULL","NULL",11456.7780497,"NULL"
40.0,"OIL ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",2247.0462,"NULL","NULL",3141.5114696,"NULL"
41.0,"ONGC","NULL","NULL",1051.52,5.16,"NULL","NULL",2484.96,296.48,10542.4,15.99,"NULL","NULL","NULL",12749.5015896,"NULL","NULL"
42.0,"PFC","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1144.55,"NULL","NULL"
43.0,"PGCIL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",994.82,"NULL",3721.1721287,"NULL","NULL","NULL"
44.0,"RCF","NA",30.36,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",310.1503585,"NULL"
45.0,"REC","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",819.63,882.5108629,"NULL","NULL","NULL","NULL"
46.0,"SAIL","NA",700.1,22.66,13.3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1514.5049961,"NULL"
47.0,"SCI","NA","NULL",28.08,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",582.4460831,"NULL","NULL","NULL"
48.0,"SJVN","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1062.7369212,"NULL","NULL","NULL"
49.0,"STC","NA",2.25,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
50.0,"VSNL","NA","NULL","NULL","NULL",379.67,"NULL",783.68,75.0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TOTAL","TOTAL",3037.74,1912.51,4843.1,168.48,379.67,910.0,5371.11,1479.27,12741.62,2700.06,1814.45,23552.9287173,22144.2064501,13894.0515896,23956.0583601,831.2691964
"GRAND TOTAL","GRAND TOTAL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",119736.524314
