-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.13.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.13.csv"
}
-----
"State","District","No. of constraints in utilisation","Constraints in utilisation - Non-filling up of storage","Constraints in utilisation - Siltation of storage","Constraints in utilisation - Breakdown of channel","Constraints in utilisation - Other reason","Total - Constraints in utilisation","Total in use"
"ARUNACHAL PRADESH","EAST SIANG",427,2,0,275,136,413,840
"ARUNACHAL PRADESH","LOHIT",13,0,0,13,7,20,33
"ARUNACHAL PRADESH","LOWER SUBANSIRI",177,1,1,160,207,369,546
"ARUNACHAL PRADESH","PAPUMPARE",53,11,1,12,96,120,173
"ARUNACHAL PRADESH","TAWANG",11,0,1,60,3,64,75
"ARUNACHAL PRADESH","TIRAP",66,5,4,10,15,34,100
"ARUNACHAL PRADESH","UPPER SIANG",259,0,0,95,187,282,541
"ARUNACHAL PRADESH","UPPER SUBANSIRI",158,1,0,48,58,107,265
"ARUNACHAL PRADESH","WEST KAMENG",10,0,0,0,29,29,39
"ARUNACHAL PRADESH","WEST SIANG",82,1,1,29,62,93,175
"ASSAM","BARPETA",55,0,0,0,3,3,58
"ASSAM","BONGAIGAON",45,0,0,0,1,1,46
"ASSAM","CACHAR",0,2,0,5,11,18,18
"ASSAM","DARRANG",225,0,0,0,39,39,264
"ASSAM","DHUBRI",6,0,0,0,62,62,68
"ASSAM","GOALPARA",11,4,1,16,20,41,52
"ASSAM","GOLAGHAT",2,0,0,0,0,0,2
"ASSAM","HAILAKANDI",0,0,0,0,1,1,1
"ASSAM","JORHAT",35,0,0,0,5,5,40
"ASSAM","KAMRUP",3,0,0,0,39,39,42
"ASSAM","KARBIANGLONG",0,0,0,0,266,266,266
"ASSAM","KARIMGANJ",0,0,0,0,0,0,0
"ASSAM","KOKRAJHAR",46,5,9,76,49,139,185
"ASSAM","LAKHIMPUR",3,0,0,5,0,5,8
"ASSAM","MORIGAON",1,0,0,0,1,1,2
"ASSAM","NAGOAN",15,0,0,1,6,7,22
"ASSAM","NALBARI",3,0,0,18,6,24,27
"ASSAM","NC HILLS",264,0,1,0,6,7,271
"ASSAM","SIBSAGAR",0,0,0,1,3,4,4
"ASSAM","SONITPUR",9,1,0,0,15,16,25
"BIHAR","ARARIA",20,31,6,57,0,94,114
"BIHAR","AURANGABAD",0,206,525,503,17,1251,1251
"BIHAR","BANKA",112,541,833,630,30,2034,2146
"BIHAR","BEGUSARAI",28,77,2,0,12,91,119
"BIHAR","BHAGALPUR",248,30,113,70,11,224,472
"BIHAR","BHOJPUR",66,4,2,6,15,27,93
"BIHAR","BUXAR",0,0,4,0,65,69,69
"BIHAR","EAST CHAMPARAN",10,23,0,0,0,23,33
"BIHAR","GAYA",3521,644,1714,473,150,2981,6502
"BIHAR","GOPAALGANJ",0,1,0,0,6,7,7
"BIHAR","JAMUI",1248,407,350,223,221,1201,2449
"BIHAR","JEHANABAD",138,103,168,81,7,359,497
"BIHAR","KAIMUR (BHABUA)",95,1111,66,56,2,1235,1330
"BIHAR","KATIHAR",1,0,0,0,0,0,1
"BIHAR","LAKHISARAI",0,15,61,10,165,251,251
"BIHAR","MADHEPURA",0,0,0,0,1,1,1
"BIHAR","MADHUBANI",11,349,22,0,44,415,426
"BIHAR","MUNGER",61,11,59,9,22,101,162
"BIHAR","MUZAFFARPUR",6,17,0,0,0,17,23
"BIHAR","NALANDA",213,16,5,0,4,25,238
"BIHAR","NAWADA",1,274,419,675,119,1487,1488
"BIHAR","PATNA",0,202,0,0,10,212,212
"BIHAR","ROHTAS(SASARAM)",65,87,183,14,49,333,398
"BIHAR","SARAN",12,0,0,5,0,5,17
"BIHAR","SHEKHPURA",12,20,72,16,5,113,125
"BIHAR","SITAMARHI",10,0,1,2,3,6,16
"BIHAR","SIWAN",0,0,0,0,60,60,60
"BIHAR","SUPAUL",75,0,0,0,0,0,75
"BIHAR","VAISHALI",0,0,1,0,0,1,1
"BIHAR","WEST CHAMPARAN",0,3,7,193,0,203,203
"CHHATTISGARH","BASTER",0,57,2,227,1574,1860,1860
"CHHATTISGARH","BILASPUR",49,87,3,0,1272,1362,1411
"CHHATTISGARH","DANTEWADA",0,34,3,23,156,216,216
"CHHATTISGARH","DHAMTARI",0,5,2,6,65,78,78
"CHHATTISGARH","DURG",4,228,3,16,200,447,451
"CHHATTISGARH","JANJGIR-CHAMPA",3082,47,7,13,10713,10780,13862
"CHHATTISGARH","JASHPUR",266,19,0,2,1559,1580,1846
"CHHATTISGARH","KANKER",0,10,0,6,78,94,94
"CHHATTISGARH","KORBA",2412,100,19,34,6296,6449,8861
"CHHATTISGARH","KORIA",11,2,1,79,1360,1442,1453
"CHHATTISGARH","KVARDHA",0,68,0,4,1643,1715,1715
"CHHATTISGARH","MAHASAMUND",0,240,4,29,269,542,542
"CHHATTISGARH","RAIGARH",59,153,6,16,7105,7280,7339
"CHHATTISGARH","RAIPUR",0,75,12,10,1563,1660,1660
"CHHATTISGARH","RAJNANDGAON",30,8,1,8,704,721,751
"CHHATTISGARH","SURGUJA",107,12,4,20,1604,1640,1747
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",46,0,0,0,0,0,46
"DELHI","ALIPUR",45,0,0,0,10,10,55
"GOA","NORTH GOA",1892,115,48,54,648,865,2757
"GOA","SOUTH GOA",778,35,0,18,136,189,967
"GUJARAT","AHMEDABAD",2,201,37,842,160,1240,1242
"GUJARAT","AMRELI",0,0,0,0,303,303,303
"GUJARAT","BANASKANTHA",1,5,1,23,334,363,364
"GUJARAT","BHARUCH",1,0,0,0,192,192,193
"GUJARAT","BHAVNAGAR",0,42,0,0,766,808,808
"GUJARAT","DAHOD",0,270,2,257,67,596,596
"GUJARAT","DANG",0,0,0,0,225,225,225
"GUJARAT","GANDHINAGAR",0,1,0,0,1,2,2
"GUJARAT","JAMNAGAR",0,39,0,0,927,966,966
"GUJARAT","JUNAGADH",0,21,0,0,1895,1916,1916
"GUJARAT","KACHCHH",40,178,4,6,504,692,732
"GUJARAT","KHEDA",0,1,0,0,25,26,26
"GUJARAT","MEHSANA",1,6,0,0,191,197,198
"GUJARAT","NARMADA",1,0,0,0,100,100,101
"GUJARAT","NAVSARI",6,0,0,0,125,125,131
"GUJARAT","PANCHMAHAL",0,1,0,0,365,366,366
"GUJARAT","PATAN",1,4,0,0,221,225,226
"GUJARAT","PORBANDAR",0,0,0,182,328,510,510
"GUJARAT","RAJKOT",33,128,612,2,1960,2702,2735
"GUJARAT","SABARKANTHA",0,526,11,0,1,538,538
"GUJARAT","SURAT",0,0,0,0,321,321,321
"GUJARAT","SURENDRANAGAR",11,141,380,1,530,1052,1063
"GUJARAT","VADODARA",18,61,3,3,288,355,373
"GUJARAT","VALSAD",12,0,0,0,169,169,181
"HARYANA","AMBALA",0,0,0,0,6,6,6
"HARYANA","BHIWANI",0,0,0,0,85,85,85
"HARYANA","GURGAON",0,0,0,0,0,0,0
"HARYANA","KARNAL",0,31,0,0,344,375,375
"HARYANA","PANCHKULA",0,25,3,1,224,253,253
"HARYANA","REWARI",0,0,0,0,11,11,11
"HIMACHAL PRADESH","Bilaspur",511,26,0,96,250,372,883
"HIMACHAL PRADESH","Chamba",227,5,1,195,149,350,577
"HIMACHAL PRADESH","Hamirpur",182,0,2,12,6,20,202
"HIMACHAL PRADESH","Kangra",1451,19,4,70,279,372,1823
"HIMACHAL PRADESH","Kinnaur",37,0,0,25,170,195,232
"HIMACHAL PRADESH","Kullu",67,17,2,4,2,25,92
"HIMACHAL PRADESH","Lahul & Spiti",561,0,0,1,1,2,563
"HIMACHAL PRADESH","Mandi",3008,26,0,183,738,947,3955
"HIMACHAL PRADESH","Shimla",502,4,5,81,662,752,1254
"HIMACHAL PRADESH","Sirmaur",589,27,1,77,1204,1309,1898
"HIMACHAL PRADESH","Solan",585,125,24,668,570,1387,1972
"HIMACHAL PRADESH","Una",29,0,0,19,48,67,96
"JAMMU & KASHMIR","ANANTNAG",17,8,0,80,618,706,723
"JAMMU & KASHMIR","BADGAM",128,2,0,9,216,227,355
"JAMMU & KASHMIR","BARAMULLA",268,2,0,58,296,356,624
"JAMMU & KASHMIR","DODA",203,0,0,0,1,1,204
"JAMMU & KASHMIR","JAMMU",0,1,0,2,3,6,6
"JAMMU & KASHMIR","KARGIL",306,0,0,8,41,49,355
"JAMMU & KASHMIR","KATHUA",285,5,0,37,107,149,434
"JAMMU & KASHMIR","KUPWARA",530,9,0,13,84,106,636
"JAMMU & KASHMIR","LEH",104,0,0,12,3,15,119
"JAMMU & KASHMIR","POONCH",64,1,2,58,33,94,158
"JAMMU & KASHMIR","PULWAMA",66,0,0,133,454,587,653
"JAMMU & KASHMIR","RAJOURI",192,0,2,118,72,192,384
"JAMMU & KASHMIR","SRINAGAR",227,0,0,7,32,39,266
"JAMMU & KASHMIR","UDHAMPUR",127,1,1,63,403,468,595
"JHARKHAND","BOKARO",0,909,265,167,31,1372,1372
"JHARKHAND","CHATRA",0,1823,54,155,7,2039,2039
"JHARKHAND","DEOGHAR",5,1921,2000,1081,189,5191,5196
"JHARKHAND","DHANBAD",0,341,508,152,29,1030,1030
"JHARKHAND","DUMKA",0,1025,1687,318,25,3055,3055
"JHARKHAND","GARHWA",1,1143,639,668,96,2546,2547
"JHARKHAND","GIRIDIH",2,677,820,241,50,1788,1790
"JHARKHAND","GODDA",0,243,309,261,44,857,857
"JHARKHAND","GUMLA",0,618,87,87,3,795,795
"JHARKHAND","HAZARIBAGH",2,260,436,257,30,983,985
"JHARKHAND","JAMTARA",1,1491,898,607,69,3065,3066
"JHARKHAND","KODERMA",0,25,311,30,10,376,376
"JHARKHAND","LATEHAR",0,680,1224,216,133,2253,2253
"JHARKHAND","LOHARDAGA",0,2,1,0,0,3,3
"JHARKHAND","PAKUR",0,454,691,38,233,1416,1416
"JHARKHAND","PALAMU",0,1742,2508,1448,33,5731,5731
"JHARKHAND","RANCHI",0,119,28,96,1,244,244
"JHARKHAND","SAHEBGANJ",0,519,604,51,1,1175,1175
"JHARKHAND","SARAIKELA",0,814,1024,107,41,1986,1986
"JHARKHAND","SIMDEGA",1,144,37,157,12,350,351
"JHARKHAND","WEST SINGHBHUM",1,1238,1374,71,17,2700,2701
"KARNATAKA","Bagalkote",29,20,2,6,4,32,61
"KARNATAKA","Bangalore",344,10,78,13,35,136,480
"KARNATAKA","Bangalore Rural",430,151,39,80,180,450,880
"KARNATAKA","Belgaum",197,6,2,28,22,58,255
"KARNATAKA","Bellary",61,8,1,0,9,18,79
"KARNATAKA","Bidar",977,112,76,191,122,501,1478
"KARNATAKA","Bijapur",53,116,0,0,25,141,194
"KARNATAKA","Chamaraja Nagara",38,0,0,0,0,0,38
"KARNATAKA","Chikmagalur",1311,51,181,13,100,345,1656
"KARNATAKA","Chitradurga",46,22,8,2,17,49,95
"KARNATAKA","Dakshina Kannada",836,27,6,67,369,469,1305
"KARNATAKA","Davanagere",125,455,17,0,34,506,631
"KARNATAKA","Dharwar",130,44,16,102,252,414,544
"KARNATAKA","Gadag",7,10,0,10,10,30,37
"KARNATAKA","Gulbarga",111,128,32,119,74,353,464
"KARNATAKA","Hassan",1994,435,927,44,305,1711,3705
"KARNATAKA","Haveri",218,671,6,46,93,816,1034
"KARNATAKA","Kodagu",223,38,1,0,30,69,292
"KARNATAKA","Kolar",707,1082,302,255,667,2306,3013
"KARNATAKA","Koppal",15,0,0,16,14,30,45
"KARNATAKA","Mandya",215,44,13,1,73,131,346
"KARNATAKA","Mysore",235,92,9,3,128,232,467
"KARNATAKA","Raichur",194,33,7,25,168,233,427
"KARNATAKA","Shimoga",2483,877,582,111,495,2065,4548
"KARNATAKA","Tumkur",310,438,89,17,239,783,1093
"KARNATAKA","Udupi",840,387,79,52,165,683,1523
"KARNATAKA","Uttara Kannada",1084,95,59,50,230,434,1518
"KERALA","ALAPPUZHA",115,14,15,18,35,82,197
"KERALA","ERANAKULAM",383,54,14,1,90,159,542
"KERALA","IDDUKKI",111,22,50,39,185,296,407
"KERALA","KANNUR",592,70,27,27,85,209,801
"KERALA","KASARAGODE",165,172,135,92,62,461,626
"KERALA","KOLLAM",153,19,13,103,51,186,339
"KERALA","KOTTAYAM",274,4,8,18,207,237,511
"KERALA","KOZHIKODE",224,5,0,3,92,100,324
"KERALA","MALAPPURAM",535,204,39,78,108,429,964
"KERALA","PALAKKAD",1561,114,16,28,531,689,2250
"KERALA","PATHANAMTHITTA",202,6,0,5,14,25,227
"KERALA","THIRUVANANTHAPURAM",689,83,23,151,665,922,1611
"KERALA","THRISSUR",690,20,5,28,166,219,909
"KERALA","WAYANAD",317,18,8,5,26,57,374
"MADHYA PRADESH","BALAGHAT",6606,72,108,58,138,376,6982
"MADHYA PRADESH","BARWANI",0,273,0,963,40,1276,1276
"MADHYA PRADESH","BETUL",0,366,0,271,2640,3277,3277
"MADHYA PRADESH","BHIND",0,0,0,4,0,4,4
"MADHYA PRADESH","BHOPAL",364,112,6,39,177,334,698
"MADHYA PRADESH","CHHATARPUR",2576,1,0,9,358,368,2944
"MADHYA PRADESH","CHHINDWARA",636,251,0,170,78,499,1135
"MADHYA PRADESH","DAMOH",2076,2,1,4,146,153,2229
"MADHYA PRADESH","DATIA",2,0,0,5,0,5,7
"MADHYA PRADESH","DEWAS",214,77,0,245,16,338,552
"MADHYA PRADESH","DHAR",1,135,14,327,115,591,592
"MADHYA PRADESH","GUNA",3729,4,1,55,4,64,3793
"MADHYA PRADESH","GWALIOR",169,143,0,18,117,278,447
"MADHYA PRADESH","HARDA",140,0,0,7,0,7,147
"MADHYA PRADESH","HOSHANGABAD",468,4,9,8,32,53,521
"MADHYA PRADESH","INDORE",1,172,1,52,0,225,226
"MADHYA PRADESH","JABALPUR",489,6,0,1,21,28,517
"MADHYA PRADESH","JHABUA",0,50,21,767,99,937,937
"MADHYA PRADESH","KATNI",2132,529,2,38,12,581,2713
"MADHYA PRADESH","KHANDWA",100,0,0,172,0,172,272
"MADHYA PRADESH","KHARGONE",300,83,0,320,10,413,713
"MADHYA PRADESH","MANDLA",0,20,2,5,51,78,78
"MADHYA PRADESH","MANDSAUR",0,0,0,45,0,45,45
"MADHYA PRADESH","MORENA",7,86,27,1,5,119,126
"MADHYA PRADESH","NARSINGHPUR",560,138,0,2,111,251,811
"MADHYA PRADESH","NEEMUCH",1,7,9,21,0,37,38
"MADHYA PRADESH","PANNA",3524,0,9,110,0,119,3643
"MADHYA PRADESH","RAISEN",2,0,0,2,2,4,6
"MADHYA PRADESH","RAJGARH",341,89,1,605,0,695,1036
"MADHYA PRADESH","RATLAM",0,392,0,1023,10,1425,1425
"MADHYA PRADESH","REWA",93,19,2,26,229,276,369
"MADHYA PRADESH","SAGAR",1651,0,0,0,15,15,1666
"MADHYA PRADESH","SATNA",59,49,5,49,30,133,192
"MADHYA PRADESH","SEHORE",69,24,0,106,0,130,199
"MADHYA PRADESH","SEONI",540,75,42,42,36,195,735
"MADHYA PRADESH","SHAHDOL",1006,90,2,24,1138,1254,2260
"MADHYA PRADESH","SHAJAPUR",1,8,0,211,139,358,359
"MADHYA PRADESH","SHEOPUR",641,0,1,0,0,1,642
"MADHYA PRADESH","SHIVPURI",2725,236,10,93,32,371,3096
"MADHYA PRADESH","SIDHI",66,5,0,60,8,73,139
"MADHYA PRADESH","TIKAMGARH",1186,161,17,252,4,434,1620
"MADHYA PRADESH","UJJAIN",91,102,0,37,13,152,243
"MADHYA PRADESH","UMARIA",246,1,1,3,27,32,278
"MADHYA PRADESH","VIDISHA",812,0,0,701,0,701,1513
"MAHARASHTRA","AHMEDNAGAR",478,46,4,2832,819,3701,4179
"MAHARASHTRA","AKOLA",110,3074,18,3156,2851,9099,9209
"MAHARASHTRA","AMRAVATI",136,30,5,90,126,251,387
"MAHARASHTRA","AURANGABAD",0,0,0,266,0,266,266
"MAHARASHTRA","BEED",275,7,1,426,390,824,1099
"MAHARASHTRA","BHANDARA",139,33,3,156,200,392,531
"MAHARASHTRA","BULDANA",26,6,24,805,321,1156,1182
"MAHARASHTRA","CHANDRAPUR",259,2,2,974,40,1018,1277
"MAHARASHTRA","DHULE",11,0,0,331,0,331,342
"MAHARASHTRA","GADCHIROLI",2034,0,2,502,2167,2671,4705
"MAHARASHTRA","GONDIYA",148,3,0,293,191,487,635
"MAHARASHTRA","HINGOLI",11,3,0,13,3,19,30
"MAHARASHTRA","JALGAON",146,0,0,10,30,40,186
"MAHARASHTRA","JALNA",0,0,0,30,0,30,30
"MAHARASHTRA","KOLHAPUR",3,181,0,18,0,199,202
"MAHARASHTRA","LATUR",347,23,1,770,39,833,1180
"MAHARASHTRA","NAGPUR",29,10,1,216,45,272,301
"MAHARASHTRA","NANDED",24,19,1,102,90,212,236
"MAHARASHTRA","NANDURBAR",556,0,0,160,0,160,716
"MAHARASHTRA","NASHIK",1049,3,3,3381,53,3440,4489
"MAHARASHTRA","OSMANABAD",337,4,0,774,0,778,1115
"MAHARASHTRA","PARBHANI",0,5,0,6,11,22,22
"MAHARASHTRA","PUNE",3588,2111,1064,1999,918,6092,9680
"MAHARASHTRA","RAIGHAR",126,1,0,1,146,148,274
"MAHARASHTRA","RATNAGIRI",692,2,10,107,339,458,1150
"MAHARASHTRA","SANGLI",709,119,1,2302,193,2615,3324
"MAHARASHTRA","SATARA",36,1769,0,5163,1327,8259,8295
"MAHARASHTRA","SINDHUDURGA",333,20,18,67,157,262,595
"MAHARASHTRA","SOLAPUR",22,11,1,9,4,25,47
"MAHARASHTRA","THANE",50,0,0,1,124,125,175
"MAHARASHTRA","WARDHA",41,3,0,118,84,205,246
"MAHARASHTRA","WASHIM",169,44,1,1315,1750,3110,3279
"MAHARASHTRA","YAVATMAL",13,2,0,39,20,61,74
"MANIPUR","BISHNUPUR",0,3,1,1,16,21,21
"MANIPUR","CHANDEL",0,0,0,0,22,22,22
"MANIPUR","CHURACHANDPUR",0,0,0,2,78,80,80
"MANIPUR","IMPHAL EAST",0,18,0,7,3,28,28
"MANIPUR","IMPHAL WEST",0,14,0,0,23,37,37
"MANIPUR","SENAPATI",0,0,0,0,26,26,26
"MANIPUR","TAMENGLONG",0,0,0,0,39,39,39
"MANIPUR","THOUBAL",0,3,2,6,12,23,23
"MANIPUR","UKHRUL",0,0,0,0,36,36,36
"MEGHALAYA","EAST GARO HILLS",139,0,0,0,1,1,140
"MEGHALAYA","EAST KHASI HILLS",715,44,10,16,3330,3400,4115
"MEGHALAYA","JAINTIA HILLS",1175,44,6,79,116,245,1420
"MEGHALAYA","RI BHOI",0,2,49,4698,1,4750,4750
"MEGHALAYA","SOUTH GARO HILLS",2,0,0,4,4,8,10
"MEGHALAYA","WEST GARO HILLS",7,8,0,62,291,361,368
"MEGHALAYA","WEST KHASI HILLS",678,78,5,5,467,555,1233
"MIZORAM","AIZAWL",188,2,3,55,571,631,819
"MIZORAM","CHAMPHAI",985,2,5,77,1262,1346,2331
"MIZORAM","KOLASIB",218,4,2,6,173,185,403
"MIZORAM","LAWNGTLAI",49,0,2,166,621,789,838
"MIZORAM","LUNGLEI",161,37,28,135,282,482,643
"MIZORAM","MAMIT",9,5,3,13,175,196,205
"MIZORAM","SAIHA",0,2,1,224,66,293,293
"MIZORAM","SERCHHIP",51,0,0,0,998,998,1049
"NAGALAND","DIMAPUR",33,0,0,623,337,960,993
"NAGALAND","KOHIMA",369,53,55,493,1702,2303,2672
"NAGALAND","MOKOKCHUNG",0,0,0,866,182,1048,1048
"NAGALAND","MON",0,0,0,272,316,588,588
"NAGALAND","PHEK",300,10,0,674,2701,3385,3685
"NAGALAND","TUENSANG",1620,0,0,3207,187,3394,5014
"NAGALAND","WOKHA",207,0,0,200,1112,1312,1519
"NAGALAND","ZUNHEBOTO",347,0,0,513,2226,2739,3086
"ORISSA","ANGUL",49,186,57,137,135,515,564
"ORISSA","BALASORE",15,0,2,3,25,30,45
"ORISSA","BARGARH",391,1500,97,192,171,1960,2351
"ORISSA","BHADRAK",140,1,5,1,25,32,172
"ORISSA","BOLANGIR",253,754,188,323,362,1627,1880
"ORISSA","BOUDH",80,99,63,5,13,180,260
"ORISSA","CUTTACK",249,16,33,48,109,206,455
"ORISSA","DEOGARH",12,25,0,36,207,268,280
"ORISSA","DHENKANAL",293,112,73,85,256,526,819
"ORISSA","GAJAPATI",744,54,88,82,312,536,1280
"ORISSA","GANJAM",1529,285,409,363,1456,2513,4042
"ORISSA","JAGATSINGHPUR",3,0,0,0,1,1,4
"ORISSA","JAJAPUR",61,7,21,37,70,135,196
"ORISSA","JHARSUGUDA",233,16,1,44,194,255,488
"ORISSA","KALAHANDI",185,220,52,88,164,524,709
"ORISSA","KANDHAMAL",157,46,30,121,105,302,459
"ORISSA","KENDRAPARA",3,0,0,0,1,1,4
"ORISSA","KEONJHAR",202,64,32,139,203,438,640
"ORISSA","KHURDA",282,4,32,28,122,186,468
"ORISSA","KORAPUT",547,159,79,174,489,901,1448
"ORISSA","MALKANAGIRI",36,7,3,83,210,303,339
"ORISSA","MAYURBHANJA",306,77,115,66,320,578,884
"ORISSA","NAWARANGAPUR",78,5,3,34,47,89,167
"ORISSA","NAYAGARH",101,21,48,65,134,268,369
"ORISSA","NUAPADA",46,297,14,64,171,546,592
"ORISSA","PURI",98,0,0,0,2,2,100
"ORISSA","RAYAGADA",1167,533,316,188,743,1780,2947
"ORISSA","SAMBALPUR",135,158,31,233,235,657,792
"ORISSA","SONEPUR",167,26,51,3,155,235,402
"ORISSA","SUNDARGARH",52,21,16,36,100,173,225
"PONDICHERRY","KARAIKAL",16775,0,1,0,12,13,16788
"PONDICHERRY","PONDICHERRY",2756,0,1,3,2,6,2762
"PONDICHERRY","YANAM",587,0,0,0,2,2,589
"PUNJAB","GURDASPUR",25,0,0,0,0,0,25
"PUNJAB","HOSHIARPUR",40,0,0,0,0,0,40
"PUNJAB","MOGA",17,3,0,0,0,3,20
"PUNJAB","PATIALA",34,0,0,0,0,0,34
"PUNJAB","ROPAR",17,1719,1,3,112,1835,1852
"RAJASTHAN","AJMER",6,354,3,12,42,411,417
"RAJASTHAN","ALWAR",0,4,0,0,0,4,4
"RAJASTHAN","BANSWARA",50,46,0,2,10,58,108
"RAJASTHAN","BARAN",53,23,0,1,35,59,112
"RAJASTHAN","BHARATPUR",4,0,0,0,0,0,4
"RAJASTHAN","BHILWARA",55,133,4,56,13,206,261
"RAJASTHAN","BUNDI",11,18,0,1,52,71,82
"RAJASTHAN","CHITTORGARH",47,15,1,4,6,26,73
"RAJASTHAN","DAUSA",0,1,0,2,0,3,3
"RAJASTHAN","DHOLPUR",30,8,1,8,6,23,53
"RAJASTHAN","DUNGARPUR",7,6,0,3,0,9,16
"RAJASTHAN","JAIPUR",5,1,0,0,0,1,6
"RAJASTHAN","JAISALMER",1,0,0,0,0,0,1
"RAJASTHAN","JALORE",10,0,0,0,0,0,10
"RAJASTHAN","JHALAWAR",13,2,5,2,15,24,37
"RAJASTHAN","JHUNJHUNU",0,0,0,0,4,4,4
"RAJASTHAN","KAROLI",11,10,0,0,21,31,42
"RAJASTHAN","KOTA",17,7,1,0,6,14,31
"RAJASTHAN","NAGAUR",2,0,0,0,0,0,2
"RAJASTHAN","PALI",5,13,0,3,4,20,25
"RAJASTHAN","RAJSAMAND",0,19,0,2,1,22,22
"RAJASTHAN","SAWAI MADHOPUR",35,13,0,0,3,16,51
"RAJASTHAN","SIROHI",0,11,0,5,1,17,17
"RAJASTHAN","TONK",86,39,0,15,6,60,146
"RAJASTHAN","UDAIPUR",12,29,6,23,10,68,80
"SIKKIM","EAST",0,0,8,313,60,381,381
"SIKKIM","NORTH",0,0,0,79,1,80,80
"SIKKIM","SOUTH",0,0,0,126,123,249,249
"SIKKIM","WEST",0,0,0,55,177,232,232
"TAMIL NADU","COIMBATORE",105,40,20,75,64,199,304
"TAMIL NADU","CUDDALORE",0,2,7,4,765,778,778
"TAMIL NADU","DHARMAPURI",6,254,61,56,1951,2322,2328
"TAMIL NADU","DINDIGUL",0,1622,3,265,37,1927,1927
"TAMIL NADU","ERODE",389,44,0,141,25,210,599
"TAMIL NADU","KANCHEEPURAM",617,302,332,12,75,721,1338
"TAMIL NADU","KANYAKUMARI",2902,66,231,4,66,367,3269
"TAMIL NADU","KARUR",1,7,21,612,300,940,941
"TAMIL NADU","MADURAI",2,8,3,495,1772,2278,2280
"TAMIL NADU","NAGAPATTINAM",0,0,0,0,1,1,1
"TAMIL NADU","NAMAKKAL",0,11,0,0,234,245,245
"TAMIL NADU","NILGIRIS",497,0,0,0,1,1,498
"TAMIL NADU","PERAMBALUR",0,8,32,44,588,672,672
"TAMIL NADU","PUDUKKOTTAI",3586,435,163,65,258,921,4507
"TAMIL NADU","RAMANATHAPURAM",651,48,190,326,384,948,1599
"TAMIL NADU","SALEM",0,152,0,0,60,212,212
"TAMIL NADU","SIVAGANGA",1302,1377,185,332,689,2583,3885
"TAMIL NADU","THANJAVUR",0,13,7,1,273,294,294
"TAMIL NADU","THENI",22,1,0,53,22,76,98
