-----
{
 "description": "This table provides the details of import of different chemical fertilizers from different Ports of India in each month from 2008-09 to 2012-13.", 
 "file_name": "Month-wise_and_Port-wise_import_of_Fertilizer_Products.xls", 
 "title": "Download XLS for Month-wise And Port-wise Import Of Chemical Fertilizers", 
 "url": "http://data.gov.in/sites/default/files/Month-wise_and_Port-wise_import_of_Fertilizer_Products.xls"
}
-----
-----
{
 "description": "This dataset provides the details of Production of different chemical Fertilizers and their respective percentage of N,P and K in each month during 2012-2013 and 2013-2014.", 
 "file_name": "Product_wise_and_Monthwise_Production_of_chemical_Fertilizers.xls", 
 "title": "Download XLS for Product-wise And Month-wise Production Of Chemical Fertilizers", 
 "url": "http://data.gov.in/sites/default/files/Product_wise_and_Monthwise_Production_of_chemical_Fertilizers.xls"
}
-----
"Year","Month","Product","Quantity(In '000 MTS)"," N(In '000 MTS)"," P(In '000 MTS)","K(In '000 MTS)"
"2012-2013","May",0.635590277778,5.5,0.825,0.825,0.825
"2012-2013","May",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","May","SSP",32.4,0.0,5.184,0.0
"2012-2013","May",0.435023148148,20.8,2.08,5.408,5.408
"2012-2013","May",0.522407407407,188.1,22.572,60.192,30.096
"2012-2013","May",1.18611111111,31.7,8.876,8.876,0.0
"2012-2013","May",0.607800925926,0.0,0.0,0.0,0.0
"2012-2013","May",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","May",0.680555555556,10.0,1.6,2.0,0.0
"2012-2013","May","CAN",7.1,1.775,0.0,0.0
"2012-2013","May",0.974305555556,10.8,2.484,2.484,0.0
"2012-2013","May",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","June","UREA",1834.0,843.64,0.0,0.0
"2012-2013","June","DAP",35.5,6.39,16.33,0.0
"2012-2013","June","A/S",241.3,50.673,0.0,0.0
"2012-2013","June",0.847222222222,42.7,8.54,8.54,0.0
"2012-2013","June",0.635590277778,16.9,2.535,2.535,2.535
"2012-2013","June",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","June","SSP",157.1,0.0,25.136,0.0
"2012-2013","June",0.435023148148,73.6,7.36,19.136,19.136
"2012-2013","June",0.522407407407,133.4,16.008,42.688,21.344
"2012-2013","June",1.18611111111,23.0,6.44,6.44,0.0
"2012-2013","June",0.607800925926,23.6,3.304,8.26,3.304
"2012-2013","June",0.805081018519,0.8,0.152,0.152,0.152
"2012-2013","June",0.680555555556,25.0,4.0,5.0,0.0
"2012-2013","June","CAN",6.0,1.5,0.0,0.0
"2012-2013","June",0.974305555556,46.0,10.58,10.58,0.0
"2012-2013","June",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","July","UREA",1971.4,906.844,0.0,0.0
"2012-2013","July","DAP",34.5,6.21,15.87,0.0
"2012-2013","July","A/S",338.4,71.064,0.0,0.0
"2012-2013","July",0.847222222222,42.3,8.46,8.46,0.0
"2012-2013","July",0.635590277778,13.0,1.95,1.95,1.95
"2012-2013","July",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","July","SSP",88.3,0.0,14.128,0.0
"2012-2013","July",0.435023148148,100.9,10.09,26.234,26.234
"2012-2013","July",0.522407407407,324.1,38.892,103.712,51.856
"2012-2013","July",1.18611111111,18.2,5.096,5.096,0.0
"2012-2013","July",0.607800925926,0.0,0.0,0.0,0.0
"2012-2013","July",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","July",0.680555555556,24.0,3.84,4.8,0.0
"2012-2013","July","CAN",11.1,2.775,0.0,0.0
"2012-2013","July",0.974305555556,19.7,4.531,4.531,0.0
"2012-2013","July",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","August","UREA",1991.6,916.136,0.0,0.0
"2012-2013","August","DAP",53.5,9.63,24.61,0.0
"2012-2013","August","A/S",267.0,56.07,0.0,0.0
"2012-2013","August",0.847222222222,45.0,9.0,9.0,0.0
"2012-2013","August",0.635590277778,0.0,0.0,0.0,0.0
"2012-2013","August",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","August","SSP",144.9,0.0,23.184,0.0
"2012-2013","August",0.435023148148,56.4,5.64,14.664,14.664
"2012-2013","August",0.522407407407,347.5,41.7,111.2,55.6
"2012-2013","August",1.18611111111,26.7,7.476,7.476,0.0
"2012-2013","August",0.607800925926,15.0,2.1,5.25,2.1
"2012-2013","August",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","August",0.680555555556,21.2,3.392,4.24,0.0
"2012-2013","August","CAN",11.2,2.8,0.0,0.0
"2012-2013","August",0.974305555556,12.6,2.898,2.898,0.0
"2012-2013","August",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","September","UREA",1959.5,901.37,0.0,0.0
"2012-2013","September","DAP",42.8,7.704,19.688,0.0
"2012-2013","September","A/S",240.8,50.568,0.0,0.0
"2012-2013","September",0.847222222222,41.1,8.22,8.22,0.0
"2012-2013","September",0.635590277778,3.1,0.465,0.465,0.465
"2012-2013","September",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","September","SSP",167.7,0.0,26.832,0.0
"2012-2013","September",0.435023148148,102.4,10.24,26.624,26.624
"2012-2013","September",0.522407407407,345.8,41.496,110.656,55.328
"2012-2013","September",1.18611111111,28.0,7.84,7.84,0.0
"2012-2013","September",0.607800925926,53.6,7.504,18.76,7.504
"2012-2013","September",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","September",0.680555555556,18.1,2.896,3.62,0.0
"2012-2013","September","CAN",12.6,3.15,0.0,0.0
"2012-2013","September",0.974305555556,15.0,3.45,3.45,0.0
"2012-2013","September",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","October","UREA",1962.1,902.566,0.0,0.0
"2012-2013","October","DAP",36.2,6.516,16.652,0.0
"2012-2013","October","A/S",282.0,59.22,0.0,0.0
"2012-2013","October",0.847222222222,38.4,7.68,7.68,0.0
"2012-2013","October",0.635590277778,21.7,3.255,3.255,3.255
"2012-2013","October",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","October","SSP",175.3,0.0,28.048,0.0
"2012-2013","October",0.435023148148,105.0,10.5,27.3,27.3
"2012-2013","October",0.522407407407,331.0,39.72,105.92,52.96
"2012-2013","October",1.18611111111,28.6,8.008,8.008,0.0
"2012-2013","October",0.607800925926,41.6,5.824,14.56,5.824
"2012-2013","October",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","October",0.680555555556,18.8,3.008,3.76,0.0
"2012-2013","October","CAN",11.1,2.775,0.0,0.0
"2012-2013","October",0.974305555556,12.7,2.921,2.921,0.0
"2012-2013","October",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","November","UREA",1936.9,890.974,0.0,0.0
"2012-2013","November","DAP",429.0,77.22,197.34,0.0
"2012-2013","November","A/S",258.7,54.327,0.0,0.0
"2012-2013","November",0.847222222222,41.6,8.32,8.32,0.0
"2012-2013","November",0.635590277778,13.9,2.085,2.085,2.085
"2012-2013","November",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","November","SSP",217.4,0.0,34.784,0.0
"2012-2013","November",0.435023148148,67.8,6.78,17.628,17.628
"2012-2013","November",0.522407407407,334.9,40.188,107.168,53.584
"2012-2013","November",1.18611111111,28.4,7.952,7.952,0.0
"2012-2013","November",0.607800925926,8.4,1.176,2.94,1.176
"2012-2013","November",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","November",0.680555555556,9.7,1.552,1.94,0.0
"2012-2013","November","CAN",9.6,2.4,0.0,0.0
"2012-2013","November",0.974305555556,5.3,1.219,1.219,0.0
"2012-2013","November",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","December","UREA",2018.2,928.372,0.0,0.0
"2012-2013","December","DAP",38.5,6.93,17.71,0.0
"2012-2013","December","A/S",248.0,52.08,0.0,0.0
"2012-2013","December",0.847222222222,43.0,8.6,8.6,0.0
"2012-2013","December",0.635590277778,14.4,2.16,2.16,2.16
"2012-2013","December",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","December","SSP",125.5,0.0,20.08,0.0
"2012-2013","December",0.435023148148,31.3,3.13,8.138,8.138
"2012-2013","December",0.522407407407,322.4,38.688,103.168,51.584
"2012-2013","December",1.18611111111,27.1,7.588,7.588,0.0
"2012-2013","December",0.607800925926,11.4,1.596,3.99,1.596
"2012-2013","December",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","December",0.680555555556,17.5,2.8,3.5,0.0
"2012-2013","December","CAN",10.1,2.525,0.0,0.0
"2012-2013","December",0.974305555556,17.0,3.91,3.91,0.0
"2012-2013","December",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","January","UREA",2001.8,920.828,0.0,0.0
"2012-2013","January","DAP",44.4,7.992,20.424,0.0
"2012-2013","January","A/S",194.8,40.908,0.0,0.0
"2012-2013","January",0.847222222222,38.3,7.66,7.66,0.0
"2012-2013","January",0.635590277778,6.5,0.975,0.975,0.975
"2012-2013","January",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","January","SSP",98.2,0.0,15.712,0.0
"2012-2013","January",0.435023148148,36.1,3.61,9.386,9.386
"2012-2013","January",0.522407407407,314.2,37.704,100.544,50.272
"2012-2013","January",1.18611111111,16.5,4.62,4.62,0.0
"2012-2013","January",0.607800925926,17.3,2.422,6.055,2.422
"2012-2013","January",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","January",0.680555555556,14.3,2.288,2.86,0.0
"2012-2013","January","CAN",8.4,2.1,0.0,0.0
"2012-2013","January",0.974305555556,7.7,1.771,1.771,0.0
"2012-2013","January",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","February","UREA",1844.6,848.516,0.0,0.0
"2012-2013","February","DAP",48.4,8.712,22.264,0.0
"2012-2013","February","A/S",148.8,31.248,0.0,0.0
"2012-2013","February",0.847222222222,35.2,7.04,7.04,0.0
"2012-2013","February",0.635590277778,0.0,0.0,0.0,0.0
"2012-2013","February",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","February","SSP",19.3,0.0,3.088,0.0
"2012-2013","February",0.435023148148,41.5,4.15,10.79,10.79
"2012-2013","February",0.522407407407,372.3,44.676,119.136,59.568
"2012-2013","February",1.18611111111,4.3,1.204,1.204,0.0
"2012-2013","February",0.607800925926,17.0,2.38,5.95,2.38
"2012-2013","February",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","February",0.680555555556,0.3,0.048,0.06,0.0
"2012-2013","February","CAN",3.1,0.775,0.0,0.0
"2012-2013","February",0.974305555556,20.6,4.738,4.738,0.0
"2012-2013","February",0.602939814815,0.0,0.0,0.0,0.0
"2012-2013","March","UREA",1936.9,890.974,0.0,0.0
"2012-2013","March","DAP",38.1,6.858,17.526,0.0
"2012-2013","March","A/S",129.5,27.195,0.0,0.0
"2012-2013","March",0.847222222222,37.3,7.46,7.46,0.0
"2012-2013","March",0.635590277778,0.3,0.045,0.045,0.045
"2012-2013","March",0.720335648148,225.0,38.25,38.25,38.25
"2012-2013","March","SSP",64.8,0.0,10.368,0.0
"2012-2013","March",0.435023148148,53.0,5.3,13.78,13.78
"2012-2013","March",0.522407407407,307.0,36.84,98.24,49.12
"2012-2013","March",1.18611111111,11.7,3.276,3.276,0.0
"2012-2013","March",0.607800925926,9.2,1.288,3.22,1.288
"2012-2013","March",0.805081018519,0.0,0.0,0.0,0.0
"2012-2013","March",0.680555555556,0.0,0.0,0.0,0.0
"2012-2013","March","CAN",5.3,1.325,0.0,0.0
"2012-2013","March",0.974305555556,26.0,5.98,5.98,0.0
"2012-2013","March",0.602939814815,0.0,0.0,0.0,0.0
"2013-2014","April","UREA",1608.7,740.002,0.0,0.0
"2013-2014","April","DAP",180.6,32.508,83.076,0.0
"2013-2014","April","A/S",35.1,7.371,0.0,0.0
"2013-2014","April",0.847222222222,84.1,16.82,16.82,0.0
"2013-2014","April",0.635590277778,38.0,5.7,5.7,5.7
"2013-2014","April",0.720335648148,0.0,0.0,0.0,0.0
"2013-2014","April","SSP",225.0,0.0,36.0,0.0
"2013-2014","April",0.435023148148,66.8,6.68,17.368,17.368
"2013-2014","April",0.522407407407,63.8,7.656,20.416,10.208
"2013-2014","April",1.18611111111,4.1,1.148,1.148,0.0
"2013-2014","April",0.607800925926,0.0,0.0,0.0,0.0
"2013-2014","April",0.680555555556,0.0,0.0,0.0,0.0
"2013-2014","April","CAN",1.4,0.224,0.28,0.0
"2013-2014","April",0.974305555556,2.0,0.5,0.0,0.0
"2013-2014","April",0.602939814815,0.0,0.0,0.0,0.0
"2013-2014","May","UREA",1767.8,247.492,494.984,247.492
"2013-2014","May","DAP",179.2,82.432,0.0,0.0
"2013-2014","May","A/S",32.3,5.814,14.858,0.0
"2013-2014","May",0.847222222222,177.5,37.275,0.0,0.0
"2013-2014","May",0.635590277778,28.2,5.64,5.64,0.0
"2013-2014","May",0.720335648148,1.4,0.21,0.21,0.21
"2013-2014","May","SSP",225.0,38.25,38.25,38.25
"2013-2014","May",0.435023148148,55.2,0.0,8.832,0.0
"2013-2014","May",0.522407407407,68.0,6.8,17.68,17.68
"2013-2014","May",1.18611111111,5.4,0.648,1.728,0.864
"2013-2014","May",0.607800925926,0.0,0.0,0.0,0.0
"2013-2014","May",0.680555555556,0.0,0.0,0.0,0.0
"2013-2014","May","CAN",3.7,0.703,0.703,0.703
"2013-2014","May",0.974305555556,23.9,3.824,4.78,0.0
"2013-2014","May",0.602939814815,0.0,0.0,0.0,0.0
"2013-2014","June","UREA",1846.7,424.741,424.741,0.0
"2013-2014","June","DAP",353.4,49.476,98.952,49.476
"2013-2014","June","A/S",48.8,22.448,0.0,0.0
"2013-2014","June",0.847222222222,112.2,20.196,51.612,0.0
"2013-2014","June",0.635590277778,28.3,5.943,0.0,0.0
"2013-2014","June",0.720335648148,14.8,2.96,2.96,0.0
"2013-2014","June","SSP",225.0,33.75,33.75,33.75
"2013-2014","June",0.435023148148,112.6,19.142,19.142,19.142
"2013-2014","June",0.522407407407,49.0,0.0,7.84,0.0
"2013-2014","June",1.18611111111,50.1,5.01,13.026,13.026
"2013-2014","June",0.607800925926,0.0,0.0,0.0,0.0
"2013-2014","June",0.680555555556,24.2,6.776,6.776,0.0
"2013-2014","June","CAN",3.2,0.448,1.12,0.448
"2013-2014","June",0.974305555556,24.4,4.636,4.636,4.636
"2013-2014","June",0.602939814815,0.0,0.0,0.0,0.0
