-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Dugwells. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.12.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Dugwells", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.12.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total,
ANDHRA PRADESH,CHITTOOR,PICHATUR,2676,1188,1478,10,0,2676,
ANDHRA PRADESH,CHITTOOR,PILERU,2223,1271,949,3,0,2224,
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1515,1433,370,26,0,1829,
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1729,1431,686,0,0,2117,
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,3039,2499,1291,0,0,3790,
ANDHRA PRADESH,CHITTOOR,PUTTUR,1894,1350,749,215,1,2315,
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,2062,1561,504,0,0,2065,
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,3108,3003,2785,0,0,5788,
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1595,682,913,0,0,1595,
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,1279,650,898,21,4,1573,
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,674,888,675,0,0,1563,
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,936,835,191,2,0,1029,
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,1979,995,1947,6,0,2949,
ANDHRA PRADESH,CHITTOOR,SODAM,1784,1209,963,0,0,2172,
ANDHRA PRADESH,CHITTOOR,SOMALA,1940,1076,1143,2,0,2221,
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,2787,633,2769,0,0,3402,
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,1777,1088,927,32,6,2053,
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,950,777,517,1,0,1294,
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,1686,453,40,1220,5,1718,
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,2225,1904,1985,4,0,3893,
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,2521,1875,902,1,0,2777,
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,313,230,209,0,0,439,
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,2308,2141,1749,2,0,3892,
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,1011,782,571,4,0,1357,
ANDHRA PRADESH,CHITTOOR,VAYALPAD,1246,730,545,12,0,1287,
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,3236,2114,1647,0,0,3760,
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1958,1456,885,0,0,2341,
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,2511,1411,933,170,0,2515,
ANDHRA PRADESH,CHITTOOR,YADAMARI,2711,1988,1089,1,0,3078,
ANDHRA PRADESH,CHITTOOR,YERPEDU,2008,1337,1590,7,0,2934,
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,615,469,348,1,0,819,
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,1068,1051,592,0,0,1643,
ANDHRA PRADESH,CUDDAPAH,ATLUR,1198,1179,87,0,0,1266,
ANDHRA PRADESH,CUDDAPAH,B KODUR,805,765,188,2,0,954,
ANDHRA PRADESH,CUDDAPAH,BADVEL,873,764,325,0,0,1089,
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,1090,1002,529,2,0,1533,
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,1587,1535,1117,486,4,3142,
ANDHRA PRADESH,CUDDAPAH,CHAPAD,565,565,54,0,0,619,
ANDHRA PRADESH,CUDDAPAH,CHENNUR,237,233,65,0,0,298,
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,1573,1448,743,8,2,2201,
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,1490,1389,249,0,13,1651,
ANDHRA PRADESH,CUDDAPAH,CHITVEL,825,497,316,16,0,830,
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,381,380,129,0,0,509,
ANDHRA PRADESH,CUDDAPAH,DUVVUR,967,966,2,0,0,968,
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,1918,1853,385,33,0,2271,
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,733,722,603,2,0,1326,
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,564,525,148,29,0,701,
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,706,703,174,0,0,877,
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,878,863,710,20,0,1593,
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1209,1178,295,3,0,1476,
ANDHRA PRADESH,CUDDAPAH,KODUR,1935,1290,710,1,0,2001,
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,120,119,78,0,0,197,
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,1702,1668,1216,256,2,3143,
ANDHRA PRADESH,CUDDAPAH,LINGALA,1678,1434,1219,189,0,2842,
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,726,714,204,0,0,919,
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,1165,1163,79,0,0,1242,
ANDHRA PRADESH,CUDDAPAH,NANDALUR,615,536,330,0,1,867,
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,3955,1273,1797,890,0,3959,
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,187,185,32,0,0,217,
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,282,260,23,5,0,288,
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,424,417,104,1,0,521,
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,2334,2182,1102,6,0,3290,
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,230,229,171,0,0,399,
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,1219,1107,888,2,0,1997,
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,2544,2542,2521,2,0,5066,
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2258,1789,1111,437,0,3338,
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,170,163,15,7,0,185,
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,976,976,972,45,17,2009,
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,1825,1752,1185,15,0,2953,
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,2014,1933,595,30,0,2558,
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,1776,1348,888,14,1,2252,
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,1748,1741,1742,0,0,3483,
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,1194,1044,445,92,0,1581,
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,1425,1281,872,12,33,2198,
ANDHRA PRADESH,CUDDAPAH,THANDUR,779,767,239,0,0,1006,
ANDHRA PRADESH,CUDDAPAH,VALLUR,558,557,50,0,0,607,
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,1016,1007,894,12,0,1914,
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,1052,1042,617,1,0,1660,
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,951,893,418,57,0,1368,
ANDHRA PRADESH,CUDDAPAH,VEMULA,1639,1521,1284,45,19,2869,
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,1884,1446,1043,113,59,2662,
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,380,377,314,0,0,692,
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,2,2,0,0,0,2,
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,19,19,19,0,0,38,
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,42,40,0,0,3,43,
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,254,240,1,24,0,266,
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,198,198,0,0,0,198,
ANDHRA PRADESH,EAST GODAVARI,KARAPA,6,6,6,0,0,12,
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,262,163,45,72,0,280,
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,361,361,0,0,0,361,
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,40,40,0,0,0,40,
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,3,3,0,0,0,3,
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,37,31,1,0,6,37,
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,226,220,9,0,0,229,
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,419,386,375,34,0,795,
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,14,14,12,0,0,26,
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,38,0,0,38,0,38,
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,805,737,561,36,4,1338,
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,720,348,119,403,0,870,
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,22,14,14,0,7,35,
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,156,158,9,38,0,205,
ANDHRA PRADESH,EAST GODAVARI,TUNI,761,374,214,303,0,890,
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,7,1,0,6,0,7,
ANDHRA PRADESH,GUNTUR,ACHAMPETA,996,850,48,117,0,1015,
ANDHRA PRADESH,GUNTUR,AMARAVATHI,852,856,38,0,0,893,
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,9,0,0,9,0,9,
ANDHRA PRADESH,GUNTUR,BAPATLA,348,348,233,0,0,581,
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,382,376,7,2,0,385,
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,68,68,0,0,0,68,
ANDHRA PRADESH,GUNTUR,CHEBROLE,298,243,240,59,0,542,
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,4228,4607,1519,12,18,6156,
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,419,383,25,26,13,446,
ANDHRA PRADESH,GUNTUR,DACHEPALLE,63,63,23,0,0,86,
ANDHRA PRADESH,GUNTUR,EDLAPADU,275,279,1,0,0,280,
ANDHRA PRADESH,GUNTUR,GUNTUR,33,23,0,10,0,34,
ANDHRA PRADESH,GUNTUR,GURAZALA,20,20,0,0,0,20,
ANDHRA PRADESH,GUNTUR,IPURU,226,228,0,0,0,228,
ANDHRA PRADESH,GUNTUR,KAREMPUDI,18,18,0,0,0,18,
ANDHRA PRADESH,GUNTUR,KARLAPALEM,145,135,142,0,0,276,
ANDHRA PRADESH,GUNTUR,KROSURU,435,380,9,24,75,488,
ANDHRA PRADESH,GUNTUR,MACHAVARAM,80,70,0,10,0,80,
ANDHRA PRADESH,GUNTUR,MACHERLA,336,336,0,0,0,336,
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,230,209,11,21,0,241,
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,83,10,0,88,0,98,
ANDHRA PRADESH,GUNTUR,MUPPALLA,201,193,0,8,0,201,
ANDHRA PRADESH,GUNTUR,NADENDLA,135,124,0,11,0,135,
ANDHRA PRADESH,GUNTUR,NAGARAM,34,2,32,5,0,40,
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,67,52,36,0,0,88,
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,494,494,111,0,0,606,
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,30,14,16,0,0,30,
ANDHRA PRADESH,GUNTUR,NUZENDLA,150,150,0,0,0,150,
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,60,58,28,0,0,87,
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,268,259,1,8,0,269,
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,77,52,0,25,0,77,
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,38,38,0,0,0,38,
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,61,61,26,0,0,87,
ANDHRA PRADESH,GUNTUR,PRATHIPADU,14,14,0,0,0,14,
ANDHRA PRADESH,GUNTUR,RAJUPALEM,261,243,8,10,1,263,
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,39,39,0,0,0,39,
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,219,209,72,3,9,292,
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,75,71,4,4,0,78,
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,19,0,0,19,0,19,
ANDHRA PRADESH,GUNTUR,TADIKONDA,35,35,0,0,0,35,
ANDHRA PRADESH,GUNTUR,THADEPALLE,157,71,45,81,0,197,
ANDHRA PRADESH,GUNTUR,THULLUR,143,94,59,2,0,155,
ANDHRA PRADESH,GUNTUR,VELDURTHI,252,252,0,0,0,252,
ANDHRA PRADESH,GUNTUR,VINUKONDA,48,42,0,6,0,48,
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,6192,6058,3414,10,1,9482,
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,5479,4510,3014,748,3,8274,
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,3217,2862,1742,1,13,4618,
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,4290,3088,1914,732,131,5866,
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,5418,5189,5181,139,0,10510,
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,4280,2560,2742,4,2,5308,
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,3111,2960,1976,69,1,5007,
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,2532,1632,2153,55,4,3843,
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,1487,1386,1423,0,0,2809,
