-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.9.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0 - 6),Horse Power (6 - 12),Horse Power (12 - 18),Horse Power ( > 18),Total
BIHAR,BEGUSARAI,MANSOORCHAK,0,0,2,2,4
BIHAR,BEGUSARAI,MATIHANI,0,0,17,0,17
BIHAR,BEGUSARAI,NAWAKOTHI,1,0,16,0,17
BIHAR,BEGUSARAI,S.KAMAL,0,0,7,0,7
BIHAR,BEGUSARAI,TEGHRA,4,0,0,9,13
BIHAR,BHAGALPUR,BIHPUR,0,0,17,0,17
BIHAR,BHAGALPUR,GOPALPUR,0,0,0,10,10
BIHAR,BHAGALPUR,GOURADIH,2,1,0,1,4
BIHAR,BHAGALPUR,JAGDISHPUR,1,0,0,0,1
BIHAR,BHAGALPUR,KAHALGAON,0,0,0,2,2
BIHAR,BHAGALPUR,KHARIK,1,0,0,13,14
BIHAR,BHAGALPUR,NATHNAGAR,0,6,0,14,20
BIHAR,BHAGALPUR,NAVGACHHIA,0,0,3,16,19
BIHAR,BHAGALPUR,RANGRA CHOWK,0,0,0,6,6
BIHAR,BHAGALPUR,SABOUR,4,0,0,11,15
BIHAR,BHAGALPUR,SANHAULA,3,1,1,9,14
BIHAR,BHAGALPUR,SULTANGANJ,3,0,0,30,33
BIHAR,BHOJPUR,ARA,22,1,0,16,39
BIHAR,BHOJPUR,BEHEA,11,0,0,3,14
BIHAR,BHOJPUR,GARHANI,1,5,3,0,9
BIHAR,BHOJPUR,KOILWAR,5,0,3,32,40
BIHAR,BHOJPUR,SHAHPUR,0,0,0,3,3
BIHAR,BHOJPUR,UDWANTNAGAR,1,0,24,12,37
BIHAR,BUXAR,BRAHMPUR,13,0,9,12,34
BIHAR,BUXAR,BUXAR,1,1,45,2,49
BIHAR,BUXAR,CHOUGAI,0,0,0,2,2
BIHAR,BUXAR,CHOUSA,1,3,7,2,13
BIHAR,BUXAR,DUMRAON,0,0,18,10,28
BIHAR,BUXAR,ITARHI,0,5,0,0,5
BIHAR,BUXAR,SIMRI,0,1,0,23,24
BIHAR,DARBHANGA,ALINAGAR,0,0,0,4,4
BIHAR,DARBHANGA,BAHADURPUR,0,3,3,7,13
BIHAR,DARBHANGA,BAHERI,0,1,0,13,14
BIHAR,DARBHANGA,BENIPUR,0,2,0,29,31
BIHAR,DARBHANGA,BIRAUL,0,0,0,8,8
BIHAR,DARBHANGA,DARBHANGA,0,9,16,0,25
BIHAR,DARBHANGA,GHANSHYAMPUR,0,3,0,0,3
BIHAR,DARBHANGA,HANUMAN NAGAR,0,0,0,4,4
BIHAR,DARBHANGA,HAYAGHAT,0,0,1,14,15
BIHAR,DARBHANGA,JALE,0,0,1,26,27
BIHAR,DARBHANGA,KEOTI RUNWAY,0,2,10,6,18
BIHAR,DARBHANGA,KUSESHWAR ASTHAN,1,0,0,0,1
BIHAR,DARBHANGA,MANIGACHHI,6,7,1,1,15
BIHAR,DARBHANGA,SINGHWARA,1,9,13,13,36
BIHAR,DARBHANGA,TARDIH,0,2,0,0,2
BIHAR,EAST CHAMPARAN,ADAPUR,17,20,0,1,38
BIHAR,EAST CHAMPARAN,AREARAJ,1,0,0,0,1
BIHAR,EAST CHAMPARAN,BANKATWA,0,2,0,2,4
BIHAR,EAST CHAMPARAN,CHAKIYA,0,14,0,7,21
BIHAR,EAST CHAMPARAN,DHAKA,3,3,0,3,9
BIHAR,EAST CHAMPARAN,GHORASAHAN,0,6,8,3,17
BIHAR,EAST CHAMPARAN,KALYANPUR,1,2,6,0,9
BIHAR,EAST CHAMPARAN,KESARIA,0,0,0,20,20
BIHAR,EAST CHAMPARAN,MEHSI,0,3,13,0,16
BIHAR,EAST CHAMPARAN,MOTIHARI,6,0,0,17,23
BIHAR,EAST CHAMPARAN,PAHARPUR,1,0,0,0,1
BIHAR,EAST CHAMPARAN,PAKRIDYAL,12,0,14,0,26
BIHAR,EAST CHAMPARAN,PATAHI,0,0,12,0,12
BIHAR,EAST CHAMPARAN,PHENHARA,0,3,1,7,11
BIHAR,EAST CHAMPARAN,PIPRAKOTHI,7,5,1,10,23
BIHAR,EAST CHAMPARAN,RAMGARHWA,0,0,3,0,3
BIHAR,EAST CHAMPARAN,RAXAUL,1,0,6,1,8
BIHAR,EAST CHAMPARAN,SANGRAMPUR,0,0,0,10,10
BIHAR,EAST CHAMPARAN,TETARIA,0,0,0,7,7
BIHAR,EAST CHAMPARAN,TURKAULIA,2,20,1,0,23
BIHAR,GAYA,BARACHATTY,0,2,0,0,2
BIHAR,GAYA,BELAGANJ,17,14,4,10,45
BIHAR,GAYA,GAYA NAGAR,0,0,0,1,1
BIHAR,GAYA,KONCH,0,1,0,2,3
BIHAR,GAYA,PARAIYA,2,1,1,1,5
BIHAR,GAYA,TEKARI,1,0,0,2,3
BIHAR,GOPAALGANJ,BAIKUNTHPUR,1,1,0,0,2
BIHAR,GOPAALGANJ,BHOREY,2,3,0,4,9
BIHAR,GOPAALGANJ,BIJAIPUR,5,0,13,0,18
BIHAR,GOPAALGANJ,HATHUA,1,0,0,0,1
BIHAR,GOPAALGANJ,KATEYA,3,0,1,0,4
BIHAR,GOPAALGANJ,KUCHAIKOTE,1,1,0,0,2
BIHAR,GOPAALGANJ,MANJHA,7,0,0,0,7
BIHAR,GOPAALGANJ,THAWE,1,0,8,0,9
BIHAR,GOPAALGANJ,UCHKAGAON,2,1,1,0,4
BIHAR,JAMUI,JHAJHA,3,0,0,0,3
BIHAR,JEHANABAD,JEHANABAD,0,0,0,14,14
BIHAR,JEHANABAD,KAKO,0,4,0,2,6
BIHAR,JEHANABAD,KARPI,2,0,1,1,4
BIHAR,JEHANABAD,MAKHDUMPUR,2,0,0,10,12
BIHAR,KAIMUR (BHABUA),BHABUA,0,0,0,7,7
BIHAR,KAIMUR (BHABUA),BHAGWANPUR,0,0,0,1,1
BIHAR,KAIMUR (BHABUA),CHAINPUR,1,17,0,0,18
BIHAR,KAIMUR (BHABUA),DURGAWATI,2,1,16,12,31
BIHAR,KAIMUR (BHABUA),KUDRA,0,0,1,6,7
BIHAR,KAIMUR (BHABUA),MOHANIA,0,2,5,5,12
BIHAR,KAIMUR (BHABUA),NUAON,0,0,3,23,26
BIHAR,KAIMUR (BHABUA),RAMGARH,0,0,14,31,45
BIHAR,KATIHAR,BARARI,0,0,25,0,25
BIHAR,KATIHAR,FALKA,2,0,2,0,4
BIHAR,KATIHAR,HASANGANJ,0,1,0,5,6
BIHAR,KATIHAR,KADWA,4,0,0,2,6
BIHAR,KATIHAR,KORHA,0,1,11,4,16
BIHAR,KATIHAR,KURSELA,0,0,1,0,1
BIHAR,KATIHAR,MANSAHI,1,0,2,1,4
BIHAR,KATIHAR,SAMELI,0,0,5,0,5
BIHAR,KHAGARIA,ALAULI,0,0,15,0,15
BIHAR,KHAGARIA,CHAUTHAM,5,0,8,3,16
BIHAR,KHAGARIA,GOGRI,0,0,6,24,30
BIHAR,KHAGARIA,KHAGARIA,5,2,12,9,28
BIHAR,KHAGARIA,MANSI,0,0,2,6,8
BIHAR,KHAGARIA,PARBATTA,3,0,24,2,29
BIHAR,KISHANGANJ,BAHADURGANJ,6,0,0,1,7
BIHAR,KISHANGANJ,KISHANGANJ,0,0,0,1,1
BIHAR,KISHANGANJ,POTHIA,0,0,2,0,2
BIHAR,LAKHISARAI,HALSI,0,0,0,1,1
BIHAR,LAKHISARAI,LAKHISARAI,3,1,14,16,34
BIHAR,LAKHISARAI,PIPARYA,0,0,0,1,1
BIHAR,LAKHISARAI,SURYAGARAH,0,0,0,9,9
BIHAR,MADHEPURA,CHAUSA,8,0,7,0,15
BIHAR,MADHEPURA,GAWALPARA,0,0,0,3,3
BIHAR,MADHEPURA,MADHEPURA,0,4,0,0,4
BIHAR,MADHEPURA,SHANKARPUR,0,2,0,2,4
BIHAR,MADHEPURA,SINGHESHWAR,0,0,1,5,6
BIHAR,MADHEPURA,UDAKISHUNGANJ,0,0,1,2,3
BIHAR,MADHUBANI,ANDHARATHADHI,0,1,0,0,1
BIHAR,MADHUBANI,BABUBARHI,19,11,0,2,32
BIHAR,MADHUBANI,BASOPATTI,5,1,0,0,6
BIHAR,MADHUBANI,BENIPATTI,1,0,5,0,6
BIHAR,MADHUBANI,GHOGHARDIHA,0,1,0,0,1
BIHAR,MADHUBANI,HARLAKHI,10,1,0,0,11
BIHAR,MADHUBANI,JAYNAGAR,1,0,0,4,5
BIHAR,MADHUBANI,JHANJHARPUR,3,8,0,0,11
BIHAR,MADHUBANI,KHUTAUNA,4,0,0,0,4
BIHAR,MADHUBANI,LADANIA,5,1,0,0,6
BIHAR,MADHUBANI,MADHEPUR,3,0,0,0,3
BIHAR,MADHUBANI,MADHWAPUR,219,0,0,0,219
BIHAR,MADHUBANI,PANDAUL,8,0,4,7,19
BIHAR,MADHUBANI,RAJNAGAR,3,2,0,0,5
BIHAR,MADHUBANI,ROHIKA,300,0,11,2,313
BIHAR,MUNGER,ASARGANJ,0,0,0,1,1
BIHAR,MUNGER,SANGRAMPUR,0,0,0,1,1
BIHAR,MUZAFFARPUR,AURAI,0,0,7,2,9
BIHAR,MUZAFFARPUR,BANDRA,1,1,6,2,10
BIHAR,MUZAFFARPUR,BOCHAHAN,2,0,3,9,14
BIHAR,MUZAFFARPUR,GAIGHAT,21,4,2,1,28
BIHAR,MUZAFFARPUR,KANTI,1,2,0,6,9
BIHAR,MUZAFFARPUR,KATRA,0,6,17,0,23
BIHAR,MUZAFFARPUR,KURHANI,0,3,1,0,4
BIHAR,MUZAFFARPUR,MINAPUR,9,10,0,0,19
BIHAR,MUZAFFARPUR,MORAUL,2,0,8,0,10
BIHAR,MUZAFFARPUR,MOTIPUR,1,0,2,22,25
BIHAR,MUZAFFARPUR,MUSHAHARI,3,12,3,28,46
BIHAR,MUZAFFARPUR,PAROO,1,1,0,3,5
BIHAR,MUZAFFARPUR,SAHEBGANJ,1,0,2,0,3
BIHAR,MUZAFFARPUR,SAKRA,1,4,4,10,19
BIHAR,MUZAFFARPUR,SARAIYA,1,17,7,0,25
BIHAR,NALANDA,ASTHAWAN,9,4,2,15,30
BIHAR,NALANDA,BEN,3,1,0,0,4
BIHAR,NALANDA,BIHARSHARIF,7,3,0,0,10
BIHAR,NALANDA,BIND,3,0,0,1,4
BIHAR,NALANDA,CHANDI,2,0,1,1,4
BIHAR,NALANDA,EKANGARSARAI,1,2,3,3,9
BIHAR,NALANDA,GIRIYAK,9,0,0,2,11
BIHAR,NALANDA,HARNAUT,5,3,3,9,20
BIHAR,NALANDA,HILSA,20,0,0,5,25
BIHAR,NALANDA,ISLAMPUR,0,0,0,4,4
BIHAR,NALANDA,KARAIPARSURAI,1,0,0,0,1
BIHAR,NALANDA,KATRISARAI,17,0,0,1,18
BIHAR,NALANDA,NAGARNAUSA,1,0,0,3,4
BIHAR,NALANDA,NOORSARAI,12,2,2,15,31
BIHAR,NALANDA,RAHUI,1,0,3,4,8
BIHAR,NALANDA,RAJGIR,1,0,0,0,1
BIHAR,NALANDA,SARMERA,1,0,0,3,4
BIHAR,NAWADA,AKBARPUR,0,0,0,1,1
BIHAR,NAWADA,HASUA,0,1,0,0,1
BIHAR,NAWADA,KASHICHAK,48,6,10,0,64
BIHAR,NAWADA,NAWADA,16,2,5,9,32
BIHAR,NAWADA,PAKRIBRAWAN,7,4,0,1,12
BIHAR,NAWADA,ROH,7,0,0,0,7
BIHAR,NAWADA,WARISALIGUNJ,14,12,2,5,33
BIHAR,PATNA,ATHAMALGOLA,0,0,6,15,21
BIHAR,PATNA,BAKHTIARPUR,1,1,2,18,22
BIHAR,PATNA,BARH,0,0,6,7,13
BIHAR,PATNA,BELCHCHI,0,0,1,0,1
BIHAR,PATNA,BIHTA,1,0,13,38,52
BIHAR,PATNA,DHANARUA,2,3,3,2,10
BIHAR,PATNA,DULHIN BAZAR,1,0,0,3,4
BIHAR,PATNA,MANER,4,5,5,1,15
BIHAR,PATNA,MASAURHI,3,0,18,10,31
BIHAR,PATNA,MOKAMA,4,0,0,0,4
BIHAR,PATNA,NAUBATPUR,9,7,1,3,20
BIHAR,PATNA,PALIGANJ,4,0,0,17,21
BIHAR,PATNA,PANDARAK,9,0,1,12,22
BIHAR,PATNA,PATNA SADAR,0,0,3,0,3
BIHAR,PATNA,PHULWARI,7,5,1,4,17
BIHAR,PATNA,PUNPUN,6,0,4,10,20
BIHAR,PATNA,SAMPATCHAK,2,0,0,17,19
BIHAR,PATNA,VIKRAM,1,2,8,2,13
BIHAR,PURNIA,BHAWANIPUR,1,0,0,0,1
BIHAR,PURNIA,KRITYANAND NAGAR,0,0,0,2,2
BIHAR,ROHTAS(SASARAM),AKHORIGOLA,0,0,9,6,15
BIHAR,ROHTAS(SASARAM),DEHRI,0,4,6,17,27
BIHAR,ROHTAS(SASARAM),KOCHAS,3,10,0,0,13
BIHAR,ROHTAS(SASARAM),NOKHA,0,0,2,0,2
BIHAR,ROHTAS(SASARAM),ROHTAS,0,0,0,2,2
BIHAR,ROHTAS(SASARAM),SASARAM,0,0,1,2,3
BIHAR,ROHTAS(SASARAM),TILOUTTHU,0,0,0,26,26
BIHAR,SAHARSA,KAHARA,0,0,0,1,1
BIHAR,SAHARSA,SATTAR KATTAIYA,0,0,0,4,4
BIHAR,SAHARSA,SAUR BAZAR,0,0,0,5,5
BIHAR,SAHARSA,SONBARSA,0,0,0,5,5
BIHAR,SAMASTIPUR,BIBHUTIPUR,0,0,0,1,1
BIHAR,SAMASTIPUR,BITHAN,0,0,0,8,8
BIHAR,SAMASTIPUR,DALSINGHSARAI,0,0,1,1,2
BIHAR,SAMASTIPUR,HASANPUR,1,0,0,25,26
BIHAR,SAMASTIPUR,KALYANPUR,1,0,0,30,31
BIHAR,SAMASTIPUR,KHANPUR,0,1,3,14,18
BIHAR,SAMASTIPUR,MOHIUDDIN NAGAR,0,2,0,2,4
BIHAR,SAMASTIPUR,MORWA,0,0,0,8,8
BIHAR,SAMASTIPUR,PATORI,0,1,1,10,12
BIHAR,SAMASTIPUR,PUSA,0,5,1,22,28
BIHAR,SAMASTIPUR,ROSERA,0,0,7,3,10
BIHAR,SAMASTIPUR,SAMASTIPUR,0,1,4,16,21
BIHAR,SAMASTIPUR,SARAIRANJAN,0,0,0,7,7
BIHAR,SAMASTIPUR,SHIVAJINAGAR,0,0,0,19,19
BIHAR,SAMASTIPUR,SINGHIA,0,0,6,4,10
BIHAR,SAMASTIPUR,TAJPUR,1,1,2,13,17
BIHAR,SAMASTIPUR,UJIYARPUR,4,0,1,3,8
BIHAR,SAMASTIPUR,VIDHYAPATINAGAR,0,0,0,5,5
BIHAR,SAMASTIPUR,WARISHNAGAR,1,0,12,9,22
BIHAR,SARAN,DARIYAPUR,9,0,0,0,9
BIHAR,SARAN,DIGHWARA,8,2,0,0,10
BIHAR,SARAN,GARKHA,10,0,0,2,12
BIHAR,SARAN,JALAPUR,0,1,2,0,3
BIHAR,SARAN,MAKER,57,10,0,0,67
BIHAR,SARAN,NAGRA,0,0,0,3,3
BIHAR,SARAN,REVILGANJ,10,0,0,0,10
BIHAR,SARAN,SADAR,5,4,0,6,15
BIHAR,SARAN,SONPUR,0,4,0,9,13
BIHAR,SARAN,TRAIYA,4,0,0,5,9
BIHAR,SHEKHPURA,BARBIGHA,0,0,10,34,44
BIHAR,SHEKHPURA,CHEWARA,0,0,0,3,3
BIHAR,SHEKHPURA,GHAT KUSUMBHA,41,0,0,8,49
BIHAR,SHEKHPURA,SHEKHOPURA SARAI,0,3,1,4,8
BIHAR,SHEKHPURA,SHEKHPURA,3,5,0,29,37
BIHAR,SHEOHAR,PIPRAHARI,1,3,0,0,4
BIHAR,SHEOHAR,TRIYANI,4,0,0,11,15
BIHAR,SITAMARHI,BAIRGANIA,2,0,0,2,4
BIHAR,SITAMARHI,BAJPATTI,94,7,0,13,114
BIHAR,SITAMARHI,BATHNAHA,105,2,2,9,118
BIHAR,SITAMARHI,BELSAND,5,1,4,1,11
BIHAR,SITAMARHI,BOKHRA,61,2,0,0,63
BIHAR,SITAMARHI,CHORAUT,126,97,0,0,223
BIHAR,SITAMARHI,DUMRA,0,2,3,17,22
BIHAR,SITAMARHI,MEJARGANJ,0,0,6,0,6
BIHAR,SITAMARHI,NANPUR,220,10,0,0,230
BIHAR,SITAMARHI,PARIHAR,267,7,1,0,275
BIHAR,SITAMARHI,PARSAUNI,1,2,0,3,6
BIHAR,SITAMARHI,PUPARI,113,2,0,1,116
BIHAR,SITAMARHI,RIGA,0,11,5,3,19
BIHAR,SITAMARHI,RUNNISAIDPUR,16,2,0,7,25
BIHAR,SITAMARHI,SONWARSA,28,0,10,0,38
BIHAR,SITAMARHI,SURSAND,571,4,0,3,578
BIHAR,SIWAN,ANDER,0,0,0,4,4
BIHAR,SIWAN,BARHARIA,0,0,0,7,7
BIHAR,SIWAN,BASANTPUR,0,0,0,1,1
BIHAR,SIWAN,BHAGWANPUR-HAT,0,0,0,1,1
BIHAR,SIWAN,DARAULI,0,0,2,0,2
BIHAR,SIWAN,DARAUNDHA,1,5,0,0,6
BIHAR,SIWAN,GOREAKOTHI,4,6,0,7,17
BIHAR,SIWAN,GUTHANI,0,0,0,1,1
BIHAR,SIWAN,HASANPURA,2,2,0,4,8
BIHAR,SIWAN,HUSSAINGANJ,9,0,1,2,12
BIHAR,SIWAN,JIRADEI,4,0,2,3,9
BIHAR,SIWAN,LAKRI NABIGANJ,0,1,1,0,2
BIHAR,SIWAN,MAHARAJGANJ,5,1,0,0,6
BIHAR,SIWAN,NAUTAN,0,0,1,0,1
BIHAR,SIWAN,PACHRUKHI,0,0,0,14,14
BIHAR,SIWAN,SISWAN,0,0,1,1,2
BIHAR,SIWAN,SIWAN,0,0,4,8,12
BIHAR,SUPAUL,BASANTPUR,0,0,0,32,32
BIHAR,SUPAUL,PIPRA,1,1,0,0,2
BIHAR,SUPAUL,SUPAUL,0,0,0,6,6
BIHAR,SUPAUL,TRIVENIGANJ,0,0,0,2,2
BIHAR,VAISHALI,BHAGWANPUR,0,0,1,1,2
BIHAR,VAISHALI,BIDUPUR,7,2,3,2,14
BIHAR,VAISHALI,CHEHRAKALA,2,1,0,0,3
BIHAR,VAISHALI,GORAUL,0,1,5,0,6
BIHAR,VAISHALI,HAJIPUR,3,0,1,9,13
BIHAR,VAISHALI,JANDAHA,1,7,0,2,10
BIHAR,VAISHALI,LALGANJ,1,0,0,0,1
BIHAR,VAISHALI,MAHNAR,1,0,0,12,13
BIHAR,VAISHALI,PATEDHI BELSAR,0,1,0,0,1
BIHAR,VAISHALI,PATEPUR,1,0,0,2,3
BIHAR,VAISHALI,RAJAPAKAR,0,2,0,0,2
BIHAR,VAISHALI,SAHDEI BUZURG,0,0,0,1,1
BIHAR,VAISHALI,VAISHALI,0,1,0,0,1
BIHAR,WEST CHAMPARAN,GAUNAHA,0,1,0,0,1
BIHAR,WEST CHAMPARAN,MAJHAULIA,3,3,5,4,15
BIHAR,WEST CHAMPARAN,NAUTAN,0,0,5,0,5
BIHAR,WEST CHAMPARAN,SIDHAW,1,0,2,0,3
BIHAR,WEST CHAMPARAN,SIKTA,3,0,0,0,3
CHANDIGARH,UT CHANDIGARH,UT CHANDIGARH,3,15,11,28,57
CHHATTISGARH,BASTER,JAGDALPUR,3,1,0,0,4
CHHATTISGARH,BILASPUR,BELHA,51,2,0,0,53
CHHATTISGARH,BILASPUR,BILASPUR,15,2,0,0,17
CHHATTISGARH,BILASPUR,KOTA,9,1,0,0,10
CHHATTISGARH,BILASPUR,MASTURI,6,0,0,0,6
CHHATTISGARH,BILASPUR,MUNGELI,542,2,0,0,544
CHHATTISGARH,BILASPUR,PENDRA-ROAD,80,1,0,0,81
CHHATTISGARH,BILASPUR,TAKHATPUR,678,3,0,0,681
CHHATTISGARH,DANTEWADA,KONTA,3,0,0,0,3
CHHATTISGARH,DHAMTARI,KURUD,2,0,0,0,2
CHHATTISGARH,DHAMTARI,NAGARI,5,1,0,0,6
CHHATTISGARH,DURG,BERLA,6,0,0,0,6
CHHATTISGARH,DURG,DHMADHA,1,0,0,0,1
CHHATTISGARH,DURG,DURG,22,8,2,4,36
CHHATTISGARH,DURG,GUNDERDEHI,0,11,1,0,12
CHHATTISGARH,DURG,NAVAGARH,104,24,1,1,130
CHHATTISGARH,DURG,PATAN,2,0,0,0,2
CHHATTISGARH,DURG,SAJA,3,0,0,0,3
CHHATTISGARH,JANJGIR-CHAMPA,CHAMPA,12,0,0,0,12
CHHATTISGARH,JANJGIR-CHAMPA,DABHARA,165,44,1,0,210
CHHATTISGARH,JANJGIR-CHAMPA,JAIJAIPUR,35,0,0,0,35
CHHATTISGARH,JANJGIR-CHAMPA,JANJGIR,24,0,0,0,24
CHHATTISGARH,JANJGIR-CHAMPA,MALKHARODA,902,7,0,0,909
CHHATTISGARH,JANJGIR-CHAMPA,NAVAGARH,1,0,0,0,1
CHHATTISGARH,JANJGIR-CHAMPA,PAMGARH,33,0,0,0,33
CHHATTISGARH,JANJGIR-CHAMPA,SAKTI,1450,2,4,1,1457
CHHATTISGARH,JASHPUR,PATHALGAON,1,0,0,0,1
CHHATTISGARH,KANKER,CHARAMA,6,0,0,0,6
CHHATTISGARH,KORIA,BAIKUNTHPUR,4,0,0,0,4
CHHATTISGARH,KVARDHA,KVARDHA,56,7,0,0,63
CHHATTISGARH,KVARDHA,PANDARIYA,7,0,0,0,7
CHHATTISGARH,MAHASAMUND,MAHASAMUND,4,0,0,0,4
CHHATTISGARH,RAIGARH,DHARAMJAIGARH,96,3,0,0,99
CHHATTISGARH,RAIGARH,GHARGODA,8,1,0,0,9
CHHATTISGARH,RAIGARH,KHARSIYA,35,4,0,0,39
CHHATTISGARH,RAIGARH,LAILUNGA,2,0,1,0,3
CHHATTISGARH,RAIGARH,RAIGARH,371,72,0,1,444
CHHATTISGARH,RAIGARH,SARANGARH,42,5,1,0,48
CHHATTISGARH,RAIPUR,ABHANPUR,2,0,0,0,2
CHHATTISGARH,RAIPUR,ARANG,8,0,0,0,8
CHHATTISGARH,RAIPUR,BHATAPARA,13,0,0,0,13
CHHATTISGARH,RAIPUR,BILAIGARH,2,0,0,0,2
CHHATTISGARH,RAIPUR,BLOUDABAJAR,4,0,0,0,4
CHHATTISGARH,RAIPUR,GARIYABAND,4,0,0,0,4
CHHATTISGARH,RAIPUR,PALARI,7,0,0,0,7
CHHATTISGARH,RAIPUR,RAIPUR,22,2,0,0,24
CHHATTISGARH,RAIPUR,RAJIM,3,5,0,0,8
CHHATTISGARH,RAIPUR,SIMGA,16,11,0,0,27
CHHATTISGARH,RAIPUR,TILDA,35,0,0,0,35
CHHATTISGARH,RAJNANDGAON,DONGAR GAON,3,6,1,0,10
CHHATTISGARH,RAJNANDGAON,DONGAR GARH,1,0,0,0,1
CHHATTISGARH,RAJNANDGAON,KHAIRAGARH,4,0,0,0,4
CHHATTISGARH,RAJNANDGAON,RAJNANDGAON,1,1,0,0,2
CHHATTISGARH,SURGUJA,AMBIKAPUR,2,0,0,0,2
CHHATTISGARH,SURGUJA,PRATAPPUR,16,0,0,0,16
CHHATTISGARH,SURGUJA,RAJPUR,2,0,0,0,2
CHHATTISGARH,SURGUJA,SAMRI,1,0,0,0,1
CHHATTISGARH,SURGUJA,SURAJPUR,45,4,1,0,50
DELHI,MAHRAULI,MAHRAULI,466,9,0,1,476
DELHI,NAJAFGARH,NAJAFGARH,136,31,2,0,169
GOA,NORTH GOA,SATTARI,57,0,0,0,57
GOA,SOUTH GOA,CANACONA,2,0,0,0,2
GOA,SOUTH GOA,SANGUEM,0,1,0,0,1
GUJARAT,AHMEDABAD,BARWALA,0,25,40,3,68
GUJARAT,AHMEDABAD,BAVLA,2,51,58,232,343
GUJARAT,AHMEDABAD,DASKROI,109,179,411,1520,2219
GUJARAT,AHMEDABAD,DETROJ-RAMPURA,16,0,0,434,450
GUJARAT,AHMEDABAD,DHANDHUKA,16,0,0,0,16
GUJARAT,AHMEDABAD,DHOLKA,47,511,601,380,1539
GUJARAT,AHMEDABAD,MANDAL,16,8,3,341,368
GUJARAT,AHMEDABAD,RANPUR,259,258,0,0,517
GUJARAT,AHMEDABAD,SANAND,47,25,64,558,694
GUJARAT,AHMEDABAD,VIRAMGAM,32,30,43,367,472
GUJARAT,AMRELI,AMRELI,0,966,0,0,966
GUJARAT,AMRELI,BABRA,0,1038,0,0,1038
GUJARAT,AMRELI,BAGASARA,0,209,0,0,209
GUJARAT,AMRELI,DHARI,0,1122,0,0,1122
GUJARAT,AMRELI,JAFRABAD,0,1,0,0,1
GUJARAT,AMRELI,KUNKAVAV VADIA,0,635,0,0,635
GUJARAT,AMRELI,LATHI,0,1248,0,0,1248
GUJARAT,AMRELI,LILIA,0,32,0,0,32
GUJARAT,AMRELI,RAJULA,0,224,0,0,224
GUJARAT,AMRELI,SAVARKUNDLA,0,84,0,0,84
GUJARAT,ANAND,ANAND,3,33,114,104,254
GUJARAT,ANAND,ANKLAV,12,91,87,136,326
GUJARAT,ANAND,BORSAD,21,204,222,327,774
GUJARAT,ANAND,KHAMBHAT,8,201,180,439,828
GUJARAT,ANAND,PETLAD,8,0,14,55,77
GUJARAT,ANAND,SOJITRA,0,0,9,2,11
GUJARAT,ANAND,TARAPUR,5,22,8,0,35
GUJARAT,ANAND,UMRETH,0,1,8,31,40
GUJARAT,BANASKANTHA,BHABHAR,74,179,424,1040,1717
GUJARAT,BANASKANTHA,DANTA,2,11,0,0,13
GUJARAT,BANASKANTHA,DANTIWADA,9,459,98,21,587
GUJARAT,BANASKANTHA,DEESA,38,1547,1248,1485,4318
GUJARAT,BANASKANTHA,DEODAR,55,869,1323,2615,4862
GUJARAT,BANASKANTHA,DHANERA,0,130,4,70,204
GUJARAT,BANASKANTHA,KANKAREJ,74,339,734,2917,4064
GUJARAT,BANASKANTHA,PALANPUR,119,418,50,746,1333
GUJARAT,BANASKANTHA,THARAD,17,549,751,1095,2412
GUJARAT,BANASKANTHA,VADAGAM,36,162,271,653,1122
GUJARAT,BANASKANTHA,WAV,41,50,92,328,511
GUJARAT,BHARUCH,AMOD,0,0,0,43,43
GUJARAT,BHARUCH,ANKLESVAR,0,2,0,0,2
GUJARAT,BHARUCH,BHARUCH,0,0,2,5,7
GUJARAT,BHARUCH,JAMBUSAR,0,0,0,4,4
GUJARAT,BHARUCH,JHAGADIA,14,42,35,57,148
GUJARAT,BHARUCH,VALIA,0,0,3,0,3
GUJARAT,BHAVNAGAR,BOTAD,0,0,0,2,2
GUJARAT,BHAVNAGAR,GARIADHAR,0,0,0,1,1
GUJARAT,BHAVNAGAR,TALAJA,0,0,0,1,1
GUJARAT,DANG,DANG,0,0,0,1,1
GUJARAT,GANDHINAGAR,DEHGAM,16,247,369,1535,2167
GUJARAT,GANDHINAGAR,GANDHINAGAR,2,18,32,2938,2990
GUJARAT,GANDHINAGAR,KALOL,0,10,8,1347,1365
GUJARAT,GANDHINAGAR,MANSA,1,1,0,1466,1468
GUJARAT,JUNAGADH,BHESANA,200,389,0,0,589
GUJARAT,JUNAGADH,JUNAGADH,223,501,0,1,725
GUJARAT,JUNAGADH,KESHOD,378,541,0,0,919
GUJARAT,JUNAGADH,KODINAR,0,29,0,0,29
GUJARAT,JUNAGADH,MALIA,151,88,0,0,239
GUJARAT,JUNAGADH,MANAVADAR,388,316,0,1,705
GUJARAT,JUNAGADH,MENDARDA,22,744,31,1,798
