-----
{
 "description": "The table refers to district wise culturable command area and irrigation potential created through surace lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.13.csv", 
 "title": "Download CSV for Districtwise Culturable command area and potential created through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.13.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total"
"BIHAR","HAZARIBAG",1932,1559,1317,41,277,3194
"BIHAR","JAMUI",1223,930,498,30,12,1470
"BIHAR","JEHANABAD",144,142,24,0,10,176
"BIHAR","KATIHAR",520,220,190,0,150,560
"BIHAR","KHAGARIA",2583,995,2540,2,904,4441
"BIHAR","KISHANGANJ",280,191,173,0,21,385
"BIHAR","KODARMA",894,527,583,4,19,1133
"BIHAR","LAKHISARAI",80,80,60,0,20,160
"BIHAR","LOHARDAGA",1898,1113,1091,68,56,2328
"BIHAR","MADHEPURA",410,120,310,0,15,445
"BIHAR","MADHUBANI",3129,1572,2005,28,181,3786
"BIHAR","MUNGER",49,37,12,0,0,49
"BIHAR","MUZAFFARPUR",922,771,788,171,181,1911
"BIHAR","NALANDA",1764,1492,373,20,42,1927
"BIHAR","NAWADA",515,460,301,4,63,828
"BIHAR","PAKUR",2220,1326,1456,74,95,2951
"BIHAR","PATNA",598,504,100,10,44,658
"BIHAR","PURNIA",469,171,279,50,50,550
"BIHAR","RANCHI",1744,1121,1400,92,82,2695
"BIHAR","ROHTAS",1285,965,1086,12,1,2064
"BIHAR","SAHARSA",920,495,805,0,0,1300
"BIHAR","SAHEBGANJ",6186,3567,3022,329,317,7235
"BIHAR","SAMASTIPUR",2680,1123,2202,128,121,3574
"BIHAR","SARAN",178,69,152,8,28,257
"BIHAR","SHEIKHPURA",578,569,422,0,101,1092
"BIHAR","SHEOHAR",12,4,9,0,0,13
"BIHAR","SINGHBHUM EAST",2845,2071,1165,79,48,3363
"BIHAR","SINGHBHUM WEST",5153,4214,2359,190,334,7097
"BIHAR","SITAMARHI",2594,2183,1794,577,598,5152
"BIHAR","SIWAN",1906,1509,1830,38,22,3399
"BIHAR","SUPAUL",335,249,217,23,32,521
"BIHAR","VAISHALI",1946,1662,1403,136,393,3594
"GOA","NORTH GOA",1471,0,380,1040,54,1474
"GOA","SOUTH GOA",2666,13,111,2265,300,2689
"HARYANA","AMBALA",212,212,212,0,0,424
"HARYANA","KAITHAL",496,496,496,0,0,992
"HARYANA","KURUKSHETRA",4,4,4,0,0,8
"HIMACHAL PRADESH","Bilaspur",785,784,783,0,0,1567
"HIMACHAL PRADESH","Chamba",172,157,157,5,0,319
"HIMACHAL PRADESH","Hamirpur",939,611,676,1,0,1288
"HIMACHAL PRADESH","Kangra",2519,2273,2386,46,4,4709
"HIMACHAL PRADESH","Kullu",121,109,91,0,0,200
"HIMACHAL PRADESH","Mandi",1161,1130,1129,44,49,2352
"HIMACHAL PRADESH","Shimla",61,44,44,0,0,88
"HIMACHAL PRADESH","Sirmaur",1733,1413,1404,96,1,2914
"HIMACHAL PRADESH","Solan",1116,975,1081,16,1,2073
"HIMACHAL PRADESH","Una",1253,592,1109,7,21,1729
"JAMMU & KASHMIR","Anantnagh",2730,1979,995,0,0,2974
"JAMMU & KASHMIR","Baramulla",18380,17444,1127,0,0,18571
"JAMMU & KASHMIR","Jammu",1570,1052,762,0,0,1814
"JAMMU & KASHMIR","Kathua",580,361,273,0,0,634
"JAMMU & KASHMIR","Kupwara",1080,1213,0,0,0,1213
"JAMMU & KASHMIR","Poonch",9,9,0,0,0,9
"JAMMU & KASHMIR","Pulwama",5470,4519,995,0,0,5514
"JAMMU & KASHMIR","Rajouri",441,249,201,0,0,450
"JAMMU & KASHMIR","Srinagar",2510,2125,824,0,0,2949
"JAMMU & KASHMIR","Udhampur",418,288,153,0,0,441
"KARNATAKA","BANGALORE RURAL",194.14,163.61,60.83,120.25,53.96,398.65
"KARNATAKA","BANGALORE URBAN",163.58,40.75,32.79,90.44,0,163.98
"KARNATAKA","BELGAUM",37271.88,24470.37,7567.29,7972.51,1081.18,41091.35
"KARNATAKA","BELLARY",22290.32,17670.85,9332.39,3193.56,826.84,31023.64
"KARNATAKA","BIDAR",977.9,474.08,351.45,212.44,802.8,1840.77
"KARNATAKA","BIJAPUR",14098.99,7408.48,5979.71,3227.16,1136.48,17751.83
"KARNATAKA","CHIKKAMAGALORE",1044.74,456.03,481,340.16,494.47,1771.66
"KARNATAKA","CHITRADURGA",3860.05,3436.52,262.37,717.6,1293.8,5710.29
"KARNATAKA","DAKSHINA KANNADA",860.35,51.18,374.52,431.3,93.47,950.47
"KARNATAKA","DHARWAR",6491.88,5016.43,2910.69,326.84,918.82,9172.78
"KARNATAKA","GULBARGA",1457.18,1021.85,400.21,62.77,3.39,1488.22
"KARNATAKA","HASSAN",389.66,194.38,7,255.21,0,456.59
"KARNATAKA","KODAGU",37.74,31.99,4,5.75,0.5,42.24
"KARNATAKA","KOLAR",251.59,223.77,35.2,12.6,2.4,273.97
"KARNATAKA","MANDYA",569.52,379,126.81,16.87,74.48,597.16
"KARNATAKA","MYSORE",899.31,843.1,69.68,53.16,133.49,1099.43
"KARNATAKA","RAICHUR",7610.61,7225.37,5715.72,447.69,705.06,14093.84
"KARNATAKA","SHIMOGA",5787.23,3830.02,1211.81,2228.53,850.67,8121.03
"KARNATAKA","TUMKUR",147.15,218.4,3.7,55.43,2.9,280.43
"KARNATAKA","UTTARA KANNADA",1483.37,828.79,639.24,22.67,4.69,1495.39
"KERALA","ALAPUZHA",2048,66,1773,233,44,2116
"KERALA","ERANAKULAM",15335,9231,8823,6339,2701,27094
"KERALA","IDUKKI",436,60,55,287,93,495
"KERALA","KANNUR",1079,139,202,770,338,1449
"KERALA","KASARAGODE",404,134,267,108,32,541
"KERALA","KOLLAM",541,290,290,80,70,730
"KERALA","KOTTAYAM",4031,1973,1848,910,76,4807
"KERALA","KOZHIKODE",1102,321,351,637,406,1715
"KERALA","MALAPPURAM",8818,4318,3214,3361,991,11884
"KERALA","PALAKKAD",8028,5743,6020,562,1397,13722
"KERALA","PATHANAMTHITTA",2177,883,1463,368,147,2861
"KERALA","THIRUVANANTHAPURAM",87,38,38,63,12,151
"KERALA","THRISSUR",16697,6731,13052,2593,4881,27257
"KERALA","WAYANAD",3307,1880,1827,1281,124,5112
"MADHYA PRADESH","BALAGHAT",2403,2316,287,22,0,2625
"MADHYA PRADESH","BASTAR",4388,3795,2353,30,3,6181
"MADHYA PRADESH","BETUL",15336,629,14914,45,2,15590
"MADHYA PRADESH","BHIND",1942,160,1942,0,0,2102
"MADHYA PRADESH","BHOPAL",10419,8746,10077,126,57,19006
"MADHYA PRADESH","BILASPUR",2759,2617,431,0,3,3051
"MADHYA PRADESH","CHHATARPUR",12208,17,12447,6,3,12473
"MADHYA PRADESH","CHHINDWARA",4485,593,4914,0,9,5516
"MADHYA PRADESH","DAMOH",23643,130,23967,32,1,24130
"MADHYA PRADESH","DATIA",64,0,73,0,0,73
"MADHYA PRADESH","DEWAS",7972,661,7429,20,16,8126
"MADHYA PRADESH","DHAR",11681,4279,7785,366,149,12579
"MADHYA PRADESH","DURG",3787,3653,1715,295,22,5685
"MADHYA PRADESH","GUNA",24128,357,25933,0,0,26290
"MADHYA PRADESH","GWALIOR",5304,940,9661,0,0,10601
"MADHYA PRADESH","HOSHANGABAD",23468,1136,23312,160,617,25225
"MADHYA PRADESH","INDORE",3854,30,3850,5,0,3885
"MADHYA PRADESH","JABALPUR",9105,1188,10025,0,1,11214
"MADHYA PRADESH","JHABUA",30002,6485,25445,17,26,31973
"MADHYA PRADESH","KHANDWA",13465,5052,8812,958,39,14861
"MADHYA PRADESH","KHARGONE",37338,22643,16989,1400,20,41052
"MADHYA PRADESH","MANDLA",1229,297,945,0,114,1356
"MADHYA PRADESH","MANDSAUR",4398,599,3996,5,1,4601
"MADHYA PRADESH","MORENA",12063,471,12476,0,0,12947
"MADHYA PRADESH","NARSIMHAPUR",5350,280,5303,4,0,5587
"MADHYA PRADESH","PANNA",15575,325,15446,66,6,15843
"MADHYA PRADESH","RAIGARH",7058,4175,3998,2,52,8227
"MADHYA PRADESH","RAIPUR",9442,9066,2014,101,99,11280
"MADHYA PRADESH","RAISEN",26769,7403,26661,150,0,34214
"MADHYA PRADESH","RAJGARH",8577,1644,8599,8,2,10253
"MADHYA PRADESH","RAJNANDGAON",244,244,4,0,0,248
"MADHYA PRADESH","RATLAM",6981,887,6239,17,2,7145
"MADHYA PRADESH","REWA",22428,13913,20266,3,9,34191
"MADHYA PRADESH","SAGAR",34856,183,44232,0,55,44470
"MADHYA PRADESH","SATNA",23516,19339,22223,2529,31,44122
"MADHYA PRADESH","SEHORE",14539,326,14435,36,0,14797
"MADHYA PRADESH","SEONI",5472,606,5145,0,21,5772
"MADHYA PRADESH","SHAHDOL",17608,15689,15987,837,12445,44958
"MADHYA PRADESH","SHAJAPUR",10281,214,10143,13,3,10373
"MADHYA PRADESH","SHIVPURI",12427,7014,12635,0,0,19649
"MADHYA PRADESH","SIDHI",9682,24,9749,0,0,9773
"MADHYA PRADESH","SURGUJA",16736,12899,8088,0,24,21011
"MADHYA PRADESH","TIKAMGARH",5629,1283,5520,0,0,6803
"MADHYA PRADESH","UJJAIN",13617,581,13198,3,0,13782
"MADHYA PRADESH","VIDISHA",114436,60,209375,11,0,209446
"MANIPUR","BISHNUPUR",614,128,400,0,120,648
"MANIPUR","IMPHAL",1410,704,1144,0,352,2200
"MANIPUR","THOUBAL",408,403,52,0,147,602
"MEGHALAYA","JAINTIA HILLS",1303,1303,292,0,0,1595
"MEGHALAYA","RI BHOI DISTRICT",113,113,113,0,0,226
"MEGHALAYA","SOUTH GARO HILLS",126,85,70,0,0,155
"MEGHALAYA","WEST GARO HILLS",676,658,320,0,0,978
"MEGHALAYA","WEST KHASI HILLS",30,30,30,0,0,60
"MIZORAM","AIZAWL",160,93,67,0,0,160
"NAGALAND","KOHIMA",293,187,106,0,0,293
"ORISSA","ANGUL",11296,8132,5587,190,0,13909
"ORISSA","BALASORE",4503,3611,4347,56,173,8187
"ORISSA","BARAGARH",9588,8950,4951,752,164,14817
"ORISSA","BHADRAK",2291,638,1857,27,250,2772
"ORISSA","BOLANGIR",5221,2916,1881,1299,23,6119
"ORISSA","BOUDH",5180,3478,2075,12,20,5585
"ORISSA","CUTTACK",14506,14203,8281,319,1445,24248
"ORISSA","DEOGARH",1785,1562,1419,126,92,3199
"ORISSA","DHENKANAL",9668,7541,5814,61,4,13420
"ORISSA","GAJAPATI",2001,1864,1141,12,0,3017
"ORISSA","GANJAM",10006,10486,6153,264,19,16922
"ORISSA","JAGATSINGHPUR",1832,1423,1123,3,33,2582
"ORISSA","JAJPUR",8884,6807,5687,36,10,12540
"ORISSA","JHARSUGUDA",2861,3809,1781,30,226,5846
"ORISSA","KALAHANDI",6293,5899,3058,295,140,9392
"ORISSA","KENDRAPARA",17903,3602,15509,20,314,19445
"ORISSA","KEONJHAR",8851,8024,6545,137,0,14706
"ORISSA","KHURDA",2900,2367,1865,25,29,4286
"ORISSA","KORAPUT",5634,4428,3638,59,3,8128
"ORISSA","MALKANGIRI",833,509,425,12,0,946
"ORISSA","MAYURBHANJ",7838,6696,5584,2,132,12414
"ORISSA","NAYAGARH",2345,1634,1039,354,90,3117
"ORISSA","NOWRANGPUR",4514,3730,2815,148,16,6709
"ORISSA","NUAPADA",2850,2648,1970,24,0,4642
"ORISSA","PHULBANI",2394,2127,1550,3,1,3681
"ORISSA","PURI",9985,811,10986,280,54,12131
"ORISSA","RAYAGADA",4485,4367,3595,54,20,8036
"ORISSA","SAMBALPUR",7762,6100,4124,46,1009,11279
"ORISSA","SONEPUR",5774,5316,4321,4,41,9682
"ORISSA","SUNDARGARH",14679,9707,11504,228,104,21543
"PUNJAB","AMRITSAR",1772,2855,3007,0,82,5944
"PUNJAB","FARIDKOT",120,110,126,0,0,236
"PUNJAB","GURDASPUR",1608,1593,1604,10,0,3207
"PUNJAB","HOSHIARPUR",40,40,40,0,0,80
"PUNJAB","JALANDHAR",13,17,17,7,13,54
"PUNJAB","KAPURTHALA",152,0,152,3,0,155
"PUNJAB","PATIALA",603,529,598,1,20,1148
"PUNJAB","ROPAR",440,389,434,4,0,827
"PUNJAB","SANGRUR",213,213,213,0,0,426
"RAJASTHAN","AJMER",20,20,20,0,0,40
"RAJASTHAN","BARAN",959,0,959,0,0,959
"RAJASTHAN","BHILWARA",1680,13,1682,0,0,1695
"RAJASTHAN","BUNDI",180,0,180,0,0,180
"RAJASTHAN","CHITTORGARH",1201,0,1201,0,0,1201
"RAJASTHAN","CHURU",3,3,0,0,0,3
"RAJASTHAN","DHOLPUR",10,0,10,0,0,10
"RAJASTHAN","DUNGARPUR",3593,85,3502,2,174,3763
"RAJASTHAN","JHALAWAR",1764,0,1764,0,0,1764
"RAJASTHAN","KOTA",234,0,234,0,0,234
"RAJASTHAN","NAGAUR",181,0,181,0,0,181
"RAJASTHAN","RAJSAMAND",27,0,27,0,0,27
"RAJASTHAN","SIROHI",77,49,46,0,0,95
"RAJASTHAN","TONK",6,0,6,0,0,6
"RAJASTHAN","UDAIPUR",516,0,516,0,0,516
"TAMIL NADU","COIMBATORE",781.52,345.47,49.55,397.38,0,792.4
"TAMIL NADU","CUDDALORE",602.14,126.64,312.24,26.34,211.76,676.98
"TAMIL NADU","DHARMAPURI",21.32,17.25,2.93,8.06,0,28.24
"TAMIL NADU","DINDIGUL",205.47,28.85,60.19,175.72,0,264.76
"TAMIL NADU","ERODE",8569.5,3876.89,2075.83,788.65,3637.55,10378.92
"TAMIL NADU","KANCHIPURAM",179.43,84.01,189.18,0,354.62,627.81
"TAMIL NADU","KARUR",32.75,13.3,13.92,12.72,4.6,44.54
"TAMIL NADU","NAGAPATTINAM",409.8,0,738.53,0,0,738.53
"TAMIL NADU","NAMAKKAL",2112.58,2077.88,20.9,2.16,109.56,2210.5
"TAMIL NADU","PERAMBALUR",781.78,43.41,731.97,16.58,0,791.96
"TAMIL NADU","PUDUKOTTAI",196.84,189.78,7.06,0,0,196.84
"TAMIL NADU","RAMNATHAPURAM",27.37,27.37,0,0,0,27.37
"TAMIL NADU","SALEM",60.24,59.65,8,0,0,67.65
"TAMIL NADU","SIVAGANGA",181.87,145.58,36.29,0,0,181.87
"TAMIL NADU","THANJAVUR",454.54,161.58,292.96,74.84,0,529.38
"TAMIL NADU","THENI",52.57,59.15,2.81,26.56,0,88.52
"TAMIL NADU","TIRUVALLUR",1895.68,2749.14,366.5,380.79,55.54,3551.97
"TAMIL NADU","TIRUVARUR",1875.78,938,960.78,0,0,1898.78
"TAMIL NADU","TRICHIRAPPALLI",0,0,0,0,0,0
"TAMIL NADU","VILLUPURAM",3050.61,1179.63,1799.29,112.46,204.03,3295.41
"TRIPURA","DHALAI",2606,1333,1427,37,355,3152
"TRIPURA","NORTH",4085,2274,2055,383,446,5158
"TRIPURA","SOUTH",6609,4080,4025,259,578,8942
"TRIPURA","WEST",6898,3602,5045,129,151,8927
"UTTAR PRADESH","AGRA",136,44,125,4,20,193
"UTTAR PRADESH","ALLAHABAD",1022,331,811,68,11,1221
"UTTAR PRADESH","ALMORA",885,762,681,98,21,1562
"UTTAR PRADESH","AZAMGARH",244,121,124,97,1,343
"UTTAR PRADESH","BALLIA",11228,8135,9560,479,664,18838
"UTTAR PRADESH","BANDA",1943,330,1545,72,0,1947
"UTTAR PRADESH","BIJNOR",55,15,15,40,1,71
"UTTAR PRADESH","DEHRADUN",945,729,625,10,17,1381
"UTTAR PRADESH","DEORIA",135,55,70,10,0,135
"UTTAR PRADESH","ETAWAH",40,13,40,0,0,53
"UTTAR PRADESH","FARUKHABAD",107,49,55,47,2,153
"UTTAR PRADESH","FATEHPUR",114,43,61,11,7,122
"UTTAR PRADESH","GONDA",1224,546,720,154,130,1550
"UTTAR PRADESH","HAMIRPUR",21,12,9,0,0,21
"UTTAR PRADESH","JALAUN",1059,129,968,46,12,1155
"UTTAR PRADESH","JAUNPUR",176,91,87,30,15,223
"UTTAR PRADESH","JHANSI",286,23,291,0,1,315
"UTTAR PRADESH","KANPUR DEHAT",872,174,516,165,17,872
"UTTAR PRADESH","KUSHI NAGAR",60,12,20,30,0,62
"UTTAR PRADESH","LALITPUR",8,2,6,0,0,8
"UTTAR PRADESH","LUCKNOW",10,5,5,5,0,15
"UTTAR PRADESH","MAHRAJGANJ",60,30,27,4,2,63
"UTTAR PRADESH","MIRZAPUR",1219,570,612,0,38,1220
"UTTAR PRADESH","NAINITAL",66,43,45,0,0,88
"UTTAR PRADESH","PAURI GARHWAL",842,587,522,2,0,1111
"UTTAR PRADESH","RAEBARELY",4,1,4,0,0,5
"UTTAR PRADESH","SANT RAVIDAS NAGAR",87,48,61,1,3,113
"UTTAR PRADESH","TEHRI GARHWAL",242,154,127,0,0,281
"UTTAR PRADESH","UDHAMSINGH NAGAR",1058,711,569,200,40,1520
"UTTAR PRADESH","UTTARKASHI",415,315,258,0,2,575
"UTTAR PRADESH","VARANASI",9020,5254,4486,508,551,10799
"WEST BENGAL","BANKURA",16695,13039,7789,281,1836,22945
"WEST BENGAL","BIRBHUM",47458,29246,24084,2279,3215,58824
"WEST BENGAL","BURDWAN",28917,18043,13552,642,7345,39582
"WEST BENGAL","COOCHBEHAR",11274,7171,9558,740,4385,21854
"WEST BENGAL","DAKSHIN DINAJPUR",14425,8422,7591,271,4744,21028
"WEST BENGAL","DARJEELING",2355,1005,594,1249,35,2883
"WEST BENGAL","HOOGLY",26281,19504,18219,132,7708,45563
"WEST BENGAL","HOWRAH",24567,9296,17514,868,5069,32747
"WEST BENGAL","JALPAIGURI",13844,7578,6558,1945,6139,22220
"WEST BENGAL","MALDA",21793,14657,7333,228,6325,28543
"WEST BENGAL","MIDNAPORE",57469,31080,35972,1246,13624,81922
"WEST BENGAL","MURSHIDABAD",27985,15645,13385,1686,5849,36565
"WEST BENGAL","NADIA",16241,7969,7571,1483,3990,21013
"WEST BENGAL","NORTH 24 PARGANAS",8935,5333,3536,29,3287,12185
"WEST BENGAL","PURULIA",5999,5905,3562,1701,841,12009
"WEST BENGAL","SOUTH 24 PARGANAS",22335,8459,14950,1225,3387,28021
"WEST BENGAL","UTTAR DINAJPUR",6363,3792,2593,878,1515,8778
"ANDAMAN & NICOBARS","ANDAMAN",1778,907,608,420,5,1940
"ANDAMAN & NICOBARS","NICOBARS",57,1,30,14,19,64
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",545,318,196,43,13,570
"PONDICHERRY","KARAIKAL",6,0,6,0,0,6
"PONDICHERRY","YANAM",324,3,0,0,324,327
