-----
{
 "description": "The Index of Eight Core Industries is a monthly production index, which is also considered as a lead indicator of the monthly industrial performance. The Index of Eight Core Industries is compiled based on the monthly production information received from the Source Agencies;\r\rFrequency and Date ...", 
 "file_name": "Index_of_Core_Industries_2004-05_0.xls", 
 "title": "Download XLS for Index of Eight Core Industries: Base Year 2004-05 - Upto May 2013", 
 "url": "http://data.gov.in/sites/default/files/Index_of_Core_Industries_2004-05_0.xls"
}
-----
"Month/ Year","Overall Index (Base:2004-05=100) ","Index of Coal","Index of Crude Oil","Index of Natural Gas","Index of Petroleum Refinery Products","Index of Fertilizers","Index of Steel","Index of Cement","Index of Electricity"
38752.0,103.720297659,117.547925676,89.7651697958,95.321453309,102.502458404,95.6520546943,107.471330407,116.3614804,102.599982504
38780.0,116.30030455,139.606081603,100.429639221,105.862351237,112.565786886,94.5912251479,124.211155287,133.628258044,111.781177475
38811.0,105.842989542,100.446801902,97.1808604555,101.895346641,102.710144357,85.5168152154,111.773492979,125.236585866,109.074624344
38841.0,109.546607627,105.853025271,101.100582661,104.313330395,109.469378122,97.4222890774,111.056465884,123.047453994,113.641934029
38872.0,107.802635505,101.689245693,99.7940085928,102.19759461,111.045903316,93.5794250473,111.911382805,122.31774337,109.188264726
38902.0,109.185216886,97.786697887,101.100582661,105.031169322,115.416748613,107.934858194,113.814262404,116.023989237,110.768648417
38933.0,105.846200288,93.0208109335,95.3799070096,74.2774384485,114.265035598,103.233184282,116.075655551,104.713474563,110.914953003
38964.0,107.912008624,93.0080679203,99.3702548408,97.701656067,112.490264721,110.457449101,115.165582699,115.203064785,110.901552304
38994.0,114.796486968,107.019010983,103.395915485,104.766702349,116.464618652,109.997078603,124.735136626,121.952888058,117.03643739
39025.0,112.474241731,115.955049021,99.3702548408,101.101945721,116.407977029,109.712856692,122.391009583,118.304334937,109.790336084
39055.0,118.363668779,125.818141272,103.254664234,103.406586487,120.920426386,114.591015646,127.024107738,127.790573051,116.491073869
39086.0,120.212979346,134.132957414,102.442469543,104.540016372,122.525272391,107.583423648,126.831061981,132.716119764,118.883282548
39117.0,111.492438296,125.168247597,94.1439585663,95.0192053397,114.104550997,105.641336829,123.301082435,123.138667822,106.025536265
39145.0,127.409913644,154.384791214,103.607792361,105.14451231,127.660779609,99.35839239,144.563693609,140.925364285,120.678322563
39176.0,112.945592372,101.036166264,98.5580601495,96.5304451861,118.173307635,80.2105648121,122.00491807,132.44247828,118.544118202
39206.0,117.446568961,106.397789087,99.5115060915,99.6662678673,125.801046297,86.1670784477,124.790292556,135.17889312,124.245645918
39237.0,112.967519734,102.62904292,97.9577423342,97.5505320824,122.081579672,95.4833893656,118.943763933,129.706063439,116.598524599
39267.0,114.750016409,98.8666682595,101.983402978,102.68874756,120.816583409,106.543476309,123.27350447,126.878434771,119.096672342
39298.0,116.527557581,100.421315875,101.559649226,101.70644166,123.620343783,100.708459891,130.112839841,122.226529542,121.093070121
39329.0,113.723927597,98.8602967529,98.6993114002,101.21528871,120.269047713,98.8366708506,129.533702572,121.40560509,115.705988998
39359.0,120.255062488,116.54122763,103.254664234,107.940306026,119.645989852,104.94573576,135.98694643,131.074270859,121.960132136
39390.0,117.714043363,124.926130345,99.6527573421,104.502235376,122.430869685,104.319815559,128.789097511,124.506875242,116.123821168
39420.0,122.479999323,136.369356239,101.771526102,107.751401045,123.233292688,107.29714952,133.808287179,133.445830388,121.006946114
39451.0,123.817765435,144.677800874,102.230592667,101.895346641,129.086260473,97.1882154328,127.93418059,140.104439833,123.244699476
39482.0,118.732514719,139.733511736,96.3333529516,99.5151438826,120.68441962,90.9077494805,127.189575529,138.918660069,116.394940194
39511.0,130.069919312,168.679266321,103.289977047,103.708834456,127.802383668,73.7820546317,144.067290235,154.06015552,125.067378434
39542.0,118.154849211,111.494994385,99.5115060915,105.44676028,123.223852417,75.7358501415,132.263921127,141.563861081,120.147033862
39572.0,122.806123281,115.747975056,102.689659231,109.073735911,125.970971168,96.2353609569,136.455771838,140.378081317,126.711068172
39603.0,117.092677984,108.914534203,93.4023895003,99.4395818903,128.869134249,89.9331402927,128.62362972,138.280163273,119.572111177
39633.0,120.245967103,104.282448889,98.9111882761,104.728921353,135.071392047,95.0622923748,131.574471997,133.8106857,124.399141123
39664.0,118.8649272,106.330888268,100.535577659,106.013475222,126.650670653,97.8786444176,134.745937996,124.59808907,122.021252399
39695.0,117.982096671,109.924418003,98.3108704608,102.990995529,123.658104866,95.9057080003,132.456966883,131.256698515,120.770207236
39725.0,123.542270782,128.876464451,103.007474545,106.958000126,125.583920072,97.8037298538,131.822673684,139.192301553,127.343577094
39756.0,119.123937869,137.016064161,100.182449532,103.897739437,121.062030445,106.386422956,120.791487601,135.361320776,119.191580343
39786.0,124.002464472,151.667343639,101.489023601,105.597884264,126.990520395,97.1261257976,123.356238366,148.860967323,122.856385615
39817.0,124.893279276,154.337004914,93.9320816903,97.701656067,127.396452032,83.5838305966,131.629627927,151.688595991,125.516281433
39845.0,119.841814731,148.108857191,90.3654876111,92.2611926201,121.307477481,78.0773711687,131.050490658,150.502816227,117.130895978
39873.0,134.729467728,177.640790385,100.888705785,106.806876141,131.956102742,87.5656119389,141.723163193,169.65772011,132.898493805
39904.0,121.471255241,127.382346148,96.4039785769,110.736099742,117.720174645,83.4443299622,126.638016225,158.347205436,128.246183648
39934.0,125.898503069,127.783751065,98.2826202107,128.8558655,120.53337529,102.610155016,136.290304047,156.887784188,130.529470788
39965.0,126.518505829,125.445408135,97.173797893,135.573326617,123.918656335,112.421669372,138.717164985,155.793218252,128.789790369
39995.0,125.701448723,115.184096719,98.5333411806,142.014986462,115.681076191,111.267546059,146.328683382,152.327092787,129.14909662
40026.0,128.141551404,120.421475163,97.9859925843,146.178452239,130.502301066,112.919765998,136.593661664,146.398193966,134.435733782
40057.0,124.413914515,117.073248433,97.7988346772,141.504943014,127.864991543,104.6699884,132.594856709,139.830798349,129.673480692
40087.0,130.89231781,137.643657563,100.811017598,154.237138719,134.658012036,109.0455002,135.849056604,146.580621622,132.987824991
40118.0,127.457441405,143.40349955,98.6286857748,153.387066306,126.8902364,109.152726815,136.67639556,147.58397373,122.855854489
40148.0,134.334437985,153.444993987,102.569595668,166.13059631,128.189434764,108.862060554,142.853859766,165.188242538,130.936557886
40179.0,139.449902286,162.728279136,103.10281914,175.341603174,132.210527475,102.743066396,154.73996277,170.478644563,133.489411532
40210.0,128.196416377,158.102565328,93.9568006592,159.296014105,122.209967352,94.149979121,131.32627031,162.360613869,125.253660411
40238.0,145.798730647,191.935265493,104.44117474,180.944524904,130.565550879,89.7464223163,153.250752649,182.974939001,143.391057515
40269.0,133.510528398,123.607228474,101.333647225,170.66053775,124.007394879,89.9813205976,152.78192724,172.211707295,137.081003227
40299.0,136.360672402,128.178784476,103.992702019,173.240979787,129.833929906,95.7444497769,154.7951187,170.387430734,138.906705513
40330.0,133.137976026,126.439363168,103.77376258,170.074932309,127.466310034,104.884654427,150.327488337,161.630903245,133.628770634
40360.0,133.777314813,120.338645577,114.138073098,170.403626976,131.585100106,110.893491238,146.990554547,152.053451303,134.567044293
40391.0,135.051126778,121.584275122,112.866811842,163.599269567,127.525783739,106.434864123,158.711189759,148.678539667,136.55947906
40422.0,129.50839731,114.948350974,110.010005297,159.40164977,114.819179483,105.0128821,153.526532301,147.12790459,132.360484327
40452.0,141.444422241,138.60256931,114.643046319,164.271771299,128.205483224,108.803723821,160.310711741,173.762342371,144.249498959
40483.0,132.072256889,144.457983896,115.423459479,161.755556955,122.470518822,109.154573845,146.383839312,141.290219597,127.208916409
40513.0,143.550781352,159.23987926,118.741310105,165.827479378,138.866380836,109.20560711,160.338289707,161.630903245,137.524022992
40544.0,149.550531426,160.622496197,114.286386911,164.377558088,143.740392558,108.778149863,175.120079057,173.488700887,146.375532162
40575.0,137.397686706,148.991310858,105.444058619,147.629242491,126.104078984,98.6681412651,161.551720176,172.850204091,134.228268077
40603.0,155.224748631,189.733909955,117.051380142,161.763113154,141.610667506,93.2327336646,171.59009951,194.923950471,154.304272445
40634.0,140.690768885,126.910854658,112.49955859,154.762294566,132.083518074,88.7826840959,166.074506469,172.302921123,145.907794643
40664.0,145.164728434,129.844933458,114.212230004,156.552924879,135.683952327,102.731393934,172.058924919,168.28951269,153.228171777
40695.0,139.94150067,122.651502481,111.788358543,150.179081922,133.293732447,102.399720453,168.170431825,164.367318085,144.22230943
40725.0,145.123164077,123.307767663,115.733152846,156.461305963,136.486318688,109.085973928,173.630868936,171.755638155,152.035039696
40756.0,140.394688314,103.126020437,114.680124772,154.952710786,132.368453762,111.011012159,172.527750327,161.174834105,149.330345504
40787.0,133.512491829,94.0784810328,110.120887529,149.197153832,119.754316957,102.769577441,169.328706364,150.320388571,144.011554835
40817.0,144.975687086,126.343790569,113.602730858,152.166400101,124.483665972,106.481619294,183.972605888,174.309625339,151.922849695
40848.0,142.584894176,151.508055974,108.885645342,145.359095775,136.228410494,101.802244628,162.930618436,165.279456366,145.516866011
40878.0,150.872176832,167.997515112,112.060973457,147.924916567,139.786448492,110.065284701,178.153655229,183.613435797,149.742621287
40909.0,152.833206809,172.954547265,112.04155141,147.22302122,137.070803603,113.176738753,182.92464321,192.369963286,151.020998974
40940.0,148.041896701,175.742081412,105.796833618,136.353919778,133.690233253,102.688321963,175.533748535,189.815976102,145.796544325
40969.0,160.938061312,203.509107272,113.633099876,145.679667527,143.846010306,94.6720693688,182.207616115,208.788452329,162.264001845
41000.0,148.761362673,134.426046719,110.976834795,137.341439456,159.552241671,80.5685837545,169.852687703,193.811141769,153.742811743
41030.0,155.637638028,142.339457944,114.735071508,139.793123859,167.427136058,87.2351668415,178.567324708,194.185118464,162.264001845
41061.0,147.102459407,131.520639699,110.946501089,133.467791701,141.442158675,90.3789677214,174.982189231,187.617722847,156.892895336
41091.0,147.236282966,125.926456885,114.978871167,135.292764939,141.449248318,106.636055769,175.50617057,182.838118259,156.213463539
41122.0,144.463317106,114.448187705,113.995409334,134.022530067,143.535397081,108.645334174,177.464206099,168.718217682,152.18446975
41153.0,140.373680406,114.190141686,108.217844741,127.048573767,132.097281989,108.662322934,171.47978765,177.857843249,149.672962164
41183.0,151.53840785,140.150845419,113.126961332,129.522964549,149.743319042,108.575326262,175.368280744,193.719927941,160.413990364
41214.0,145.662202783,144.840274293,109.712777353,123.253283798,145.191909688,106.854258083,175.644060396,164.549745741,149.052750835
41244.0,155.309665667,167.717168821,113.224636572,125.939248158,146.718920662,105.835756598,184.551743157,201.017034182,157.5345151
41275.0,158.527702,176.97178219,111.768265552,122.495132548,151.452262912,102.930629291,186.427044791,211.962693544,160.595941627
41306.0,144.425798304,161.661051776,101.560673298,108.96749575,139.408790465,98.6217785601,176.333509526,195.726632157,140.468091262
41334.0,164.985553753,204.092100128,113.870119475,119.888394937,151.970486567,98.0348193223,194.25918691,226.100836887,164.10398323
41365.0,152.373240272,138.656727116,109.686893061,113.394899566,168.490497581,78.6564403201,173.134465562,209.764440289,159.072776471
41395.0,159.186786388,137.710558383,111.966370431,113.684679806,175.868286198,85.4604151685,185.820329557,199.922468246,172.309031225
"2004-05(Apr-Mar)",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"2005-06(Apr-Mar)",103.868673884,106.554421958,94.7501618504,101.385303192,102.142941431,100.622436608,107.016293981,112.351112429,105.120326857
"2006-07(Apr-Mar)",112.57378227,112.856903926,100.011770938,99.9496253385,115.290091649,103.752343727,120.720244525,122.614188311,112.782913795
"2007-08(Apr-Mar)",118.452540608,119.928214359,100.400211877,102.055915874,122.803760374,95.532530005,128.869533243,132.495686346,119.923494808
"2008-09(Apr-Mar)",121.773323026,129.528481962,98.6022011653,103.409734903,126.478385714,91.7745073746,131.374531749,142.095941745,123.21316902
"2009-10(Apr-Mar)",129.856202108,140.04571556,99.1407215585,149.516718091,125.912025331,103.419434184,139.321582056,157.062610692,130.811510227
"2010-11(Apr-Mar)",138.382203581,139.728733106,110.97538697,164.417143127,129.68626834,103.399549319,157.702295866,164.169688125,138.082833175
"2011-12(Apr-Mar)",145.422772094,141.497888111,112.087928904,149.73437441,133.731322031,103.805553393,173.959506354,175.198960162,149.583258169
"2012-13(Apr-Mar)",150.335339245,146.523679439,111.426163851,128.086061961,147.499096094,100.248249943,178.369682624,191.508752727,155.2616564
"2011-12(April- May)",142.92774866,128.377894058,113.355894297,155.657609722,133.8837352,95.7570390148,169.066715694,170.296216906,149.56798321
"2012-13(April- May)",152.19950035,138.382752332,112.855953152,138.567281657,163.489688864,83.901875298,174.210006205,193.998130117,158.003406794
"2013-14(April- May)",155.78001333,138.18364275,110.826631746,113.539789686,172.179391889,82.0584277443,179.477397559,204.843454268,165.690903848
